url_length,has_https,path_depth,has_query_params,num_query_params,has_fragment,has_port,subdomain_count,is_ip_address,domain_length,domain_has_hyphens,domain_tld,status_code,status_category,response_size,response_time_ms,is_redirect,redirect_chain_len,total_headers,server_header_present,server_header,x_powered_by_present,content_type,has_cookies,num_cookies,has_cors,cache_control,security_headers_count,has_csp,has_hsts,has_xss_protection,has_frame_options,has_content_type_options,has_forms,form_count,has_inputs,input_count,has_password_input,password_count,has_hidden_input,hidden_count,has_file_upload,file_upload_count,has_search_input,search_count,has_buttons,button_count,has_textarea,textarea_count,has_select,select_count,has_scripts,script_count,inline_script_count,internal_script_count,external_script_count,has_links,link_count,internal_link_count,external_link_count,has_images,image_count,has_meta_tags,meta_count,has_stylesheets,stylesheet_count,has_javascript,has_comments,comment_count,has_title,server_apache,server_nginx,server_iis,tech_php,tech_aspnet,tech_jsp,tech_wordpress,tech_drupal,tech_joomla,has_debug_info,has_error_messages,has_sql_errors,has_file_paths,has_waf,waf_cloudflare,waf_aws,waf_imperva,reflection_detected,csp_header_reflection_detected,has_jwt,jwt_count,has_api_keys,api_key_count,cookie_count,session_cookies,secure_cookie_ratio,httponly_cookie_ratio,samesite_cookie_ratio,redirect_count,has_redirect_chain,final_https,get_form_count,post_form_count,has_login_form,login_form_count,csrf_token_input_count,has_csrf_token,same_origin_form_count,external_form_count,unique_input_names,unique_endpoint_count,parameterized_link_count,api_like_endpoint_count,inline_event_handler_count,email_input_count,url_input_count,mailto_link_count,tel_link_count,body_truncated_for_analysis,input_to_form_ratio,script_to_content_ratio,security_score,interactivity_score,is_vulnerable,vulnerability_type,scan_id,timestamp,target_url,original_url,is_redirect_response,final_url,target_root,page_url,dataset_record_type,saved_at
66,1,0,0,0,0,0,1,0,57,1,net,200,2,11493,5714.9929999999995,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,31,30,1,1,41,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,31,25,0,0,0,0,0,0,0,0.0,8.700948403375968e-05,0.125,0.0,0,,20260512_194321,2026-05-12T19:43:31.358988,https://0a05005d032db45a8138fc1100340021.web-security-academy.net/,https://0a05005d032db45a8138fc1100340021.web-security-academy.net/,False,https://0a05005d032db45a8138fc1100340021.web-security-academy.net/,https://0a05005d032db45a8138fc1100340021.web-security-academy.net/,https://0a05005d032db45a8138fc1100340021.web-security-academy.net/,recon_page,2026-05-12T19:43:31.359584
87,1,1,1,1,0,0,1,0,57,1,net,200,2,5424,5196.903,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,16,15,1,1,9,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,15,9,0,0,0,0,0,0,0,0.0,0.00018436578171091445,0.125,0.0,0,,20260512_194321,2026-05-12T19:43:42.784002,https://0a05005d032db45a8138fc1100340021.web-security-academy.net/filter/?category=Pets,https://0a05005d032db45a8138fc1100340021.web-security-academy.net/,False,https://0a05005d032db45a8138fc1100340021.web-security-academy.net/filter/?category=Pets,https://0a05005d032db45a8138fc1100340021.web-security-academy.net/,https://0a05005d032db45a8138fc1100340021.web-security-academy.net/filter/?category=Pets,recon_page,2026-05-12T19:43:42.784413
92,1,1,1,1,0,0,1,0,57,1,net,200,2,5414,5482.156,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,16,15,1,1,9,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,15,9,0,0,0,0,0,0,0,0.0,0.0001847063169560399,0.125,0.0,0,,20260512_194321,2026-05-12T19:43:43.282279,https://0a05005d032db45a8138fc1100340021.web-security-academy.net/filter/?category=Lifestyle,https://0a05005d032db45a8138fc1100340021.web-security-academy.net/,False,https://0a05005d032db45a8138fc1100340021.web-security-academy.net/filter/?category=Lifestyle,https://0a05005d032db45a8138fc1100340021.web-security-academy.net/,https://0a05005d032db45a8138fc1100340021.web-security-academy.net/filter/?category=Lifestyle,recon_page,2026-05-12T19:43:43.282720
86,1,1,1,1,0,0,1,0,57,1,net,200,2,4020,5206.312,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,6,5,1,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0.0,0.0002487562189054726,0.125,0.0,0,,20260512_194321,2026-05-12T19:43:47.784658,https://0a05005d032db45a8138fc1100340021.web-security-academy.net/product/?productId=8,https://0a05005d032db45a8138fc1100340021.web-security-academy.net/,False,https://0a05005d032db45a8138fc1100340021.web-security-academy.net/product/?productId=8,https://0a05005d032db45a8138fc1100340021.web-security-academy.net/,https://0a05005d032db45a8138fc1100340021.web-security-academy.net/product/?productId=8,recon_page,2026-05-12T19:43:47.784995
87,1,1,1,1,0,0,1,0,57,1,net,200,2,4464,5204.268,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,6,5,1,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0.0,0.00022401433691756272,0.125,0.0,0,,20260512_194321,2026-05-12T19:43:52.982205,https://0a05005d032db45a8138fc1100340021.web-security-academy.net/product/?productId=17,https://0a05005d032db45a8138fc1100340021.web-security-academy.net/,False,https://0a05005d032db45a8138fc1100340021.web-security-academy.net/product/?productId=17,https://0a05005d032db45a8138fc1100340021.web-security-academy.net/,https://0a05005d032db45a8138fc1100340021.web-security-academy.net/product/?productId=17,recon_page,2026-05-12T19:43:52.982549
86,1,1,1,1,0,0,1,0,57,1,net,200,2,4320,5213.367,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,6,5,1,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0.0,0.0002314814814814815,0.125,0.0,0,,20260512_194321,2026-05-12T19:43:57.511824,https://0a05005d032db45a8138fc1100340021.web-security-academy.net/product/?productId=3,https://0a05005d032db45a8138fc1100340021.web-security-academy.net/,False,https://0a05005d032db45a8138fc1100340021.web-security-academy.net/product/?productId=3,https://0a05005d032db45a8138fc1100340021.web-security-academy.net/,https://0a05005d032db45a8138fc1100340021.web-security-academy.net/product/?productId=3,recon_page,2026-05-12T19:43:57.512173
87,1,1,1,1,0,0,1,0,57,1,net,200,2,4318,5242.464,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,6,5,1,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0.0,0.0002315886984715146,0.125,0.0,0,,20260512_194321,2026-05-12T19:44:02.240099,https://0a05005d032db45a8138fc1100340021.web-security-academy.net/product/?productId=20,https://0a05005d032db45a8138fc1100340021.web-security-academy.net/,False,https://0a05005d032db45a8138fc1100340021.web-security-academy.net/product/?productId=20,https://0a05005d032db45a8138fc1100340021.web-security-academy.net/,https://0a05005d032db45a8138fc1100340021.web-security-academy.net/product/?productId=20,recon_page,2026-05-12T19:44:02.240556
87,1,1,1,1,0,0,1,0,57,1,net,200,2,4431,5296.687999999999,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,6,5,1,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0.0,0.00022568269013766644,0.125,0.0,0,,20260512_194321,2026-05-12T19:44:06.526224,https://0a05005d032db45a8138fc1100340021.web-security-academy.net/product/?productId=10,https://0a05005d032db45a8138fc1100340021.web-security-academy.net/,False,https://0a05005d032db45a8138fc1100340021.web-security-academy.net/product/?productId=10,https://0a05005d032db45a8138fc1100340021.web-security-academy.net/,https://0a05005d032db45a8138fc1100340021.web-security-academy.net/product/?productId=10,recon_page,2026-05-12T19:44:06.526816
87,1,1,1,1,0,0,1,0,57,1,net,200,2,3982,5692.008000000001,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,6,5,1,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0.0,0.00025113008538422905,0.125,0.0,0,,20260512_194321,2026-05-12T19:44:11.472869,https://0a05005d032db45a8138fc1100340021.web-security-academy.net/product/?productId=12,https://0a05005d032db45a8138fc1100340021.web-security-academy.net/,False,https://0a05005d032db45a8138fc1100340021.web-security-academy.net/product/?productId=12,https://0a05005d032db45a8138fc1100340021.web-security-academy.net/,https://0a05005d032db45a8138fc1100340021.web-security-academy.net/product/?productId=12,recon_page,2026-05-12T19:44:11.473394
87,1,1,1,1,0,0,1,0,57,1,net,200,2,4501,5210.173,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,6,5,1,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0.0,0.00022217285047767163,0.125,0.0,0,,20260512_194321,2026-05-12T19:44:15.998298,https://0a05005d032db45a8138fc1100340021.web-security-academy.net/product/?productId=19,https://0a05005d032db45a8138fc1100340021.web-security-academy.net/,False,https://0a05005d032db45a8138fc1100340021.web-security-academy.net/product/?productId=19,https://0a05005d032db45a8138fc1100340021.web-security-academy.net/,https://0a05005d032db45a8138fc1100340021.web-security-academy.net/product/?productId=19,recon_page,2026-05-12T19:44:15.999133
