url_length,has_https,path_depth,has_query_params,num_query_params,has_fragment,has_port,subdomain_count,is_ip_address,domain_length,domain_has_hyphens,domain_tld,status_code,status_category,response_size,response_time_ms,is_redirect,redirect_chain_len,total_headers,server_header_present,server_header,x_powered_by_present,content_type,has_cookies,num_cookies,has_cors,cache_control,security_headers_count,has_csp,has_hsts,has_xss_protection,has_frame_options,has_content_type_options,has_forms,form_count,has_inputs,input_count,has_password_input,password_count,has_hidden_input,hidden_count,has_file_upload,file_upload_count,has_search_input,search_count,has_buttons,button_count,has_textarea,textarea_count,has_select,select_count,has_scripts,script_count,inline_script_count,internal_script_count,external_script_count,has_links,link_count,internal_link_count,external_link_count,has_images,image_count,has_meta_tags,meta_count,has_stylesheets,stylesheet_count,has_javascript,has_comments,comment_count,has_title,server_apache,server_nginx,server_iis,tech_php,tech_aspnet,tech_jsp,tech_wordpress,tech_drupal,tech_joomla,has_debug_info,has_error_messages,has_sql_errors,has_file_paths,has_waf,waf_cloudflare,waf_aws,waf_imperva,reflection_detected,csp_header_reflection_detected,has_jwt,jwt_count,has_api_keys,api_key_count,cookie_count,session_cookies,secure_cookie_ratio,httponly_cookie_ratio,samesite_cookie_ratio,redirect_count,has_redirect_chain,final_https,get_form_count,post_form_count,has_login_form,login_form_count,csrf_token_input_count,has_csrf_token,same_origin_form_count,external_form_count,unique_input_names,unique_endpoint_count,parameterized_link_count,api_like_endpoint_count,inline_event_handler_count,email_input_count,url_input_count,mailto_link_count,tel_link_count,body_truncated_for_analysis,input_to_form_ratio,script_to_content_ratio,security_score,interactivity_score,is_vulnerable,vulnerability_type,scan_id,timestamp,target_url,original_url,is_redirect_response,final_url,target_root,page_url,dataset_record_type,saved_at
66,1,0,0,0,0,0,1,0,57,1,net,200,2,10403,597.187,0,3,4,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,24,23,1,1,41,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2,1,1,0,0,0,0,0,0,0,0,0,25,20,0,0,0,0,0,0,0,0.0,9.612611746611554e-05,0.125,0.0,0,,20260517_113051,2026-05-17T11:30:57.156298,https://0a08008c03a2d352812a34e0006f0017.web-security-academy.net/,https://0a08008c03a2d352812a34e0006f0017.web-security-academy.net/,False,https://0a08008c03a2d352812a34e0006f0017.web-security-academy.net/,https://0a08008c03a2d352812a34e0006f0017.web-security-academy.net/,https://0a08008c03a2d352812a34e0006f0017.web-security-academy.net/,recon_page,2026-05-17T11:30:57.156723
66,1,0,0,0,0,0,1,0,57,1,net,200,2,10403,679.091,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,24,23,1,1,41,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,25,20,0,0,0,0,0,0,0,0.0,9.612611746611554e-05,0.125,0.0,0,,20260517_113051,2026-05-17T11:31:32.401870,https://0a08008c03a2d352812a34e0006f0017.web-security-academy.net/,https://0a08008c03a2d352812a34e0006f0017.web-security-academy.net/,False,https://0a08008c03a2d352812a34e0006f0017.web-security-academy.net/,https://0a08008c03a2d352812a34e0006f0017.web-security-academy.net/,https://0a08008c03a2d352812a34e0006f0017.web-security-academy.net/,recon_page,2026-05-17T11:31:32.402140
86,1,1,1,1,0,0,1,0,57,1,net,200,2,4184,892.494,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,5,4,1,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0.0,0.0002390057361376673,0.125,0.0,0,,20260517_113051,2026-05-17T11:35:04.002485,https://0a08008c03a2d352812a34e0006f0017.web-security-academy.net/product/?productId=6,https://0a08008c03a2d352812a34e0006f0017.web-security-academy.net/,False,https://0a08008c03a2d352812a34e0006f0017.web-security-academy.net/product/?productId=6,https://0a08008c03a2d352812a34e0006f0017.web-security-academy.net/,https://0a08008c03a2d352812a34e0006f0017.web-security-academy.net/product/?productId=6,recon_page,2026-05-17T11:35:04.002834
87,1,1,1,1,0,0,1,0,57,1,net,200,2,3982,909.481,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,5,4,1,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0.0,0.00025113008538422905,0.125,0.0,0,,20260517_113051,2026-05-17T11:35:08.379871,https://0a08008c03a2d352812a34e0006f0017.web-security-academy.net/product/?productId=15,https://0a08008c03a2d352812a34e0006f0017.web-security-academy.net/,False,https://0a08008c03a2d352812a34e0006f0017.web-security-academy.net/product/?productId=15,https://0a08008c03a2d352812a34e0006f0017.web-security-academy.net/,https://0a08008c03a2d352812a34e0006f0017.web-security-academy.net/product/?productId=15,recon_page,2026-05-17T11:35:08.380245
86,1,1,1,1,0,0,1,0,57,1,net,200,2,4031,928.71,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,5,4,1,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0.0,0.00024807740014884643,0.125,0.0,0,,20260517_113051,2026-05-17T11:35:12.640484,https://0a08008c03a2d352812a34e0006f0017.web-security-academy.net/product/?productId=5,https://0a08008c03a2d352812a34e0006f0017.web-security-academy.net/,False,https://0a08008c03a2d352812a34e0006f0017.web-security-academy.net/product/?productId=5,https://0a08008c03a2d352812a34e0006f0017.web-security-academy.net/,https://0a08008c03a2d352812a34e0006f0017.web-security-academy.net/product/?productId=5,recon_page,2026-05-17T11:35:12.640851
87,1,1,1,1,0,0,1,0,57,1,net,200,2,4119,924.138,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,5,4,1,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0.0,0.00024277737314882253,0.125,0.0,0,,20260517_113051,2026-05-17T11:35:17.434737,https://0a08008c03a2d352812a34e0006f0017.web-security-academy.net/product/?productId=19,https://0a08008c03a2d352812a34e0006f0017.web-security-academy.net/,False,https://0a08008c03a2d352812a34e0006f0017.web-security-academy.net/product/?productId=19,https://0a08008c03a2d352812a34e0006f0017.web-security-academy.net/,https://0a08008c03a2d352812a34e0006f0017.web-security-academy.net/product/?productId=19,recon_page,2026-05-17T11:35:17.435027
87,1,1,1,1,0,0,1,0,57,1,net,200,2,4052,912.613,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,5,4,1,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0.0,0.00024679170779861795,0.125,0.0,0,,20260517_113051,2026-05-17T11:35:22.381240,https://0a08008c03a2d352812a34e0006f0017.web-security-academy.net/product/?productId=20,https://0a08008c03a2d352812a34e0006f0017.web-security-academy.net/,False,https://0a08008c03a2d352812a34e0006f0017.web-security-academy.net/product/?productId=20,https://0a08008c03a2d352812a34e0006f0017.web-security-academy.net/,https://0a08008c03a2d352812a34e0006f0017.web-security-academy.net/product/?productId=20,recon_page,2026-05-17T11:35:22.381653
86,1,1,1,1,0,0,1,0,57,1,net,200,2,4109,917.593,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,5,4,1,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0.0,0.0002433682161109759,0.125,0.0,0,,20260517_113051,2026-05-17T11:35:26.484566,https://0a08008c03a2d352812a34e0006f0017.web-security-academy.net/product/?productId=4,https://0a08008c03a2d352812a34e0006f0017.web-security-academy.net/,False,https://0a08008c03a2d352812a34e0006f0017.web-security-academy.net/product/?productId=4,https://0a08008c03a2d352812a34e0006f0017.web-security-academy.net/,https://0a08008c03a2d352812a34e0006f0017.web-security-academy.net/product/?productId=4,recon_page,2026-05-17T11:35:26.485511
87,1,1,1,1,0,0,1,0,57,1,net,200,2,4124,957.3399999999999,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,5,4,1,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0.0,0.00024248302618816683,0.125,0.0,0,,20260517_113051,2026-05-17T11:35:30.962724,https://0a08008c03a2d352812a34e0006f0017.web-security-academy.net/product/?productId=11,https://0a08008c03a2d352812a34e0006f0017.web-security-academy.net/,False,https://0a08008c03a2d352812a34e0006f0017.web-security-academy.net/product/?productId=11,https://0a08008c03a2d352812a34e0006f0017.web-security-academy.net/,https://0a08008c03a2d352812a34e0006f0017.web-security-academy.net/product/?productId=11,recon_page,2026-05-17T11:35:30.963253
86,1,1,1,1,0,0,1,0,57,1,net,200,2,4368,1902.471,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,5,4,1,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0.0,0.00022893772893772894,0.125,0.0,0,,20260517_113051,2026-05-17T11:36:20.871104,https://0a08008c03a2d352812a34e0006f0017.web-security-academy.net/product/?productId=3,https://0a08008c03a2d352812a34e0006f0017.web-security-academy.net/,False,https://0a08008c03a2d352812a34e0006f0017.web-security-academy.net/product/?productId=3,https://0a08008c03a2d352812a34e0006f0017.web-security-academy.net/,https://0a08008c03a2d352812a34e0006f0017.web-security-academy.net/product/?productId=3,recon_page,2026-05-17T11:36:20.871622
