url_length,has_https,path_depth,has_query_params,num_query_params,has_fragment,has_port,subdomain_count,is_ip_address,domain_length,domain_has_hyphens,domain_tld,status_code,status_category,response_size,response_time_ms,is_redirect,redirect_chain_len,total_headers,server_header_present,server_header,x_powered_by_present,content_type,has_cookies,num_cookies,has_cors,cache_control,security_headers_count,has_csp,has_hsts,has_xss_protection,has_frame_options,has_content_type_options,has_forms,form_count,has_inputs,input_count,has_password_input,password_count,has_hidden_input,hidden_count,has_file_upload,file_upload_count,has_search_input,search_count,has_buttons,button_count,has_textarea,textarea_count,has_select,select_count,has_scripts,script_count,inline_script_count,internal_script_count,external_script_count,has_links,link_count,internal_link_count,external_link_count,has_images,image_count,has_meta_tags,meta_count,has_stylesheets,stylesheet_count,has_javascript,has_comments,comment_count,has_title,server_apache,server_nginx,server_iis,tech_php,tech_aspnet,tech_jsp,tech_wordpress,tech_drupal,tech_joomla,has_debug_info,has_error_messages,has_sql_errors,has_file_paths,has_waf,waf_cloudflare,waf_aws,waf_imperva,reflection_detected,csp_header_reflection_detected,has_jwt,jwt_count,has_api_keys,api_key_count,cookie_count,session_cookies,secure_cookie_ratio,httponly_cookie_ratio,samesite_cookie_ratio,redirect_count,has_redirect_chain,final_https,get_form_count,post_form_count,has_login_form,login_form_count,csrf_token_input_count,has_csrf_token,same_origin_form_count,external_form_count,unique_input_names,unique_endpoint_count,parameterized_link_count,api_like_endpoint_count,inline_event_handler_count,email_input_count,url_input_count,mailto_link_count,tel_link_count,body_truncated_for_analysis,input_to_form_ratio,script_to_content_ratio,security_score,interactivity_score,is_vulnerable,vulnerability_type,scan_id,timestamp,target_url,original_url,is_redirect_response,final_url,target_root,page_url,dataset_record_type,saved_at
66,1,0,0,0,0,0,1,0,57,1,net,200,2,10643,789.408,0,3,4,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,24,23,1,1,41,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2,1,1,0,0,0,0,0,0,0,0,0,25,20,0,0,0,0,0,0,0,0.0,9.39584703561026e-05,0.125,0.0,0,,20260524_174216,2026-05-24T17:42:22.280902,https://0a0800b2048f1ff48004e4ee00e4000f.web-security-academy.net/,https://0a0800b2048f1ff48004e4ee00e4000f.web-security-academy.net/,False,https://0a0800b2048f1ff48004e4ee00e4000f.web-security-academy.net/,https://0a0800b2048f1ff48004e4ee00e4000f.web-security-academy.net/,https://0a0800b2048f1ff48004e4ee00e4000f.web-security-academy.net/,recon_page,2026-05-24T17:42:22.281293
66,1,0,0,0,0,0,1,0,57,1,net,200,2,10643,743.656,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,24,23,1,1,41,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,25,20,0,0,0,0,0,0,0,0.0,9.39584703561026e-05,0.125,0.0,0,,20260524_174216,2026-05-24T17:42:39.634760,https://0a0800b2048f1ff48004e4ee00e4000f.web-security-academy.net/,https://0a0800b2048f1ff48004e4ee00e4000f.web-security-academy.net/,False,https://0a0800b2048f1ff48004e4ee00e4000f.web-security-academy.net/,https://0a0800b2048f1ff48004e4ee00e4000f.web-security-academy.net/,https://0a0800b2048f1ff48004e4ee00e4000f.web-security-academy.net/,recon_page,2026-05-24T17:42:39.635166
87,1,1,1,1,0,0,1,0,57,1,net,200,2,4745,665.076,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,1,1,1,2,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,3,0,3,0,1,5,4,1,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,1,0,2,8,0,0,0,0,0,0,0,0,2.0,0.0006322444678609062,0.125,0.8429926238145417,0,,20260524_174216,2026-05-24T17:43:27.526609,https://0a0800b2048f1ff48004e4ee00e4000f.web-security-academy.net/product/?productId=13,https://0a0800b2048f1ff48004e4ee00e4000f.web-security-academy.net/,False,https://0a0800b2048f1ff48004e4ee00e4000f.web-security-academy.net/product/?productId=13,https://0a0800b2048f1ff48004e4ee00e4000f.web-security-academy.net/,https://0a0800b2048f1ff48004e4ee00e4000f.web-security-academy.net/product/?productId=13,recon_page,2026-05-24T17:43:27.530582
86,1,1,1,1,0,0,1,0,57,1,net,200,2,4872,687.3320000000001,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,1,1,1,2,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,3,0,3,0,1,5,4,1,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,1,0,2,8,0,0,0,0,0,0,0,0,2.0,0.0006157635467980296,0.125,0.8210180623973727,0,,20260524_174216,2026-05-24T17:43:28.016147,https://0a0800b2048f1ff48004e4ee00e4000f.web-security-academy.net/product/?productId=7,https://0a0800b2048f1ff48004e4ee00e4000f.web-security-academy.net/,False,https://0a0800b2048f1ff48004e4ee00e4000f.web-security-academy.net/product/?productId=7,https://0a0800b2048f1ff48004e4ee00e4000f.web-security-academy.net/,https://0a0800b2048f1ff48004e4ee00e4000f.web-security-academy.net/product/?productId=7,recon_page,2026-05-24T17:43:28.021730
87,1,1,1,1,0,0,1,0,57,1,net,200,2,4788,672.902,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,1,1,1,2,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,3,0,3,0,1,5,4,1,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,1,0,2,8,0,0,0,0,0,0,0,0,2.0,0.0006265664160401002,0.125,0.835421888053467,0,,20260524_174216,2026-05-24T17:43:28.020217,https://0a0800b2048f1ff48004e4ee00e4000f.web-security-academy.net/product/?productId=18,https://0a0800b2048f1ff48004e4ee00e4000f.web-security-academy.net/,False,https://0a0800b2048f1ff48004e4ee00e4000f.web-security-academy.net/product/?productId=18,https://0a0800b2048f1ff48004e4ee00e4000f.web-security-academy.net/,https://0a0800b2048f1ff48004e4ee00e4000f.web-security-academy.net/product/?productId=18,recon_page,2026-05-24T17:43:28.026410
87,1,1,1,1,0,0,1,0,57,1,net,200,2,5150,656.923,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,1,1,1,2,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,3,0,3,0,1,5,4,1,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,1,0,2,8,0,0,0,0,0,0,0,0,2.0,0.0005825242718446602,0.125,0.7766990291262136,0,,20260524_174216,2026-05-24T17:43:28.025465,https://0a0800b2048f1ff48004e4ee00e4000f.web-security-academy.net/product/?productId=19,https://0a0800b2048f1ff48004e4ee00e4000f.web-security-academy.net/,False,https://0a0800b2048f1ff48004e4ee00e4000f.web-security-academy.net/product/?productId=19,https://0a0800b2048f1ff48004e4ee00e4000f.web-security-academy.net/,https://0a0800b2048f1ff48004e4ee00e4000f.web-security-academy.net/product/?productId=19,recon_page,2026-05-24T17:43:28.027974
87,1,1,1,1,0,0,1,0,57,1,net,200,2,4986,657.817,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,1,1,1,2,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,3,0,3,0,1,5,4,1,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,1,0,2,8,0,0,0,0,0,0,0,0,2.0,0.0006016847172081829,0.125,0.8022462896109106,0,,20260524_174216,2026-05-24T17:43:28.032385,https://0a0800b2048f1ff48004e4ee00e4000f.web-security-academy.net/product/?productId=14,https://0a0800b2048f1ff48004e4ee00e4000f.web-security-academy.net/,False,https://0a0800b2048f1ff48004e4ee00e4000f.web-security-academy.net/product/?productId=14,https://0a0800b2048f1ff48004e4ee00e4000f.web-security-academy.net/,https://0a0800b2048f1ff48004e4ee00e4000f.web-security-academy.net/product/?productId=14,recon_page,2026-05-24T17:43:28.036414
86,1,1,1,1,0,0,1,0,57,1,net,200,2,4719,621.99,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,1,1,1,2,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,3,0,3,0,1,5,4,1,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,1,0,2,8,0,0,0,0,0,0,0,0,2.0,0.0006357279084551812,0.125,0.8476372112735748,0,,20260524_174216,2026-05-24T17:43:28.583105,https://0a0800b2048f1ff48004e4ee00e4000f.web-security-academy.net/product/?productId=6,https://0a0800b2048f1ff48004e4ee00e4000f.web-security-academy.net/,False,https://0a0800b2048f1ff48004e4ee00e4000f.web-security-academy.net/product/?productId=6,https://0a0800b2048f1ff48004e4ee00e4000f.web-security-academy.net/,https://0a0800b2048f1ff48004e4ee00e4000f.web-security-academy.net/product/?productId=6,recon_page,2026-05-24T17:43:28.584075
86,1,1,1,1,0,0,1,0,57,1,net,200,2,4454,761.242,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,1,1,1,2,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,3,0,3,0,1,5,4,1,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,1,0,2,8,0,0,0,0,0,0,0,0,2.0,0.000673551863493489,0.125,0.898069151324652,0,,20260524_174216,2026-05-24T17:43:29.133533,https://0a0800b2048f1ff48004e4ee00e4000f.web-security-academy.net/product/?productId=4,https://0a0800b2048f1ff48004e4ee00e4000f.web-security-academy.net/,False,https://0a0800b2048f1ff48004e4ee00e4000f.web-security-academy.net/product/?productId=4,https://0a0800b2048f1ff48004e4ee00e4000f.web-security-academy.net/,https://0a0800b2048f1ff48004e4ee00e4000f.web-security-academy.net/product/?productId=4,recon_page,2026-05-24T17:43:29.138270
86,1,1,1,1,0,0,1,0,57,1,net,200,2,5179,637.6859999999999,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,1,1,1,2,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,3,0,3,0,1,5,4,1,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,1,0,2,8,0,0,0,0,0,0,0,0,2.0,0.0005792624058698591,0.125,0.7723498744931454,0,,20260524_174216,2026-05-24T17:43:29.145765,https://0a0800b2048f1ff48004e4ee00e4000f.web-security-academy.net/product/?productId=5,https://0a0800b2048f1ff48004e4ee00e4000f.web-security-academy.net/,False,https://0a0800b2048f1ff48004e4ee00e4000f.web-security-academy.net/product/?productId=5,https://0a0800b2048f1ff48004e4ee00e4000f.web-security-academy.net/,https://0a0800b2048f1ff48004e4ee00e4000f.web-security-academy.net/product/?productId=5,recon_page,2026-05-24T17:43:29.147190
