url_length,has_https,path_depth,has_query_params,num_query_params,has_fragment,has_port,subdomain_count,is_ip_address,domain_length,domain_has_hyphens,domain_tld,status_code,status_category,response_size,response_time_ms,is_redirect,redirect_chain_len,total_headers,server_header_present,server_header,x_powered_by_present,content_type,has_cookies,num_cookies,has_cors,cache_control,security_headers_count,has_csp,has_hsts,has_xss_protection,has_frame_options,has_content_type_options,has_forms,form_count,has_inputs,input_count,has_password_input,password_count,has_hidden_input,hidden_count,has_file_upload,file_upload_count,has_search_input,search_count,has_buttons,button_count,has_textarea,textarea_count,has_select,select_count,has_scripts,script_count,inline_script_count,internal_script_count,external_script_count,has_links,link_count,internal_link_count,external_link_count,has_images,image_count,has_meta_tags,meta_count,has_stylesheets,stylesheet_count,has_javascript,has_comments,comment_count,has_title,server_apache,server_nginx,server_iis,tech_php,tech_aspnet,tech_jsp,tech_wordpress,tech_drupal,tech_joomla,has_debug_info,has_error_messages,has_sql_errors,has_file_paths,has_waf,waf_cloudflare,waf_aws,waf_imperva,reflection_detected,csp_header_reflection_detected,has_jwt,jwt_count,has_api_keys,api_key_count,cookie_count,session_cookies,secure_cookie_ratio,httponly_cookie_ratio,samesite_cookie_ratio,redirect_count,has_redirect_chain,final_https,get_form_count,post_form_count,has_login_form,login_form_count,csrf_token_input_count,has_csrf_token,same_origin_form_count,external_form_count,unique_input_names,unique_endpoint_count,parameterized_link_count,api_like_endpoint_count,inline_event_handler_count,email_input_count,url_input_count,mailto_link_count,tel_link_count,body_truncated_for_analysis,input_to_form_ratio,script_to_content_ratio,security_score,interactivity_score,is_vulnerable,vulnerability_type,scan_id,timestamp,target_url,original_url,is_redirect_response,final_url,target_root,page_url,dataset_record_type,saved_at
66,1,0,0,0,0,0,1,0,57,1,net,200,2,10406,661.102,0,3,4,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,24,23,1,1,41,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2,1,1,0,0,0,0,0,0,0,0,0,25,20,0,0,0,0,0,0,0,0.0,9.609840476648087e-05,0.125,0.0,0,,20260517_111359,2026-05-17T11:14:04.963073,https://0a10003d03493c4196b302d900dc00f9.web-security-academy.net/,https://0a10003d03493c4196b302d900dc00f9.web-security-academy.net/,False,https://0a10003d03493c4196b302d900dc00f9.web-security-academy.net/,https://0a10003d03493c4196b302d900dc00f9.web-security-academy.net/,https://0a10003d03493c4196b302d900dc00f9.web-security-academy.net/,recon_page,2026-05-17T11:14:04.964196
66,1,0,0,0,0,0,1,0,57,1,net,200,2,10406,823.84,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,24,23,1,1,41,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,25,20,0,0,0,0,0,0,0,0.0,9.609840476648087e-05,0.125,0.0,0,,20260517_111359,2026-05-17T11:16:44.725919,https://0a10003d03493c4196b302d900dc00f9.web-security-academy.net/,https://0a10003d03493c4196b302d900dc00f9.web-security-academy.net/,False,https://0a10003d03493c4196b302d900dc00f9.web-security-academy.net/,https://0a10003d03493c4196b302d900dc00f9.web-security-academy.net/,https://0a10003d03493c4196b302d900dc00f9.web-security-academy.net/,recon_page,2026-05-17T11:16:44.727068
86,1,1,1,1,0,0,1,0,57,1,net,200,2,7184,844.095,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,8,4,4,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0.0,0.00013919821826280623,0.125,0.0,0,,20260517_111359,2026-05-17T11:18:30.530513,https://0a10003d03493c4196b302d900dc00f9.web-security-academy.net/product/?productId=3,https://0a10003d03493c4196b302d900dc00f9.web-security-academy.net/,False,https://0a10003d03493c4196b302d900dc00f9.web-security-academy.net/product/?productId=3,https://0a10003d03493c4196b302d900dc00f9.web-security-academy.net/,https://0a10003d03493c4196b302d900dc00f9.web-security-academy.net/product/?productId=3,recon_page,2026-05-17T11:18:30.531099
86,1,1,1,1,0,0,1,0,57,1,net,200,2,7574,849.2570000000001,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,8,4,4,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0.0,0.0001320306311064167,0.125,0.0,0,,20260517_111359,2026-05-17T11:18:35.243652,https://0a10003d03493c4196b302d900dc00f9.web-security-academy.net/product/?productId=1,https://0a10003d03493c4196b302d900dc00f9.web-security-academy.net/,False,https://0a10003d03493c4196b302d900dc00f9.web-security-academy.net/product/?productId=1,https://0a10003d03493c4196b302d900dc00f9.web-security-academy.net/,https://0a10003d03493c4196b302d900dc00f9.web-security-academy.net/product/?productId=1,recon_page,2026-05-17T11:18:35.244136
87,1,1,1,1,0,0,1,0,57,1,net,200,2,7322,855.649,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,8,4,4,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0.0,0.0001365747063643813,0.125,0.0,0,,20260517_111359,2026-05-17T11:18:39.578138,https://0a10003d03493c4196b302d900dc00f9.web-security-academy.net/product/?productId=19,https://0a10003d03493c4196b302d900dc00f9.web-security-academy.net/,False,https://0a10003d03493c4196b302d900dc00f9.web-security-academy.net/product/?productId=19,https://0a10003d03493c4196b302d900dc00f9.web-security-academy.net/,https://0a10003d03493c4196b302d900dc00f9.web-security-academy.net/product/?productId=19,recon_page,2026-05-17T11:18:39.578506
86,1,1,1,1,0,0,1,0,57,1,net,200,2,7455,757.777,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,8,4,4,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0.0,0.0001341381623071764,0.125,0.0,0,,20260517_111359,2026-05-17T11:18:43.918881,https://0a10003d03493c4196b302d900dc00f9.web-security-academy.net/product/?productId=2,https://0a10003d03493c4196b302d900dc00f9.web-security-academy.net/,False,https://0a10003d03493c4196b302d900dc00f9.web-security-academy.net/product/?productId=2,https://0a10003d03493c4196b302d900dc00f9.web-security-academy.net/,https://0a10003d03493c4196b302d900dc00f9.web-security-academy.net/product/?productId=2,recon_page,2026-05-17T11:18:43.919580
87,1,1,1,1,0,0,1,0,57,1,net,200,2,7279,853.89,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,8,4,4,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0.0,0.00013738150844896276,0.125,0.0,0,,20260517_111359,2026-05-17T11:18:50.924854,https://0a10003d03493c4196b302d900dc00f9.web-security-academy.net/product/?productId=12,https://0a10003d03493c4196b302d900dc00f9.web-security-academy.net/,False,https://0a10003d03493c4196b302d900dc00f9.web-security-academy.net/product/?productId=12,https://0a10003d03493c4196b302d900dc00f9.web-security-academy.net/,https://0a10003d03493c4196b302d900dc00f9.web-security-academy.net/product/?productId=12,recon_page,2026-05-17T11:18:50.925357
87,1,1,1,1,0,0,1,0,57,1,net,200,2,7025,890.597,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,8,4,4,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0.0,0.00014234875444839857,0.125,0.0,0,,20260517_111359,2026-05-17T11:18:57.922324,https://0a10003d03493c4196b302d900dc00f9.web-security-academy.net/product/?productId=14,https://0a10003d03493c4196b302d900dc00f9.web-security-academy.net/,False,https://0a10003d03493c4196b302d900dc00f9.web-security-academy.net/product/?productId=14,https://0a10003d03493c4196b302d900dc00f9.web-security-academy.net/,https://0a10003d03493c4196b302d900dc00f9.web-security-academy.net/product/?productId=14,recon_page,2026-05-17T11:18:57.922962
86,1,1,1,1,0,0,1,0,57,1,net,200,2,7363,909.239,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,8,4,4,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0.0,0.00013581420616596497,0.125,0.0,0,,20260517_111359,2026-05-17T11:19:05.090282,https://0a10003d03493c4196b302d900dc00f9.web-security-academy.net/product/?productId=6,https://0a10003d03493c4196b302d900dc00f9.web-security-academy.net/,False,https://0a10003d03493c4196b302d900dc00f9.web-security-academy.net/product/?productId=6,https://0a10003d03493c4196b302d900dc00f9.web-security-academy.net/,https://0a10003d03493c4196b302d900dc00f9.web-security-academy.net/product/?productId=6,recon_page,2026-05-17T11:19:05.090788
86,1,1,1,1,0,0,1,0,57,1,net,200,2,7279,992.235,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,8,4,4,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0.0,0.00013738150844896276,0.125,0.0,0,,20260517_111359,2026-05-17T11:19:12.485000,https://0a10003d03493c4196b302d900dc00f9.web-security-academy.net/product/?productId=8,https://0a10003d03493c4196b302d900dc00f9.web-security-academy.net/,False,https://0a10003d03493c4196b302d900dc00f9.web-security-academy.net/product/?productId=8,https://0a10003d03493c4196b302d900dc00f9.web-security-academy.net/,https://0a10003d03493c4196b302d900dc00f9.web-security-academy.net/product/?productId=8,recon_page,2026-05-17T11:19:12.485463
