url_length,has_https,path_depth,has_query_params,num_query_params,has_fragment,has_port,subdomain_count,is_ip_address,domain_length,domain_has_hyphens,domain_tld,status_code,status_category,response_size,response_time_ms,is_redirect,redirect_chain_len,total_headers,server_header_present,server_header,x_powered_by_present,content_type,has_cookies,num_cookies,has_cors,cache_control,security_headers_count,has_csp,has_hsts,has_xss_protection,has_frame_options,has_content_type_options,has_forms,form_count,has_inputs,input_count,has_password_input,password_count,has_hidden_input,hidden_count,has_file_upload,file_upload_count,has_search_input,search_count,has_buttons,button_count,has_textarea,textarea_count,has_select,select_count,has_scripts,script_count,inline_script_count,internal_script_count,external_script_count,has_links,link_count,internal_link_count,external_link_count,has_images,image_count,has_meta_tags,meta_count,has_stylesheets,stylesheet_count,has_javascript,has_comments,comment_count,has_title,server_apache,server_nginx,server_iis,tech_php,tech_aspnet,tech_jsp,tech_wordpress,tech_drupal,tech_joomla,has_debug_info,has_error_messages,has_sql_errors,has_file_paths,has_waf,waf_cloudflare,waf_aws,waf_imperva,reflection_detected,csp_header_reflection_detected,has_jwt,jwt_count,has_api_keys,api_key_count,cookie_count,session_cookies,secure_cookie_ratio,httponly_cookie_ratio,samesite_cookie_ratio,redirect_count,has_redirect_chain,final_https,get_form_count,post_form_count,has_login_form,login_form_count,csrf_token_input_count,has_csrf_token,same_origin_form_count,external_form_count,unique_input_names,unique_endpoint_count,parameterized_link_count,api_like_endpoint_count,inline_event_handler_count,email_input_count,url_input_count,mailto_link_count,tel_link_count,body_truncated_for_analysis,input_to_form_ratio,script_to_content_ratio,security_score,interactivity_score,is_vulnerable,vulnerability_type,scan_id,timestamp,target_url,original_url,is_redirect_response,final_url,target_root,page_url,dataset_record_type,saved_at,url,domain,total_vulnerabilities,has_sql_injection,has_xss,has_command_injection,has_path_traversal,has_file_inclusion,vulnerability_score,critical_vuln_count,high_vuln_count,sqlmap_vulns_found,dalfox_vulns_found,commix_vulns_found,tools_used_count,sqlmap_confidence_avg,dalfox_confidence_avg,commix_confidence_avg,used_previous_scan,previous_scan_indicators,scan_hour,scan_day_of_week,prev_has_forms,prev_has_inputs,prev_form_count,prev_input_count,prev_has_debug_info,prev_has_error_messages,prev_technology_php,prev_technology_aspnet,prev_technology_wordpress,prev_security_headers_count,prev_response_size,days_since_last_scan,vuln_density,tool_effectiveness,security_risk_score,input_vulnerability_ratio,previous_scan_accuracy,total_issues,issue_density,has_idor
66,1,0,0,0,0,0,1,0,57,1,net,200,2,8233,699.337,1,1,4,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,21,20,1,1,25,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,21,16,0,0,0,0,0,0,0,0.0,0.0001214624073849,0.125,0.0,0,,20260504_204711,2026-05-04T20:47:12.500647,https://0a1a008e04c059e680d94ec3004800fa.web-security-academy.net/,https://0a1a008e04c059e680d94ec3004800fa.web-security-academy.net/,True,https://0a1a008e04c059e680d94ec3004800fa.web-security-academy.net/,https://0a1a008e04c059e680d94ec3004800fa.web-security-academy.net/,https://0a1a008e04c059e680d94ec3004800fa.web-security-academy.net/,recon_redirect_hop,2026-05-04T20:47:12.510086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,1,0,0,0,0,0,1,0,57,1,net,200,2,8233,699.337,0,3,4,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,21,20,1,1,25,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2,1,1,0,0,0,0,0,0,0,0,0,21,16,0,0,0,0,0,0,0,0.0,0.0001214624073849,0.125,0.0,0,,20260504_204711,2026-05-04T20:47:12.569145,https://0a1a008e04c059e680d94ec3004800fa.web-security-academy.net/,https://0a1a008e04c059e680d94ec3004800fa.web-security-academy.net/,False,https://0a1a008e04c059e680d94ec3004800fa.web-security-academy.net/,https://0a1a008e04c059e680d94ec3004800fa.web-security-academy.net/,https://0a1a008e04c059e680d94ec3004800fa.web-security-academy.net/,recon_page,2026-05-04T20:47:12.571509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,1,0,0,0,0,0,1,0,57,1,net,200,2,8233,734.004,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,21,20,1,1,25,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,21,16,0,0,0,0,0,0,0,0.0,0.0001214624073849,0.125,0.0,0,,20260504_204711,2026-05-04T20:47:30.441335,https://0a1a008e04c059e680d94ec3004800fa.web-security-academy.net/,https://0a1a008e04c059e680d94ec3004800fa.web-security-academy.net/,False,https://0a1a008e04c059e680d94ec3004800fa.web-security-academy.net/,https://0a1a008e04c059e680d94ec3004800fa.web-security-academy.net/,https://0a1a008e04c059e680d94ec3004800fa.web-security-academy.net/,recon_page,2026-05-04T20:47:30.444654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,1,1,1,1,0,0,1,0,57,1,net,200,2,4209,968.817,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,5,4,1,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0.0,0.0002375861249703,0.125,0.0,0,,20260504_204711,2026-05-04T20:47:31.764947,https://0a1a008e04c059e680d94ec3004800fa.web-security-academy.net/product/?productId=16,https://0a1a008e04c059e680d94ec3004800fa.web-security-academy.net/,False,https://0a1a008e04c059e680d94ec3004800fa.web-security-academy.net/product/?productId=16,https://0a1a008e04c059e680d94ec3004800fa.web-security-academy.net/,https://0a1a008e04c059e680d94ec3004800fa.web-security-academy.net/product/?productId=16,recon_page,2026-05-04T20:47:31.779104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,1,1,1,1,0,0,1,0,57,1,net,200,2,4909,966.216,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,13,12,1,1,7,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,0,0,0,0,0,0,0,0.0,0.0002037074760643,0.125,0.0,0,,20260504_204711,2026-05-04T20:47:31.769269,https://0a1a008e04c059e680d94ec3004800fa.web-security-academy.net/filter/?category=Gifts,https://0a1a008e04c059e680d94ec3004800fa.web-security-academy.net/,False,https://0a1a008e04c059e680d94ec3004800fa.web-security-academy.net/filter/?category=Gifts,https://0a1a008e04c059e680d94ec3004800fa.web-security-academy.net/,https://0a1a008e04c059e680d94ec3004800fa.web-security-academy.net/filter/?category=Gifts,recon_page,2026-05-04T20:47:31.781062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,1,1,1,1,0,0,1,0,57,1,net,200,2,4894,954.56,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,13,12,1,1,7,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,0,0,0,0,0,0,0,0.0,0.0002043318348998,0.125,0.0,0,,20260504_204711,2026-05-04T20:47:31.778537,https://0a1a008e04c059e680d94ec3004800fa.web-security-academy.net/filter/?category=Tech+gifts,https://0a1a008e04c059e680d94ec3004800fa.web-security-academy.net/,False,https://0a1a008e04c059e680d94ec3004800fa.web-security-academy.net/filter/?category=Tech+gifts,https://0a1a008e04c059e680d94ec3004800fa.web-security-academy.net/,https://0a1a008e04c059e680d94ec3004800fa.web-security-academy.net/filter/?category=Tech+gifts,recon_page,2026-05-04T20:47:31.791009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,1,1,1,1,0,0,1,0,57,1,net,200,2,4078,954.522,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,5,4,1,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0.0,0.0002452182442373,0.125,0.0,0,,20260504_204711,2026-05-04T20:47:31.773255,https://0a1a008e04c059e680d94ec3004800fa.web-security-academy.net/product/?productId=10,https://0a1a008e04c059e680d94ec3004800fa.web-security-academy.net/,False,https://0a1a008e04c059e680d94ec3004800fa.web-security-academy.net/product/?productId=10,https://0a1a008e04c059e680d94ec3004800fa.web-security-academy.net/,https://0a1a008e04c059e680d94ec3004800fa.web-security-academy.net/product/?productId=10,recon_page,2026-05-04T20:47:31.786088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,1,1,1,1,0,0,1,0,57,1,net,200,2,4061,1041.187,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,5,4,1,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0.0,0.0002462447672986,0.125,0.0,0,,20260504_204711,2026-05-04T20:47:32.089566,https://0a1a008e04c059e680d94ec3004800fa.web-security-academy.net/product/?productId=18,https://0a1a008e04c059e680d94ec3004800fa.web-security-academy.net/,False,https://0a1a008e04c059e680d94ec3004800fa.web-security-academy.net/product/?productId=18,https://0a1a008e04c059e680d94ec3004800fa.web-security-academy.net/,https://0a1a008e04c059e680d94ec3004800fa.web-security-academy.net/product/?productId=18,recon_page,2026-05-04T20:47:32.101301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,1,1,1,1,0,0,1,0,57,1,net,200,2,4282,1071.292,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,5,4,1,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0.0,0.0002335357309668,0.125,0.0,0,,20260504_204711,2026-05-04T20:47:32.095109,https://0a1a008e04c059e680d94ec3004800fa.web-security-academy.net/product/?productId=8,https://0a1a008e04c059e680d94ec3004800fa.web-security-academy.net/,False,https://0a1a008e04c059e680d94ec3004800fa.web-security-academy.net/product/?productId=8,https://0a1a008e04c059e680d94ec3004800fa.web-security-academy.net/,https://0a1a008e04c059e680d94ec3004800fa.web-security-academy.net/product/?productId=8,recon_page,2026-05-04T20:47:32.104020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,1,1,1,1,0,0,1,0,57,1,net,200,2,4233,1073.182,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,5,4,1,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0.0,0.0002362390739428,0.125,0.0,0,,20260504_204711,2026-05-04T20:47:32.153423,https://0a1a008e04c059e680d94ec3004800fa.web-security-academy.net/product/?productId=17,https://0a1a008e04c059e680d94ec3004800fa.web-security-academy.net/,False,https://0a1a008e04c059e680d94ec3004800fa.web-security-academy.net/product/?productId=17,https://0a1a008e04c059e680d94ec3004800fa.web-security-academy.net/,https://0a1a008e04c059e680d94ec3004800fa.web-security-academy.net/product/?productId=17,recon_page,2026-05-04T20:47:32.165510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
