url_length,has_https,path_depth,has_query_params,num_query_params,has_fragment,has_port,subdomain_count,is_ip_address,domain_length,domain_has_hyphens,domain_tld,status_code,status_category,response_size,response_time_ms,is_redirect,redirect_chain_len,total_headers,server_header_present,server_header,x_powered_by_present,content_type,has_cookies,num_cookies,has_cors,cache_control,security_headers_count,has_csp,has_hsts,has_xss_protection,has_frame_options,has_content_type_options,has_forms,form_count,has_inputs,input_count,has_password_input,password_count,has_hidden_input,hidden_count,has_file_upload,file_upload_count,has_search_input,search_count,has_buttons,button_count,has_textarea,textarea_count,has_select,select_count,has_scripts,script_count,inline_script_count,internal_script_count,external_script_count,has_links,link_count,internal_link_count,external_link_count,has_images,image_count,has_meta_tags,meta_count,has_stylesheets,stylesheet_count,has_javascript,has_comments,comment_count,has_title,server_apache,server_nginx,server_iis,tech_php,tech_aspnet,tech_jsp,tech_wordpress,tech_drupal,tech_joomla,has_debug_info,has_error_messages,has_sql_errors,has_file_paths,has_waf,waf_cloudflare,waf_aws,waf_imperva,reflection_detected,csp_header_reflection_detected,has_jwt,jwt_count,has_api_keys,api_key_count,cookie_count,session_cookies,secure_cookie_ratio,httponly_cookie_ratio,samesite_cookie_ratio,redirect_count,has_redirect_chain,final_https,get_form_count,post_form_count,has_login_form,login_form_count,csrf_token_input_count,has_csrf_token,same_origin_form_count,external_form_count,unique_input_names,unique_endpoint_count,parameterized_link_count,api_like_endpoint_count,inline_event_handler_count,email_input_count,url_input_count,mailto_link_count,tel_link_count,body_truncated_for_analysis,input_to_form_ratio,script_to_content_ratio,security_score,interactivity_score,is_vulnerable,vulnerability_type,scan_id,timestamp,target_url,original_url,is_redirect_response,final_url,target_root,page_url,dataset_record_type,saved_at
66,1,0,0,0,0,0,1,0,57,1,net,200,2,8185,604.808,0,3,4,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,21,20,1,1,25,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2,1,1,0,0,0,0,0,0,0,0,0,21,16,0,0,0,0,0,0,0,0.0,0.00012217470983506414,0.125,0.0,0,,20260512_110423,2026-05-12T11:04:28.962950,https://0a2300dc04e3efb180b4491c00d200a0.web-security-academy.net/,https://0a2300dc04e3efb180b4491c00d200a0.web-security-academy.net/,False,https://0a2300dc04e3efb180b4491c00d200a0.web-security-academy.net/,https://0a2300dc04e3efb180b4491c00d200a0.web-security-academy.net/,https://0a2300dc04e3efb180b4491c00d200a0.web-security-academy.net/,recon_page,2026-05-12T11:04:28.965217
66,1,0,0,0,0,0,1,0,57,1,net,200,2,8185,610.129,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,21,20,1,1,25,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,21,16,0,0,0,0,0,0,0,0.0,0.00012217470983506414,0.125,0.0,0,,20260512_110423,2026-05-12T11:04:39.700620,https://0a2300dc04e3efb180b4491c00d200a0.web-security-academy.net/,https://0a2300dc04e3efb180b4491c00d200a0.web-security-academy.net/,False,https://0a2300dc04e3efb180b4491c00d200a0.web-security-academy.net/,https://0a2300dc04e3efb180b4491c00d200a0.web-security-academy.net/,https://0a2300dc04e3efb180b4491c00d200a0.web-security-academy.net/,recon_page,2026-05-12T11:04:39.704266
98,1,1,1,1,0,0,1,0,57,1,net,200,2,4872,1016.351,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,13,12,1,1,7,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,0,0,0,0,0,0,0,0.0,0.00020525451559934318,0.125,0.0,0,,20260512_110423,2026-05-12T11:04:52.508879,https://0a2300dc04e3efb180b4491c00d200a0.web-security-academy.net/filter/?category=Corporate+gifts,https://0a2300dc04e3efb180b4491c00d200a0.web-security-academy.net/,False,https://0a2300dc04e3efb180b4491c00d200a0.web-security-academy.net/filter/?category=Corporate+gifts,https://0a2300dc04e3efb180b4491c00d200a0.web-security-academy.net/,https://0a2300dc04e3efb180b4491c00d200a0.web-security-academy.net/filter/?category=Corporate+gifts,recon_page,2026-05-12T11:04:52.514540
94,1,1,1,1,0,0,1,0,57,1,net,200,2,4883,1040.8319999999999,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,13,12,1,1,7,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,0,0,0,0,0,0,0,0.0,0.00020479213598197828,0.125,0.0,0,,20260512_110423,2026-05-12T11:04:52.502637,https://0a2300dc04e3efb180b4491c00d200a0.web-security-academy.net/filter/?category=Accessories,https://0a2300dc04e3efb180b4491c00d200a0.web-security-academy.net/,False,https://0a2300dc04e3efb180b4491c00d200a0.web-security-academy.net/filter/?category=Accessories,https://0a2300dc04e3efb180b4491c00d200a0.web-security-academy.net/,https://0a2300dc04e3efb180b4491c00d200a0.web-security-academy.net/filter/?category=Accessories,recon_page,2026-05-12T11:04:52.512867
97,1,1,1,1,0,0,1,0,57,1,net,200,2,4871,944.5989999999999,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,13,12,1,1,7,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,0,0,0,0,0,0,0,0.0,0.00020529665366454526,0.125,0.0,0,,20260512_110423,2026-05-12T11:04:53.501470,https://0a2300dc04e3efb180b4491c00d200a0.web-security-academy.net/filter/?category=Food+%26+Drink,https://0a2300dc04e3efb180b4491c00d200a0.web-security-academy.net/,False,https://0a2300dc04e3efb180b4491c00d200a0.web-security-academy.net/filter/?category=Food+%26+Drink,https://0a2300dc04e3efb180b4491c00d200a0.web-security-academy.net/,https://0a2300dc04e3efb180b4491c00d200a0.web-security-academy.net/filter/?category=Food+%26+Drink,recon_page,2026-05-12T11:04:53.504339
87,1,1,1,1,0,0,1,0,57,1,net,200,2,4100,741.3199999999999,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,5,4,1,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0.0,0.00024390243902439024,0.125,0.0,0,,20260512_110423,2026-05-12T11:04:56.325977,https://0a2300dc04e3efb180b4491c00d200a0.web-security-academy.net/product/?productId=15,https://0a2300dc04e3efb180b4491c00d200a0.web-security-academy.net/,False,https://0a2300dc04e3efb180b4491c00d200a0.web-security-academy.net/product/?productId=15,https://0a2300dc04e3efb180b4491c00d200a0.web-security-academy.net/,https://0a2300dc04e3efb180b4491c00d200a0.web-security-academy.net/product/?productId=15,recon_page,2026-05-12T11:04:56.330620
87,1,1,1,1,0,0,1,0,57,1,net,200,2,4281,1014.3100000000001,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,5,4,1,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0.0,0.000233590282644242,0.125,0.0,0,,20260512_110423,2026-05-12T11:05:01.500601,https://0a2300dc04e3efb180b4491c00d200a0.web-security-academy.net/product/?productId=10,https://0a2300dc04e3efb180b4491c00d200a0.web-security-academy.net/,False,https://0a2300dc04e3efb180b4491c00d200a0.web-security-academy.net/product/?productId=10,https://0a2300dc04e3efb180b4491c00d200a0.web-security-academy.net/,https://0a2300dc04e3efb180b4491c00d200a0.web-security-academy.net/product/?productId=10,recon_page,2026-05-12T11:05:01.505010
86,1,1,1,1,0,0,1,0,57,1,net,200,2,4285,1030.896,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,5,4,1,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0.0,0.00023337222870478414,0.125,0.0,0,,20260512_110423,2026-05-12T11:05:06.265897,https://0a2300dc04e3efb180b4491c00d200a0.web-security-academy.net/product/?productId=6,https://0a2300dc04e3efb180b4491c00d200a0.web-security-academy.net/,False,https://0a2300dc04e3efb180b4491c00d200a0.web-security-academy.net/product/?productId=6,https://0a2300dc04e3efb180b4491c00d200a0.web-security-academy.net/,https://0a2300dc04e3efb180b4491c00d200a0.web-security-academy.net/product/?productId=6,recon_page,2026-05-12T11:05:06.268820
87,1,1,1,1,0,0,1,0,57,1,net,200,2,4241,1019.8149999999999,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,5,4,1,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0.0,0.0002357934449422306,0.125,0.0,0,,20260512_110423,2026-05-12T11:05:10.008487,https://0a2300dc04e3efb180b4491c00d200a0.web-security-academy.net/product/?productId=11,https://0a2300dc04e3efb180b4491c00d200a0.web-security-academy.net/,False,https://0a2300dc04e3efb180b4491c00d200a0.web-security-academy.net/product/?productId=11,https://0a2300dc04e3efb180b4491c00d200a0.web-security-academy.net/,https://0a2300dc04e3efb180b4491c00d200a0.web-security-academy.net/product/?productId=11,recon_page,2026-05-12T11:05:10.011249
87,1,1,1,1,0,0,1,0,57,1,net,200,2,3707,1020.8299999999999,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,5,4,1,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0.0,0.0002697599136768276,0.125,0.0,0,,20260512_110423,2026-05-12T11:05:14.569282,https://0a2300dc04e3efb180b4491c00d200a0.web-security-academy.net/product/?productId=12,https://0a2300dc04e3efb180b4491c00d200a0.web-security-academy.net/,False,https://0a2300dc04e3efb180b4491c00d200a0.web-security-academy.net/product/?productId=12,https://0a2300dc04e3efb180b4491c00d200a0.web-security-academy.net/,https://0a2300dc04e3efb180b4491c00d200a0.web-security-academy.net/product/?productId=12,recon_page,2026-05-12T11:05:14.575502
