url_length,has_https,path_depth,has_query_params,num_query_params,has_fragment,has_port,subdomain_count,is_ip_address,domain_length,domain_has_hyphens,domain_tld,status_code,status_category,response_size,response_time_ms,is_redirect,redirect_chain_len,total_headers,server_header_present,server_header,x_powered_by_present,content_type,has_cookies,num_cookies,has_cors,cache_control,security_headers_count,has_csp,has_hsts,has_xss_protection,has_frame_options,has_content_type_options,has_forms,form_count,has_inputs,input_count,has_password_input,password_count,has_hidden_input,hidden_count,has_file_upload,file_upload_count,has_search_input,search_count,has_buttons,button_count,has_textarea,textarea_count,has_select,select_count,has_scripts,script_count,inline_script_count,internal_script_count,external_script_count,has_links,link_count,internal_link_count,external_link_count,has_images,image_count,has_meta_tags,meta_count,has_stylesheets,stylesheet_count,has_javascript,has_comments,comment_count,has_title,server_apache,server_nginx,server_iis,tech_php,tech_aspnet,tech_jsp,tech_wordpress,tech_drupal,tech_joomla,has_debug_info,has_error_messages,has_sql_errors,has_file_paths,has_waf,waf_cloudflare,waf_aws,waf_imperva,reflection_detected,csp_header_reflection_detected,has_jwt,jwt_count,has_api_keys,api_key_count,cookie_count,session_cookies,secure_cookie_ratio,httponly_cookie_ratio,samesite_cookie_ratio,redirect_count,has_redirect_chain,final_https,get_form_count,post_form_count,has_login_form,login_form_count,csrf_token_input_count,has_csrf_token,same_origin_form_count,external_form_count,unique_input_names,unique_endpoint_count,parameterized_link_count,api_like_endpoint_count,inline_event_handler_count,email_input_count,url_input_count,mailto_link_count,tel_link_count,body_truncated_for_analysis,input_to_form_ratio,script_to_content_ratio,security_score,interactivity_score,is_vulnerable,vulnerability_type,scan_id,timestamp,target_url,original_url,is_redirect_response,final_url,target_root,page_url,dataset_record_type,saved_at
66,1,0,0,0,0,0,1,0,57,1,net,200,2,10393,677.336,0,3,4,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,24,23,1,1,41,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2,1,1,0,0,0,0,0,0,0,0,0,25,20,0,0,0,0,0,0,0,0.0,9.62186086789185e-05,0.125,0.0,0,,20260521_224748,2026-05-21T22:47:53.745806,https://0a290018034195bf8037dfe500cb001c.web-security-academy.net/,https://0a290018034195bf8037dfe500cb001c.web-security-academy.net/,False,https://0a290018034195bf8037dfe500cb001c.web-security-academy.net/,https://0a290018034195bf8037dfe500cb001c.web-security-academy.net/,https://0a290018034195bf8037dfe500cb001c.web-security-academy.net/,recon_page,2026-05-21T22:47:53.746175
66,1,0,0,0,0,0,1,0,57,1,net,200,2,10393,2242.812,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,24,23,1,1,41,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,25,20,0,0,0,0,0,0,0,0.0,9.62186086789185e-05,0.125,0.0,0,,20260521_224748,2026-05-21T22:49:13.011620,https://0a290018034195bf8037dfe500cb001c.web-security-academy.net/,https://0a290018034195bf8037dfe500cb001c.web-security-academy.net/,False,https://0a290018034195bf8037dfe500cb001c.web-security-academy.net/,https://0a290018034195bf8037dfe500cb001c.web-security-academy.net/,https://0a290018034195bf8037dfe500cb001c.web-security-academy.net/,recon_page,2026-05-21T22:49:13.012022
86,1,1,1,1,0,0,1,0,57,1,net,200,2,7380,883.394,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,8,4,4,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0.0,0.00013550135501355014,0.125,0.0,0,,20260521_224748,2026-05-21T23:05:49.362375,https://0a290018034195bf8037dfe500cb001c.web-security-academy.net/product/?productId=9,https://0a290018034195bf8037dfe500cb001c.web-security-academy.net/,False,https://0a290018034195bf8037dfe500cb001c.web-security-academy.net/product/?productId=9,https://0a290018034195bf8037dfe500cb001c.web-security-academy.net/,https://0a290018034195bf8037dfe500cb001c.web-security-academy.net/product/?productId=9,recon_page,2026-05-21T23:05:49.367219
87,1,1,1,1,0,0,1,0,57,1,net,200,2,7201,890.309,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,8,4,4,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0.0,0.00013886960144424384,0.125,0.0,0,,20260521_224748,2026-05-21T23:05:49.941970,https://0a290018034195bf8037dfe500cb001c.web-security-academy.net/product/?productId=18,https://0a290018034195bf8037dfe500cb001c.web-security-academy.net/,False,https://0a290018034195bf8037dfe500cb001c.web-security-academy.net/product/?productId=18,https://0a290018034195bf8037dfe500cb001c.web-security-academy.net/,https://0a290018034195bf8037dfe500cb001c.web-security-academy.net/product/?productId=18,recon_page,2026-05-21T23:05:49.942529
86,1,1,1,1,0,0,1,0,57,1,net,200,2,6952,1011.498,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,8,4,4,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0.0,0.00014384349827387802,0.125,0.0,0,,20260521_224748,2026-05-21T23:05:49.955599,https://0a290018034195bf8037dfe500cb001c.web-security-academy.net/product/?productId=8,https://0a290018034195bf8037dfe500cb001c.web-security-academy.net/,False,https://0a290018034195bf8037dfe500cb001c.web-security-academy.net/product/?productId=8,https://0a290018034195bf8037dfe500cb001c.web-security-academy.net/,https://0a290018034195bf8037dfe500cb001c.web-security-academy.net/product/?productId=8,recon_page,2026-05-21T23:05:49.972109
87,1,1,1,1,0,0,1,0,57,1,net,200,2,7592,953.683,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,8,4,4,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0.0,0.00013171759747102212,0.125,0.0,0,,20260521_224748,2026-05-21T23:05:49.960531,https://0a290018034195bf8037dfe500cb001c.web-security-academy.net/product/?productId=16,https://0a290018034195bf8037dfe500cb001c.web-security-academy.net/,False,https://0a290018034195bf8037dfe500cb001c.web-security-academy.net/product/?productId=16,https://0a290018034195bf8037dfe500cb001c.web-security-academy.net/,https://0a290018034195bf8037dfe500cb001c.web-security-academy.net/product/?productId=16,recon_page,2026-05-21T23:05:49.972880
86,1,1,1,1,0,0,1,0,57,1,net,200,2,7298,981.914,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,8,4,4,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0.0,0.00013702384214853386,0.125,0.0,0,,20260521_224748,2026-05-21T23:05:49.971037,https://0a290018034195bf8037dfe500cb001c.web-security-academy.net/product/?productId=5,https://0a290018034195bf8037dfe500cb001c.web-security-academy.net/,False,https://0a290018034195bf8037dfe500cb001c.web-security-academy.net/product/?productId=5,https://0a290018034195bf8037dfe500cb001c.web-security-academy.net/,https://0a290018034195bf8037dfe500cb001c.web-security-academy.net/product/?productId=5,recon_page,2026-05-21T23:05:49.973144
87,1,1,1,1,0,0,1,0,57,1,net,200,2,7003,888.061,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,1,8,4,4,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0.0,0.000285591889190347,0.125,0.0,0,,20260521_224748,2026-05-21T23:05:49.965793,https://0a290018034195bf8037dfe500cb001c.web-security-academy.net/product/?productId=20,https://0a290018034195bf8037dfe500cb001c.web-security-academy.net/,False,https://0a290018034195bf8037dfe500cb001c.web-security-academy.net/product/?productId=20,https://0a290018034195bf8037dfe500cb001c.web-security-academy.net/,https://0a290018034195bf8037dfe500cb001c.web-security-academy.net/product/?productId=20,recon_page,2026-05-21T23:05:49.973402
87,1,1,1,1,0,0,1,0,57,1,net,200,2,6998,927.9960000000001,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,8,4,4,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0.0,0.00014289797084881395,0.125,0.0,0,,20260521_224748,2026-05-21T23:05:50.615287,https://0a290018034195bf8037dfe500cb001c.web-security-academy.net/product/?productId=10,https://0a290018034195bf8037dfe500cb001c.web-security-academy.net/,False,https://0a290018034195bf8037dfe500cb001c.web-security-academy.net/product/?productId=10,https://0a290018034195bf8037dfe500cb001c.web-security-academy.net/,https://0a290018034195bf8037dfe500cb001c.web-security-academy.net/product/?productId=10,recon_page,2026-05-21T23:05:50.616318
87,1,1,1,1,0,0,1,0,57,1,net,200,2,7550,928.3829999999999,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,8,4,4,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0.0,0.00013245033112582781,0.125,0.0,0,,20260521_224748,2026-05-21T23:05:50.635946,https://0a290018034195bf8037dfe500cb001c.web-security-academy.net/product/?productId=14,https://0a290018034195bf8037dfe500cb001c.web-security-academy.net/,False,https://0a290018034195bf8037dfe500cb001c.web-security-academy.net/product/?productId=14,https://0a290018034195bf8037dfe500cb001c.web-security-academy.net/,https://0a290018034195bf8037dfe500cb001c.web-security-academy.net/product/?productId=14,recon_page,2026-05-21T23:05:50.641855
