url_length,has_https,path_depth,has_query_params,num_query_params,has_fragment,has_port,subdomain_count,is_ip_address,domain_length,domain_has_hyphens,domain_tld,status_code,status_category,response_size,response_time_ms,is_redirect,redirect_chain_len,total_headers,server_header_present,server_header,x_powered_by_present,content_type,has_cookies,num_cookies,has_cors,cache_control,security_headers_count,has_csp,has_hsts,has_xss_protection,has_frame_options,has_content_type_options,has_forms,form_count,has_inputs,input_count,has_password_input,password_count,has_hidden_input,hidden_count,has_file_upload,file_upload_count,has_search_input,search_count,has_buttons,button_count,has_textarea,textarea_count,has_select,select_count,has_scripts,script_count,inline_script_count,internal_script_count,external_script_count,has_links,link_count,internal_link_count,external_link_count,has_images,image_count,has_meta_tags,meta_count,has_stylesheets,stylesheet_count,has_javascript,has_comments,comment_count,has_title,server_apache,server_nginx,server_iis,tech_php,tech_aspnet,tech_jsp,tech_wordpress,tech_drupal,tech_joomla,has_debug_info,has_error_messages,has_sql_errors,has_file_paths,has_waf,waf_cloudflare,waf_aws,waf_imperva,reflection_detected,csp_header_reflection_detected,has_jwt,jwt_count,has_api_keys,api_key_count,cookie_count,session_cookies,secure_cookie_ratio,httponly_cookie_ratio,samesite_cookie_ratio,redirect_count,has_redirect_chain,final_https,get_form_count,post_form_count,has_login_form,login_form_count,csrf_token_input_count,has_csrf_token,same_origin_form_count,external_form_count,unique_input_names,unique_endpoint_count,parameterized_link_count,api_like_endpoint_count,inline_event_handler_count,email_input_count,url_input_count,mailto_link_count,tel_link_count,body_truncated_for_analysis,input_to_form_ratio,script_to_content_ratio,security_score,interactivity_score,is_vulnerable,vulnerability_type,scan_id,timestamp,target_url,original_url,is_redirect_response,final_url,target_root,page_url,dataset_record_type,saved_at
66,1,0,0,0,0,0,1,0,57,1,net,200,2,11506,615.07,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,31,30,1,1,41,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,31,25,0,0,0,0,0,0,0,0.0,8.691117677733357e-05,0.125,0.0,0,,20260512_223819,2026-05-12T22:38:38.234918,https://0a3b008d0380e87e86ac49d100700073.web-security-academy.net/,https://0a3b008d0380e87e86ac49d100700073.web-security-academy.net/,False,https://0a3b008d0380e87e86ac49d100700073.web-security-academy.net/,https://0a3b008d0380e87e86ac49d100700073.web-security-academy.net/,https://0a3b008d0380e87e86ac49d100700073.web-security-academy.net/,recon_page,2026-05-12T22:38:38.235737
116,1,1,1,1,0,0,1,0,57,1,net,200,2,5478,690.313,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,16,15,1,1,9,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,15,9,0,0,0,0,0,0,0,0.0,0.00018254837531945966,0.125,0.0,0,,20260512_223819,2026-05-12T22:38:45.476750,https://0a3b008d0380e87e86ac49d100700073.web-security-academy.net/filter/?category=Clothing%2c+shoes+and+accessories,https://0a3b008d0380e87e86ac49d100700073.web-security-academy.net/,False,https://0a3b008d0380e87e86ac49d100700073.web-security-academy.net/filter/?category=Clothing%2c+shoes+and+accessories,https://0a3b008d0380e87e86ac49d100700073.web-security-academy.net/,https://0a3b008d0380e87e86ac49d100700073.web-security-academy.net/filter/?category=Clothing%2c+shoes+and+accessories,recon_page,2026-05-12T22:38:45.477286
93,1,1,1,1,0,0,1,0,57,1,net,200,2,5445,704.625,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,16,15,1,1,9,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,15,9,0,0,0,0,0,0,0,0.0,0.00018365472910927456,0.125,0.0,0,,20260512_223819,2026-05-12T22:38:46.074906,https://0a3b008d0380e87e86ac49d100700073.web-security-academy.net/filter/?category=Tech+gifts,https://0a3b008d0380e87e86ac49d100700073.web-security-academy.net/,False,https://0a3b008d0380e87e86ac49d100700073.web-security-academy.net/filter/?category=Tech+gifts,https://0a3b008d0380e87e86ac49d100700073.web-security-academy.net/,https://0a3b008d0380e87e86ac49d100700073.web-security-academy.net/filter/?category=Tech+gifts,recon_page,2026-05-12T22:38:46.076501
86,1,1,1,1,0,0,1,0,57,1,net,200,2,4444,655.649,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,6,5,1,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0.0,0.000225022502250225,0.125,0.0,0,,20260512_223819,2026-05-12T22:38:50.886161,https://0a3b008d0380e87e86ac49d100700073.web-security-academy.net/product/?productId=9,https://0a3b008d0380e87e86ac49d100700073.web-security-academy.net/,False,https://0a3b008d0380e87e86ac49d100700073.web-security-academy.net/product/?productId=9,https://0a3b008d0380e87e86ac49d100700073.web-security-academy.net/,https://0a3b008d0380e87e86ac49d100700073.web-security-academy.net/product/?productId=9,recon_page,2026-05-12T22:38:50.886850
87,1,1,1,1,0,0,1,0,57,1,net,200,2,4337,668.1519999999999,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,6,5,1,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0.0,0.00023057412958266084,0.125,0.0,0,,20260512_223819,2026-05-12T22:38:56.465747,https://0a3b008d0380e87e86ac49d100700073.web-security-academy.net/product/?productId=19,https://0a3b008d0380e87e86ac49d100700073.web-security-academy.net/,False,https://0a3b008d0380e87e86ac49d100700073.web-security-academy.net/product/?productId=19,https://0a3b008d0380e87e86ac49d100700073.web-security-academy.net/,https://0a3b008d0380e87e86ac49d100700073.web-security-academy.net/product/?productId=19,recon_page,2026-05-12T22:38:56.466650
86,1,1,1,1,0,0,1,0,57,1,net,200,2,4224,691.705,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,6,5,1,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0.0,0.00023674242424242425,0.125,0.0,0,,20260512_223819,2026-05-12T22:39:02.566684,https://0a3b008d0380e87e86ac49d100700073.web-security-academy.net/product/?productId=1,https://0a3b008d0380e87e86ac49d100700073.web-security-academy.net/,False,https://0a3b008d0380e87e86ac49d100700073.web-security-academy.net/product/?productId=1,https://0a3b008d0380e87e86ac49d100700073.web-security-academy.net/,https://0a3b008d0380e87e86ac49d100700073.web-security-academy.net/product/?productId=1,recon_page,2026-05-12T22:39:02.567143
87,1,1,1,1,0,0,1,0,57,1,net,200,2,4245,746.718,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,6,5,1,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0.0,0.00023557126030624264,0.125,0.0,0,,20260512_223819,2026-05-12T22:39:08.071628,https://0a3b008d0380e87e86ac49d100700073.web-security-academy.net/product/?productId=17,https://0a3b008d0380e87e86ac49d100700073.web-security-academy.net/,False,https://0a3b008d0380e87e86ac49d100700073.web-security-academy.net/product/?productId=17,https://0a3b008d0380e87e86ac49d100700073.web-security-academy.net/,https://0a3b008d0380e87e86ac49d100700073.web-security-academy.net/product/?productId=17,recon_page,2026-05-12T22:39:08.072322
87,1,1,1,1,0,0,1,0,57,1,net,200,2,4271,731.497,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,6,5,1,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0.0,0.00023413720440177945,0.125,0.0,0,,20260512_223819,2026-05-12T22:39:12.910774,https://0a3b008d0380e87e86ac49d100700073.web-security-academy.net/product/?productId=14,https://0a3b008d0380e87e86ac49d100700073.web-security-academy.net/,False,https://0a3b008d0380e87e86ac49d100700073.web-security-academy.net/product/?productId=14,https://0a3b008d0380e87e86ac49d100700073.web-security-academy.net/,https://0a3b008d0380e87e86ac49d100700073.web-security-academy.net/product/?productId=14,recon_page,2026-05-12T22:39:12.911339
87,1,1,1,1,0,0,1,0,57,1,net,200,2,3912,755.73,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,6,5,1,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0.0,0.0002556237218813906,0.125,0.0,0,,20260512_223819,2026-05-12T22:39:17.684892,https://0a3b008d0380e87e86ac49d100700073.web-security-academy.net/product/?productId=18,https://0a3b008d0380e87e86ac49d100700073.web-security-academy.net/,False,https://0a3b008d0380e87e86ac49d100700073.web-security-academy.net/product/?productId=18,https://0a3b008d0380e87e86ac49d100700073.web-security-academy.net/,https://0a3b008d0380e87e86ac49d100700073.web-security-academy.net/product/?productId=18,recon_page,2026-05-12T22:39:17.686352
86,1,1,1,1,0,0,1,0,57,1,net,200,2,3996,785.9540000000001,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,6,5,1,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0.0,0.00025025025025025025,0.125,0.0,0,,20260512_223819,2026-05-12T22:39:24.492854,https://0a3b008d0380e87e86ac49d100700073.web-security-academy.net/product/?productId=8,https://0a3b008d0380e87e86ac49d100700073.web-security-academy.net/,False,https://0a3b008d0380e87e86ac49d100700073.web-security-academy.net/product/?productId=8,https://0a3b008d0380e87e86ac49d100700073.web-security-academy.net/,https://0a3b008d0380e87e86ac49d100700073.web-security-academy.net/product/?productId=8,recon_page,2026-05-12T22:39:24.494227
