url_length,has_https,path_depth,has_query_params,num_query_params,has_fragment,has_port,subdomain_count,is_ip_address,domain_length,domain_has_hyphens,domain_tld,status_code,status_category,response_size,response_time_ms,is_redirect,redirect_chain_len,total_headers,server_header_present,server_header,x_powered_by_present,content_type,has_cookies,num_cookies,has_cors,cache_control,security_headers_count,has_csp,has_hsts,has_xss_protection,has_frame_options,has_content_type_options,has_forms,form_count,has_inputs,input_count,has_password_input,password_count,has_hidden_input,hidden_count,has_file_upload,file_upload_count,has_search_input,search_count,has_buttons,button_count,has_textarea,textarea_count,has_select,select_count,has_scripts,script_count,inline_script_count,internal_script_count,external_script_count,has_links,link_count,internal_link_count,external_link_count,has_images,image_count,has_meta_tags,meta_count,has_stylesheets,stylesheet_count,has_javascript,has_comments,comment_count,has_title,server_apache,server_nginx,server_iis,tech_php,tech_aspnet,tech_jsp,tech_wordpress,tech_drupal,tech_joomla,has_debug_info,has_error_messages,has_sql_errors,has_file_paths,has_waf,waf_cloudflare,waf_aws,waf_imperva,reflection_detected,csp_header_reflection_detected,has_jwt,jwt_count,has_api_keys,api_key_count,cookie_count,session_cookies,secure_cookie_ratio,httponly_cookie_ratio,samesite_cookie_ratio,redirect_count,has_redirect_chain,final_https,get_form_count,post_form_count,has_login_form,login_form_count,csrf_token_input_count,has_csrf_token,same_origin_form_count,external_form_count,unique_input_names,unique_endpoint_count,parameterized_link_count,api_like_endpoint_count,inline_event_handler_count,email_input_count,url_input_count,mailto_link_count,tel_link_count,body_truncated_for_analysis,input_to_form_ratio,script_to_content_ratio,security_score,interactivity_score,is_vulnerable,vulnerability_type,scan_id,timestamp,target_url,original_url,is_redirect_response,final_url,target_root,page_url,dataset_record_type,saved_at
66,1,0,0,0,0,0,1,0,57,1,net,200,2,9200,636.096,0,3,4,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,31,30,1,1,1,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2,1,1,0,0,0,0,0,0,0,0,0,31,25,0,0,0,0,0,0,0,0.0,0.00010869565217391305,0.125,0.0,0,,20260512_172421,2026-05-12T17:24:25.801206,https://0a4e001704e0d31682100b58009a00ac.web-security-academy.net/,https://0a4e001704e0d31682100b58009a00ac.web-security-academy.net/,False,https://0a4e001704e0d31682100b58009a00ac.web-security-academy.net/,https://0a4e001704e0d31682100b58009a00ac.web-security-academy.net/,https://0a4e001704e0d31682100b58009a00ac.web-security-academy.net/,recon_page,2026-05-12T17:24:25.801752
66,1,0,0,0,0,0,1,0,57,1,net,200,2,9200,670.326,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,31,30,1,1,1,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,31,25,0,0,0,0,0,0,0,0.0,0.00010869565217391305,0.125,0.0,0,,20260512_172421,2026-05-12T17:24:41.836189,https://0a4e001704e0d31682100b58009a00ac.web-security-academy.net/,https://0a4e001704e0d31682100b58009a00ac.web-security-academy.net/,False,https://0a4e001704e0d31682100b58009a00ac.web-security-academy.net/,https://0a4e001704e0d31682100b58009a00ac.web-security-academy.net/,https://0a4e001704e0d31682100b58009a00ac.web-security-academy.net/,recon_page,2026-05-12T17:24:41.836571
116,1,1,1,1,0,0,1,0,57,1,net,200,2,5094,971.931,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,16,15,1,1,1,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,15,9,0,0,0,0,0,0,0,0.0,0.00019630938358853554,0.125,0.0,0,,20260512_172421,2026-05-12T17:24:56.299402,https://0a4e001704e0d31682100b58009a00ac.web-security-academy.net/filter/?category=Clothing%2c+shoes+and+accessories,https://0a4e001704e0d31682100b58009a00ac.web-security-academy.net/,False,https://0a4e001704e0d31682100b58009a00ac.web-security-academy.net/filter/?category=Clothing%2c+shoes+and+accessories,https://0a4e001704e0d31682100b58009a00ac.web-security-academy.net/,https://0a4e001704e0d31682100b58009a00ac.web-security-academy.net/filter/?category=Clothing%2c+shoes+and+accessories,recon_page,2026-05-12T17:24:56.301014
97,1,1,1,1,0,0,1,0,57,1,net,200,2,5090,958.763,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,16,15,1,1,1,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,15,9,0,0,0,0,0,0,0,0.0,0.00019646365422396856,0.125,0.0,0,,20260512_172421,2026-05-12T17:24:56.714919,https://0a4e001704e0d31682100b58009a00ac.web-security-academy.net/filter/?category=Food+%26+Drink,https://0a4e001704e0d31682100b58009a00ac.web-security-academy.net/,False,https://0a4e001704e0d31682100b58009a00ac.web-security-academy.net/filter/?category=Food+%26+Drink,https://0a4e001704e0d31682100b58009a00ac.web-security-academy.net/,https://0a4e001704e0d31682100b58009a00ac.web-security-academy.net/filter/?category=Food+%26+Drink,recon_page,2026-05-12T17:24:56.715966
88,1,1,1,1,0,0,1,0,57,1,net,200,2,5090,969.624,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,16,15,1,1,1,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,15,9,0,0,0,0,0,0,0,0.0,0.00019646365422396856,0.125,0.0,0,,20260512_172421,2026-05-12T17:24:57.117846,https://0a4e001704e0d31682100b58009a00ac.web-security-academy.net/filter/?category=Gifts,https://0a4e001704e0d31682100b58009a00ac.web-security-academy.net/,False,https://0a4e001704e0d31682100b58009a00ac.web-security-academy.net/filter/?category=Gifts,https://0a4e001704e0d31682100b58009a00ac.web-security-academy.net/,https://0a4e001704e0d31682100b58009a00ac.web-security-academy.net/filter/?category=Gifts,recon_page,2026-05-12T17:24:57.123427
94,1,1,1,1,0,0,1,0,57,1,net,200,2,5082,960.649,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,16,15,1,1,1,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,15,9,0,0,0,0,0,0,0,0.0,0.0001967729240456513,0.125,0.0,0,,20260512_172421,2026-05-12T17:24:57.122639,https://0a4e001704e0d31682100b58009a00ac.web-security-academy.net/filter/?category=Accessories,https://0a4e001704e0d31682100b58009a00ac.web-security-academy.net/,False,https://0a4e001704e0d31682100b58009a00ac.web-security-academy.net/filter/?category=Accessories,https://0a4e001704e0d31682100b58009a00ac.web-security-academy.net/,https://0a4e001704e0d31682100b58009a00ac.web-security-academy.net/filter/?category=Accessories,recon_page,2026-05-12T17:24:57.123877
77,1,1,0,0,0,0,1,0,57,1,net,200,2,3350,633.1139999999999,0,0,6,0,unknown,0,html,1,1,0,0,1,0,0,0,1,0,1,1,1,3,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,5,4,1,0,0,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,0,0,0,0,1,1,1,1,1,1,0,3,7,0,0,0,0,0,0,0,0,3.0,0.00029850746268656717,0.125,1.4925373134328357,0,,20260512_172421,2026-05-12T17:24:58.016078,https://0a4e001704e0d31682100b58009a00ac.web-security-academy.net/my-account/,https://0a4e001704e0d31682100b58009a00ac.web-security-academy.net/,False,https://0a4e001704e0d31682100b58009a00ac.web-security-academy.net/my-account/,https://0a4e001704e0d31682100b58009a00ac.web-security-academy.net/,https://0a4e001704e0d31682100b58009a00ac.web-security-academy.net/my-account/,recon_page,2026-05-12T17:24:58.022269
93,1,1,1,1,0,0,1,0,57,1,net,200,2,5063,1752.0420000000001,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,16,15,1,1,1,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,15,9,0,0,0,0,0,0,0,0.0,0.00019751135690302193,0.125,0.0,0,,20260512_172421,2026-05-12T17:24:58.020297,https://0a4e001704e0d31682100b58009a00ac.web-security-academy.net/filter/?category=Tech+gifts,https://0a4e001704e0d31682100b58009a00ac.web-security-academy.net/,False,https://0a4e001704e0d31682100b58009a00ac.web-security-academy.net/filter/?category=Tech+gifts,https://0a4e001704e0d31682100b58009a00ac.web-security-academy.net/,https://0a4e001704e0d31682100b58009a00ac.web-security-academy.net/filter/?category=Tech+gifts,recon_page,2026-05-12T17:24:58.022796
87,1,1,1,1,0,0,1,0,57,1,net,200,2,4278,821.247,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,6,5,1,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0.0,0.0002337540906965872,0.125,0.0,0,,20260512_172421,2026-05-12T17:25:01.347617,https://0a4e001704e0d31682100b58009a00ac.web-security-academy.net/product/?productId=12,https://0a4e001704e0d31682100b58009a00ac.web-security-academy.net/,False,https://0a4e001704e0d31682100b58009a00ac.web-security-academy.net/product/?productId=12,https://0a4e001704e0d31682100b58009a00ac.web-security-academy.net/,https://0a4e001704e0d31682100b58009a00ac.web-security-academy.net/product/?productId=12,recon_page,2026-05-12T17:25:01.348085
87,1,1,1,1,0,0,1,0,57,1,net,200,2,4167,835.858,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,6,5,1,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0.0,0.00023998080153587713,0.125,0.0,0,,20260512_172421,2026-05-12T17:25:05.804517,https://0a4e001704e0d31682100b58009a00ac.web-security-academy.net/product/?productId=14,https://0a4e001704e0d31682100b58009a00ac.web-security-academy.net/,False,https://0a4e001704e0d31682100b58009a00ac.web-security-academy.net/product/?productId=14,https://0a4e001704e0d31682100b58009a00ac.web-security-academy.net/,https://0a4e001704e0d31682100b58009a00ac.web-security-academy.net/product/?productId=14,recon_page,2026-05-12T17:25:05.804905
