url_length,has_https,path_depth,has_query_params,num_query_params,has_fragment,has_port,subdomain_count,is_ip_address,domain_length,domain_has_hyphens,domain_tld,status_code,status_category,response_size,response_time_ms,is_redirect,redirect_chain_len,total_headers,server_header_present,server_header,x_powered_by_present,content_type,has_cookies,num_cookies,has_cors,cache_control,security_headers_count,has_csp,has_hsts,has_xss_protection,has_frame_options,has_content_type_options,has_forms,form_count,has_inputs,input_count,has_password_input,password_count,has_hidden_input,hidden_count,has_file_upload,file_upload_count,has_search_input,search_count,has_buttons,button_count,has_textarea,textarea_count,has_select,select_count,has_scripts,script_count,inline_script_count,internal_script_count,external_script_count,has_links,link_count,internal_link_count,external_link_count,has_images,image_count,has_meta_tags,meta_count,has_stylesheets,stylesheet_count,has_javascript,has_comments,comment_count,has_title,server_apache,server_nginx,server_iis,tech_php,tech_aspnet,tech_jsp,tech_wordpress,tech_drupal,tech_joomla,has_debug_info,has_error_messages,has_sql_errors,has_file_paths,has_waf,waf_cloudflare,waf_aws,waf_imperva,reflection_detected,csp_header_reflection_detected,has_jwt,jwt_count,has_api_keys,api_key_count,cookie_count,session_cookies,secure_cookie_ratio,httponly_cookie_ratio,samesite_cookie_ratio,redirect_count,has_redirect_chain,final_https,get_form_count,post_form_count,has_login_form,login_form_count,csrf_token_input_count,has_csrf_token,same_origin_form_count,external_form_count,unique_input_names,unique_endpoint_count,parameterized_link_count,api_like_endpoint_count,inline_event_handler_count,email_input_count,url_input_count,mailto_link_count,tel_link_count,body_truncated_for_analysis,input_to_form_ratio,script_to_content_ratio,security_score,interactivity_score,is_vulnerable,vulnerability_type,scan_id,timestamp,target_url,original_url,is_redirect_response,final_url,target_root,page_url,dataset_record_type,saved_at
66,1,0,0,0,0,0,1,0,57,1,net,200,2,10404,644.178,0,3,4,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,24,23,1,1,41,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2,1,1,0,0,0,0,0,0,0,0,0,25,20,0,0,0,0,0,0,0,0.0,9.611687812379854e-05,0.125,0.0,0,,20260520_215821,2026-05-20T21:58:30.783783,https://0a54003f03ac475f82eecfe200700017.web-security-academy.net/,https://0a54003f03ac475f82eecfe200700017.web-security-academy.net/,False,https://0a54003f03ac475f82eecfe200700017.web-security-academy.net/,https://0a54003f03ac475f82eecfe200700017.web-security-academy.net/,https://0a54003f03ac475f82eecfe200700017.web-security-academy.net/,recon_page,2026-05-20T21:58:30.784143
66,1,0,0,0,0,0,1,0,57,1,net,200,2,10404,1020.419,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,24,23,1,1,41,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,25,20,0,0,0,0,0,0,0,0.0,9.611687812379854e-05,0.125,0.0,0,,20260520_215821,2026-05-20T21:59:45.049005,https://0a54003f03ac475f82eecfe200700017.web-security-academy.net/,https://0a54003f03ac475f82eecfe200700017.web-security-academy.net/,False,https://0a54003f03ac475f82eecfe200700017.web-security-academy.net/,https://0a54003f03ac475f82eecfe200700017.web-security-academy.net/,https://0a54003f03ac475f82eecfe200700017.web-security-academy.net/,recon_page,2026-05-20T21:59:45.049355
87,1,1,1,1,0,0,1,0,57,1,net,200,2,6902,1555.652,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,8,4,4,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0.0,0.0001448855404230658,0.125,0.0,0,,20260520_215821,2026-05-20T22:17:46.943855,https://0a54003f03ac475f82eecfe200700017.web-security-academy.net/product/?productId=12,https://0a54003f03ac475f82eecfe200700017.web-security-academy.net/,False,https://0a54003f03ac475f82eecfe200700017.web-security-academy.net/product/?productId=12,https://0a54003f03ac475f82eecfe200700017.web-security-academy.net/,https://0a54003f03ac475f82eecfe200700017.web-security-academy.net/product/?productId=12,recon_page,2026-05-20T22:17:46.944844
87,1,1,1,1,0,0,1,0,57,1,net,200,2,7351,1529.538,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,8,4,4,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0.0,0.00013603591348115902,0.125,0.0,0,,20260520_215821,2026-05-20T22:17:51.943663,https://0a54003f03ac475f82eecfe200700017.web-security-academy.net/product/?productId=20,https://0a54003f03ac475f82eecfe200700017.web-security-academy.net/,False,https://0a54003f03ac475f82eecfe200700017.web-security-academy.net/product/?productId=20,https://0a54003f03ac475f82eecfe200700017.web-security-academy.net/,https://0a54003f03ac475f82eecfe200700017.web-security-academy.net/product/?productId=20,recon_page,2026-05-20T22:17:51.944299
86,1,1,1,1,0,0,1,0,57,1,net,200,2,7309,1554.3400000000001,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,8,4,4,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0.0,0.00013681762210972773,0.125,0.0,0,,20260520_215821,2026-05-20T22:17:56.120539,https://0a54003f03ac475f82eecfe200700017.web-security-academy.net/product/?productId=9,https://0a54003f03ac475f82eecfe200700017.web-security-academy.net/,False,https://0a54003f03ac475f82eecfe200700017.web-security-academy.net/product/?productId=9,https://0a54003f03ac475f82eecfe200700017.web-security-academy.net/,https://0a54003f03ac475f82eecfe200700017.web-security-academy.net/product/?productId=9,recon_page,2026-05-20T22:17:56.121013
86,1,1,1,1,0,0,1,0,57,1,net,200,2,7377,1535.695,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,8,4,4,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0.0,0.00013555645926528398,0.125,0.0,0,,20260520_215821,2026-05-20T22:18:00.443924,https://0a54003f03ac475f82eecfe200700017.web-security-academy.net/product/?productId=7,https://0a54003f03ac475f82eecfe200700017.web-security-academy.net/,False,https://0a54003f03ac475f82eecfe200700017.web-security-academy.net/product/?productId=7,https://0a54003f03ac475f82eecfe200700017.web-security-academy.net/,https://0a54003f03ac475f82eecfe200700017.web-security-academy.net/product/?productId=7,recon_page,2026-05-20T22:18:00.444313
86,1,1,1,1,0,0,1,0,57,1,net,200,2,7169,1534.384,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,8,4,4,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0.0,0.00013948946854512484,0.125,0.0,0,,20260520_215821,2026-05-20T22:18:05.157583,https://0a54003f03ac475f82eecfe200700017.web-security-academy.net/product/?productId=6,https://0a54003f03ac475f82eecfe200700017.web-security-academy.net/,False,https://0a54003f03ac475f82eecfe200700017.web-security-academy.net/product/?productId=6,https://0a54003f03ac475f82eecfe200700017.web-security-academy.net/,https://0a54003f03ac475f82eecfe200700017.web-security-academy.net/product/?productId=6,recon_page,2026-05-20T22:18:05.158063
86,1,1,1,1,0,0,1,0,57,1,net,200,2,7513,1546.4979999999998,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,8,4,4,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0.0,0.0001331026221216558,0.125,0.0,0,,20260520_215821,2026-05-20T22:18:09.410779,https://0a54003f03ac475f82eecfe200700017.web-security-academy.net/product/?productId=1,https://0a54003f03ac475f82eecfe200700017.web-security-academy.net/,False,https://0a54003f03ac475f82eecfe200700017.web-security-academy.net/product/?productId=1,https://0a54003f03ac475f82eecfe200700017.web-security-academy.net/,https://0a54003f03ac475f82eecfe200700017.web-security-academy.net/product/?productId=1,recon_page,2026-05-20T22:18:09.411180
87,1,1,1,1,0,0,1,0,57,1,net,200,2,7054,1554.5610000000001,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,8,4,4,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0.0,0.0001417635384179189,0.125,0.0,0,,20260520_215821,2026-05-20T22:18:14.121161,https://0a54003f03ac475f82eecfe200700017.web-security-academy.net/product/?productId=15,https://0a54003f03ac475f82eecfe200700017.web-security-academy.net/,False,https://0a54003f03ac475f82eecfe200700017.web-security-academy.net/product/?productId=15,https://0a54003f03ac475f82eecfe200700017.web-security-academy.net/,https://0a54003f03ac475f82eecfe200700017.web-security-academy.net/product/?productId=15,recon_page,2026-05-20T22:18:14.121554
87,1,1,1,1,0,0,1,0,57,1,net,200,2,7385,1562.0339999999999,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,8,4,4,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0.0,0.00013540961408259986,0.125,0.0,0,,20260520_215821,2026-05-20T22:18:18.432772,https://0a54003f03ac475f82eecfe200700017.web-security-academy.net/product/?productId=18,https://0a54003f03ac475f82eecfe200700017.web-security-academy.net/,False,https://0a54003f03ac475f82eecfe200700017.web-security-academy.net/product/?productId=18,https://0a54003f03ac475f82eecfe200700017.web-security-academy.net/,https://0a54003f03ac475f82eecfe200700017.web-security-academy.net/product/?productId=18,recon_page,2026-05-20T22:18:18.433089
