url_length,has_https,path_depth,has_query_params,num_query_params,has_fragment,has_port,subdomain_count,is_ip_address,domain_length,domain_has_hyphens,domain_tld,status_code,status_category,response_size,response_time_ms,is_redirect,redirect_chain_len,total_headers,server_header_present,server_header,x_powered_by_present,content_type,has_cookies,num_cookies,has_cors,cache_control,security_headers_count,has_csp,has_hsts,has_xss_protection,has_frame_options,has_content_type_options,has_forms,form_count,has_inputs,input_count,has_password_input,password_count,has_hidden_input,hidden_count,has_file_upload,file_upload_count,has_search_input,search_count,has_buttons,button_count,has_textarea,textarea_count,has_select,select_count,has_scripts,script_count,inline_script_count,internal_script_count,external_script_count,has_links,link_count,internal_link_count,external_link_count,has_images,image_count,has_meta_tags,meta_count,has_stylesheets,stylesheet_count,has_javascript,has_comments,comment_count,has_title,server_apache,server_nginx,server_iis,tech_php,tech_aspnet,tech_jsp,tech_wordpress,tech_drupal,tech_joomla,has_debug_info,has_error_messages,has_sql_errors,has_file_paths,has_waf,waf_cloudflare,waf_aws,waf_imperva,reflection_detected,csp_header_reflection_detected,has_jwt,jwt_count,has_api_keys,api_key_count,cookie_count,session_cookies,secure_cookie_ratio,httponly_cookie_ratio,samesite_cookie_ratio,redirect_count,has_redirect_chain,final_https,get_form_count,post_form_count,has_login_form,login_form_count,csrf_token_input_count,has_csrf_token,same_origin_form_count,external_form_count,unique_input_names,unique_endpoint_count,parameterized_link_count,api_like_endpoint_count,inline_event_handler_count,email_input_count,url_input_count,mailto_link_count,tel_link_count,body_truncated_for_analysis,input_to_form_ratio,script_to_content_ratio,security_score,interactivity_score,is_vulnerable,vulnerability_type,scan_id,timestamp,target_url,original_url,is_redirect_response,final_url,target_root,page_url,dataset_record_type,saved_at
66,1,0,0,0,0,0,1,0,57,1,net,200,2,13262,650.931,0,3,4,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,27,23,4,1,41,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2,1,1,0,0,0,0,0,0,0,0,0,27,22,0,0,0,0,0,0,0,0.0,7.540340823405218e-05,0.125,0.0,0,,20260517_110407,2026-05-17T11:04:13.623970,https://0a5b0059040ffa0b8032c17c00ad00db.web-security-academy.net/,https://0a5b0059040ffa0b8032c17c00ad00db.web-security-academy.net/,False,https://0a5b0059040ffa0b8032c17c00ad00db.web-security-academy.net/,https://0a5b0059040ffa0b8032c17c00ad00db.web-security-academy.net/,https://0a5b0059040ffa0b8032c17c00ad00db.web-security-academy.net/,recon_page,2026-05-17T11:04:13.624413
66,1,0,0,0,0,0,1,0,57,1,net,200,2,13262,807.644,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,27,23,4,1,41,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,27,22,0,0,0,0,0,0,0,0.0,7.540340823405218e-05,0.125,0.0,0,,20260517_110407,2026-05-17T11:04:23.109493,https://0a5b0059040ffa0b8032c17c00ad00db.web-security-academy.net/,https://0a5b0059040ffa0b8032c17c00ad00db.web-security-academy.net/,False,https://0a5b0059040ffa0b8032c17c00ad00db.web-security-academy.net/,https://0a5b0059040ffa0b8032c17c00ad00db.web-security-academy.net/,https://0a5b0059040ffa0b8032c17c00ad00db.web-security-academy.net/,recon_page,2026-05-17T11:04:23.109788
87,1,1,1,1,0,0,1,0,57,1,net,200,2,7075,836.997,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,8,4,4,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0.0,0.0001413427561837456,0.125,0.0,0,,20260517_110407,2026-05-17T11:05:54.084596,https://0a5b0059040ffa0b8032c17c00ad00db.web-security-academy.net/product/?productId=20,https://0a5b0059040ffa0b8032c17c00ad00db.web-security-academy.net/,False,https://0a5b0059040ffa0b8032c17c00ad00db.web-security-academy.net/product/?productId=20,https://0a5b0059040ffa0b8032c17c00ad00db.web-security-academy.net/,https://0a5b0059040ffa0b8032c17c00ad00db.web-security-academy.net/product/?productId=20,recon_page,2026-05-17T11:05:54.087342
87,1,1,1,1,0,0,1,0,57,1,net,200,2,7246,857.914,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,8,4,4,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0.0,0.0001380071763731714,0.125,0.0,0,,20260517_110407,2026-05-17T11:05:58.769707,https://0a5b0059040ffa0b8032c17c00ad00db.web-security-academy.net/product/?productId=17,https://0a5b0059040ffa0b8032c17c00ad00db.web-security-academy.net/,False,https://0a5b0059040ffa0b8032c17c00ad00db.web-security-academy.net/product/?productId=17,https://0a5b0059040ffa0b8032c17c00ad00db.web-security-academy.net/,https://0a5b0059040ffa0b8032c17c00ad00db.web-security-academy.net/product/?productId=17,recon_page,2026-05-17T11:05:58.770382
86,1,1,1,1,0,0,1,0,57,1,net,200,2,6843,863.529,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,8,4,4,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0.0,0.00014613473622680112,0.125,0.0,0,,20260517_110407,2026-05-17T11:06:02.803204,https://0a5b0059040ffa0b8032c17c00ad00db.web-security-academy.net/product/?productId=7,https://0a5b0059040ffa0b8032c17c00ad00db.web-security-academy.net/,False,https://0a5b0059040ffa0b8032c17c00ad00db.web-security-academy.net/product/?productId=7,https://0a5b0059040ffa0b8032c17c00ad00db.web-security-academy.net/,https://0a5b0059040ffa0b8032c17c00ad00db.web-security-academy.net/product/?productId=7,recon_page,2026-05-17T11:06:02.804403
87,1,1,1,1,0,0,1,0,57,1,net,200,2,7140,862.7510000000001,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,8,4,4,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0.0,0.00014005602240896358,0.125,0.0,0,,20260517_110407,2026-05-17T11:06:07.829322,https://0a5b0059040ffa0b8032c17c00ad00db.web-security-academy.net/product/?productId=12,https://0a5b0059040ffa0b8032c17c00ad00db.web-security-academy.net/,False,https://0a5b0059040ffa0b8032c17c00ad00db.web-security-academy.net/product/?productId=12,https://0a5b0059040ffa0b8032c17c00ad00db.web-security-academy.net/,https://0a5b0059040ffa0b8032c17c00ad00db.web-security-academy.net/product/?productId=12,recon_page,2026-05-17T11:06:07.830092
86,1,1,1,1,0,0,1,0,57,1,net,200,2,7210,865.807,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,8,4,4,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0.0,0.00013869625520110957,0.125,0.0,0,,20260517_110407,2026-05-17T11:06:12.203997,https://0a5b0059040ffa0b8032c17c00ad00db.web-security-academy.net/product/?productId=3,https://0a5b0059040ffa0b8032c17c00ad00db.web-security-academy.net/,False,https://0a5b0059040ffa0b8032c17c00ad00db.web-security-academy.net/product/?productId=3,https://0a5b0059040ffa0b8032c17c00ad00db.web-security-academy.net/,https://0a5b0059040ffa0b8032c17c00ad00db.web-security-academy.net/product/?productId=3,recon_page,2026-05-17T11:06:12.204492
86,1,1,1,1,0,0,1,0,57,1,net,200,2,7079,994.7810000000001,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,8,4,4,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0.0,0.00014126289023873428,0.125,0.0,0,,20260517_110407,2026-05-17T11:06:16.788218,https://0a5b0059040ffa0b8032c17c00ad00db.web-security-academy.net/product/?productId=6,https://0a5b0059040ffa0b8032c17c00ad00db.web-security-academy.net/,False,https://0a5b0059040ffa0b8032c17c00ad00db.web-security-academy.net/product/?productId=6,https://0a5b0059040ffa0b8032c17c00ad00db.web-security-academy.net/,https://0a5b0059040ffa0b8032c17c00ad00db.web-security-academy.net/product/?productId=6,recon_page,2026-05-17T11:06:16.788613
86,1,1,1,1,0,0,1,0,57,1,net,200,2,7246,996.182,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,8,4,4,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0.0,0.0001380071763731714,0.125,0.0,0,,20260517_110407,2026-05-17T11:06:21.314762,https://0a5b0059040ffa0b8032c17c00ad00db.web-security-academy.net/product/?productId=5,https://0a5b0059040ffa0b8032c17c00ad00db.web-security-academy.net/,False,https://0a5b0059040ffa0b8032c17c00ad00db.web-security-academy.net/product/?productId=5,https://0a5b0059040ffa0b8032c17c00ad00db.web-security-academy.net/,https://0a5b0059040ffa0b8032c17c00ad00db.web-security-academy.net/product/?productId=5,recon_page,2026-05-17T11:06:21.315275
87,1,1,1,1,0,0,1,0,57,1,net,200,2,7124,998.4730000000001,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,8,4,4,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0.0,0.00014037057832678272,0.125,0.0,0,,20260517_110407,2026-05-17T11:06:25.164422,https://0a5b0059040ffa0b8032c17c00ad00db.web-security-academy.net/product/?productId=13,https://0a5b0059040ffa0b8032c17c00ad00db.web-security-academy.net/,False,https://0a5b0059040ffa0b8032c17c00ad00db.web-security-academy.net/product/?productId=13,https://0a5b0059040ffa0b8032c17c00ad00db.web-security-academy.net/,https://0a5b0059040ffa0b8032c17c00ad00db.web-security-academy.net/product/?productId=13,recon_page,2026-05-17T11:06:25.164817
