url_length,has_https,path_depth,has_query_params,num_query_params,has_fragment,has_port,subdomain_count,is_ip_address,domain_length,domain_has_hyphens,domain_tld,status_code,status_category,response_size,response_time_ms,is_redirect,redirect_chain_len,total_headers,server_header_present,server_header,x_powered_by_present,content_type,has_cookies,num_cookies,has_cors,cache_control,security_headers_count,has_csp,has_hsts,has_xss_protection,has_frame_options,has_content_type_options,has_forms,form_count,has_inputs,input_count,has_password_input,password_count,has_hidden_input,hidden_count,has_file_upload,file_upload_count,has_search_input,search_count,has_buttons,button_count,has_textarea,textarea_count,has_select,select_count,has_scripts,script_count,inline_script_count,internal_script_count,external_script_count,has_links,link_count,internal_link_count,external_link_count,has_images,image_count,has_meta_tags,meta_count,has_stylesheets,stylesheet_count,has_javascript,has_comments,comment_count,has_title,server_apache,server_nginx,server_iis,tech_php,tech_aspnet,tech_jsp,tech_wordpress,tech_drupal,tech_joomla,has_debug_info,has_error_messages,has_sql_errors,has_file_paths,has_waf,waf_cloudflare,waf_aws,waf_imperva,reflection_detected,csp_header_reflection_detected,has_jwt,jwt_count,has_api_keys,api_key_count,cookie_count,session_cookies,secure_cookie_ratio,httponly_cookie_ratio,samesite_cookie_ratio,redirect_count,has_redirect_chain,final_https,get_form_count,post_form_count,has_login_form,login_form_count,csrf_token_input_count,has_csrf_token,same_origin_form_count,external_form_count,unique_input_names,unique_endpoint_count,parameterized_link_count,api_like_endpoint_count,inline_event_handler_count,email_input_count,url_input_count,mailto_link_count,tel_link_count,body_truncated_for_analysis,input_to_form_ratio,script_to_content_ratio,security_score,interactivity_score,is_vulnerable,vulnerability_type,scan_id,timestamp,target_url,original_url,is_redirect_response,final_url,target_root,page_url,dataset_record_type,saved_at
66,1,0,0,0,0,0,1,0,57,1,net,200,2,10386,761.15,0,3,4,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,24,23,1,1,41,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2,1,1,0,0,0,0,0,0,0,0,0,25,20,0,0,0,0,0,0,0,0.0,9.628345850182938e-05,0.125,0.0,0,,20260522_194733,2026-05-22T19:47:38.422121,https://0a5d00be03e830ff804c76d6009b008d.web-security-academy.net/,https://0a5d00be03e830ff804c76d6009b008d.web-security-academy.net/,False,https://0a5d00be03e830ff804c76d6009b008d.web-security-academy.net/,https://0a5d00be03e830ff804c76d6009b008d.web-security-academy.net/,https://0a5d00be03e830ff804c76d6009b008d.web-security-academy.net/,recon_page,2026-05-22T19:47:38.422464
66,1,0,0,0,0,0,1,0,57,1,net,200,2,10386,626.159,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,24,23,1,1,41,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,25,20,0,0,0,0,0,0,0,0.0,9.628345850182938e-05,0.125,0.0,0,,20260522_194733,2026-05-22T19:47:48.458198,https://0a5d00be03e830ff804c76d6009b008d.web-security-academy.net/,https://0a5d00be03e830ff804c76d6009b008d.web-security-academy.net/,False,https://0a5d00be03e830ff804c76d6009b008d.web-security-academy.net/,https://0a5d00be03e830ff804c76d6009b008d.web-security-academy.net/,https://0a5d00be03e830ff804c76d6009b008d.web-security-academy.net/,recon_page,2026-05-22T19:47:48.458482
87,1,1,1,1,0,0,1,0,57,1,net,200,2,7585,873.606,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,1,8,4,4,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0.0,0.00026367831245880025,0.125,0.0,0,,20260522_194733,2026-05-22T20:05:20.406912,https://0a5d00be03e830ff804c76d6009b008d.web-security-academy.net/product/?productId=20,https://0a5d00be03e830ff804c76d6009b008d.web-security-academy.net/,False,https://0a5d00be03e830ff804c76d6009b008d.web-security-academy.net/product/?productId=20,https://0a5d00be03e830ff804c76d6009b008d.web-security-academy.net/,https://0a5d00be03e830ff804c76d6009b008d.web-security-academy.net/product/?productId=20,recon_page,2026-05-22T20:05:20.417515
86,1,1,1,1,0,0,1,0,57,1,net,200,2,7526,865.227,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,8,4,4,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0.0,0.00013287270794578793,0.125,0.0,0,,20260522_194733,2026-05-22T20:05:20.855453,https://0a5d00be03e830ff804c76d6009b008d.web-security-academy.net/product/?productId=7,https://0a5d00be03e830ff804c76d6009b008d.web-security-academy.net/,False,https://0a5d00be03e830ff804c76d6009b008d.web-security-academy.net/product/?productId=7,https://0a5d00be03e830ff804c76d6009b008d.web-security-academy.net/,https://0a5d00be03e830ff804c76d6009b008d.web-security-academy.net/product/?productId=7,recon_page,2026-05-22T20:05:20.856520
87,1,1,1,1,0,0,1,0,57,1,net,200,2,7319,901.923,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,8,4,4,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0.0,0.00013663068725235688,0.125,0.0,0,,20260522_194733,2026-05-22T20:05:21.323307,https://0a5d00be03e830ff804c76d6009b008d.web-security-academy.net/product/?productId=16,https://0a5d00be03e830ff804c76d6009b008d.web-security-academy.net/,False,https://0a5d00be03e830ff804c76d6009b008d.web-security-academy.net/product/?productId=16,https://0a5d00be03e830ff804c76d6009b008d.web-security-academy.net/,https://0a5d00be03e830ff804c76d6009b008d.web-security-academy.net/product/?productId=16,recon_page,2026-05-22T20:05:21.328245
86,1,1,1,1,0,0,1,0,57,1,net,200,2,7211,882.178,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,8,4,4,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0.0,0.00013867702121758425,0.125,0.0,0,,20260522_194733,2026-05-22T20:05:21.332646,https://0a5d00be03e830ff804c76d6009b008d.web-security-academy.net/product/?productId=4,https://0a5d00be03e830ff804c76d6009b008d.web-security-academy.net/,False,https://0a5d00be03e830ff804c76d6009b008d.web-security-academy.net/product/?productId=4,https://0a5d00be03e830ff804c76d6009b008d.web-security-academy.net/,https://0a5d00be03e830ff804c76d6009b008d.web-security-academy.net/product/?productId=4,recon_page,2026-05-22T20:05:21.333062
86,1,1,1,1,0,0,1,0,57,1,net,200,2,7418,1001.7620000000001,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,8,4,4,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0.0,0.00013480722566729578,0.125,0.0,0,,20260522_194733,2026-05-22T20:05:21.327581,https://0a5d00be03e830ff804c76d6009b008d.web-security-academy.net/product/?productId=6,https://0a5d00be03e830ff804c76d6009b008d.web-security-academy.net/,False,https://0a5d00be03e830ff804c76d6009b008d.web-security-academy.net/product/?productId=6,https://0a5d00be03e830ff804c76d6009b008d.web-security-academy.net/,https://0a5d00be03e830ff804c76d6009b008d.web-security-academy.net/product/?productId=6,recon_page,2026-05-22T20:05:21.332792
87,1,1,1,1,0,0,1,0,57,1,net,200,2,7332,880.608,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,8,4,4,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0.0,0.00013638843426077467,0.125,0.0,0,,20260522_194733,2026-05-22T20:05:21.798259,https://0a5d00be03e830ff804c76d6009b008d.web-security-academy.net/product/?productId=14,https://0a5d00be03e830ff804c76d6009b008d.web-security-academy.net/,False,https://0a5d00be03e830ff804c76d6009b008d.web-security-academy.net/product/?productId=14,https://0a5d00be03e830ff804c76d6009b008d.web-security-academy.net/,https://0a5d00be03e830ff804c76d6009b008d.web-security-academy.net/product/?productId=14,recon_page,2026-05-22T20:05:21.810876
86,1,1,1,1,0,0,1,0,57,1,net,200,2,6818,867.632,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,8,4,4,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0.0,0.00014667057788207686,0.125,0.0,0,,20260522_194733,2026-05-22T20:05:21.810734,https://0a5d00be03e830ff804c76d6009b008d.web-security-academy.net/product/?productId=1,https://0a5d00be03e830ff804c76d6009b008d.web-security-academy.net/,False,https://0a5d00be03e830ff804c76d6009b008d.web-security-academy.net/product/?productId=1,https://0a5d00be03e830ff804c76d6009b008d.web-security-academy.net/,https://0a5d00be03e830ff804c76d6009b008d.web-security-academy.net/product/?productId=1,recon_page,2026-05-22T20:05:21.820287
87,1,1,1,1,0,0,1,0,57,1,net,200,2,6943,1002.4029999999999,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,8,4,4,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0.0,0.00014402995823131211,0.125,0.0,0,,20260522_194733,2026-05-22T20:05:21.802468,https://0a5d00be03e830ff804c76d6009b008d.web-security-academy.net/product/?productId=11,https://0a5d00be03e830ff804c76d6009b008d.web-security-academy.net/,False,https://0a5d00be03e830ff804c76d6009b008d.web-security-academy.net/product/?productId=11,https://0a5d00be03e830ff804c76d6009b008d.web-security-academy.net/,https://0a5d00be03e830ff804c76d6009b008d.web-security-academy.net/product/?productId=11,recon_page,2026-05-22T20:05:21.820700
