url_length,has_https,path_depth,has_query_params,num_query_params,has_fragment,has_port,subdomain_count,is_ip_address,domain_length,domain_has_hyphens,domain_tld,status_code,status_category,response_size,response_time_ms,is_redirect,redirect_chain_len,total_headers,server_header_present,server_header,x_powered_by_present,content_type,has_cookies,num_cookies,has_cors,cache_control,security_headers_count,has_csp,has_hsts,has_xss_protection,has_frame_options,has_content_type_options,has_forms,form_count,has_inputs,input_count,has_password_input,password_count,has_hidden_input,hidden_count,has_file_upload,file_upload_count,has_search_input,search_count,has_buttons,button_count,has_textarea,textarea_count,has_select,select_count,has_scripts,script_count,internal_script_count,external_script_count,has_links,link_count,internal_link_count,external_link_count,has_images,image_count,has_meta_tags,meta_count,has_stylesheets,stylesheet_count,has_javascript,has_comments,comment_count,has_title,server_apache,server_nginx,server_iis,tech_php,tech_aspnet,tech_jsp,tech_wordpress,tech_drupal,tech_joomla,has_debug_info,has_error_messages,has_sql_errors,has_file_paths,has_waf,waf_cloudflare,waf_aws,waf_imperva,reflection_detected,csp_header_reflection_detected,has_jwt,has_api_keys,cookie_count,session_cookies,secure_cookie_ratio,httponly_cookie_ratio,samesite_cookie_ratio,redirect_count,has_redirect_chain,final_https,input_to_form_ratio,script_to_content_ratio,security_score,interactivity_score,is_vulnerable,scan_id,timestamp,target_url,original_url,is_redirect_response,final_url,target_root,page_url,dataset_record_type,saved_at
66,1,0,0,0,0,0,1,0,57,1,net,200,2,27684,705.254,1,1,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,9,7,1,1,1,0,0,1,0,1,1,4,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,3.6121947695419734e-05,0.125,0.0,0,20260429_121610,2026-04-29T12:16:11.418691,https://0a5e00c704d0b9f3809a082900ca006d.web-security-academy.net/,https://0a5e00c704d0b9f3809a082900ca006d.web-security-academy.net/,True,https://0a5e00c704d0b9f3809a082900ca006d.web-security-academy.net/,https://0a5e00c704d0b9f3809a082900ca006d.web-security-academy.net/,https://0a5e00c704d0b9f3809a082900ca006d.web-security-academy.net/,recon_redirect_hop,2026-04-29T12:16:11.422826
66,1,0,0,0,0,0,1,0,57,1,net,200,2,27684,705.254,0,3,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,9,7,1,1,1,0,0,1,0,1,1,4,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2,1,1,0,3.6121947695419734e-05,0.125,0.0,0,20260429_121610,2026-04-29T12:16:11.485411,https://0a5e00c704d0b9f3809a082900ca006d.web-security-academy.net/,https://0a5e00c704d0b9f3809a082900ca006d.web-security-academy.net/,False,https://0a5e00c704d0b9f3809a082900ca006d.web-security-academy.net/,https://0a5e00c704d0b9f3809a082900ca006d.web-security-academy.net/,https://0a5e00c704d0b9f3809a082900ca006d.web-security-academy.net/,recon_page,2026-04-29T12:16:11.487439
66,1,0,0,0,0,0,1,0,57,1,net,200,2,27684,667.544,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,9,7,1,1,1,0,0,1,0,1,1,4,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,3.6121947695419734e-05,0.125,0.0,0,20260429_121610,2026-04-29T12:16:52.036835,https://0a5e00c704d0b9f3809a082900ca006d.web-security-academy.net/,https://0a5e00c704d0b9f3809a082900ca006d.web-security-academy.net/,False,https://0a5e00c704d0b9f3809a082900ca006d.web-security-academy.net/,https://0a5e00c704d0b9f3809a082900ca006d.web-security-academy.net/,https://0a5e00c704d0b9f3809a082900ca006d.web-security-academy.net/,recon_page,2026-04-29T12:16:52.040057
97,1,1,1,1,0,0,1,0,57,1,net,200,2,7871,614.5070000000001,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,10,8,1,1,1,0,0,1,0,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.00012704865963664082,0.125,0.0,0,20260429_121610,2026-04-29T12:16:52.986013,https://0a5e00c704d0b9f3809a082900ca006d.web-security-academy.net/filter/?category=Toys+%26+Games,https://0a5e00c704d0b9f3809a082900ca006d.web-security-academy.net/,False,https://0a5e00c704d0b9f3809a082900ca006d.web-security-academy.net/filter/?category=Toys+%26+Games,https://0a5e00c704d0b9f3809a082900ca006d.web-security-academy.net/,https://0a5e00c704d0b9f3809a082900ca006d.web-security-academy.net/filter/?category=Toys+%26+Games,recon_page,2026-04-29T12:16:52.992328
94,1,1,1,1,0,0,1,0,57,1,net,200,2,8029,627.3480000000001,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,10,8,1,1,1,0,0,1,0,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.00012454851164528583,0.125,0.0,0,20260429_121610,2026-04-29T12:16:53.006111,https://0a5e00c704d0b9f3809a082900ca006d.web-security-academy.net/filter/?category=Accessories,https://0a5e00c704d0b9f3809a082900ca006d.web-security-academy.net/,False,https://0a5e00c704d0b9f3809a082900ca006d.web-security-academy.net/filter/?category=Accessories,https://0a5e00c704d0b9f3809a082900ca006d.web-security-academy.net/,https://0a5e00c704d0b9f3809a082900ca006d.web-security-academy.net/filter/?category=Accessories,recon_page,2026-04-29T12:16:53.009402
87,1,1,1,1,0,0,1,0,57,1,net,200,2,9143,705.438,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,10,8,1,1,1,0,0,1,0,1,1,4,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.00010937329104232747,0.125,0.0,0,20260429_121610,2026-04-29T12:16:53.095401,https://0a5e00c704d0b9f3809a082900ca006d.web-security-academy.net/filter/?category=Pets,https://0a5e00c704d0b9f3809a082900ca006d.web-security-academy.net/,False,https://0a5e00c704d0b9f3809a082900ca006d.web-security-academy.net/filter/?category=Pets,https://0a5e00c704d0b9f3809a082900ca006d.web-security-academy.net/,https://0a5e00c704d0b9f3809a082900ca006d.web-security-academy.net/filter/?category=Pets,recon_page,2026-04-29T12:16:53.104016
97,1,1,1,1,0,0,1,0,57,1,net,200,2,9073,705.1279999999999,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,10,8,1,1,1,0,0,1,0,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.00011021712774165106,0.125,0.0,0,20260429_121610,2026-04-29T12:16:53.096532,https://0a5e00c704d0b9f3809a082900ca006d.web-security-academy.net/filter/?category=Food+%26+Drink,https://0a5e00c704d0b9f3809a082900ca006d.web-security-academy.net/,False,https://0a5e00c704d0b9f3809a082900ca006d.web-security-academy.net/filter/?category=Food+%26+Drink,https://0a5e00c704d0b9f3809a082900ca006d.web-security-academy.net/,https://0a5e00c704d0b9f3809a082900ca006d.web-security-academy.net/filter/?category=Food+%26+Drink,recon_page,2026-04-29T12:16:53.106110
93,1,1,1,1,0,0,1,0,57,1,net,200,2,9483,701.5160000000001,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,10,8,1,1,1,0,0,1,0,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.00010545186122535063,0.125,0.0,0,20260429_121610,2026-04-29T12:16:53.103768,https://0a5e00c704d0b9f3809a082900ca006d.web-security-academy.net/filter/?category=Tech+gifts,https://0a5e00c704d0b9f3809a082900ca006d.web-security-academy.net/,False,https://0a5e00c704d0b9f3809a082900ca006d.web-security-academy.net/filter/?category=Tech+gifts,https://0a5e00c704d0b9f3809a082900ca006d.web-security-academy.net/,https://0a5e00c704d0b9f3809a082900ca006d.web-security-academy.net/filter/?category=Tech+gifts,recon_page,2026-04-29T12:16:53.107175
77,1,1,0,0,0,0,1,0,57,1,net,200,2,3310,759.64,0,0,6,0,unknown,0,html,1,1,0,0,1,0,0,0,1,0,1,1,1,3,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,3,1,1,0,0,0,0,1,0,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0,0,0,3.0,0.00030211480362537764,0.125,1.5105740181268883,0,20260429_121610,2026-04-29T12:16:53.765641,https://0a5e00c704d0b9f3809a082900ca006d.web-security-academy.net/my-account/,https://0a5e00c704d0b9f3809a082900ca006d.web-security-academy.net/,False,https://0a5e00c704d0b9f3809a082900ca006d.web-security-academy.net/my-account/,https://0a5e00c704d0b9f3809a082900ca006d.web-security-academy.net/,https://0a5e00c704d0b9f3809a082900ca006d.web-security-academy.net/my-account/,recon_page,2026-04-29T12:16:53.768474
72,1,1,0,0,0,0,1,0,57,1,net,200,2,3310,954.376,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,1,1,1,3,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,3,1,1,0,0,0,0,1,0,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,3.0,0.00030211480362537764,0.125,1.5105740181268883,0,20260429_121610,2026-04-29T12:16:55.344045,https://0a5e00c704d0b9f3809a082900ca006d.web-security-academy.net/login/,https://0a5e00c704d0b9f3809a082900ca006d.web-security-academy.net/,False,https://0a5e00c704d0b9f3809a082900ca006d.web-security-academy.net/login/,https://0a5e00c704d0b9f3809a082900ca006d.web-security-academy.net/,https://0a5e00c704d0b9f3809a082900ca006d.web-security-academy.net/login/,recon_page,2026-04-29T12:16:55.347289
