url_length,has_https,path_depth,has_query_params,num_query_params,has_fragment,has_port,subdomain_count,is_ip_address,domain_length,domain_has_hyphens,domain_tld,status_code,status_category,response_size,response_time_ms,is_redirect,redirect_chain_len,total_headers,server_header_present,server_header,x_powered_by_present,content_type,has_cookies,num_cookies,has_cors,cache_control,security_headers_count,has_csp,has_hsts,has_xss_protection,has_frame_options,has_content_type_options,has_forms,form_count,has_inputs,input_count,has_password_input,password_count,has_hidden_input,hidden_count,has_file_upload,file_upload_count,has_search_input,search_count,has_buttons,button_count,has_textarea,textarea_count,has_select,select_count,has_scripts,script_count,inline_script_count,internal_script_count,external_script_count,has_links,link_count,internal_link_count,external_link_count,has_images,image_count,has_meta_tags,meta_count,has_stylesheets,stylesheet_count,has_javascript,has_comments,comment_count,has_title,server_apache,server_nginx,server_iis,tech_php,tech_aspnet,tech_jsp,tech_wordpress,tech_drupal,tech_joomla,has_debug_info,has_error_messages,has_sql_errors,has_file_paths,has_waf,waf_cloudflare,waf_aws,waf_imperva,reflection_detected,csp_header_reflection_detected,has_jwt,jwt_count,has_api_keys,api_key_count,cookie_count,session_cookies,secure_cookie_ratio,httponly_cookie_ratio,samesite_cookie_ratio,redirect_count,has_redirect_chain,final_https,get_form_count,post_form_count,has_login_form,login_form_count,csrf_token_input_count,has_csrf_token,same_origin_form_count,external_form_count,unique_input_names,unique_endpoint_count,parameterized_link_count,api_like_endpoint_count,inline_event_handler_count,email_input_count,url_input_count,mailto_link_count,tel_link_count,body_truncated_for_analysis,input_to_form_ratio,script_to_content_ratio,security_score,interactivity_score,is_vulnerable,vulnerability_type,scan_id,timestamp,target_url,original_url,is_redirect_response,final_url,target_root,page_url,dataset_record_type,saved_at
66,1,0,0,0,0,0,1,0,57,1,net,200,2,11435,646.241,0,3,4,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,31,30,1,1,41,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2,1,1,0,0,0,0,0,0,0,0,0,31,25,0,0,0,0,0,0,0,0.0,8.745080891998251e-05,0.125,0.0,0,,20260512_184815,2026-05-12T18:48:23.503796,https://0a6200a8046ff2d48c0177ce00ff002a.web-security-academy.net/,https://0a6200a8046ff2d48c0177ce00ff002a.web-security-academy.net/,False,https://0a6200a8046ff2d48c0177ce00ff002a.web-security-academy.net/,https://0a6200a8046ff2d48c0177ce00ff002a.web-security-academy.net/,https://0a6200a8046ff2d48c0177ce00ff002a.web-security-academy.net/,recon_page,2026-05-12T18:48:23.504237
66,1,0,0,0,0,0,1,0,57,1,net,200,2,11435,633.832,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,31,30,1,1,41,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,31,25,0,0,0,0,0,0,0,0.0,8.745080891998251e-05,0.125,0.0,0,,20260512_184815,2026-05-12T18:48:37.733709,https://0a6200a8046ff2d48c0177ce00ff002a.web-security-academy.net/,https://0a6200a8046ff2d48c0177ce00ff002a.web-security-academy.net/,False,https://0a6200a8046ff2d48c0177ce00ff002a.web-security-academy.net/,https://0a6200a8046ff2d48c0177ce00ff002a.web-security-academy.net/,https://0a6200a8046ff2d48c0177ce00ff002a.web-security-academy.net/,recon_page,2026-05-12T18:48:37.734406
97,1,1,1,1,0,0,1,0,57,1,net,200,2,5392,848.324,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,16,15,1,1,9,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,15,9,0,0,0,0,0,0,0,0.0,0.000185459940652819,0.125,0.0,0,,20260512_184815,2026-05-12T18:48:45.321005,https://0a6200a8046ff2d48c0177ce00ff002a.web-security-academy.net/filter/?category=Food+%26+Drink,https://0a6200a8046ff2d48c0177ce00ff002a.web-security-academy.net/,False,https://0a6200a8046ff2d48c0177ce00ff002a.web-security-academy.net/filter/?category=Food+%26+Drink,https://0a6200a8046ff2d48c0177ce00ff002a.web-security-academy.net/,https://0a6200a8046ff2d48c0177ce00ff002a.web-security-academy.net/filter/?category=Food+%26+Drink,recon_page,2026-05-12T18:48:45.321345
86,1,1,1,1,0,0,1,0,57,1,net,200,2,3866,849.017,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,6,5,1,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0.0,0.0002586652871184687,0.125,0.0,0,,20260512_184815,2026-05-12T18:48:51.871884,https://0a6200a8046ff2d48c0177ce00ff002a.web-security-academy.net/product/?productId=1,https://0a6200a8046ff2d48c0177ce00ff002a.web-security-academy.net/,False,https://0a6200a8046ff2d48c0177ce00ff002a.web-security-academy.net/product/?productId=1,https://0a6200a8046ff2d48c0177ce00ff002a.web-security-academy.net/,https://0a6200a8046ff2d48c0177ce00ff002a.web-security-academy.net/product/?productId=1,recon_page,2026-05-12T18:48:51.872300
86,1,1,1,1,0,0,1,0,57,1,net,200,2,4502,944.389,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,6,5,1,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0.0,0.0002221235006663705,0.125,0.0,0,,20260512_184815,2026-05-12T18:48:58.109925,https://0a6200a8046ff2d48c0177ce00ff002a.web-security-academy.net/product/?productId=4,https://0a6200a8046ff2d48c0177ce00ff002a.web-security-academy.net/,False,https://0a6200a8046ff2d48c0177ce00ff002a.web-security-academy.net/product/?productId=4,https://0a6200a8046ff2d48c0177ce00ff002a.web-security-academy.net/,https://0a6200a8046ff2d48c0177ce00ff002a.web-security-academy.net/product/?productId=4,recon_page,2026-05-12T18:48:58.110765
86,1,1,1,1,0,0,1,0,57,1,net,200,2,4275,989.2339999999999,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,6,5,1,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0.0,0.00023391812865497077,0.125,0.0,0,,20260512_184815,2026-05-12T18:49:04.556240,https://0a6200a8046ff2d48c0177ce00ff002a.web-security-academy.net/product/?productId=3,https://0a6200a8046ff2d48c0177ce00ff002a.web-security-academy.net/,False,https://0a6200a8046ff2d48c0177ce00ff002a.web-security-academy.net/product/?productId=3,https://0a6200a8046ff2d48c0177ce00ff002a.web-security-academy.net/,https://0a6200a8046ff2d48c0177ce00ff002a.web-security-academy.net/product/?productId=3,recon_page,2026-05-12T18:49:04.557364
87,1,1,1,1,0,0,1,0,57,1,net,200,2,4396,939.9490000000001,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,6,5,1,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0.0,0.00022747952684258417,0.125,0.0,0,,20260512_184815,2026-05-12T18:49:11.039467,https://0a6200a8046ff2d48c0177ce00ff002a.web-security-academy.net/product/?productId=12,https://0a6200a8046ff2d48c0177ce00ff002a.web-security-academy.net/,False,https://0a6200a8046ff2d48c0177ce00ff002a.web-security-academy.net/product/?productId=12,https://0a6200a8046ff2d48c0177ce00ff002a.web-security-academy.net/,https://0a6200a8046ff2d48c0177ce00ff002a.web-security-academy.net/product/?productId=12,recon_page,2026-05-12T18:49:11.040095
87,1,1,1,1,0,0,1,0,57,1,net,200,2,4250,950.579,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,6,5,1,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0.0,0.00023529411764705883,0.125,0.0,0,,20260512_184815,2026-05-12T18:49:16.670500,https://0a6200a8046ff2d48c0177ce00ff002a.web-security-academy.net/product/?productId=16,https://0a6200a8046ff2d48c0177ce00ff002a.web-security-academy.net/,False,https://0a6200a8046ff2d48c0177ce00ff002a.web-security-academy.net/product/?productId=16,https://0a6200a8046ff2d48c0177ce00ff002a.web-security-academy.net/,https://0a6200a8046ff2d48c0177ce00ff002a.web-security-academy.net/product/?productId=16,recon_page,2026-05-12T18:49:16.671571
86,1,1,1,1,0,0,1,0,57,1,net,200,2,4895,904.2059999999999,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,6,5,1,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0.0,0.00020429009193054137,0.125,0.0,0,,20260512_184815,2026-05-12T18:49:23.829424,https://0a6200a8046ff2d48c0177ce00ff002a.web-security-academy.net/product/?productId=6,https://0a6200a8046ff2d48c0177ce00ff002a.web-security-academy.net/,False,https://0a6200a8046ff2d48c0177ce00ff002a.web-security-academy.net/product/?productId=6,https://0a6200a8046ff2d48c0177ce00ff002a.web-security-academy.net/,https://0a6200a8046ff2d48c0177ce00ff002a.web-security-academy.net/product/?productId=6,recon_page,2026-05-12T18:49:23.830614
86,1,1,1,1,0,0,1,0,57,1,net,200,2,4454,933.11,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,6,5,1,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0.0,0.000224517287831163,0.125,0.0,0,,20260512_184815,2026-05-12T18:49:29.818145,https://0a6200a8046ff2d48c0177ce00ff002a.web-security-academy.net/product/?productId=7,https://0a6200a8046ff2d48c0177ce00ff002a.web-security-academy.net/,False,https://0a6200a8046ff2d48c0177ce00ff002a.web-security-academy.net/product/?productId=7,https://0a6200a8046ff2d48c0177ce00ff002a.web-security-academy.net/,https://0a6200a8046ff2d48c0177ce00ff002a.web-security-academy.net/product/?productId=7,recon_page,2026-05-12T18:49:29.819811
87,1,1,1,1,0,0,1,0,57,1,net,200,2,4294,911.8969999999999,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,6,5,1,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0.0,0.0002328830926874709,0.125,0.0,0,,20260512_184815,2026-05-12T18:49:34.927044,https://0a6200a8046ff2d48c0177ce00ff002a.web-security-academy.net/product/?productId=11,https://0a6200a8046ff2d48c0177ce00ff002a.web-security-academy.net/,False,https://0a6200a8046ff2d48c0177ce00ff002a.web-security-academy.net/product/?productId=11,https://0a6200a8046ff2d48c0177ce00ff002a.web-security-academy.net/,https://0a6200a8046ff2d48c0177ce00ff002a.web-security-academy.net/product/?productId=11,recon_page,2026-05-12T18:49:34.933223
87,1,1,1,1,0,0,1,0,57,1,net,200,2,4199,961.496,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,6,5,1,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0.0,0.00023815194093831864,0.125,0.0,0,,20260512_184815,2026-05-12T18:49:41.737422,https://0a6200a8046ff2d48c0177ce00ff002a.web-security-academy.net/product/?productId=18,https://0a6200a8046ff2d48c0177ce00ff002a.web-security-academy.net/,False,https://0a6200a8046ff2d48c0177ce00ff002a.web-security-academy.net/product/?productId=18,https://0a6200a8046ff2d48c0177ce00ff002a.web-security-academy.net/,https://0a6200a8046ff2d48c0177ce00ff002a.web-security-academy.net/product/?productId=18,recon_page,2026-05-12T18:49:41.737873
86,1,1,1,1,0,0,1,0,57,1,net,200,2,4295,943.611,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,6,5,1,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0.0,0.00023282887077997672,0.125,0.0,0,,20260512_184815,2026-05-12T18:49:47.920207,https://0a6200a8046ff2d48c0177ce00ff002a.web-security-academy.net/product/?productId=8,https://0a6200a8046ff2d48c0177ce00ff002a.web-security-academy.net/,False,https://0a6200a8046ff2d48c0177ce00ff002a.web-security-academy.net/product/?productId=8,https://0a6200a8046ff2d48c0177ce00ff002a.web-security-academy.net/,https://0a6200a8046ff2d48c0177ce00ff002a.web-security-academy.net/product/?productId=8,recon_page,2026-05-12T18:49:47.920811
86,1,1,1,1,0,0,1,0,57,1,net,200,2,4266,1775.563,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,6,5,1,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0.0,0.00023441162681669012,0.125,0.0,0,,20260512_184815,2026-05-12T18:49:54.018002,https://0a6200a8046ff2d48c0177ce00ff002a.web-security-academy.net/product/?productId=5,https://0a6200a8046ff2d48c0177ce00ff002a.web-security-academy.net/,False,https://0a6200a8046ff2d48c0177ce00ff002a.web-security-academy.net/product/?productId=5,https://0a6200a8046ff2d48c0177ce00ff002a.web-security-academy.net/,https://0a6200a8046ff2d48c0177ce00ff002a.web-security-academy.net/product/?productId=5,recon_page,2026-05-12T18:49:54.018511
87,1,1,1,1,0,0,1,0,57,1,net,200,2,3904,1942.452,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,6,5,1,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0.0,0.00025614754098360657,0.125,0.0,0,,20260512_184815,2026-05-12T18:50:13.060778,https://0a6200a8046ff2d48c0177ce00ff002a.web-security-academy.net/product/?productId=13,https://0a6200a8046ff2d48c0177ce00ff002a.web-security-academy.net/,False,https://0a6200a8046ff2d48c0177ce00ff002a.web-security-academy.net/product/?productId=13,https://0a6200a8046ff2d48c0177ce00ff002a.web-security-academy.net/,https://0a6200a8046ff2d48c0177ce00ff002a.web-security-academy.net/product/?productId=13,recon_page,2026-05-12T18:50:13.062015
98,1,1,1,1,0,0,1,0,57,1,net,200,2,5370,924.114,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,16,15,1,1,9,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,15,9,0,0,0,0,0,0,0,0.0,0.00018621973929236498,0.125,0.0,0,,20260512_184815,2026-05-12T18:50:15.586406,https://0a6200a8046ff2d48c0177ce00ff002a.web-security-academy.net/filter/?category=Corporate+gifts,https://0a6200a8046ff2d48c0177ce00ff002a.web-security-academy.net/,False,https://0a6200a8046ff2d48c0177ce00ff002a.web-security-academy.net/filter/?category=Corporate+gifts,https://0a6200a8046ff2d48c0177ce00ff002a.web-security-academy.net/,https://0a6200a8046ff2d48c0177ce00ff002a.web-security-academy.net/filter/?category=Corporate+gifts,recon_page,2026-05-12T18:50:15.588352
93,1,1,1,1,0,0,1,0,57,1,net,200,2,5373,1073.223,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,16,15,1,1,9,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,15,9,0,0,0,0,0,0,0,0.0,0.00018611576400521124,0.125,0.0,0,,20260512_184815,2026-05-12T18:50:16.277325,https://0a6200a8046ff2d48c0177ce00ff002a.web-security-academy.net/filter/?category=Tech+gifts,https://0a6200a8046ff2d48c0177ce00ff002a.web-security-academy.net/,False,https://0a6200a8046ff2d48c0177ce00ff002a.web-security-academy.net/filter/?category=Tech+gifts,https://0a6200a8046ff2d48c0177ce00ff002a.web-security-academy.net/,https://0a6200a8046ff2d48c0177ce00ff002a.web-security-academy.net/filter/?category=Tech+gifts,recon_page,2026-05-12T18:50:16.279219
