url_length,has_https,path_depth,has_query_params,num_query_params,has_fragment,has_port,subdomain_count,is_ip_address,domain_length,domain_has_hyphens,domain_tld,status_code,status_category,response_size,response_time_ms,is_redirect,redirect_chain_len,total_headers,server_header_present,server_header,x_powered_by_present,content_type,has_cookies,num_cookies,has_cors,cache_control,security_headers_count,has_csp,has_hsts,has_xss_protection,has_frame_options,has_content_type_options,has_forms,form_count,has_inputs,input_count,has_password_input,password_count,has_hidden_input,hidden_count,has_file_upload,file_upload_count,has_search_input,search_count,has_buttons,button_count,has_textarea,textarea_count,has_select,select_count,has_scripts,script_count,inline_script_count,internal_script_count,external_script_count,has_links,link_count,internal_link_count,external_link_count,has_images,image_count,has_meta_tags,meta_count,has_stylesheets,stylesheet_count,has_javascript,has_comments,comment_count,has_title,server_apache,server_nginx,server_iis,tech_php,tech_aspnet,tech_jsp,tech_wordpress,tech_drupal,tech_joomla,has_debug_info,has_error_messages,has_sql_errors,has_file_paths,has_waf,waf_cloudflare,waf_aws,waf_imperva,reflection_detected,csp_header_reflection_detected,has_jwt,jwt_count,has_api_keys,api_key_count,cookie_count,session_cookies,secure_cookie_ratio,httponly_cookie_ratio,samesite_cookie_ratio,redirect_count,has_redirect_chain,final_https,get_form_count,post_form_count,has_login_form,login_form_count,csrf_token_input_count,has_csrf_token,same_origin_form_count,external_form_count,unique_input_names,unique_endpoint_count,parameterized_link_count,api_like_endpoint_count,inline_event_handler_count,email_input_count,url_input_count,mailto_link_count,tel_link_count,body_truncated_for_analysis,input_to_form_ratio,script_to_content_ratio,security_score,interactivity_score,is_vulnerable,vulnerability_type,scan_id,timestamp,target_url,original_url,is_redirect_response,final_url,target_root,page_url,dataset_record_type,saved_at
66,1,0,0,0,0,0,1,0,57,1,net,200,2,10672,781.882,0,3,4,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,24,23,1,1,41,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2,1,1,0,0,0,0,0,0,0,0,0,25,20,0,0,0,0,0,0,0,0.0,9.37031484257871e-05,0.125,0.0,0,,20260519_213853,2026-05-19T21:38:59.351697,https://0a6200fa04bfb4098205292700c20049.web-security-academy.net/,https://0a6200fa04bfb4098205292700c20049.web-security-academy.net/,False,https://0a6200fa04bfb4098205292700c20049.web-security-academy.net/,https://0a6200fa04bfb4098205292700c20049.web-security-academy.net/,https://0a6200fa04bfb4098205292700c20049.web-security-academy.net/,recon_page,2026-05-19T21:38:59.352010
66,1,0,0,0,0,0,1,0,57,1,net,200,2,10672,695.087,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,24,23,1,1,41,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,25,20,0,0,0,0,0,0,0,0.0,9.37031484257871e-05,0.125,0.0,0,,20260519_213853,2026-05-19T21:39:27.898353,https://0a6200fa04bfb4098205292700c20049.web-security-academy.net/,https://0a6200fa04bfb4098205292700c20049.web-security-academy.net/,False,https://0a6200fa04bfb4098205292700c20049.web-security-academy.net/,https://0a6200fa04bfb4098205292700c20049.web-security-academy.net/,https://0a6200fa04bfb4098205292700c20049.web-security-academy.net/,recon_page,2026-05-19T21:39:27.898695
86,1,1,1,1,0,0,1,0,57,1,net,200,2,4237,1900.888,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,5,4,1,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0.0,0.0002360160490913382,0.125,0.0,0,,20260519_213853,2026-05-19T21:57:53.018312,https://0a6200fa04bfb4098205292700c20049.web-security-academy.net/product/?productId=4,https://0a6200fa04bfb4098205292700c20049.web-security-academy.net/,False,https://0a6200fa04bfb4098205292700c20049.web-security-academy.net/product/?productId=4,https://0a6200fa04bfb4098205292700c20049.web-security-academy.net/,https://0a6200fa04bfb4098205292700c20049.web-security-academy.net/product/?productId=4,recon_page,2026-05-19T21:57:53.018673
87,1,1,1,1,0,0,1,0,57,1,net,200,2,4259,1896.3719999999998,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,5,4,1,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0.0,0.00023479690068091102,0.125,0.0,0,,20260519_213853,2026-05-19T21:57:57.451330,https://0a6200fa04bfb4098205292700c20049.web-security-academy.net/product/?productId=20,https://0a6200fa04bfb4098205292700c20049.web-security-academy.net/,False,https://0a6200fa04bfb4098205292700c20049.web-security-academy.net/product/?productId=20,https://0a6200fa04bfb4098205292700c20049.web-security-academy.net/,https://0a6200fa04bfb4098205292700c20049.web-security-academy.net/product/?productId=20,recon_page,2026-05-19T21:57:57.451706
87,1,1,1,1,0,0,1,0,57,1,net,200,2,3846,1882.154,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,5,4,1,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0.0,0.00026001040041601667,0.125,0.0,0,,20260519_213853,2026-05-19T21:58:01.753675,https://0a6200fa04bfb4098205292700c20049.web-security-academy.net/product/?productId=19,https://0a6200fa04bfb4098205292700c20049.web-security-academy.net/,False,https://0a6200fa04bfb4098205292700c20049.web-security-academy.net/product/?productId=19,https://0a6200fa04bfb4098205292700c20049.web-security-academy.net/,https://0a6200fa04bfb4098205292700c20049.web-security-academy.net/product/?productId=19,recon_page,2026-05-19T21:58:01.754003
87,1,1,1,1,0,0,1,0,57,1,net,200,2,3784,1790.174,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,5,4,1,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0.0,0.0002642706131078224,0.125,0.0,0,,20260519_213853,2026-05-19T21:58:06.491933,https://0a6200fa04bfb4098205292700c20049.web-security-academy.net/product/?productId=15,https://0a6200fa04bfb4098205292700c20049.web-security-academy.net/,False,https://0a6200fa04bfb4098205292700c20049.web-security-academy.net/product/?productId=15,https://0a6200fa04bfb4098205292700c20049.web-security-academy.net/,https://0a6200fa04bfb4098205292700c20049.web-security-academy.net/product/?productId=15,recon_page,2026-05-19T21:58:06.495320
87,1,1,1,1,0,0,1,0,57,1,net,200,2,4004,1891.716,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,5,4,1,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0.0,0.00024975024975024975,0.125,0.0,0,,20260519_213853,2026-05-19T21:58:10.785523,https://0a6200fa04bfb4098205292700c20049.web-security-academy.net/product/?productId=17,https://0a6200fa04bfb4098205292700c20049.web-security-academy.net/,False,https://0a6200fa04bfb4098205292700c20049.web-security-academy.net/product/?productId=17,https://0a6200fa04bfb4098205292700c20049.web-security-academy.net/,https://0a6200fa04bfb4098205292700c20049.web-security-academy.net/product/?productId=17,recon_page,2026-05-19T21:58:10.785930
86,1,1,1,1,0,0,1,0,57,1,net,200,2,4303,2971.198,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,5,4,1,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0.0,0.00023239600278875203,0.125,0.0,0,,20260519_213853,2026-05-19T21:58:26.382158,https://0a6200fa04bfb4098205292700c20049.web-security-academy.net/product/?productId=9,https://0a6200fa04bfb4098205292700c20049.web-security-academy.net/,False,https://0a6200fa04bfb4098205292700c20049.web-security-academy.net/product/?productId=9,https://0a6200fa04bfb4098205292700c20049.web-security-academy.net/,https://0a6200fa04bfb4098205292700c20049.web-security-academy.net/product/?productId=9,recon_page,2026-05-19T21:58:26.382578
86,1,1,1,1,0,0,1,0,57,1,net,200,2,3797,3290.844,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,5,4,1,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0.0,0.0002633658151171978,0.125,0.0,0,,20260519_213853,2026-05-19T21:58:42.945811,https://0a6200fa04bfb4098205292700c20049.web-security-academy.net/product/?productId=7,https://0a6200fa04bfb4098205292700c20049.web-security-academy.net/,False,https://0a6200fa04bfb4098205292700c20049.web-security-academy.net/product/?productId=7,https://0a6200fa04bfb4098205292700c20049.web-security-academy.net/,https://0a6200fa04bfb4098205292700c20049.web-security-academy.net/product/?productId=7,recon_page,2026-05-19T21:58:42.946281
86,1,1,1,1,0,0,1,0,57,1,net,200,2,4444,3504.33,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,5,4,1,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0.0,0.000225022502250225,0.125,0.0,0,,20260519_213853,2026-05-19T21:58:57.801158,https://0a6200fa04bfb4098205292700c20049.web-security-academy.net/product/?productId=3,https://0a6200fa04bfb4098205292700c20049.web-security-academy.net/,False,https://0a6200fa04bfb4098205292700c20049.web-security-academy.net/product/?productId=3,https://0a6200fa04bfb4098205292700c20049.web-security-academy.net/,https://0a6200fa04bfb4098205292700c20049.web-security-academy.net/product/?productId=3,recon_page,2026-05-19T21:58:57.801527
