url_length,has_https,path_depth,has_query_params,num_query_params,has_fragment,has_port,subdomain_count,is_ip_address,domain_length,domain_has_hyphens,domain_tld,status_code,status_category,response_size,response_time_ms,is_redirect,redirect_chain_len,total_headers,server_header_present,server_header,x_powered_by_present,content_type,has_cookies,num_cookies,has_cors,cache_control,security_headers_count,has_csp,has_hsts,has_xss_protection,has_frame_options,has_content_type_options,has_forms,form_count,has_inputs,input_count,has_password_input,password_count,has_hidden_input,hidden_count,has_file_upload,file_upload_count,has_search_input,search_count,has_buttons,button_count,has_textarea,textarea_count,has_select,select_count,has_scripts,script_count,inline_script_count,internal_script_count,external_script_count,has_links,link_count,internal_link_count,external_link_count,has_images,image_count,has_meta_tags,meta_count,has_stylesheets,stylesheet_count,has_javascript,has_comments,comment_count,has_title,server_apache,server_nginx,server_iis,tech_php,tech_aspnet,tech_jsp,tech_wordpress,tech_drupal,tech_joomla,has_debug_info,has_error_messages,has_sql_errors,has_file_paths,has_waf,waf_cloudflare,waf_aws,waf_imperva,reflection_detected,csp_header_reflection_detected,has_jwt,jwt_count,has_api_keys,api_key_count,cookie_count,session_cookies,secure_cookie_ratio,httponly_cookie_ratio,samesite_cookie_ratio,redirect_count,has_redirect_chain,final_https,get_form_count,post_form_count,has_login_form,login_form_count,csrf_token_input_count,has_csrf_token,same_origin_form_count,external_form_count,unique_input_names,unique_endpoint_count,parameterized_link_count,api_like_endpoint_count,inline_event_handler_count,email_input_count,url_input_count,mailto_link_count,tel_link_count,body_truncated_for_analysis,input_to_form_ratio,script_to_content_ratio,security_score,interactivity_score,is_vulnerable,vulnerability_type,scan_id,timestamp,target_url,original_url,is_redirect_response,final_url,target_root,page_url,dataset_record_type,saved_at
66,1,0,0,0,0,0,1,0,57,1,net,200,2,11504,725.537,0,3,4,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,31,30,1,1,41,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2,1,1,0,0,0,0,0,0,0,0,0,31,25,0,0,0,0,0,0,0,0.0,8.692628650904033e-05,0.125,0.0,0,,20260512_180950,2026-05-12T18:10:00.677200,https://0a68009e04c8b52e807008bb00a20004.web-security-academy.net/,https://0a68009e04c8b52e807008bb00a20004.web-security-academy.net/,False,https://0a68009e04c8b52e807008bb00a20004.web-security-academy.net/,https://0a68009e04c8b52e807008bb00a20004.web-security-academy.net/,https://0a68009e04c8b52e807008bb00a20004.web-security-academy.net/,recon_page,2026-05-12T18:10:00.677698
66,1,0,0,0,0,0,1,0,57,1,net,200,2,11504,837.0419999999999,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,31,30,1,1,41,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,31,25,0,0,0,0,0,0,0,0.0,8.692628650904033e-05,0.125,0.0,0,,20260512_180950,2026-05-12T18:11:06.744589,https://0a68009e04c8b52e807008bb00a20004.web-security-academy.net/,https://0a68009e04c8b52e807008bb00a20004.web-security-academy.net/,False,https://0a68009e04c8b52e807008bb00a20004.web-security-academy.net/,https://0a68009e04c8b52e807008bb00a20004.web-security-academy.net/,https://0a68009e04c8b52e807008bb00a20004.web-security-academy.net/,recon_page,2026-05-12T18:11:06.744936
94,1,1,1,1,0,0,1,0,57,1,net,200,2,5423,875.7439999999999,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,16,15,1,1,9,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,15,9,0,0,0,0,0,0,0,0.0,0.00018439977872026554,0.125,0.0,0,,20260512_180950,2026-05-12T18:11:13.301024,https://0a68009e04c8b52e807008bb00a20004.web-security-academy.net/filter/?category=Accessories,https://0a68009e04c8b52e807008bb00a20004.web-security-academy.net/,False,https://0a68009e04c8b52e807008bb00a20004.web-security-academy.net/filter/?category=Accessories,https://0a68009e04c8b52e807008bb00a20004.web-security-academy.net/,https://0a68009e04c8b52e807008bb00a20004.web-security-academy.net/filter/?category=Accessories,recon_page,2026-05-12T18:11:13.301536
116,1,1,1,1,0,0,1,0,57,1,net,200,2,5451,1181.733,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,16,15,1,1,9,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,15,9,0,0,0,0,0,0,0,0.0,0.000183452577508714,0.125,0.0,0,,20260512_180950,2026-05-12T18:11:13.775894,https://0a68009e04c8b52e807008bb00a20004.web-security-academy.net/filter/?category=Clothing%2c+shoes+and+accessories,https://0a68009e04c8b52e807008bb00a20004.web-security-academy.net/,False,https://0a68009e04c8b52e807008bb00a20004.web-security-academy.net/filter/?category=Clothing%2c+shoes+and+accessories,https://0a68009e04c8b52e807008bb00a20004.web-security-academy.net/,https://0a68009e04c8b52e807008bb00a20004.web-security-academy.net/filter/?category=Clothing%2c+shoes+and+accessories,recon_page,2026-05-12T18:11:13.776372
87,1,1,1,1,0,0,1,0,57,1,net,200,2,4218,929.119,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,6,5,1,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0.0,0.0002370791844476055,0.125,0.0,0,,20260512_180950,2026-05-12T18:11:17.757414,https://0a68009e04c8b52e807008bb00a20004.web-security-academy.net/product/?productId=17,https://0a68009e04c8b52e807008bb00a20004.web-security-academy.net/,False,https://0a68009e04c8b52e807008bb00a20004.web-security-academy.net/product/?productId=17,https://0a68009e04c8b52e807008bb00a20004.web-security-academy.net/,https://0a68009e04c8b52e807008bb00a20004.web-security-academy.net/product/?productId=17,recon_page,2026-05-12T18:11:17.758776
86,1,1,1,1,0,0,1,0,57,1,net,200,2,4180,959.232,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,6,5,1,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0.0,0.00023923444976076556,0.125,0.0,0,,20260512_180950,2026-05-12T18:11:22.197805,https://0a68009e04c8b52e807008bb00a20004.web-security-academy.net/product/?productId=6,https://0a68009e04c8b52e807008bb00a20004.web-security-academy.net/,False,https://0a68009e04c8b52e807008bb00a20004.web-security-academy.net/product/?productId=6,https://0a68009e04c8b52e807008bb00a20004.web-security-academy.net/,https://0a68009e04c8b52e807008bb00a20004.web-security-academy.net/product/?productId=6,recon_page,2026-05-12T18:11:22.198234
86,1,1,1,1,0,0,1,0,57,1,net,200,2,4207,1084.6290000000001,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,6,5,1,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0.0,0.0002376990729736154,0.125,0.0,0,,20260512_180950,2026-05-12T18:11:26.281639,https://0a68009e04c8b52e807008bb00a20004.web-security-academy.net/product/?productId=1,https://0a68009e04c8b52e807008bb00a20004.web-security-academy.net/,False,https://0a68009e04c8b52e807008bb00a20004.web-security-academy.net/product/?productId=1,https://0a68009e04c8b52e807008bb00a20004.web-security-academy.net/,https://0a68009e04c8b52e807008bb00a20004.web-security-academy.net/product/?productId=1,recon_page,2026-05-12T18:11:26.282658
87,1,1,1,1,0,0,1,0,57,1,net,200,2,3729,1152.1680000000001,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,6,5,1,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0.0,0.0002681684097613301,0.125,0.0,0,,20260512_180950,2026-05-12T18:11:30.344402,https://0a68009e04c8b52e807008bb00a20004.web-security-academy.net/product/?productId=19,https://0a68009e04c8b52e807008bb00a20004.web-security-academy.net/,False,https://0a68009e04c8b52e807008bb00a20004.web-security-academy.net/product/?productId=19,https://0a68009e04c8b52e807008bb00a20004.web-security-academy.net/,https://0a68009e04c8b52e807008bb00a20004.web-security-academy.net/product/?productId=19,recon_page,2026-05-12T18:11:30.344902
87,1,1,1,1,0,0,1,0,57,1,net,200,2,4424,1204.016,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,6,5,1,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0.0,0.0002260397830018083,0.125,0.0,0,,20260512_180950,2026-05-12T18:11:34.969498,https://0a68009e04c8b52e807008bb00a20004.web-security-academy.net/product/?productId=14,https://0a68009e04c8b52e807008bb00a20004.web-security-academy.net/,False,https://0a68009e04c8b52e807008bb00a20004.web-security-academy.net/product/?productId=14,https://0a68009e04c8b52e807008bb00a20004.web-security-academy.net/,https://0a68009e04c8b52e807008bb00a20004.web-security-academy.net/product/?productId=14,recon_page,2026-05-12T18:11:34.969917
87,1,1,1,1,0,0,1,0,57,1,net,200,2,3994,1322.327,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,6,5,1,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0.0,0.0002503755633450175,0.125,0.0,0,,20260512_180950,2026-05-12T18:11:40.409793,https://0a68009e04c8b52e807008bb00a20004.web-security-academy.net/product/?productId=10,https://0a68009e04c8b52e807008bb00a20004.web-security-academy.net/,False,https://0a68009e04c8b52e807008bb00a20004.web-security-academy.net/product/?productId=10,https://0a68009e04c8b52e807008bb00a20004.web-security-academy.net/,https://0a68009e04c8b52e807008bb00a20004.web-security-academy.net/product/?productId=10,recon_page,2026-05-12T18:11:40.410172
