url_length,has_https,path_depth,has_query_params,num_query_params,has_fragment,has_port,subdomain_count,is_ip_address,domain_length,domain_has_hyphens,domain_tld,status_code,status_category,response_size,response_time_ms,is_redirect,redirect_chain_len,total_headers,server_header_present,server_header,x_powered_by_present,content_type,has_cookies,num_cookies,has_cors,cache_control,security_headers_count,has_csp,has_hsts,has_xss_protection,has_frame_options,has_content_type_options,has_forms,form_count,has_inputs,input_count,has_password_input,password_count,has_hidden_input,hidden_count,has_file_upload,file_upload_count,has_search_input,search_count,has_buttons,button_count,has_textarea,textarea_count,has_select,select_count,has_scripts,script_count,inline_script_count,internal_script_count,external_script_count,has_links,link_count,internal_link_count,external_link_count,has_images,image_count,has_meta_tags,meta_count,has_stylesheets,stylesheet_count,has_javascript,has_comments,comment_count,has_title,server_apache,server_nginx,server_iis,tech_php,tech_aspnet,tech_jsp,tech_wordpress,tech_drupal,tech_joomla,has_debug_info,has_error_messages,has_sql_errors,has_file_paths,has_waf,waf_cloudflare,waf_aws,waf_imperva,reflection_detected,csp_header_reflection_detected,has_jwt,jwt_count,has_api_keys,api_key_count,cookie_count,session_cookies,secure_cookie_ratio,httponly_cookie_ratio,samesite_cookie_ratio,redirect_count,has_redirect_chain,final_https,get_form_count,post_form_count,has_login_form,login_form_count,csrf_token_input_count,has_csrf_token,same_origin_form_count,external_form_count,unique_input_names,unique_endpoint_count,parameterized_link_count,api_like_endpoint_count,inline_event_handler_count,email_input_count,url_input_count,mailto_link_count,tel_link_count,body_truncated_for_analysis,input_to_form_ratio,script_to_content_ratio,security_score,interactivity_score,is_vulnerable,vulnerability_type,scan_id,timestamp,target_url,original_url,is_redirect_response,final_url,target_root,page_url,dataset_record_type,saved_at
66,1,0,0,0,0,0,1,0,57,1,net,200,2,10676,694.678,0,3,4,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,25,24,1,1,41,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2,1,1,0,0,0,0,0,0,0,0,0,26,20,0,0,0,0,0,0,0,0.0,9.366804046459348e-05,0.125,0.0,0,,20260512_111712,2026-05-12T11:17:17.830810,https://0a92006904219575838faa3f001b007c.web-security-academy.net/,https://0a92006904219575838faa3f001b007c.web-security-academy.net/,False,https://0a92006904219575838faa3f001b007c.web-security-academy.net/,https://0a92006904219575838faa3f001b007c.web-security-academy.net/,https://0a92006904219575838faa3f001b007c.web-security-academy.net/,recon_page,2026-05-12T11:17:17.833027
66,1,0,0,0,0,0,1,0,57,1,net,200,2,10676,861.07,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,25,24,1,1,41,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,26,20,0,0,0,0,0,0,0,0.0,9.366804046459348e-05,0.125,0.0,0,,20260512_111712,2026-05-12T11:18:34.619789,https://0a92006904219575838faa3f001b007c.web-security-academy.net/,https://0a92006904219575838faa3f001b007c.web-security-academy.net/,False,https://0a92006904219575838faa3f001b007c.web-security-academy.net/,https://0a92006904219575838faa3f001b007c.web-security-academy.net/,https://0a92006904219575838faa3f001b007c.web-security-academy.net/,recon_page,2026-05-12T11:18:34.622755
77,1,1,0,0,0,0,1,0,57,1,net,200,2,3253,824.3829999999999,0,0,6,0,unknown,0,html,1,1,0,0,1,0,0,0,1,0,1,1,1,3,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,5,4,1,0,0,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,0,0,0,0,1,1,1,1,1,1,0,3,7,0,0,0,0,0,0,0,0,3.0,0.0003074085459575776,0.125,1.5370427297878881,0,,20260512_111712,2026-05-12T11:18:42.706719,https://0a92006904219575838faa3f001b007c.web-security-academy.net/my-account/,https://0a92006904219575838faa3f001b007c.web-security-academy.net/,False,https://0a92006904219575838faa3f001b007c.web-security-academy.net/my-account/,https://0a92006904219575838faa3f001b007c.web-security-academy.net/,https://0a92006904219575838faa3f001b007c.web-security-academy.net/my-account/,recon_page,2026-05-12T11:18:42.711315
86,1,1,1,1,0,0,1,0,57,1,net,200,2,4242,707.376,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,6,5,1,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0.0,0.00023573785950023574,0.125,0.0,0,,20260512_111712,2026-05-12T11:18:46.602892,https://0a92006904219575838faa3f001b007c.web-security-academy.net/product/?productId=4,https://0a92006904219575838faa3f001b007c.web-security-academy.net/,False,https://0a92006904219575838faa3f001b007c.web-security-academy.net/product/?productId=4,https://0a92006904219575838faa3f001b007c.web-security-academy.net/,https://0a92006904219575838faa3f001b007c.web-security-academy.net/product/?productId=4,recon_page,2026-05-12T11:18:46.606630
86,1,1,1,1,0,0,1,0,57,1,net,200,2,4284,722.712,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,6,5,1,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0.0,0.00023342670401493932,0.125,0.0,0,,20260512_111712,2026-05-12T11:18:52.921304,https://0a92006904219575838faa3f001b007c.web-security-academy.net/product/?productId=8,https://0a92006904219575838faa3f001b007c.web-security-academy.net/,False,https://0a92006904219575838faa3f001b007c.web-security-academy.net/product/?productId=8,https://0a92006904219575838faa3f001b007c.web-security-academy.net/,https://0a92006904219575838faa3f001b007c.web-security-academy.net/product/?productId=8,recon_page,2026-05-12T11:18:52.925971
87,1,1,1,1,0,0,1,0,57,1,net,200,2,4355,748.477,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,6,5,1,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0.0,0.0002296211251435132,0.125,0.0,0,,20260512_111712,2026-05-12T11:18:58.033951,https://0a92006904219575838faa3f001b007c.web-security-academy.net/product/?productId=18,https://0a92006904219575838faa3f001b007c.web-security-academy.net/,False,https://0a92006904219575838faa3f001b007c.web-security-academy.net/product/?productId=18,https://0a92006904219575838faa3f001b007c.web-security-academy.net/,https://0a92006904219575838faa3f001b007c.web-security-academy.net/product/?productId=18,recon_page,2026-05-12T11:18:58.039328
87,1,1,1,1,0,0,1,0,57,1,net,200,2,4430,767.104,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,6,5,1,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0.0,0.0002257336343115124,0.125,0.0,0,,20260512_111712,2026-05-12T11:19:02.415268,https://0a92006904219575838faa3f001b007c.web-security-academy.net/product/?productId=14,https://0a92006904219575838faa3f001b007c.web-security-academy.net/,False,https://0a92006904219575838faa3f001b007c.web-security-academy.net/product/?productId=14,https://0a92006904219575838faa3f001b007c.web-security-academy.net/,https://0a92006904219575838faa3f001b007c.web-security-academy.net/product/?productId=14,recon_page,2026-05-12T11:19:02.418430
87,1,1,1,1,0,0,1,0,57,1,net,200,2,4153,792.509,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,6,5,1,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0.0,0.00024078979051288225,0.125,0.0,0,,20260512_111712,2026-05-12T11:19:07.449594,https://0a92006904219575838faa3f001b007c.web-security-academy.net/product/?productId=13,https://0a92006904219575838faa3f001b007c.web-security-academy.net/,False,https://0a92006904219575838faa3f001b007c.web-security-academy.net/product/?productId=13,https://0a92006904219575838faa3f001b007c.web-security-academy.net/,https://0a92006904219575838faa3f001b007c.web-security-academy.net/product/?productId=13,recon_page,2026-05-12T11:19:07.453083
87,1,1,1,1,0,0,1,0,57,1,net,200,2,4250,859.111,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,6,5,1,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0.0,0.00023529411764705883,0.125,0.0,0,,20260512_111712,2026-05-12T11:19:12.768729,https://0a92006904219575838faa3f001b007c.web-security-academy.net/product/?productId=20,https://0a92006904219575838faa3f001b007c.web-security-academy.net/,False,https://0a92006904219575838faa3f001b007c.web-security-academy.net/product/?productId=20,https://0a92006904219575838faa3f001b007c.web-security-academy.net/,https://0a92006904219575838faa3f001b007c.web-security-academy.net/product/?productId=20,recon_page,2026-05-12T11:19:12.772234
86,1,1,1,1,0,0,1,0,57,1,net,200,2,4895,724.159,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,6,5,1,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0.0,0.00020429009193054137,0.125,0.0,0,,20260512_111712,2026-05-12T11:19:18.420157,https://0a92006904219575838faa3f001b007c.web-security-academy.net/product/?productId=5,https://0a92006904219575838faa3f001b007c.web-security-academy.net/,False,https://0a92006904219575838faa3f001b007c.web-security-academy.net/product/?productId=5,https://0a92006904219575838faa3f001b007c.web-security-academy.net/,https://0a92006904219575838faa3f001b007c.web-security-academy.net/product/?productId=5,recon_page,2026-05-12T11:19:18.423119
