url_length,has_https,path_depth,has_query_params,num_query_params,has_fragment,has_port,subdomain_count,is_ip_address,domain_length,domain_has_hyphens,domain_tld,status_code,status_category,response_size,response_time_ms,is_redirect,redirect_chain_len,total_headers,server_header_present,server_header,x_powered_by_present,content_type,has_cookies,num_cookies,has_cors,cache_control,security_headers_count,has_csp,has_hsts,has_xss_protection,has_frame_options,has_content_type_options,has_forms,form_count,has_inputs,input_count,has_password_input,password_count,has_hidden_input,hidden_count,has_file_upload,file_upload_count,has_search_input,search_count,has_buttons,button_count,has_textarea,textarea_count,has_select,select_count,has_scripts,script_count,inline_script_count,internal_script_count,external_script_count,has_links,link_count,internal_link_count,external_link_count,has_images,image_count,has_meta_tags,meta_count,has_stylesheets,stylesheet_count,has_javascript,has_comments,comment_count,has_title,server_apache,server_nginx,server_iis,tech_php,tech_aspnet,tech_jsp,tech_wordpress,tech_drupal,tech_joomla,has_debug_info,has_error_messages,has_sql_errors,has_file_paths,has_waf,waf_cloudflare,waf_aws,waf_imperva,reflection_detected,csp_header_reflection_detected,has_jwt,jwt_count,has_api_keys,api_key_count,cookie_count,session_cookies,secure_cookie_ratio,httponly_cookie_ratio,samesite_cookie_ratio,redirect_count,has_redirect_chain,final_https,get_form_count,post_form_count,has_login_form,login_form_count,csrf_token_input_count,has_csrf_token,same_origin_form_count,external_form_count,unique_input_names,unique_endpoint_count,parameterized_link_count,api_like_endpoint_count,inline_event_handler_count,email_input_count,url_input_count,mailto_link_count,tel_link_count,body_truncated_for_analysis,input_to_form_ratio,script_to_content_ratio,security_score,interactivity_score,is_vulnerable,vulnerability_type,scan_id,timestamp,target_url,original_url,is_redirect_response,final_url,target_root,page_url,dataset_record_type,saved_at,url,domain,total_vulnerabilities,has_sql_injection,has_xss,has_command_injection,has_path_traversal,has_file_inclusion,vulnerability_score,critical_vuln_count,high_vuln_count,sqlmap_vulns_found,dalfox_vulns_found,commix_vulns_found,tools_used_count,sqlmap_confidence_avg,dalfox_confidence_avg,commix_confidence_avg,used_previous_scan,previous_scan_indicators,scan_hour,scan_day_of_week,prev_has_forms,prev_has_inputs,prev_form_count,prev_input_count,prev_has_debug_info,prev_has_error_messages,prev_technology_php,prev_technology_aspnet,prev_technology_wordpress,prev_security_headers_count,prev_response_size,days_since_last_scan,vuln_density,tool_effectiveness,security_risk_score,input_vulnerability_ratio,previous_scan_accuracy,total_issues,issue_density,has_idor
66,1,0,0,0,0,0,1,0,57,1,net,200,2,28303,811.728,1,1,4,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,11,10,1,1,1,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,0,0,0,0,0,0,0,0.0,3.5331943610218e-05,0.125,0.0,0,,20260504_230033,2026-05-04T23:00:34.517567,https://0a9400a7030d86998008085a000900b1.web-security-academy.net/,https://0a9400a7030d86998008085a000900b1.web-security-academy.net/,True,https://0a9400a7030d86998008085a000900b1.web-security-academy.net/,https://0a9400a7030d86998008085a000900b1.web-security-academy.net/,https://0a9400a7030d86998008085a000900b1.web-security-academy.net/,recon_redirect_hop,2026-05-04T23:00:34.521224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,1,0,0,0,0,0,1,0,57,1,net,200,2,28303,811.728,0,3,4,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,11,10,1,1,1,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2,1,1,0,0,0,0,0,0,0,0,0,11,5,0,0,0,0,0,0,0,0.0,3.5331943610218e-05,0.125,0.0,0,,20260504_230033,2026-05-04T23:00:34.566408,https://0a9400a7030d86998008085a000900b1.web-security-academy.net/,https://0a9400a7030d86998008085a000900b1.web-security-academy.net/,False,https://0a9400a7030d86998008085a000900b1.web-security-academy.net/,https://0a9400a7030d86998008085a000900b1.web-security-academy.net/,https://0a9400a7030d86998008085a000900b1.web-security-academy.net/,recon_page,2026-05-04T23:00:34.568736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,1,0,0,0,0,0,1,0,57,1,net,200,2,28303,918.513,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,11,10,1,1,1,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,0,0,0,0,0,0,0,0.0,3.5331943610218e-05,0.125,0.0,0,,20260504_230033,2026-05-04T23:00:49.968213,https://0a9400a7030d86998008085a000900b1.web-security-academy.net/,https://0a9400a7030d86998008085a000900b1.web-security-academy.net/,False,https://0a9400a7030d86998008085a000900b1.web-security-academy.net/,https://0a9400a7030d86998008085a000900b1.web-security-academy.net/,https://0a9400a7030d86998008085a000900b1.web-security-academy.net/,recon_page,2026-05-04T23:00:49.971363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,1,1,1,1,0,0,1,0,57,1,net,200,2,8968,738.495,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,12,11,1,1,1,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,0,0,0,0,0,0,0,0.0,0.0001115075825156,0.125,0.0,0,,20260504_230033,2026-05-04T23:00:51.195569,https://0a9400a7030d86998008085a000900b1.web-security-academy.net/filter/?category=Corporate+gifts,https://0a9400a7030d86998008085a000900b1.web-security-academy.net/,False,https://0a9400a7030d86998008085a000900b1.web-security-academy.net/filter/?category=Corporate+gifts,https://0a9400a7030d86998008085a000900b1.web-security-academy.net/,https://0a9400a7030d86998008085a000900b1.web-security-academy.net/filter/?category=Corporate+gifts,recon_page,2026-05-04T23:00:51.203152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,1,1,1,1,0,0,1,0,57,1,net,200,2,9041,724.885,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,12,11,1,1,1,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,0,0,0,0,0,0,0,0.0,0.000110607233713,0.125,0.0,0,,20260504_230033,2026-05-04T23:00:51.200401,https://0a9400a7030d86998008085a000900b1.web-security-academy.net/filter/?category=Pets,https://0a9400a7030d86998008085a000900b1.web-security-academy.net/,False,https://0a9400a7030d86998008085a000900b1.web-security-academy.net/filter/?category=Pets,https://0a9400a7030d86998008085a000900b1.web-security-academy.net/,https://0a9400a7030d86998008085a000900b1.web-security-academy.net/filter/?category=Pets,recon_page,2026-05-04T23:00:51.206681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,1,1,1,1,0,0,1,0,57,1,net,200,2,9664,726.572,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,12,11,1,1,1,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,0,0,0,0,0,0,0,0.0,0.000103476821192,0.125,0.0,0,,20260504_230033,2026-05-04T23:00:51.243234,https://0a9400a7030d86998008085a000900b1.web-security-academy.net/filter/?category=Tech+gifts,https://0a9400a7030d86998008085a000900b1.web-security-academy.net/,False,https://0a9400a7030d86998008085a000900b1.web-security-academy.net/filter/?category=Tech+gifts,https://0a9400a7030d86998008085a000900b1.web-security-academy.net/,https://0a9400a7030d86998008085a000900b1.web-security-academy.net/filter/?category=Tech+gifts,recon_page,2026-05-04T23:00:51.249478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,1,1,1,1,0,0,1,0,57,1,net,200,2,8102,731.327,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,12,11,1,1,1,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,0,0,0,0,0,0,0,0.0,0.0001234263144902,0.125,0.0,0,,20260504_230033,2026-05-04T23:00:51.276019,https://0a9400a7030d86998008085a000900b1.web-security-academy.net/filter/?category=Toys+%26+Games,https://0a9400a7030d86998008085a000900b1.web-security-academy.net/,False,https://0a9400a7030d86998008085a000900b1.web-security-academy.net/filter/?category=Toys+%26+Games,https://0a9400a7030d86998008085a000900b1.web-security-academy.net/,https://0a9400a7030d86998008085a000900b1.web-security-academy.net/filter/?category=Toys+%26+Games,recon_page,2026-05-04T23:00:51.286017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,1,1,1,1,0,0,1,0,57,1,net,200,2,8686,801.183,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,12,11,1,1,1,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,0,0,0,0,0,0,0,0.0,0.0001151277918489,0.125,0.0,0,,20260504_230033,2026-05-04T23:00:51.391285,https://0a9400a7030d86998008085a000900b1.web-security-academy.net/filter/?category=Clothing%2c+shoes+and+accessories,https://0a9400a7030d86998008085a000900b1.web-security-academy.net/,False,https://0a9400a7030d86998008085a000900b1.web-security-academy.net/filter/?category=Clothing%2c+shoes+and+accessories,https://0a9400a7030d86998008085a000900b1.web-security-academy.net/,https://0a9400a7030d86998008085a000900b1.web-security-academy.net/filter/?category=Clothing%2c+shoes+and+accessories,recon_page,2026-05-04T23:00:51.394455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,1,1,0,0,0,0,1,0,57,1,net,200,2,3320,904.53,0,0,6,0,unknown,0,html,1,1,0,0,1,0,0,0,1,0,1,1,1,3,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,5,4,1,0,0,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,0,0,0,0,1,1,1,1,1,1,0,3,7,0,0,0,0,0,0,0,0,3.0,0.0003012048192771,0.125,1.5060240963855422,0,,20260504_230033,2026-05-04T23:00:52.212768,https://0a9400a7030d86998008085a000900b1.web-security-academy.net/my-account/,https://0a9400a7030d86998008085a000900b1.web-security-academy.net/,False,https://0a9400a7030d86998008085a000900b1.web-security-academy.net/my-account/,https://0a9400a7030d86998008085a000900b1.web-security-academy.net/,https://0a9400a7030d86998008085a000900b1.web-security-academy.net/my-account/,recon_page,2026-05-04T23:00:52.215865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,1,1,0,0,0,0,1,0,57,1,net,200,2,3320,775.947,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,1,1,1,3,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,5,4,1,0,0,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1,1,1,1,1,1,0,3,7,0,0,0,0,0,0,0,0,3.0,0.0003012048192771,0.125,1.5060240963855422,0,,20260504_230033,2026-05-04T23:00:53.783864,https://0a9400a7030d86998008085a000900b1.web-security-academy.net/login/,https://0a9400a7030d86998008085a000900b1.web-security-academy.net/,False,https://0a9400a7030d86998008085a000900b1.web-security-academy.net/login/,https://0a9400a7030d86998008085a000900b1.web-security-academy.net/,https://0a9400a7030d86998008085a000900b1.web-security-academy.net/login/,recon_page,2026-05-04T23:00:53.786960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
