url_length,has_https,path_depth,has_query_params,num_query_params,has_fragment,has_port,subdomain_count,is_ip_address,domain_length,domain_has_hyphens,domain_tld,status_code,status_category,response_size,response_time_ms,is_redirect,redirect_chain_len,total_headers,server_header_present,server_header,x_powered_by_present,content_type,has_cookies,num_cookies,has_cors,cache_control,security_headers_count,has_csp,has_hsts,has_xss_protection,has_frame_options,has_content_type_options,has_forms,form_count,has_inputs,input_count,has_password_input,password_count,has_hidden_input,hidden_count,has_file_upload,file_upload_count,has_search_input,search_count,has_buttons,button_count,has_textarea,textarea_count,has_select,select_count,has_scripts,script_count,inline_script_count,internal_script_count,external_script_count,has_links,link_count,internal_link_count,external_link_count,has_images,image_count,has_meta_tags,meta_count,has_stylesheets,stylesheet_count,has_javascript,has_comments,comment_count,has_title,server_apache,server_nginx,server_iis,tech_php,tech_aspnet,tech_jsp,tech_wordpress,tech_drupal,tech_joomla,has_debug_info,has_error_messages,has_sql_errors,has_file_paths,has_waf,waf_cloudflare,waf_aws,waf_imperva,reflection_detected,csp_header_reflection_detected,has_jwt,jwt_count,has_api_keys,api_key_count,cookie_count,session_cookies,secure_cookie_ratio,httponly_cookie_ratio,samesite_cookie_ratio,redirect_count,has_redirect_chain,final_https,get_form_count,post_form_count,has_login_form,login_form_count,csrf_token_input_count,has_csrf_token,same_origin_form_count,external_form_count,unique_input_names,unique_endpoint_count,parameterized_link_count,api_like_endpoint_count,inline_event_handler_count,email_input_count,url_input_count,mailto_link_count,tel_link_count,body_truncated_for_analysis,input_to_form_ratio,script_to_content_ratio,security_score,interactivity_score,is_vulnerable,vulnerability_type,scan_id,timestamp,target_url,original_url,is_redirect_response,final_url,target_root,page_url,dataset_record_type,saved_at,url,domain,total_vulnerabilities,has_sql_injection,has_xss,has_command_injection,has_path_traversal,has_file_inclusion,vulnerability_score,critical_vuln_count,high_vuln_count,sqlmap_vulns_found,dalfox_vulns_found,commix_vulns_found,tools_used_count,sqlmap_confidence_avg,dalfox_confidence_avg,commix_confidence_avg,used_previous_scan,previous_scan_indicators,scan_hour,scan_day_of_week,prev_has_forms,prev_has_inputs,prev_form_count,prev_input_count,prev_has_debug_info,prev_has_error_messages,prev_technology_php,prev_technology_aspnet,prev_technology_wordpress,prev_security_headers_count,prev_response_size,days_since_last_scan,vuln_density,tool_effectiveness,security_risk_score,input_vulnerability_ratio,previous_scan_accuracy,total_issues,issue_density,has_idor
66,1,0,0,0,0,0,1,0,57,1,net,200,2,10755,650.51,1,1,4,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,25,24,1,1,41,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,26,20,0,0,0,0,0,0,0,0.0,9.298000929800092e-05,0.125,0.0,0,,20260504_235718,2026-05-04T23:57:19.519024,https://0abe002603cc05568228cfd000de00a7.web-security-academy.net/,https://0abe002603cc05568228cfd000de00a7.web-security-academy.net/,True,https://0abe002603cc05568228cfd000de00a7.web-security-academy.net/,https://0abe002603cc05568228cfd000de00a7.web-security-academy.net/,https://0abe002603cc05568228cfd000de00a7.web-security-academy.net/,recon_redirect_hop,2026-05-04T23:57:19.522951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,1,0,0,0,0,0,1,0,57,1,net,200,2,10755,650.51,0,3,4,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,25,24,1,1,41,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2,1,1,0,0,0,0,0,0,0,0,0,26,20,0,0,0,0,0,0,0,0.0,9.298000929800092e-05,0.125,0.0,0,,20260504_235718,2026-05-04T23:57:19.567683,https://0abe002603cc05568228cfd000de00a7.web-security-academy.net/,https://0abe002603cc05568228cfd000de00a7.web-security-academy.net/,False,https://0abe002603cc05568228cfd000de00a7.web-security-academy.net/,https://0abe002603cc05568228cfd000de00a7.web-security-academy.net/,https://0abe002603cc05568228cfd000de00a7.web-security-academy.net/,recon_page,2026-05-04T23:57:19.570155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,1,0,0,0,0,0,1,0,57,1,net,200,2,10755,1242.145,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,25,24,1,1,41,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,26,20,0,0,0,0,0,0,0,0.0,9.298000929800092e-05,0.125,0.0,0,,20260504_235718,2026-05-04T23:57:47.360697,https://0abe002603cc05568228cfd000de00a7.web-security-academy.net/,https://0abe002603cc05568228cfd000de00a7.web-security-academy.net/,False,https://0abe002603cc05568228cfd000de00a7.web-security-academy.net/,https://0abe002603cc05568228cfd000de00a7.web-security-academy.net/,https://0abe002603cc05568228cfd000de00a7.web-security-academy.net/,recon_page,2026-05-04T23:57:47.363870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,1,1,1,1,0,0,1,0,57,1,net,200,2,4270,673.9540000000001,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,6,5,1,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0.0,0.0002341920374707,0.125,0.0,0,,20260504_235718,2026-05-04T23:57:48.552363,https://0abe002603cc05568228cfd000de00a7.web-security-academy.net/product/?productId=2,https://0abe002603cc05568228cfd000de00a7.web-security-academy.net/,False,https://0abe002603cc05568228cfd000de00a7.web-security-academy.net/product/?productId=2,https://0abe002603cc05568228cfd000de00a7.web-security-academy.net/,https://0abe002603cc05568228cfd000de00a7.web-security-academy.net/product/?productId=2,recon_page,2026-05-04T23:57:48.562872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,1,1,1,1,0,0,1,0,57,1,net,200,2,4400,689.434,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,6,5,1,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0.0,0.0002272727272727,0.125,0.0,0,,20260504_235718,2026-05-04T23:57:48.601923,https://0abe002603cc05568228cfd000de00a7.web-security-academy.net/product/?productId=13,https://0abe002603cc05568228cfd000de00a7.web-security-academy.net/,False,https://0abe002603cc05568228cfd000de00a7.web-security-academy.net/product/?productId=13,https://0abe002603cc05568228cfd000de00a7.web-security-academy.net/,https://0abe002603cc05568228cfd000de00a7.web-security-academy.net/product/?productId=13,recon_page,2026-05-04T23:57:48.616202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,1,1,1,1,0,0,1,0,57,1,net,200,2,4062,663.938,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,6,5,1,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0.0,0.000246184145741,0.125,0.0,0,,20260504_235718,2026-05-04T23:57:48.636528,https://0abe002603cc05568228cfd000de00a7.web-security-academy.net/product/?productId=15,https://0abe002603cc05568228cfd000de00a7.web-security-academy.net/,False,https://0abe002603cc05568228cfd000de00a7.web-security-academy.net/product/?productId=15,https://0abe002603cc05568228cfd000de00a7.web-security-academy.net/,https://0abe002603cc05568228cfd000de00a7.web-security-academy.net/product/?productId=15,recon_page,2026-05-04T23:57:48.649960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,1,1,1,1,0,0,1,0,57,1,net,200,2,3997,692.3000000000001,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,6,5,1,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0.0,0.0002501876407305,0.125,0.0,0,,20260504_235718,2026-05-04T23:57:48.689851,https://0abe002603cc05568228cfd000de00a7.web-security-academy.net/product/?productId=18,https://0abe002603cc05568228cfd000de00a7.web-security-academy.net/,False,https://0abe002603cc05568228cfd000de00a7.web-security-academy.net/product/?productId=18,https://0abe002603cc05568228cfd000de00a7.web-security-academy.net/,https://0abe002603cc05568228cfd000de00a7.web-security-academy.net/product/?productId=18,recon_page,2026-05-04T23:57:48.702160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,1,1,1,1,0,0,1,0,57,1,net,200,2,4083,701.4169999999999,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,6,5,1,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0.0,0.0002449179524859,0.125,0.0,0,,20260504_235718,2026-05-04T23:57:48.774407,https://0abe002603cc05568228cfd000de00a7.web-security-academy.net/product/?productId=10,https://0abe002603cc05568228cfd000de00a7.web-security-academy.net/,False,https://0abe002603cc05568228cfd000de00a7.web-security-academy.net/product/?productId=10,https://0abe002603cc05568228cfd000de00a7.web-security-academy.net/,https://0abe002603cc05568228cfd000de00a7.web-security-academy.net/product/?productId=10,recon_page,2026-05-04T23:57:48.788027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,1,1,1,1,0,0,1,0,57,1,net,200,2,4073,738.044,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,6,5,1,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0.0,0.0002455192732629,0.125,0.0,0,,20260504_235718,2026-05-04T23:57:48.864740,https://0abe002603cc05568228cfd000de00a7.web-security-academy.net/product/?productId=3,https://0abe002603cc05568228cfd000de00a7.web-security-academy.net/,False,https://0abe002603cc05568228cfd000de00a7.web-security-academy.net/product/?productId=3,https://0abe002603cc05568228cfd000de00a7.web-security-academy.net/,https://0abe002603cc05568228cfd000de00a7.web-security-academy.net/product/?productId=3,recon_page,2026-05-04T23:57:48.874617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,1,1,1,1,0,0,1,0,57,1,net,200,2,3783,732.904,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,6,5,1,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0.0,0.000264340470526,0.125,0.0,0,,20260504_235718,2026-05-04T23:57:48.870912,https://0abe002603cc05568228cfd000de00a7.web-security-academy.net/product/?productId=20,https://0abe002603cc05568228cfd000de00a7.web-security-academy.net/,False,https://0abe002603cc05568228cfd000de00a7.web-security-academy.net/product/?productId=20,https://0abe002603cc05568228cfd000de00a7.web-security-academy.net/,https://0abe002603cc05568228cfd000de00a7.web-security-academy.net/product/?productId=20,recon_page,2026-05-04T23:57:48.878466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
