url_length,has_https,path_depth,has_query_params,num_query_params,has_fragment,has_port,subdomain_count,is_ip_address,domain_length,domain_has_hyphens,domain_tld,status_code,status_category,response_size,response_time_ms,is_redirect,redirect_chain_len,total_headers,server_header_present,server_header,x_powered_by_present,content_type,has_cookies,num_cookies,has_cors,cache_control,security_headers_count,has_csp,has_hsts,has_xss_protection,has_frame_options,has_content_type_options,has_forms,form_count,has_inputs,input_count,has_password_input,password_count,has_hidden_input,hidden_count,has_file_upload,file_upload_count,has_search_input,search_count,has_buttons,button_count,has_textarea,textarea_count,has_select,select_count,has_scripts,script_count,inline_script_count,internal_script_count,external_script_count,has_links,link_count,internal_link_count,external_link_count,has_images,image_count,has_meta_tags,meta_count,has_stylesheets,stylesheet_count,has_javascript,has_comments,comment_count,has_title,server_apache,server_nginx,server_iis,tech_php,tech_aspnet,tech_jsp,tech_wordpress,tech_drupal,tech_joomla,has_debug_info,has_error_messages,has_sql_errors,has_file_paths,has_waf,waf_cloudflare,waf_aws,waf_imperva,reflection_detected,csp_header_reflection_detected,has_jwt,jwt_count,has_api_keys,api_key_count,cookie_count,session_cookies,secure_cookie_ratio,httponly_cookie_ratio,samesite_cookie_ratio,redirect_count,has_redirect_chain,final_https,get_form_count,post_form_count,has_login_form,login_form_count,csrf_token_input_count,has_csrf_token,same_origin_form_count,external_form_count,unique_input_names,unique_endpoint_count,parameterized_link_count,api_like_endpoint_count,inline_event_handler_count,email_input_count,url_input_count,mailto_link_count,tel_link_count,body_truncated_for_analysis,input_to_form_ratio,script_to_content_ratio,security_score,interactivity_score,is_vulnerable,vulnerability_type,scan_id,timestamp,target_url,original_url,is_redirect_response,final_url,target_root,page_url,dataset_record_type,saved_at,url,domain,total_vulnerabilities,has_sql_injection,has_xss,has_command_injection,has_path_traversal,has_file_inclusion,vulnerability_score,critical_vuln_count,high_vuln_count,sqlmap_vulns_found,dalfox_vulns_found,commix_vulns_found,tools_used_count,sqlmap_confidence_avg,dalfox_confidence_avg,commix_confidence_avg,used_previous_scan,previous_scan_indicators,scan_hour,scan_day_of_week,prev_has_forms,prev_has_inputs,prev_form_count,prev_input_count,prev_has_debug_info,prev_has_error_messages,prev_technology_php,prev_technology_aspnet,prev_technology_wordpress,prev_security_headers_count,prev_response_size,days_since_last_scan,vuln_density,tool_effectiveness,security_risk_score,input_vulnerability_ratio,previous_scan_accuracy,total_issues,issue_density,has_idor
66,1,0,0,0,0,0,1,0,57,1,net,200,2,10760,627.8580000000001,1,1,4,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,25,24,1,1,41,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,26,20,0,0,0,0,0,0,0,0.0,9.29368029739777e-05,0.125,0.0,0,,20260505_112305,2026-05-05T11:23:06.626068,https://0ac5000703dc22b780303f49001c0032.web-security-academy.net/,https://0ac5000703dc22b780303f49001c0032.web-security-academy.net/,True,https://0ac5000703dc22b780303f49001c0032.web-security-academy.net/,https://0ac5000703dc22b780303f49001c0032.web-security-academy.net/,https://0ac5000703dc22b780303f49001c0032.web-security-academy.net/,recon_redirect_hop,2026-05-05T11:23:06.633327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,1,0,0,0,0,0,1,0,57,1,net,200,2,10760,627.8580000000001,0,3,4,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,25,24,1,1,41,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2,1,1,0,0,0,0,0,0,0,0,0,26,20,0,0,0,0,0,0,0,0.0,9.29368029739777e-05,0.125,0.0,0,,20260505_112305,2026-05-05T11:23:06.702830,https://0ac5000703dc22b780303f49001c0032.web-security-academy.net/,https://0ac5000703dc22b780303f49001c0032.web-security-academy.net/,False,https://0ac5000703dc22b780303f49001c0032.web-security-academy.net/,https://0ac5000703dc22b780303f49001c0032.web-security-academy.net/,https://0ac5000703dc22b780303f49001c0032.web-security-academy.net/,recon_page,2026-05-05T11:23:06.706185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,1,0,0,0,0,0,1,0,57,1,net,200,2,10760,781.888,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,25,24,1,1,41,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,26,20,0,0,0,0,0,0,0,0.0,9.29368029739777e-05,0.125,0.0,0,,20260505_112305,2026-05-05T11:24:12.316373,https://0ac5000703dc22b780303f49001c0032.web-security-academy.net/,https://0ac5000703dc22b780303f49001c0032.web-security-academy.net/,False,https://0ac5000703dc22b780303f49001c0032.web-security-academy.net/,https://0ac5000703dc22b780303f49001c0032.web-security-academy.net/,https://0ac5000703dc22b780303f49001c0032.web-security-academy.net/,recon_page,2026-05-05T11:24:12.319519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,1,1,1,1,0,0,1,0,57,1,net,200,2,4400,707.726,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,6,5,1,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0.0,0.0002272727272727,0.125,0.0,0,,20260505_112305,2026-05-05T11:24:13.437482,https://0ac5000703dc22b780303f49001c0032.web-security-academy.net/product/?productId=9,https://0ac5000703dc22b780303f49001c0032.web-security-academy.net/,False,https://0ac5000703dc22b780303f49001c0032.web-security-academy.net/product/?productId=9,https://0ac5000703dc22b780303f49001c0032.web-security-academy.net/,https://0ac5000703dc22b780303f49001c0032.web-security-academy.net/product/?productId=9,recon_page,2026-05-05T11:24:13.446345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,1,1,1,1,0,0,1,0,57,1,net,200,2,3719,697.041,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,6,5,1,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0.0,0.000268889486421,0.125,0.0,0,,20260505_112305,2026-05-05T11:24:13.433668,https://0ac5000703dc22b780303f49001c0032.web-security-academy.net/product/?productId=8,https://0ac5000703dc22b780303f49001c0032.web-security-academy.net/,False,https://0ac5000703dc22b780303f49001c0032.web-security-academy.net/product/?productId=8,https://0ac5000703dc22b780303f49001c0032.web-security-academy.net/,https://0ac5000703dc22b780303f49001c0032.web-security-academy.net/product/?productId=8,recon_page,2026-05-05T11:24:13.457587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,1,1,1,1,0,0,1,0,57,1,net,200,2,4065,729.9839999999999,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,6,5,1,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0.0,0.0002460024600246,0.125,0.0,0,,20260505_112305,2026-05-05T11:24:13.562209,https://0ac5000703dc22b780303f49001c0032.web-security-academy.net/product/?productId=5,https://0ac5000703dc22b780303f49001c0032.web-security-academy.net/,False,https://0ac5000703dc22b780303f49001c0032.web-security-academy.net/product/?productId=5,https://0ac5000703dc22b780303f49001c0032.web-security-academy.net/,https://0ac5000703dc22b780303f49001c0032.web-security-academy.net/product/?productId=5,recon_page,2026-05-05T11:24:13.573689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,1,1,1,1,0,0,1,0,57,1,net,200,2,3732,717.071,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,6,5,1,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0.0,0.0002679528403001,0.125,0.0,0,,20260505_112305,2026-05-05T11:24:13.579059,https://0ac5000703dc22b780303f49001c0032.web-security-academy.net/product/?productId=6,https://0ac5000703dc22b780303f49001c0032.web-security-academy.net/,False,https://0ac5000703dc22b780303f49001c0032.web-security-academy.net/product/?productId=6,https://0ac5000703dc22b780303f49001c0032.web-security-academy.net/,https://0ac5000703dc22b780303f49001c0032.web-security-academy.net/product/?productId=6,recon_page,2026-05-05T11:24:13.591703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,1,1,1,1,0,0,1,0,57,1,net,200,2,3858,726.7099999999999,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,6,5,1,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0.0,0.0002592016588906,0.125,0.0,0,,20260505_112305,2026-05-05T11:24:13.571605,https://0ac5000703dc22b780303f49001c0032.web-security-academy.net/product/?productId=20,https://0ac5000703dc22b780303f49001c0032.web-security-academy.net/,False,https://0ac5000703dc22b780303f49001c0032.web-security-academy.net/product/?productId=20,https://0ac5000703dc22b780303f49001c0032.web-security-academy.net/,https://0ac5000703dc22b780303f49001c0032.web-security-academy.net/product/?productId=20,recon_page,2026-05-05T11:24:13.586732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,1,1,1,1,0,0,1,0,57,1,net,200,2,4397,808.6170000000001,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,6,5,1,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0.0,0.0002274277916761,0.125,0.0,0,,20260505_112305,2026-05-05T11:24:13.930230,https://0ac5000703dc22b780303f49001c0032.web-security-academy.net/product/?productId=10,https://0ac5000703dc22b780303f49001c0032.web-security-academy.net/,False,https://0ac5000703dc22b780303f49001c0032.web-security-academy.net/product/?productId=10,https://0ac5000703dc22b780303f49001c0032.web-security-academy.net/,https://0ac5000703dc22b780303f49001c0032.web-security-academy.net/product/?productId=10,recon_page,2026-05-05T11:24:13.942785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,1,1,1,1,0,0,1,0,57,1,net,200,2,4073,705.4359999999999,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,6,5,1,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0.0,0.0002455192732629,0.125,0.0,0,,20260505_112305,2026-05-05T11:24:13.938374,https://0ac5000703dc22b780303f49001c0032.web-security-academy.net/product/?productId=14,https://0ac5000703dc22b780303f49001c0032.web-security-academy.net/,False,https://0ac5000703dc22b780303f49001c0032.web-security-academy.net/product/?productId=14,https://0ac5000703dc22b780303f49001c0032.web-security-academy.net/,https://0ac5000703dc22b780303f49001c0032.web-security-academy.net/product/?productId=14,recon_page,2026-05-05T11:24:13.946495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
