url_length,has_https,path_depth,has_query_params,num_query_params,has_fragment,has_port,subdomain_count,is_ip_address,domain_length,domain_has_hyphens,domain_tld,status_code,status_category,response_size,response_time_ms,is_redirect,redirect_chain_len,total_headers,server_header_present,server_header,x_powered_by_present,content_type,has_cookies,num_cookies,has_cors,cache_control,security_headers_count,has_csp,has_hsts,has_xss_protection,has_frame_options,has_content_type_options,has_forms,form_count,has_inputs,input_count,has_password_input,password_count,has_hidden_input,hidden_count,has_file_upload,file_upload_count,has_search_input,search_count,has_buttons,button_count,has_textarea,textarea_count,has_select,select_count,has_scripts,script_count,inline_script_count,internal_script_count,external_script_count,has_links,link_count,internal_link_count,external_link_count,has_images,image_count,has_meta_tags,meta_count,has_stylesheets,stylesheet_count,has_javascript,has_comments,comment_count,has_title,server_apache,server_nginx,server_iis,tech_php,tech_aspnet,tech_jsp,tech_wordpress,tech_drupal,tech_joomla,has_debug_info,has_error_messages,has_sql_errors,has_file_paths,has_waf,waf_cloudflare,waf_aws,waf_imperva,reflection_detected,csp_header_reflection_detected,has_jwt,jwt_count,has_api_keys,api_key_count,cookie_count,session_cookies,secure_cookie_ratio,httponly_cookie_ratio,samesite_cookie_ratio,redirect_count,has_redirect_chain,final_https,get_form_count,post_form_count,has_login_form,login_form_count,csrf_token_input_count,has_csrf_token,same_origin_form_count,external_form_count,unique_input_names,unique_endpoint_count,parameterized_link_count,api_like_endpoint_count,inline_event_handler_count,email_input_count,url_input_count,mailto_link_count,tel_link_count,body_truncated_for_analysis,input_to_form_ratio,script_to_content_ratio,security_score,interactivity_score,is_vulnerable,vulnerability_type,scan_id,timestamp,target_url,original_url,is_redirect_response,final_url,target_root,page_url,dataset_record_type,saved_at
66,1,0,0,0,0,0,1,0,57,1,net,200,2,10346,821.742,0,3,4,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,24,23,1,1,41,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2,1,1,0,0,0,0,0,0,0,0,0,25,20,0,0,0,0,0,0,0,0.0,9.665571235260003e-05,0.125,0.0,0,,20260521_220854,2026-05-21T22:09:03.084933,https://0ac60070049b28a0812fa847009400ee.web-security-academy.net/,https://0ac60070049b28a0812fa847009400ee.web-security-academy.net/,False,https://0ac60070049b28a0812fa847009400ee.web-security-academy.net/,https://0ac60070049b28a0812fa847009400ee.web-security-academy.net/,https://0ac60070049b28a0812fa847009400ee.web-security-academy.net/,recon_page,2026-05-21T22:09:03.085406
66,1,0,0,0,0,0,1,0,57,1,net,200,2,10346,765.297,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,24,23,1,1,41,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,25,20,0,0,0,0,0,0,0,0.0,9.665571235260003e-05,0.125,0.0,0,,20260521_220854,2026-05-21T22:09:13.587196,https://0ac60070049b28a0812fa847009400ee.web-security-academy.net/,https://0ac60070049b28a0812fa847009400ee.web-security-academy.net/,False,https://0ac60070049b28a0812fa847009400ee.web-security-academy.net/,https://0ac60070049b28a0812fa847009400ee.web-security-academy.net/,https://0ac60070049b28a0812fa847009400ee.web-security-academy.net/,recon_page,2026-05-21T22:09:13.587554
87,1,1,1,1,0,0,1,0,57,1,net,200,2,7332,836.6700000000001,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,8,4,4,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0.0,0.00013638843426077467,0.125,0.0,0,,20260521_220854,2026-05-21T22:24:28.034637,https://0ac60070049b28a0812fa847009400ee.web-security-academy.net/product/?productId=14,https://0ac60070049b28a0812fa847009400ee.web-security-academy.net/,False,https://0ac60070049b28a0812fa847009400ee.web-security-academy.net/product/?productId=14,https://0ac60070049b28a0812fa847009400ee.web-security-academy.net/,https://0ac60070049b28a0812fa847009400ee.web-security-academy.net/product/?productId=14,recon_page,2026-05-21T22:24:28.057751
87,1,1,1,1,0,0,1,0,57,1,net,200,2,7310,829.549,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,8,4,4,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0.0,0.00013679890560875513,0.125,0.0,0,,20260521_220854,2026-05-21T22:24:28.588484,https://0ac60070049b28a0812fa847009400ee.web-security-academy.net/product/?productId=18,https://0ac60070049b28a0812fa847009400ee.web-security-academy.net/,False,https://0ac60070049b28a0812fa847009400ee.web-security-academy.net/product/?productId=18,https://0ac60070049b28a0812fa847009400ee.web-security-academy.net/,https://0ac60070049b28a0812fa847009400ee.web-security-academy.net/product/?productId=18,recon_page,2026-05-21T22:24:28.589874
86,1,1,1,1,0,0,1,0,57,1,net,200,2,6717,931.184,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,8,4,4,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0.0,0.00014887598630340925,0.125,0.0,0,,20260521_220854,2026-05-21T22:24:29.205097,https://0ac60070049b28a0812fa847009400ee.web-security-academy.net/product/?productId=1,https://0ac60070049b28a0812fa847009400ee.web-security-academy.net/,False,https://0ac60070049b28a0812fa847009400ee.web-security-academy.net/product/?productId=1,https://0ac60070049b28a0812fa847009400ee.web-security-academy.net/,https://0ac60070049b28a0812fa847009400ee.web-security-academy.net/product/?productId=1,recon_page,2026-05-21T22:24:29.224697
87,1,1,1,1,0,0,1,0,57,1,net,200,2,6902,854.496,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,8,4,4,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0.0,0.0001448855404230658,0.125,0.0,0,,20260521_220854,2026-05-21T22:24:29.200530,https://0ac60070049b28a0812fa847009400ee.web-security-academy.net/product/?productId=17,https://0ac60070049b28a0812fa847009400ee.web-security-academy.net/,False,https://0ac60070049b28a0812fa847009400ee.web-security-academy.net/product/?productId=17,https://0ac60070049b28a0812fa847009400ee.web-security-academy.net/,https://0ac60070049b28a0812fa847009400ee.web-security-academy.net/product/?productId=17,recon_page,2026-05-21T22:24:29.235178
86,1,1,1,1,0,0,1,0,57,1,net,200,2,7415,995.8320000000001,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,8,4,4,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0.0,0.00013486176668914363,0.125,0.0,0,,20260521_220854,2026-05-21T22:24:29.229218,https://0ac60070049b28a0812fa847009400ee.web-security-academy.net/product/?productId=4,https://0ac60070049b28a0812fa847009400ee.web-security-academy.net/,False,https://0ac60070049b28a0812fa847009400ee.web-security-academy.net/product/?productId=4,https://0ac60070049b28a0812fa847009400ee.web-security-academy.net/,https://0ac60070049b28a0812fa847009400ee.web-security-academy.net/product/?productId=4,recon_page,2026-05-21T22:24:29.241431
87,1,1,1,1,0,0,1,0,57,1,net,200,2,7343,866.99,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,8,4,4,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0.0,0.00013618412093149938,0.125,0.0,0,,20260521_220854,2026-05-21T22:24:29.219939,https://0ac60070049b28a0812fa847009400ee.web-security-academy.net/product/?productId=19,https://0ac60070049b28a0812fa847009400ee.web-security-academy.net/,False,https://0ac60070049b28a0812fa847009400ee.web-security-academy.net/product/?productId=19,https://0ac60070049b28a0812fa847009400ee.web-security-academy.net/,https://0ac60070049b28a0812fa847009400ee.web-security-academy.net/product/?productId=19,recon_page,2026-05-21T22:24:29.241128
86,1,1,1,1,0,0,1,0,57,1,net,200,2,8044,830.851,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,1,8,4,4,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0.0,0.0002486325211337643,0.125,0.0,0,,20260521_220854,2026-05-21T22:24:29.224466,https://0ac60070049b28a0812fa847009400ee.web-security-academy.net/product/?productId=3,https://0ac60070049b28a0812fa847009400ee.web-security-academy.net/,False,https://0ac60070049b28a0812fa847009400ee.web-security-academy.net/product/?productId=3,https://0ac60070049b28a0812fa847009400ee.web-security-academy.net/,https://0ac60070049b28a0812fa847009400ee.web-security-academy.net/product/?productId=3,recon_page,2026-05-21T22:24:29.241711
86,1,1,1,1,0,0,1,0,57,1,net,200,2,7354,960.611,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,8,4,4,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0.0,0.00013598041881968996,0.125,0.0,0,,20260521_220854,2026-05-21T22:24:29.235497,https://0ac60070049b28a0812fa847009400ee.web-security-academy.net/product/?productId=8,https://0ac60070049b28a0812fa847009400ee.web-security-academy.net/,False,https://0ac60070049b28a0812fa847009400ee.web-security-academy.net/product/?productId=8,https://0ac60070049b28a0812fa847009400ee.web-security-academy.net/,https://0ac60070049b28a0812fa847009400ee.web-security-academy.net/product/?productId=8,recon_page,2026-05-21T22:24:29.242021
