url_length,has_https,path_depth,has_query_params,num_query_params,has_fragment,has_port,subdomain_count,is_ip_address,domain_length,domain_has_hyphens,domain_tld,status_code,status_category,response_size,response_time_ms,is_redirect,redirect_chain_len,total_headers,server_header_present,server_header,x_powered_by_present,content_type,has_cookies,num_cookies,has_cors,cache_control,security_headers_count,has_csp,has_hsts,has_xss_protection,has_frame_options,has_content_type_options,has_forms,form_count,has_inputs,input_count,has_password_input,password_count,has_hidden_input,hidden_count,has_file_upload,file_upload_count,has_search_input,search_count,has_buttons,button_count,has_textarea,textarea_count,has_select,select_count,has_scripts,script_count,inline_script_count,internal_script_count,external_script_count,has_links,link_count,internal_link_count,external_link_count,has_images,image_count,has_meta_tags,meta_count,has_stylesheets,stylesheet_count,has_javascript,has_comments,comment_count,has_title,server_apache,server_nginx,server_iis,tech_php,tech_aspnet,tech_jsp,tech_wordpress,tech_drupal,tech_joomla,has_debug_info,has_error_messages,has_sql_errors,has_file_paths,has_waf,waf_cloudflare,waf_aws,waf_imperva,reflection_detected,csp_header_reflection_detected,has_jwt,jwt_count,has_api_keys,api_key_count,cookie_count,session_cookies,secure_cookie_ratio,httponly_cookie_ratio,samesite_cookie_ratio,redirect_count,has_redirect_chain,final_https,get_form_count,post_form_count,has_login_form,login_form_count,csrf_token_input_count,has_csrf_token,same_origin_form_count,external_form_count,unique_input_names,unique_endpoint_count,parameterized_link_count,api_like_endpoint_count,inline_event_handler_count,email_input_count,url_input_count,mailto_link_count,tel_link_count,body_truncated_for_analysis,input_to_form_ratio,script_to_content_ratio,security_score,interactivity_score,is_vulnerable,vulnerability_type,scan_id,timestamp,target_url,original_url,is_redirect_response,final_url,target_root,page_url,dataset_record_type,saved_at
66,1,0,0,0,0,0,1,0,57,1,net,200,2,5743,686.851,0,3,4,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,15,14,1,1,6,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2,1,1,0,0,0,0,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0.0,0.00017412502176562773,0.125,0.0,0,,20260513_100848,2026-05-13T10:09:02.587607,https://0acc0092046b8bce80f19ebb009100d5.web-security-academy.net/,https://0acc0092046b8bce80f19ebb009100d5.web-security-academy.net/,False,https://0acc0092046b8bce80f19ebb009100d5.web-security-academy.net/,https://0acc0092046b8bce80f19ebb009100d5.web-security-academy.net/,https://0acc0092046b8bce80f19ebb009100d5.web-security-academy.net/,recon_page,2026-05-13T10:09:02.588600
66,1,0,0,0,0,0,1,0,57,1,net,200,2,5743,1028.725,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,15,14,1,1,6,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0.0,0.00017412502176562773,0.125,0.0,0,,20260513_100848,2026-05-13T10:12:57.104073,https://0acc0092046b8bce80f19ebb009100d5.web-security-academy.net/,https://0acc0092046b8bce80f19ebb009100d5.web-security-academy.net/,False,https://0acc0092046b8bce80f19ebb009100d5.web-security-academy.net/,https://0acc0092046b8bce80f19ebb009100d5.web-security-academy.net/,https://0acc0092046b8bce80f19ebb009100d5.web-security-academy.net/,recon_page,2026-05-13T10:12:57.105377
80,1,1,1,1,0,0,1,0,57,1,net,200,2,7629,690.8149999999999,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,1,1,1,6,0,0,1,2,0,0,0,0,1,1,1,1,0,0,1,1,0,1,0,1,6,5,1,1,4,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1,1,1,1,1,1,0,6,7,1,0,0,1,0,0,0,0,6.0,0.00013107877834578582,0.125,1.0486302267662866,0,,20260513_100848,2026-05-13T10:13:12.656296,https://0acc0092046b8bce80f19ebb009100d5.web-security-academy.net/post/?postId=4,https://0acc0092046b8bce80f19ebb009100d5.web-security-academy.net/,False,https://0acc0092046b8bce80f19ebb009100d5.web-security-academy.net/post/?postId=4,https://0acc0092046b8bce80f19ebb009100d5.web-security-academy.net/,https://0acc0092046b8bce80f19ebb009100d5.web-security-academy.net/post/?postId=4,recon_page,2026-05-13T10:13:12.657824
80,1,1,1,1,0,0,1,0,57,1,net,200,2,8884,756.691,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,1,1,1,6,0,0,1,2,0,0,0,0,1,1,1,1,0,0,1,1,0,1,0,1,6,5,1,1,4,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1,1,1,1,1,1,0,6,7,1,0,0,1,0,0,0,0,6.0,0.00011256190904997749,0.125,0.9004952723998199,0,,20260513_100848,2026-05-13T10:13:19.459916,https://0acc0092046b8bce80f19ebb009100d5.web-security-academy.net/post/?postId=2,https://0acc0092046b8bce80f19ebb009100d5.web-security-academy.net/,False,https://0acc0092046b8bce80f19ebb009100d5.web-security-academy.net/post/?postId=2,https://0acc0092046b8bce80f19ebb009100d5.web-security-academy.net/,https://0acc0092046b8bce80f19ebb009100d5.web-security-academy.net/post/?postId=2,recon_page,2026-05-13T10:13:19.460511
80,1,1,1,1,0,0,1,0,57,1,net,200,2,8077,892.424,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,1,1,1,6,0,0,1,2,0,0,0,0,1,1,1,1,0,0,1,1,0,1,0,1,6,5,1,1,4,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1,1,1,1,1,1,0,6,7,1,0,0,1,0,0,0,0,6.0,0.0001238083446824316,0.125,0.9904667574594528,0,,20260513_100848,2026-05-13T10:13:26.385594,https://0acc0092046b8bce80f19ebb009100d5.web-security-academy.net/post/?postId=3,https://0acc0092046b8bce80f19ebb009100d5.web-security-academy.net/,False,https://0acc0092046b8bce80f19ebb009100d5.web-security-academy.net/post/?postId=3,https://0acc0092046b8bce80f19ebb009100d5.web-security-academy.net/,https://0acc0092046b8bce80f19ebb009100d5.web-security-academy.net/post/?postId=3,recon_page,2026-05-13T10:13:26.386470
80,1,1,1,1,0,0,1,0,57,1,net,200,2,8740,753.9169999999999,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,1,1,1,6,0,0,1,2,0,0,0,0,1,1,1,1,0,0,1,1,0,1,0,1,6,5,1,1,6,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1,1,1,1,1,1,0,6,7,1,0,0,1,0,0,0,0,6.0,0.00011441647597254005,0.125,0.9153318077803203,0,,20260513_100848,2026-05-13T10:13:33.564874,https://0acc0092046b8bce80f19ebb009100d5.web-security-academy.net/post/?postId=5,https://0acc0092046b8bce80f19ebb009100d5.web-security-academy.net/,False,https://0acc0092046b8bce80f19ebb009100d5.web-security-academy.net/post/?postId=5,https://0acc0092046b8bce80f19ebb009100d5.web-security-academy.net/,https://0acc0092046b8bce80f19ebb009100d5.web-security-academy.net/post/?postId=5,recon_page,2026-05-13T10:13:33.565333
80,1,1,1,1,0,0,1,0,57,1,net,200,2,7677,898.716,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,1,1,1,6,0,0,1,2,0,0,0,0,1,1,1,1,0,0,1,1,0,1,0,1,6,5,1,1,3,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1,1,1,1,1,1,0,6,7,1,0,0,1,0,0,0,0,6.0,0.00013025921583952066,0.125,1.0420737267161653,0,,20260513_100848,2026-05-13T10:13:39.390632,https://0acc0092046b8bce80f19ebb009100d5.web-security-academy.net/post/?postId=1,https://0acc0092046b8bce80f19ebb009100d5.web-security-academy.net/,False,https://0acc0092046b8bce80f19ebb009100d5.web-security-academy.net/post/?postId=1,https://0acc0092046b8bce80f19ebb009100d5.web-security-academy.net/,https://0acc0092046b8bce80f19ebb009100d5.web-security-academy.net/post/?postId=1,recon_page,2026-05-13T10:13:39.391355
88,1,1,1,1,0,0,1,0,57,1,net,200,2,4292,1998.456,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,1,1,1,5,0,0,1,1,0,0,0,0,1,1,1,1,0,0,1,4,1,3,0,1,5,4,1,0,0,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1,1,1,1,1,1,0,5,9,1,0,0,1,0,0,0,0,5.0,0.0009319664492078285,0.125,1.6309412861137,0,,20260513_100848,2026-05-13T10:13:57.766265,https://0acc0092046b8bce80f19ebb009100d5.web-security-academy.net/feedback/?returnPath=/,https://0acc0092046b8bce80f19ebb009100d5.web-security-academy.net/,False,https://0acc0092046b8bce80f19ebb009100d5.web-security-academy.net/feedback/?returnPath=/,https://0acc0092046b8bce80f19ebb009100d5.web-security-academy.net/,https://0acc0092046b8bce80f19ebb009100d5.web-security-academy.net/feedback/?returnPath=/,recon_page,2026-05-13T10:13:57.767028
93,1,1,1,1,0,0,1,0,57,1,net,200,2,4292,2115.71,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,1,1,1,5,0,0,1,1,0,0,0,0,1,1,1,1,0,0,1,4,1,3,0,1,5,4,1,0,0,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1,1,1,1,1,1,0,5,9,1,0,0,1,0,0,0,0,5.0,0.0009319664492078285,0.125,1.6309412861137,0,,20260513_100848,2026-05-13T10:15:13.130210,https://0acc0092046b8bce80f19ebb009100d5.web-security-academy.net/feedback/?returnPath=/post/,https://0acc0092046b8bce80f19ebb009100d5.web-security-academy.net/,False,https://0acc0092046b8bce80f19ebb009100d5.web-security-academy.net/feedback/?returnPath=/post/,https://0acc0092046b8bce80f19ebb009100d5.web-security-academy.net/,https://0acc0092046b8bce80f19ebb009100d5.web-security-academy.net/feedback/?returnPath=/post/,recon_page,2026-05-13T10:15:13.130666
97,1,1,1,1,0,0,1,0,57,1,net,200,2,4292,2839.806,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,1,1,1,5,0,0,1,1,0,0,0,0,1,1,1,1,0,0,1,4,1,3,0,1,5,4,1,0,0,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1,1,1,1,1,1,0,5,9,1,0,0,1,0,0,0,0,5.0,0.0009319664492078285,0.125,1.6309412861137,0,,20260513_100848,2026-05-13T10:15:19.735684,https://0acc0092046b8bce80f19ebb009100d5.web-security-academy.net/feedback/?returnPath=/feedback/,https://0acc0092046b8bce80f19ebb009100d5.web-security-academy.net/,False,https://0acc0092046b8bce80f19ebb009100d5.web-security-academy.net/feedback/?returnPath=/feedback/,https://0acc0092046b8bce80f19ebb009100d5.web-security-academy.net/,https://0acc0092046b8bce80f19ebb009100d5.web-security-academy.net/feedback/?returnPath=/feedback/,recon_page,2026-05-13T10:15:19.736518
