url_length,has_https,path_depth,has_query_params,num_query_params,has_fragment,has_port,subdomain_count,is_ip_address,domain_length,domain_has_hyphens,domain_tld,status_code,status_category,response_size,response_time_ms,is_redirect,redirect_chain_len,total_headers,server_header_present,server_header,x_powered_by_present,content_type,has_cookies,num_cookies,has_cors,cache_control,security_headers_count,has_csp,has_hsts,has_xss_protection,has_frame_options,has_content_type_options,has_forms,form_count,has_inputs,input_count,has_password_input,password_count,has_hidden_input,hidden_count,has_file_upload,file_upload_count,has_search_input,search_count,has_buttons,button_count,has_textarea,textarea_count,has_select,select_count,has_scripts,script_count,inline_script_count,internal_script_count,external_script_count,has_links,link_count,internal_link_count,external_link_count,has_images,image_count,has_meta_tags,meta_count,has_stylesheets,stylesheet_count,has_javascript,has_comments,comment_count,has_title,server_apache,server_nginx,server_iis,tech_php,tech_aspnet,tech_jsp,tech_wordpress,tech_drupal,tech_joomla,has_debug_info,has_error_messages,has_sql_errors,has_file_paths,has_waf,waf_cloudflare,waf_aws,waf_imperva,reflection_detected,csp_header_reflection_detected,has_jwt,jwt_count,has_api_keys,api_key_count,cookie_count,session_cookies,secure_cookie_ratio,httponly_cookie_ratio,samesite_cookie_ratio,redirect_count,has_redirect_chain,final_https,get_form_count,post_form_count,has_login_form,login_form_count,csrf_token_input_count,has_csrf_token,same_origin_form_count,external_form_count,unique_input_names,unique_endpoint_count,parameterized_link_count,api_like_endpoint_count,inline_event_handler_count,email_input_count,url_input_count,mailto_link_count,tel_link_count,body_truncated_for_analysis,input_to_form_ratio,script_to_content_ratio,security_score,interactivity_score,is_vulnerable,vulnerability_type,scan_id,timestamp,target_url,original_url,is_redirect_response,final_url,target_root,page_url,dataset_record_type,saved_at
66,1,0,0,0,0,0,1,0,57,1,net,200,2,10388,834.688,0,3,4,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,24,23,1,1,41,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2,1,1,0,0,0,0,0,0,0,0,0,25,20,0,0,0,0,0,0,0,0.0,9.626492106276473e-05,0.125,0.0,0,,20260520_193638,2026-05-20T19:36:51.575927,https://0adb0049044d34d98005da00000100b3.web-security-academy.net/,https://0adb0049044d34d98005da00000100b3.web-security-academy.net/,False,https://0adb0049044d34d98005da00000100b3.web-security-academy.net/,https://0adb0049044d34d98005da00000100b3.web-security-academy.net/,https://0adb0049044d34d98005da00000100b3.web-security-academy.net/,recon_page,2026-05-20T19:36:51.576353
66,1,0,0,0,0,0,1,0,57,1,net,200,2,10388,776.479,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,24,23,1,1,41,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,25,20,0,0,0,0,0,0,0,0.0,9.626492106276473e-05,0.125,0.0,0,,20260520_193638,2026-05-20T19:37:03.855953,https://0adb0049044d34d98005da00000100b3.web-security-academy.net/,https://0adb0049044d34d98005da00000100b3.web-security-academy.net/,False,https://0adb0049044d34d98005da00000100b3.web-security-academy.net/,https://0adb0049044d34d98005da00000100b3.web-security-academy.net/,https://0adb0049044d34d98005da00000100b3.web-security-academy.net/,recon_page,2026-05-20T19:37:03.856378
86,1,1,1,1,0,0,1,0,57,1,net,200,2,3814,843.951,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,5,4,1,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0.0,0.00026219192448872575,0.125,0.0,0,,20260520_193638,2026-05-20T19:55:24.467159,https://0adb0049044d34d98005da00000100b3.web-security-academy.net/product/?productId=7,https://0adb0049044d34d98005da00000100b3.web-security-academy.net/,False,https://0adb0049044d34d98005da00000100b3.web-security-academy.net/product/?productId=7,https://0adb0049044d34d98005da00000100b3.web-security-academy.net/,https://0adb0049044d34d98005da00000100b3.web-security-academy.net/product/?productId=7,recon_page,2026-05-20T19:55:24.468446
86,1,1,1,1,0,0,1,0,57,1,net,200,2,4367,887.779,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,5,4,1,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0.0,0.0002289901534234028,0.125,0.0,0,,20260520_193638,2026-05-20T19:55:30.309106,https://0adb0049044d34d98005da00000100b3.web-security-academy.net/product/?productId=9,https://0adb0049044d34d98005da00000100b3.web-security-academy.net/,False,https://0adb0049044d34d98005da00000100b3.web-security-academy.net/product/?productId=9,https://0adb0049044d34d98005da00000100b3.web-security-academy.net/,https://0adb0049044d34d98005da00000100b3.web-security-academy.net/product/?productId=9,recon_page,2026-05-20T19:55:30.309587
86,1,1,1,1,0,0,1,0,57,1,net,200,2,4059,919.615,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,5,4,1,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0.0,0.0002463661000246366,0.125,0.0,0,,20260520_193638,2026-05-20T19:55:35.304246,https://0adb0049044d34d98005da00000100b3.web-security-academy.net/product/?productId=5,https://0adb0049044d34d98005da00000100b3.web-security-academy.net/,False,https://0adb0049044d34d98005da00000100b3.web-security-academy.net/product/?productId=5,https://0adb0049044d34d98005da00000100b3.web-security-academy.net/,https://0adb0049044d34d98005da00000100b3.web-security-academy.net/product/?productId=5,recon_page,2026-05-20T19:55:35.305170
87,1,1,1,1,0,0,1,0,57,1,net,200,2,4123,922.4689999999999,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,5,4,1,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0.0,0.00024254183846713557,0.125,0.0,0,,20260520_193638,2026-05-20T19:55:40.476417,https://0adb0049044d34d98005da00000100b3.web-security-academy.net/product/?productId=16,https://0adb0049044d34d98005da00000100b3.web-security-academy.net/,False,https://0adb0049044d34d98005da00000100b3.web-security-academy.net/product/?productId=16,https://0adb0049044d34d98005da00000100b3.web-security-academy.net/,https://0adb0049044d34d98005da00000100b3.web-security-academy.net/product/?productId=16,recon_page,2026-05-20T19:55:40.476852
87,1,1,1,1,0,0,1,0,57,1,net,200,2,4210,934.413,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,5,4,1,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0.0,0.00023752969121140142,0.125,0.0,0,,20260520_193638,2026-05-20T19:55:48.863658,https://0adb0049044d34d98005da00000100b3.web-security-academy.net/product/?productId=18,https://0adb0049044d34d98005da00000100b3.web-security-academy.net/,False,https://0adb0049044d34d98005da00000100b3.web-security-academy.net/product/?productId=18,https://0adb0049044d34d98005da00000100b3.web-security-academy.net/,https://0adb0049044d34d98005da00000100b3.web-security-academy.net/product/?productId=18,recon_page,2026-05-20T19:55:48.871880
86,1,1,1,1,0,0,1,0,57,1,net,200,2,4081,983.537,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,5,4,1,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0.0,0.0002450379808870375,0.125,0.0,0,,20260520_193638,2026-05-20T19:56:07.554192,https://0adb0049044d34d98005da00000100b3.web-security-academy.net/product/?productId=4,https://0adb0049044d34d98005da00000100b3.web-security-academy.net/,False,https://0adb0049044d34d98005da00000100b3.web-security-academy.net/product/?productId=4,https://0adb0049044d34d98005da00000100b3.web-security-academy.net/,https://0adb0049044d34d98005da00000100b3.web-security-academy.net/product/?productId=4,recon_page,2026-05-20T19:56:07.555309
87,1,1,1,1,0,0,1,0,57,1,net,200,2,4150,978.1840000000001,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,5,4,1,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0.0,0.00024096385542168674,0.125,0.0,0,,20260520_193638,2026-05-20T19:56:13.510357,https://0adb0049044d34d98005da00000100b3.web-security-academy.net/product/?productId=14,https://0adb0049044d34d98005da00000100b3.web-security-academy.net/,False,https://0adb0049044d34d98005da00000100b3.web-security-academy.net/product/?productId=14,https://0adb0049044d34d98005da00000100b3.web-security-academy.net/,https://0adb0049044d34d98005da00000100b3.web-security-academy.net/product/?productId=14,recon_page,2026-05-20T19:56:13.511725
87,1,1,1,1,0,0,1,0,57,1,net,200,2,4198,1101.041,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,5,4,1,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0.0,0.00023820867079561695,0.125,0.0,0,,20260520_193638,2026-05-20T19:56:18.565856,https://0adb0049044d34d98005da00000100b3.web-security-academy.net/product/?productId=10,https://0adb0049044d34d98005da00000100b3.web-security-academy.net/,False,https://0adb0049044d34d98005da00000100b3.web-security-academy.net/product/?productId=10,https://0adb0049044d34d98005da00000100b3.web-security-academy.net/,https://0adb0049044d34d98005da00000100b3.web-security-academy.net/product/?productId=10,recon_page,2026-05-20T19:56:18.574106
