url_length,has_https,path_depth,has_query_params,num_query_params,has_fragment,has_port,subdomain_count,is_ip_address,domain_length,domain_has_hyphens,domain_tld,status_code,status_category,response_size,response_time_ms,is_redirect,redirect_chain_len,total_headers,server_header_present,server_header,x_powered_by_present,content_type,has_cookies,num_cookies,has_cors,cache_control,security_headers_count,has_csp,has_hsts,has_xss_protection,has_frame_options,has_content_type_options,has_forms,form_count,has_inputs,input_count,has_password_input,password_count,has_hidden_input,hidden_count,has_file_upload,file_upload_count,has_search_input,search_count,has_buttons,button_count,has_textarea,textarea_count,has_select,select_count,has_scripts,script_count,inline_script_count,internal_script_count,external_script_count,has_links,link_count,internal_link_count,external_link_count,has_images,image_count,has_meta_tags,meta_count,has_stylesheets,stylesheet_count,has_javascript,has_comments,comment_count,has_title,server_apache,server_nginx,server_iis,tech_php,tech_aspnet,tech_jsp,tech_wordpress,tech_drupal,tech_joomla,has_debug_info,has_error_messages,has_sql_errors,has_file_paths,has_waf,waf_cloudflare,waf_aws,waf_imperva,reflection_detected,csp_header_reflection_detected,has_jwt,jwt_count,has_api_keys,api_key_count,cookie_count,session_cookies,secure_cookie_ratio,httponly_cookie_ratio,samesite_cookie_ratio,redirect_count,has_redirect_chain,final_https,get_form_count,post_form_count,has_login_form,login_form_count,csrf_token_input_count,has_csrf_token,same_origin_form_count,external_form_count,unique_input_names,unique_endpoint_count,parameterized_link_count,api_like_endpoint_count,inline_event_handler_count,email_input_count,url_input_count,mailto_link_count,tel_link_count,body_truncated_for_analysis,input_to_form_ratio,script_to_content_ratio,security_score,interactivity_score,is_vulnerable,vulnerability_type,scan_id,timestamp,target_url,original_url,is_redirect_response,final_url,target_root,page_url,dataset_record_type,saved_at
66,1,0,0,0,0,0,1,0,57,1,net,200,2,10408,630.9630000000001,0,3,4,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,24,23,1,1,41,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2,1,1,0,0,0,0,0,0,0,0,0,25,20,0,0,0,0,0,0,0,0.0,9.607993850883935e-05,0.125,0.0,0,,20260520_225502,2026-05-20T22:55:13.262729,https://0af400be03a4fa798241f785001700aa.web-security-academy.net/,https://0af400be03a4fa798241f785001700aa.web-security-academy.net/,False,https://0af400be03a4fa798241f785001700aa.web-security-academy.net/,https://0af400be03a4fa798241f785001700aa.web-security-academy.net/,https://0af400be03a4fa798241f785001700aa.web-security-academy.net/,recon_page,2026-05-20T22:55:13.263130
66,1,0,0,0,0,0,1,0,57,1,net,200,2,10408,816.152,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,24,23,1,1,41,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,25,20,0,0,0,0,0,0,0,0.0,9.607993850883935e-05,0.125,0.0,0,,20260520_225502,2026-05-20T22:59:25.728980,https://0af400be03a4fa798241f785001700aa.web-security-academy.net/,https://0af400be03a4fa798241f785001700aa.web-security-academy.net/,False,https://0af400be03a4fa798241f785001700aa.web-security-academy.net/,https://0af400be03a4fa798241f785001700aa.web-security-academy.net/,https://0af400be03a4fa798241f785001700aa.web-security-academy.net/,recon_page,2026-05-20T22:59:25.732580
86,1,1,1,1,0,0,1,0,57,1,net,200,2,4338,726.5310000000001,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,5,4,1,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0.0,0.0002305209774089442,0.125,0.0,0,,20260520_225502,2026-05-20T23:17:30.930251,https://0af400be03a4fa798241f785001700aa.web-security-academy.net/product/?productId=5,https://0af400be03a4fa798241f785001700aa.web-security-academy.net/,False,https://0af400be03a4fa798241f785001700aa.web-security-academy.net/product/?productId=5,https://0af400be03a4fa798241f785001700aa.web-security-academy.net/,https://0af400be03a4fa798241f785001700aa.web-security-academy.net/product/?productId=5,recon_page,2026-05-20T23:17:30.930737
87,1,1,1,1,0,0,1,0,57,1,net,200,2,3826,739.285,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,5,4,1,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0.0,0.00026136957658128593,0.125,0.0,0,,20260520_225502,2026-05-20T23:17:37.662546,https://0af400be03a4fa798241f785001700aa.web-security-academy.net/product/?productId=11,https://0af400be03a4fa798241f785001700aa.web-security-academy.net/,False,https://0af400be03a4fa798241f785001700aa.web-security-academy.net/product/?productId=11,https://0af400be03a4fa798241f785001700aa.web-security-academy.net/,https://0af400be03a4fa798241f785001700aa.web-security-academy.net/product/?productId=11,recon_page,2026-05-20T23:17:37.663113
86,1,1,1,1,0,0,1,0,57,1,net,200,2,4528,889.007,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,5,4,1,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0.0,0.00022084805653710247,0.125,0.0,0,,20260520_225502,2026-05-20T23:17:42.229214,https://0af400be03a4fa798241f785001700aa.web-security-academy.net/product/?productId=7,https://0af400be03a4fa798241f785001700aa.web-security-academy.net/,False,https://0af400be03a4fa798241f785001700aa.web-security-academy.net/product/?productId=7,https://0af400be03a4fa798241f785001700aa.web-security-academy.net/,https://0af400be03a4fa798241f785001700aa.web-security-academy.net/product/?productId=7,recon_page,2026-05-20T23:17:42.229608
87,1,1,1,1,0,0,1,0,57,1,net,200,2,4438,718.4549999999999,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,5,4,1,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0.0,0.0002253267237494367,0.125,0.0,0,,20260520_225502,2026-05-20T23:17:47.028967,https://0af400be03a4fa798241f785001700aa.web-security-academy.net/product/?productId=12,https://0af400be03a4fa798241f785001700aa.web-security-academy.net/,False,https://0af400be03a4fa798241f785001700aa.web-security-academy.net/product/?productId=12,https://0af400be03a4fa798241f785001700aa.web-security-academy.net/,https://0af400be03a4fa798241f785001700aa.web-security-academy.net/product/?productId=12,recon_page,2026-05-20T23:17:47.029508
87,1,1,1,1,0,0,1,0,57,1,net,200,2,4064,751.2370000000001,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,5,4,1,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0.0,0.00024606299212598425,0.125,0.0,0,,20260520_225502,2026-05-20T23:17:52.381953,https://0af400be03a4fa798241f785001700aa.web-security-academy.net/product/?productId=18,https://0af400be03a4fa798241f785001700aa.web-security-academy.net/,False,https://0af400be03a4fa798241f785001700aa.web-security-academy.net/product/?productId=18,https://0af400be03a4fa798241f785001700aa.web-security-academy.net/,https://0af400be03a4fa798241f785001700aa.web-security-academy.net/product/?productId=18,recon_page,2026-05-20T23:17:52.384377
86,1,1,1,1,0,0,1,0,57,1,net,200,2,4474,816.234,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,5,4,1,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0.0,0.00022351363433169424,0.125,0.0,0,,20260520_225502,2026-05-20T23:17:58.067660,https://0af400be03a4fa798241f785001700aa.web-security-academy.net/product/?productId=3,https://0af400be03a4fa798241f785001700aa.web-security-academy.net/,False,https://0af400be03a4fa798241f785001700aa.web-security-academy.net/product/?productId=3,https://0af400be03a4fa798241f785001700aa.web-security-academy.net/,https://0af400be03a4fa798241f785001700aa.web-security-academy.net/product/?productId=3,recon_page,2026-05-20T23:17:58.068694
86,1,1,1,1,0,0,1,0,57,1,net,200,2,4377,886.802,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,5,4,1,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0.0,0.0002284669865204478,0.125,0.0,0,,20260520_225502,2026-05-20T23:18:03.798970,https://0af400be03a4fa798241f785001700aa.web-security-academy.net/product/?productId=8,https://0af400be03a4fa798241f785001700aa.web-security-academy.net/,False,https://0af400be03a4fa798241f785001700aa.web-security-academy.net/product/?productId=8,https://0af400be03a4fa798241f785001700aa.web-security-academy.net/,https://0af400be03a4fa798241f785001700aa.web-security-academy.net/product/?productId=8,recon_page,2026-05-20T23:18:03.800036
86,1,1,1,1,0,0,1,0,57,1,net,200,2,3700,834.26,0,0,5,0,unknown,0,html,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,5,4,1,1,2,0,0,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0.0,0.0002702702702702703,0.125,0.0,0,,20260520_225502,2026-05-20T23:18:08.390147,https://0af400be03a4fa798241f785001700aa.web-security-academy.net/product/?productId=1,https://0af400be03a4fa798241f785001700aa.web-security-academy.net/,False,https://0af400be03a4fa798241f785001700aa.web-security-academy.net/product/?productId=1,https://0af400be03a4fa798241f785001700aa.web-security-academy.net/,https://0af400be03a4fa798241f785001700aa.web-security-academy.net/product/?productId=1,recon_page,2026-05-20T23:18:08.390617
