url_length,has_https,path_depth,has_query_params,num_query_params,has_fragment,has_port,subdomain_count,is_ip_address,domain_length,domain_has_hyphens,domain_tld,status_code,status_category,response_size,response_time_ms,is_redirect,redirect_chain_len,total_headers,server_header_present,server_header,x_powered_by_present,content_type,has_cookies,num_cookies,has_cors,cache_control,security_headers_count,has_csp,has_hsts,has_xss_protection,has_frame_options,has_content_type_options,has_forms,form_count,has_inputs,input_count,has_password_input,password_count,has_hidden_input,hidden_count,has_file_upload,file_upload_count,has_search_input,search_count,has_buttons,button_count,has_textarea,textarea_count,has_select,select_count,has_scripts,script_count,inline_script_count,internal_script_count,external_script_count,has_links,link_count,internal_link_count,external_link_count,has_images,image_count,has_meta_tags,meta_count,has_stylesheets,stylesheet_count,has_javascript,has_comments,comment_count,has_title,server_apache,server_nginx,server_iis,tech_php,tech_aspnet,tech_jsp,tech_wordpress,tech_drupal,tech_joomla,has_debug_info,has_error_messages,has_sql_errors,has_file_paths,has_waf,waf_cloudflare,waf_aws,waf_imperva,reflection_detected,csp_header_reflection_detected,has_jwt,jwt_count,has_api_keys,api_key_count,cookie_count,session_cookies,secure_cookie_ratio,httponly_cookie_ratio,samesite_cookie_ratio,redirect_count,has_redirect_chain,final_https,get_form_count,post_form_count,has_login_form,login_form_count,csrf_token_input_count,has_csrf_token,same_origin_form_count,external_form_count,unique_input_names,unique_endpoint_count,parameterized_link_count,api_like_endpoint_count,inline_event_handler_count,email_input_count,url_input_count,mailto_link_count,tel_link_count,body_truncated_for_analysis,input_to_form_ratio,script_to_content_ratio,security_score,interactivity_score,is_vulnerable,vulnerability_type,scan_id,timestamp,target_url,original_url,is_redirect_response,final_url,target_root,page_url,dataset_record_type,saved_at
26,1,1,0,0,0,0,0,0,14,0,com,200,2,70930,1080.6979999999999,0,3,37,1,cloudflare,0,html,0,0,0,1,6,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,12,6,6,0,1,182,176,6,1,19,1,14,1,12,1,1,42,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2,1,1,0,0,0,0,0,0,0,0,0,100,3,0,1,0,0,0,0,0,0.0,0.0001691808825602707,0.75,0.014098406880022556,0,,20260512_095453,2026-05-12T09:54:57.668853,https://alscotoday.com/go/,https://alscotoday.com/go/,False,https://alscotoday.com/go/,https://alscotoday.com/go/,https://alscotoday.com/go/,recon_page,2026-05-12T09:54:57.671395
26,1,1,0,0,0,0,0,0,14,0,com,200,2,70930,778.377,0,0,35,1,cloudflare,0,html,0,0,0,1,6,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,12,6,6,0,1,182,176,6,1,19,1,14,1,12,1,1,42,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,100,3,0,1,0,0,0,0,0,0.0,0.0001691808825602707,0.75,0.014098406880022556,0,,20260512_095453,2026-05-12T09:55:06.895661,https://alscotoday.com/go/,https://alscotoday.com/go/,False,https://alscotoday.com/go/,https://alscotoday.com/go/,https://alscotoday.com/go/,recon_page,2026-05-12T09:55:06.902064
76,1,5,0,0,0,0,0,0,14,0,com,404,4,883,434.15500000000003,0,0,32,1,cloudflare,0,html,0,0,0,1,6,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.75,0.0,0,,20260512_095453,2026-05-12T09:55:57.789362,https://alscotoday.com/go/assets/img/ico/apple-touch-icon-72-precomposed.png,https://alscotoday.com/go/,False,https://alscotoday.com/go/assets/img/ico/apple-touch-icon-72-precomposed.png,https://alscotoday.com/go/,https://alscotoday.com/go/assets/img/ico/apple-touch-icon-72-precomposed.png,recon_page,2026-05-12T09:55:57.804527
76,1,5,0,0,0,0,0,0,14,0,com,404,4,883,439.514,0,0,32,1,cloudflare,0,html,0,0,0,1,6,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.75,0.0,0,,20260512_095453,2026-05-12T09:55:58.312222,https://alscotoday.com/go/assets/img/ico/apple-touch-icon-57-precomposed.png,https://alscotoday.com/go/,False,https://alscotoday.com/go/assets/img/ico/apple-touch-icon-57-precomposed.png,https://alscotoday.com/go/,https://alscotoday.com/go/assets/img/ico/apple-touch-icon-57-precomposed.png,recon_page,2026-05-12T09:55:58.333716
61,1,2,0,0,0,0,0,0,14,0,com,404,4,1802,1611.507,0,0,31,1,cloudflare,0,html,0,0,0,1,6,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0005549389567147614,0.75,0.0,0,,20260512_095453,2026-05-12T09:56:09.388704,https://alscotoday.com/go/web-secure-gateway-for-individuals/,https://alscotoday.com/go/,False,https://alscotoday.com/go/web-secure-gateway-for-individuals/,https://alscotoday.com/go/,https://alscotoday.com/go/web-secure-gateway-for-individuals/,recon_page,2026-05-12T09:56:09.436118
23,1,0,0,0,0,0,0,0,14,0,com,200,2,0,1511.812,0,0,32,1,cloudflare,0,html,0,0,0,0,5,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.625,0.0,0,,20260512_095453,2026-05-12T09:56:10.036465,https://alscotoday.com/,https://alscotoday.com/go/,False,https://alscotoday.com/,https://alscotoday.com/go/,https://alscotoday.com/,recon_page,2026-05-12T09:56:10.055138
31,1,2,0,0,0,0,0,0,14,0,com,404,4,1802,1819.561,0,0,31,1,cloudflare,0,html,0,0,0,1,6,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0005549389567147614,0.75,0.0,0,,20260512_095453,2026-05-12T09:56:11.071867,https://alscotoday.com/go/blog/,https://alscotoday.com/go/,False,https://alscotoday.com/go/blog/,https://alscotoday.com/go/,https://alscotoday.com/go/blog/,recon_page,2026-05-12T09:56:11.082571
60,1,2,0,0,0,0,0,0,14,0,com,404,4,1802,1700.4669999999999,0,0,31,1,cloudflare,0,html,0,0,0,1,6,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0005549389567147614,0.75,0.0,0,,20260512_095453,2026-05-12T09:56:11.062900,https://alscotoday.com/go/bare-metal-servers-for-government/,https://alscotoday.com/go/,False,https://alscotoday.com/go/bare-metal-servers-for-government/,https://alscotoday.com/go/,https://alscotoday.com/go/bare-metal-servers-for-government/,recon_page,2026-05-12T09:56:11.085310
40,1,2,0,0,0,0,0,0,14,0,com,404,4,1802,2352.789,0,0,31,1,cloudflare,0,html,0,0,0,1,6,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0005549389567147614,0.75,0.0,0,,20260512_095453,2026-05-12T09:56:11.041351,https://alscotoday.com/go/refund-policy/,https://alscotoday.com/go/,False,https://alscotoday.com/go/refund-policy/,https://alscotoday.com/go/,https://alscotoday.com/go/refund-policy/,recon_page,2026-05-12T09:56:11.076892
39,1,2,0,0,0,0,0,0,14,0,com,404,4,1802,1897.4089999999999,0,0,31,1,cloudflare,0,html,0,0,0,1,6,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0005549389567147614,0.75,0.0,0,,20260512_095453,2026-05-12T09:56:11.067004,https://alscotoday.com/go/mysql-server/,https://alscotoday.com/go/,False,https://alscotoday.com/go/mysql-server/,https://alscotoday.com/go/,https://alscotoday.com/go/mysql-server/,recon_page,2026-05-12T09:56:11.086743
47,1,2,0,0,0,0,0,0,14,0,com,404,4,1802,1706.72,0,0,31,1,cloudflare,0,html,0,0,0,1,6,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0005549389567147614,0.75,0.0,0,,20260512_095453,2026-05-12T09:56:11.057244,https://alscotoday.com/go/software-development/,https://alscotoday.com/go/,False,https://alscotoday.com/go/software-development/,https://alscotoday.com/go/,https://alscotoday.com/go/software-development/,recon_page,2026-05-12T09:56:11.084432
