url_length,has_https,path_depth,has_query_params,num_query_params,has_fragment,has_port,subdomain_count,is_ip_address,domain_length,domain_has_hyphens,domain_tld,status_code,status_category,response_size,response_time_ms,is_redirect,redirect_chain_len,total_headers,server_header_present,server_header,x_powered_by_present,content_type,has_cookies,num_cookies,has_cors,cache_control,security_headers_count,has_csp,has_hsts,has_xss_protection,has_frame_options,has_content_type_options,has_forms,form_count,has_inputs,input_count,has_password_input,password_count,has_hidden_input,hidden_count,has_file_upload,file_upload_count,has_search_input,search_count,has_buttons,button_count,has_textarea,textarea_count,has_select,select_count,has_scripts,script_count,inline_script_count,internal_script_count,external_script_count,has_links,link_count,internal_link_count,external_link_count,has_images,image_count,has_meta_tags,meta_count,has_stylesheets,stylesheet_count,has_javascript,has_comments,comment_count,has_title,server_apache,server_nginx,server_iis,tech_php,tech_aspnet,tech_jsp,tech_wordpress,tech_drupal,tech_joomla,has_debug_info,has_error_messages,has_sql_errors,has_file_paths,has_waf,waf_cloudflare,waf_aws,waf_imperva,waf_vendor_name,waf_detection_method,waf_confidence,reflection_detected,csp_header_reflection_detected,has_jwt,jwt_count,has_api_keys,api_key_count,cookie_count,session_cookies,secure_cookie_ratio,httponly_cookie_ratio,samesite_cookie_ratio,redirect_count,has_redirect_chain,final_https,get_form_count,post_form_count,has_login_form,login_form_count,csrf_token_input_count,has_csrf_token,same_origin_form_count,external_form_count,unique_input_names,unique_endpoint_count,parameterized_link_count,api_like_endpoint_count,inline_event_handler_count,email_input_count,url_input_count,mailto_link_count,tel_link_count,body_truncated_for_analysis,input_to_form_ratio,script_to_content_ratio,security_score,interactivity_score,is_vulnerable,vulnerability_type,scan_id,timestamp,target_url,original_url,is_redirect_response,final_url,target_root,page_url,dataset_record_type,saved_at
31,1,2,0,0,0,0,2,0,15,0,com,200,2,56555,900.082,0,3,27,0,unknown,0,html,1,5,1,1,8,1,1,1,1,1,1,4,1,23,0,0,1,23,0,0,0,0,1,4,0,0,0,0,1,9,5,4,0,1,25,23,2,1,8,1,7,1,3,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,none,none,0,0,0,0,0,0,5,1,0.8,0.8,0.0,2,1,1,2,2,0,0,3,1,4,0,9,26,7,1,4,0,0,0,0,0,5.75,0.00015913712315445143,1.0,0.5481389797542215,0,,20260615_183222,2026-06-15T18:32:33.269612,https://app.sa.zain.com/en/home,https://app.sa.zain.com/en/home,False,https://app.sa.zain.com/en/home,https://app.sa.zain.com/en/home,https://app.sa.zain.com/en/home,recon_page,2026-06-15T18:32:33.270108
32,1,2,0,0,0,0,2,0,15,0,com,200,2,56513,723.402,0,0,21,0,unknown,0,html,1,6,1,1,8,1,1,1,1,1,1,4,1,23,0,0,1,23,0,0,0,0,1,4,0,0,0,0,1,9,5,4,0,1,25,23,2,1,8,1,7,1,3,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,none,none,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0,0,1,2,2,0,0,3,1,4,0,9,27,7,1,4,0,0,0,0,0,5.75,0.00015925539256454266,1.0,0.5485463521667581,0,,20260615_183222,2026-06-15T18:32:51.964330,https://app.sa.zain.com/en/home/,https://app.sa.zain.com/en/home/,False,https://app.sa.zain.com/en/home/,https://app.sa.zain.com/en/home/,https://app.sa.zain.com/en/home/,recon_page,2026-06-15T18:32:51.964944
56,1,3,0,0,0,0,2,0,15,0,com,404,4,52548,316.308,0,0,18,0,unknown,0,html,1,5,1,1,8,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,9,5,4,0,1,26,22,4,1,7,1,7,1,3,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,none,none,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0,0,1,1,0,0,0,1,1,1,0,1,27,7,1,4,0,0,0,0,0,1.0,0.0001712719799040877,1.0,0.05709065996802923,0,,20260615_183222,2026-06-15T19:27:45.425387,https://app.sa.zain.com/en/contract-payment/save-config/,https://app.sa.zain.com/en/contract-payment/save-config/,False,https://app.sa.zain.com/en/contract-payment/save-config/,https://app.sa.zain.com/en/home/,https://app.sa.zain.com/en/contract-payment/save-config/,recon_page,2026-06-15T19:27:45.427175
39,1,2,0,0,0,0,2,0,15,0,com,200,2,50887,281.904,0,0,21,0,unknown,0,html,1,5,1,1,8,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,10,6,4,0,1,26,22,4,1,10,1,7,1,3,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,none,none,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0,0,1,1,0,0,0,1,1,1,0,1,26,8,1,4,0,0,0,0,0,1.0,0.000196513844400338,1.0,0.0589541533201014,0,,20260615_183222,2026-06-15T19:27:46.954475,https://app.sa.zain.com/en/zain-clinic/,https://app.sa.zain.com/en/zain-clinic/,False,https://app.sa.zain.com/en/zain-clinic/,https://app.sa.zain.com/en/home/,https://app.sa.zain.com/en/zain-clinic/,recon_page,2026-06-15T19:27:47.011017
36,1,2,0,0,0,0,2,0,15,0,com,200,2,43743,436.094,0,0,21,0,unknown,0,html,1,5,1,1,8,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,9,5,4,0,1,14,12,2,1,2,1,7,1,3,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,none,none,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0,0,1,1,0,0,0,1,1,1,0,1,19,7,1,0,0,0,0,0,0,1.0,0.00020574720526712846,1.0,0.06858240175570948,0,,20260615_183222,2026-06-15T19:27:46.973905,https://app.sa.zain.com/en/settings/,https://app.sa.zain.com/en/settings/,False,https://app.sa.zain.com/en/settings/,https://app.sa.zain.com/en/home/,https://app.sa.zain.com/en/settings/,recon_page,2026-06-15T19:27:47.065183
32,1,2,0,0,0,0,2,0,15,0,com,200,2,56606,697.7560000000001,0,0,21,0,unknown,0,html,1,5,1,1,8,1,1,1,1,1,1,4,1,23,0,0,1,23,0,0,0,0,1,4,0,0,0,0,1,9,5,4,0,1,25,23,2,1,8,1,7,1,3,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,none,none,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0,0,1,2,2,0,0,3,1,4,0,9,27,7,1,4,0,0,0,0,0,5.75,0.00015899374624598098,1.0,0.547645125958379,0,,20260615_183222,2026-06-15T19:27:47.004834,https://app.sa.zain.com/ur/home/,https://app.sa.zain.com/ur/home/,False,https://app.sa.zain.com/ur/home/,https://app.sa.zain.com/en/home/,https://app.sa.zain.com/ur/home/,recon_page,2026-06-15T19:27:47.062609
47,1,3,0,0,0,0,2,0,15,0,com,200,2,70695,471.682,0,0,21,0,unknown,0,html,1,5,1,1,8,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,10,6,4,0,1,29,21,8,1,13,1,7,1,3,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,none,none,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0,0,1,1,0,0,0,1,1,1,0,1,30,13,1,4,0,0,0,0,0,1.0,0.00014145271942853102,1.0,0.042435815828559306,0,,20260615_183222,2026-06-15T19:27:47.038570,https://app.sa.zain.com/en/takaful/get-content/,https://app.sa.zain.com/en/takaful/get-content/,False,https://app.sa.zain.com/en/takaful/get-content/,https://app.sa.zain.com/en/home/,https://app.sa.zain.com/en/takaful/get-content/,recon_page,2026-06-15T19:27:47.093381
32,1,2,0,0,0,0,2,0,15,0,com,200,2,56522,879.563,0,0,21,0,unknown,0,html,1,5,1,1,8,1,1,1,1,1,1,4,1,23,0,0,1,23,0,0,0,0,1,4,0,0,0,0,1,9,5,4,0,1,25,23,2,1,8,1,7,1,3,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,none,none,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0,0,1,2,2,0,0,3,1,4,0,9,27,7,1,4,0,0,0,0,0,5.75,0.0001592300343229185,1.0,0.5484590071122749,0,,20260615_183222,2026-06-15T19:27:47.075593,https://app.sa.zain.com/ar/home/,https://app.sa.zain.com/ar/home/,False,https://app.sa.zain.com/ar/home/,https://app.sa.zain.com/en/home/,https://app.sa.zain.com/ar/home/,recon_page,2026-06-15T19:27:47.097323
37,1,2,0,0,0,0,2,0,15,0,com,200,2,84681,586.702,0,0,21,0,unknown,0,html,1,5,1,1,8,1,1,1,1,1,1,1,1,6,0,0,1,1,0,0,0,0,1,2,0,0,0,0,1,9,5,4,0,1,27,25,2,1,23,1,7,1,3,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,none,none,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0,0,1,1,0,0,0,1,1,1,0,3,25,7,1,4,0,0,0,0,0,6.0,0.00010628122010840685,1.0,0.10628122010840685,0,,20260615_183222,2026-06-15T19:27:47.064761,https://app.sa.zain.com/en/dashboard/,https://app.sa.zain.com/en/dashboard/,False,https://app.sa.zain.com/en/dashboard/,https://app.sa.zain.com/en/home/,https://app.sa.zain.com/en/dashboard/,recon_page,2026-06-15T19:27:47.097189
48,1,2,0,0,0,0,2,0,15,0,com,200,2,126796,498.38,0,0,21,0,unknown,0,html,1,5,1,1,8,1,1,1,1,1,1,2,1,14,0,0,1,4,1,1,0,0,1,20,1,1,0,0,1,30,6,15,9,1,23,23,0,1,10,1,7,1,5,1,1,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,none,none,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0,0,1,2,0,0,0,2,1,2,0,7,45,6,1,4,0,0,1,0,0,7.0,0.00023660052367582574,1.0,0.28392062841099086,0,,20260615_183222,2026-06-15T19:27:47.096619,https://app.sa.zain.com/en/terms-and-conditions/,https://app.sa.zain.com/en/terms-and-conditions/,False,https://app.sa.zain.com/en/terms-and-conditions/,https://app.sa.zain.com/en/home/,https://app.sa.zain.com/en/terms-and-conditions/,recon_page,2026-06-15T19:27:47.098319
