url_length,has_https,path_depth,has_query_params,num_query_params,has_fragment,has_port,subdomain_count,is_ip_address,domain_length,domain_has_hyphens,domain_tld,status_code,status_category,response_size,response_time_ms,is_redirect,redirect_chain_len,total_headers,server_header_present,server_header,x_powered_by_present,content_type,has_cookies,num_cookies,has_cors,cache_control,security_headers_count,has_csp,has_hsts,has_xss_protection,has_frame_options,has_content_type_options,has_forms,form_count,has_inputs,input_count,has_password_input,password_count,has_hidden_input,hidden_count,has_file_upload,file_upload_count,has_search_input,search_count,has_buttons,button_count,has_textarea,textarea_count,has_select,select_count,has_scripts,script_count,inline_script_count,internal_script_count,external_script_count,has_links,link_count,internal_link_count,external_link_count,has_images,image_count,has_meta_tags,meta_count,has_stylesheets,stylesheet_count,has_javascript,has_comments,comment_count,has_title,server_apache,server_nginx,server_iis,tech_php,tech_aspnet,tech_jsp,tech_wordpress,tech_drupal,tech_joomla,has_debug_info,has_error_messages,has_sql_errors,has_file_paths,has_waf,waf_cloudflare,waf_aws,waf_imperva,reflection_detected,csp_header_reflection_detected,has_jwt,jwt_count,has_api_keys,api_key_count,cookie_count,session_cookies,secure_cookie_ratio,httponly_cookie_ratio,samesite_cookie_ratio,redirect_count,has_redirect_chain,final_https,get_form_count,post_form_count,has_login_form,login_form_count,csrf_token_input_count,has_csrf_token,same_origin_form_count,external_form_count,unique_input_names,unique_endpoint_count,parameterized_link_count,api_like_endpoint_count,inline_event_handler_count,email_input_count,url_input_count,mailto_link_count,tel_link_count,body_truncated_for_analysis,input_to_form_ratio,script_to_content_ratio,security_score,interactivity_score,is_vulnerable,vulnerability_type,scan_id,timestamp,target_url,original_url,is_redirect_response,final_url,target_root,page_url,dataset_record_type,saved_at,url,domain,total_vulnerabilities,has_sql_injection,has_xss,has_command_injection,has_path_traversal,has_file_inclusion,vulnerability_score,critical_vuln_count,high_vuln_count,sqlmap_vulns_found,dalfox_vulns_found,commix_vulns_found,tools_used_count,sqlmap_confidence_avg,dalfox_confidence_avg,commix_confidence_avg,used_previous_scan,previous_scan_indicators,scan_hour,scan_day_of_week,prev_has_forms,prev_has_inputs,prev_form_count,prev_input_count,prev_has_debug_info,prev_has_error_messages,prev_technology_php,prev_technology_aspnet,prev_technology_wordpress,prev_security_headers_count,prev_response_size,days_since_last_scan,vuln_density,tool_effectiveness,security_risk_score,input_vulnerability_ratio,previous_scan_accuracy,total_issues,issue_density,has_idor
18,1,0,0,0,0,0,0,0,9,0,com,200,2,132646,809.033,1,1,31,1,nginx,0,html,0,0,0,1,7,1,1,1,1,1,0,0,1,4,0,0,0,0,0,0,0,0,1,7,0,0,0,0,1,19,8,9,2,1,147,141,6,1,29,1,23,1,5,1,1,16,1,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,81,6,0,0,0,0,0,0,0,0.0,0.0001432383939206,0.875,0.0829274912172248,0,,multi_full_20260502_195223_0002,2026-05-02T19:52:26.280823,https://blend.com/,https://blend.com/,True,https://blend.com/,https://blend.com/,https://blend.com/,recon_redirect_hop,2026-05-02T19:52:26.283890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1,0,0,0,0,0,0,0,9,0,com,200,2,132646,809.033,0,3,31,1,nginx,0,html,0,0,0,1,7,1,1,1,1,1,0,0,1,4,0,0,0,0,0,0,0,0,1,7,0,0,0,0,1,19,8,9,2,1,147,141,6,1,29,1,23,1,5,1,1,16,1,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2,1,1,0,0,0,0,0,0,0,0,0,81,6,0,0,0,0,0,0,0,0.0,0.0001432383939206,0.875,0.0829274912172248,0,,multi_full_20260502_195223_0002,2026-05-02T19:52:26.373755,https://blend.com/,https://blend.com/,False,https://blend.com/,https://blend.com/,https://blend.com/,recon_page,2026-05-02T19:52:26.381207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1,0,0,0,0,0,0,0,9,0,com,200,2,132646,1203.236,0,0,26,1,nginx,0,html,0,0,0,1,7,1,1,1,1,1,0,0,1,4,0,0,0,0,0,0,0,0,1,7,0,0,0,0,1,19,8,9,2,1,147,141,6,1,29,1,23,1,5,1,1,16,1,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,81,6,0,0,0,0,0,0,0,0.0,0.0001432383939206,0.875,0.0829274912172248,0,,multi_full_20260502_195223_0002,2026-05-02T19:54:28.898403,https://blend.com/,https://blend.com/,False,https://blend.com/,https://blend.com/,https://blend.com/,recon_page,2026-05-02T19:54:28.903656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,1,3,0,0,0,0,0,0,9,0,com,200,2,95039,703.519,0,0,26,1,nginx,0,html,0,0,0,1,7,1,1,1,1,1,0,0,1,4,0,0,0,0,0,0,0,0,1,7,0,0,0,0,1,18,7,9,2,1,119,112,7,1,1,1,23,1,5,1,1,14,1,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,73,5,0,0,0,0,0,0,0,0.0,0.0001893959321962,0.875,0.1157419585643788,0,,multi_full_20260502_195223_0002,2026-05-02T19:54:37.835799,https://blend.com/company/newsroom/blend-wins-2025-housingwire-tech100-mortgage-award/,https://blend.com/,False,https://blend.com/company/newsroom/blend-wins-2025-housingwire-tech100-mortgage-award/,https://blend.com/,https://blend.com/company/newsroom/blend-wins-2025-housingwire-tech100-mortgage-award/,recon_page,2026-05-02T19:54:37.852546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,1,3,0,0,0,0,0,0,9,0,com,200,2,106311,701.1610000000001,0,0,26,1,nginx,0,html,0,0,0,1,7,1,1,1,1,1,0,0,1,6,0,0,0,0,0,0,0,0,1,10,0,0,1,1,1,21,10,9,2,1,123,117,6,1,7,1,23,1,5,1,1,14,1,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,76,8,0,0,0,0,0,0,0,0.0,0.0001975336512684,0.875,0.1505018295378653,0,,multi_full_20260502_195223_0002,2026-05-02T19:54:38.055947,https://blend.com/products/mortgage-suite/close/,https://blend.com/,False,https://blend.com/products/mortgage-suite/close/,https://blend.com/,https://blend.com/products/mortgage-suite/close/,recon_page,2026-05-02T19:54:38.074316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,1,1,0,0,0,0,0,0,9,0,com,200,2,115130,409.035,0,0,26,1,nginx,0,html,0,0,0,1,7,1,1,1,1,1,0,0,1,4,0,0,0,0,0,0,0,0,1,7,0,0,0,0,1,20,9,9,2,1,133,127,6,1,10,1,23,1,5,1,1,22,1,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,78,8,0,0,0,0,0,0,0,0.0,0.0001737166681143,0.875,0.095544167462868,0,,multi_full_20260502_195223_0002,2026-05-02T19:54:38.434663,https://blend.com/platform/,https://blend.com/,False,https://blend.com/platform/,https://blend.com/,https://blend.com/platform/,recon_page,2026-05-02T19:54:38.446892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,1,3,0,0,0,0,0,0,9,0,com,404,4,79091,1214.646,0,0,27,1,nginx,0,html,0,0,0,1,7,1,1,1,1,1,0,0,1,4,0,0,0,0,0,0,0,0,1,7,0,0,0,0,1,18,7,9,2,1,114,108,6,0,0,1,11,1,6,1,1,14,1,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,68,2,0,0,0,0,0,0,0,0.0,0.0002275859453035,0.875,0.1390802999077012,0,,multi_full_20260502_195223_0002,2026-05-02T19:54:38.834093,https://blend.com/wp-content/uploads/*/,https://blend.com/,False,https://blend.com/wp-content/uploads/*/,https://blend.com/,https://blend.com/wp-content/uploads/*/,recon_page,2026-05-02T19:54:38.843937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,1,1,0,0,0,0,0,0,9,0,com,200,2,89264,249.452,0,0,26,1,nginx,0,html,0,0,0,1,7,1,1,1,1,1,0,0,1,4,0,0,0,0,0,0,0,0,1,7,0,0,0,0,1,19,8,9,2,1,117,111,6,1,6,1,23,1,5,1,1,14,1,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,71,5,0,0,0,0,0,0,0,0.0,0.0002128517655493,0.875,0.1232299695285893,0,,multi_full_20260502_195223_0002,2026-05-02T19:54:38.936543,https://blend.com/security-and-compliance/,https://blend.com/,False,https://blend.com/security-and-compliance/,https://blend.com/,https://blend.com/security-and-compliance/,recon_page,2026-05-02T19:54:38.963650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,1,1,0,0,0,0,0,0,9,0,com,200,2,80616,1084.37,0,0,26,1,nginx,0,html,0,0,0,1,7,1,1,1,1,1,0,0,1,4,0,0,0,0,0,0,0,0,1,7,0,0,0,0,1,18,7,9,2,1,116,110,6,0,0,1,21,1,5,1,1,14,1,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,71,5,0,0,0,0,0,0,0,0.0,0.0002232807383149,0.875,0.1364493400813734,0,,multi_full_20260502_195223_0002,2026-05-02T19:54:39.225197,https://blend.com/Solutions/,https://blend.com/,False,https://blend.com/Solutions/,https://blend.com/,https://blend.com/Solutions/,recon_page,2026-05-02T19:54:39.265771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,1,1,1,1,0,0,0,0,9,0,com,200,2,92247,820.794,0,0,26,1,nginx,0,html,0,0,0,1,7,1,1,1,1,1,0,0,1,7,0,0,0,0,0,0,1,1,1,52,0,0,1,2,1,20,8,10,2,1,118,112,6,0,0,1,23,1,6,1,1,14,1,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,73,5,0,0,0,0,0,0,0,0.0,0.0002168092187279,0.875,0.6395871952475419,0,,multi_full_20260502_195223_0002,2026-05-02T19:54:39.456740,https://blend.com/resources/?topic=blend-momentum,https://blend.com/,False,https://blend.com/resources/?topic=blend-momentum,https://blend.com/,https://blend.com/resources/?topic=blend-momentum,recon_page,2026-05-02T19:54:39.492125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,1,2,0,0,0,0,0,0,9,0,com,200,2,86448,376.451,0,0,26,1,nginx,0,html,0,0,0,1,7,1,1,1,1,1,0,0,1,4,0,0,0,0,0,0,0,0,1,7,0,0,0,0,1,18,7,9,2,1,118,112,6,0,0,1,23,1,6,1,1,14,1,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,72,5,0,0,0,0,0,0,0,0.0,0.0002082176568573,0.875,0.1272441236350175,0,,multi_full_20260502_195223_0002,2026-05-02T19:54:40.002432,https://blend.com/policies/disclaimers/,https://blend.com/,False,https://blend.com/policies/disclaimers/,https://blend.com/,https://blend.com/policies/disclaimers/,recon_page,2026-05-02T19:54:40.022833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,1,1,1,1,0,0,0,0,9,0,com,200,2,92248,816.7990000000001,0,0,26,1,nginx,0,html,0,0,0,1,7,1,1,1,1,1,0,0,1,7,0,0,0,0,0,0,1,1,1,52,0,0,1,2,1,20,8,10,2,1,118,112,6,0,0,1,23,1,6,1,1,14,1,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,73,5,0,0,0,0,0,0,0,0.0,0.0002168068684415,0.875,0.639580261902697,0,,multi_full_20260502_195223_0002,2026-05-02T19:54:40.199264,https://blend.com/resources/?topic=thought-leadership,https://blend.com/,False,https://blend.com/resources/?topic=thought-leadership,https://blend.com/,https://blend.com/resources/?topic=thought-leadership,recon_page,2026-05-02T19:54:40.228328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,1,3,0,0,0,0,0,0,9,0,com,404,4,79091,801.6659999999999,0,0,27,1,nginx,0,html,0,0,0,1,7,1,1,1,1,1,0,0,1,4,0,0,0,0,0,0,0,0,1,7,0,0,0,0,1,18,7,9,2,1,114,108,6,0,0,1,11,1,6,1,1,14,1,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,68,2,0,0,0,0,0,0,0,0.0,0.0002275859453035,0.875,0.1390802999077012,0,,multi_full_20260502_195223_0002,2026-05-02T19:54:41.580985,https://blend.com/wp-content/plugins/*/,https://blend.com/,False,https://blend.com/wp-content/plugins/*/,https://blend.com/,https://blend.com/wp-content/plugins/*/,recon_page,2026-05-02T19:54:41.596938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,1,1,0,0,0,0,0,0,9,0,com,200,2,101162,1233.456,0,0,26,1,nginx,0,html,0,0,0,1,7,1,1,1,1,1,0,0,1,4,0,0,0,0,0,0,0,0,1,7,0,0,0,0,1,22,10,9,3,1,123,117,6,1,9,1,24,1,5,1,1,14,1,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,76,8,0,0,0,0,0,0,0,0.0,0.0002174729641565,0.875,0.1087364820782507,0,,multi_full_20260502_195223_0002,2026-05-02T19:54:41.777168,https://blend.com/rapid-home-refi/,https://blend.com/,False,https://blend.com/rapid-home-refi/,https://blend.com/,https://blend.com/rapid-home-refi/,recon_page,2026-05-02T19:54:41.788733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
