url_length,has_https,path_depth,has_query_params,num_query_params,has_fragment,has_port,subdomain_count,is_ip_address,domain_length,domain_has_hyphens,domain_tld,status_code,status_category,response_size,response_time_ms,is_redirect,redirect_chain_len,total_headers,server_header_present,server_header,x_powered_by_present,content_type,has_cookies,num_cookies,has_cors,cache_control,security_headers_count,has_csp,has_hsts,has_xss_protection,has_frame_options,has_content_type_options,has_forms,form_count,has_inputs,input_count,has_password_input,password_count,has_hidden_input,hidden_count,has_file_upload,file_upload_count,has_search_input,search_count,has_buttons,button_count,has_textarea,textarea_count,has_select,select_count,has_scripts,script_count,inline_script_count,internal_script_count,external_script_count,has_links,link_count,internal_link_count,external_link_count,has_images,image_count,has_meta_tags,meta_count,has_stylesheets,stylesheet_count,has_javascript,has_comments,comment_count,has_title,server_apache,server_nginx,server_iis,tech_php,tech_aspnet,tech_jsp,tech_wordpress,tech_drupal,tech_joomla,has_debug_info,has_error_messages,has_sql_errors,has_file_paths,has_waf,waf_cloudflare,waf_aws,waf_imperva,reflection_detected,csp_header_reflection_detected,has_jwt,jwt_count,has_api_keys,api_key_count,cookie_count,session_cookies,secure_cookie_ratio,httponly_cookie_ratio,samesite_cookie_ratio,redirect_count,has_redirect_chain,final_https,get_form_count,post_form_count,has_login_form,login_form_count,csrf_token_input_count,has_csrf_token,same_origin_form_count,external_form_count,unique_input_names,unique_endpoint_count,parameterized_link_count,api_like_endpoint_count,inline_event_handler_count,email_input_count,url_input_count,mailto_link_count,tel_link_count,body_truncated_for_analysis,input_to_form_ratio,script_to_content_ratio,security_score,interactivity_score,is_vulnerable,vulnerability_type,scan_id,timestamp,target_url,original_url,is_redirect_response,final_url,target_root,page_url,dataset_record_type,saved_at
27,1,0,0,0,0,0,2,0,18,0,sa,200,2,86349,591.8,0,3,11,1,Apache,0,html,0,0,0,1,5,0,1,0,1,1,1,3,1,12,0,0,1,1,0,0,1,1,1,9,0,0,1,3,1,29,9,16,4,1,84,72,12,1,4,1,12,1,9,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2,1,1,1,2,1,2,0,0,1,2,7,63,31,0,13,0,0,0,0,0,4.0,0.0003358463908093898,0.625,0.27794184066983985,0,,20260511_211953,2026-05-11T21:19:54.483425,https://careers.stc.com.sa/,https://careers.stc.com.sa/,False,https://careers.stc.com.sa/,https://careers.stc.com.sa/,https://careers.stc.com.sa/,recon_page,2026-05-11T21:19:54.485866
27,1,0,0,0,0,0,2,0,18,0,sa,200,2,86349,369.399,0,0,11,1,Apache,0,html,0,0,0,1,5,0,1,0,1,1,1,3,1,12,0,0,1,1,0,0,1,1,1,9,0,0,1,3,1,29,9,16,4,1,84,72,12,1,4,1,12,1,9,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,1,2,1,2,0,0,1,2,7,63,31,0,13,0,0,0,0,0,4.0,0.0003358463908093898,0.625,0.27794184066983985,0,,20260511_211953,2026-05-11T21:22:18.275227,https://careers.stc.com.sa/,https://careers.stc.com.sa/,False,https://careers.stc.com.sa/,https://careers.stc.com.sa/,https://careers.stc.com.sa/,recon_page,2026-05-11T21:22:18.280458
63,1,3,0,0,0,0,2,0,18,0,sa,200,2,72762,148.487,0,0,13,1,nginx,0,html,0,0,0,1,5,0,1,0,1,1,1,2,1,10,0,0,1,1,0,0,1,1,1,9,0,0,1,3,1,27,9,16,2,1,62,53,9,1,4,1,12,1,8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,2,0,7,56,22,0,10,0,0,0,0,0,5.0,0.0003710728127319205,0.625,0.2886121876803826,0,,20260511_211953,2026-05-11T21:22:21.687791,https://careers.stc.com.sa/go/HR-Collaboration-Program/7757823/,https://careers.stc.com.sa/,False,https://careers.stc.com.sa/go/HR-Collaboration-Program/7757823/,https://careers.stc.com.sa/,https://careers.stc.com.sa/go/HR-Collaboration-Program/7757823/,recon_page,2026-05-11T21:22:21.701446
50,1,3,0,0,0,0,2,0,18,0,sa,200,2,72786,346.105,0,0,13,1,nginx,0,html,0,0,0,1,5,0,1,0,1,1,1,2,1,10,0,0,1,1,0,0,1,1,1,9,0,0,1,3,1,27,9,16,2,1,62,53,9,1,4,1,12,1,8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,2,0,7,56,22,0,10,0,0,0,0,0,5.0,0.00037095045750556424,0.625,0.28851702250432776,0,,20260511_211953,2026-05-11T21:22:22.270228,https://careers.stc.com.sa/go/Experienced/7737023/,https://careers.stc.com.sa/,False,https://careers.stc.com.sa/go/Experienced/7737023/,https://careers.stc.com.sa/,https://careers.stc.com.sa/go/Experienced/7737023/,recon_page,2026-05-11T21:22:22.274798
42,1,3,0,0,0,0,2,0,18,0,sa,200,2,72754,379.363,0,0,13,1,nginx,0,html,0,0,0,1,5,0,1,0,1,1,1,2,1,10,0,0,1,1,0,0,1,1,1,9,0,0,1,3,1,27,9,16,2,1,62,53,9,1,4,1,12,1,8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,2,0,7,57,22,0,10,0,0,0,0,0,5.0,0.00037111361574621325,0.625,0.28864392335816585,0,,20260511_211953,2026-05-11T21:22:22.745237,https://careers.stc.com.sa/go/JAP/7751023/,https://careers.stc.com.sa/,False,https://careers.stc.com.sa/go/JAP/7751023/,https://careers.stc.com.sa/,https://careers.stc.com.sa/go/JAP/7751023/,recon_page,2026-05-11T21:22:22.891591
44,1,3,0,0,0,0,2,0,18,0,sa,200,2,72762,168.333,0,0,13,1,nginx,0,html,0,0,0,1,5,0,1,0,1,1,1,2,1,10,0,0,1,1,0,0,1,1,1,9,0,0,1,3,1,27,9,16,2,1,62,53,9,1,4,1,12,1,8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,2,0,7,56,22,0,10,0,0,0,0,0,5.0,0.0003710728127319205,0.625,0.2886121876803826,0,,20260511_211953,2026-05-11T21:22:22.891174,https://careers.stc.com.sa/go/Fursa/7757823/,https://careers.stc.com.sa/,False,https://careers.stc.com.sa/go/Fursa/7757823/,https://careers.stc.com.sa/,https://careers.stc.com.sa/go/Fursa/7757823/,recon_page,2026-05-11T21:22:22.985092
51,1,3,0,0,0,0,2,0,18,0,sa,200,2,72783,115.057,0,0,13,1,nginx,0,html,0,0,0,1,5,0,1,0,1,1,1,2,1,10,0,0,1,1,0,0,1,1,1,9,0,0,1,3,1,27,9,16,2,1,62,53,9,1,4,1,12,1,8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,2,0,7,56,22,0,10,0,0,0,0,0,5.0,0.0003709657474959812,0.625,0.2885289147190965,0,,20260511_211953,2026-05-11T21:22:22.827935,https://careers.stc.com.sa/go/Early-Career/7735923/,https://careers.stc.com.sa/,False,https://careers.stc.com.sa/go/Early-Career/7735923/,https://careers.stc.com.sa/,https://careers.stc.com.sa/go/Early-Career/7735923/,recon_page,2026-05-11T21:22:23.023539
39,1,1,0,0,0,0,2,0,18,0,sa,200,2,73235,353.323,0,0,11,1,Apache,0,html,0,0,0,1,5,0,1,0,1,1,1,1,1,8,0,0,1,1,0,0,1,1,1,7,0,0,1,3,1,26,8,16,2,1,84,75,9,1,3,1,6,1,7,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,1,0,6,73,20,0,8,0,0,0,0,0,8.0,0.0003550215061104663,0.625,0.2184747729910562,0,,20260511_211953,2026-05-11T21:22:22.991150,https://careers.stc.com.sa/viewalljobs/,https://careers.stc.com.sa/,False,https://careers.stc.com.sa/viewalljobs/,https://careers.stc.com.sa/,https://careers.stc.com.sa/viewalljobs/,recon_page,2026-05-11T21:22:23.050764
100,1,1,1,4,0,0,2,0,18,0,sa,200,2,69893,409.954,0,0,13,1,nginx,0,html,0,0,0,1,5,0,1,0,1,1,1,1,1,8,0,0,1,1,0,0,1,1,1,7,0,0,1,3,1,27,8,17,2,1,61,52,9,1,4,1,8,1,7,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,1,0,6,54,20,0,8,0,0,0,0,0,8.0,0.0003863047801639649,0.625,0.2289213512082755,0,,20260511_211953,2026-05-11T21:22:22.964023,https://careers.stc.com.sa/search/?createNewAlert=false&q=&locationsearch=&optionsFacetsDD_location=,https://careers.stc.com.sa/,False,https://careers.stc.com.sa/search/?createNewAlert=false&q=&locationsearch=&optionsFacetsDD_location=,https://careers.stc.com.sa/,https://careers.stc.com.sa/search/?createNewAlert=false&q=&locationsearch=&optionsFacetsDD_location=,recon_page,2026-05-11T21:22:23.059969
66,1,2,1,1,0,0,2,0,18,0,sa,200,2,70023,325.749,0,0,11,1,Apache,0,html,0,0,0,1,5,0,1,0,1,1,1,2,1,6,1,2,1,2,0,0,0,0,1,12,0,0,0,0,1,32,10,20,2,1,53,44,9,1,7,1,6,1,7,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,2,0,1,2,0,0,2,0,3,55,14,0,8,0,0,0,0,0,3.0,0.0004569927023977836,0.625,0.2856204389986148,0,,20260511_211953,2026-05-11T21:22:22.988736,https://careers.stc.com.sa/talentcommunity/subscribe/?locale=en_US,https://careers.stc.com.sa/,False,https://careers.stc.com.sa/talentcommunity/subscribe/?locale=en_US,https://careers.stc.com.sa/,https://careers.stc.com.sa/talentcommunity/subscribe/?locale=en_US,recon_page,2026-05-11T21:22:23.065519
