url_length,has_https,path_depth,has_query_params,num_query_params,has_fragment,has_port,subdomain_count,is_ip_address,domain_length,domain_has_hyphens,domain_tld,status_code,status_category,response_size,response_time_ms,is_redirect,redirect_chain_len,total_headers,server_header_present,server_header,x_powered_by_present,content_type,has_cookies,num_cookies,has_cors,cache_control,security_headers_count,has_csp,has_hsts,has_xss_protection,has_frame_options,has_content_type_options,has_forms,form_count,has_inputs,input_count,has_password_input,password_count,has_hidden_input,hidden_count,has_file_upload,file_upload_count,has_search_input,search_count,has_buttons,button_count,has_textarea,textarea_count,has_select,select_count,has_scripts,script_count,inline_script_count,internal_script_count,external_script_count,has_links,link_count,internal_link_count,external_link_count,has_images,image_count,has_meta_tags,meta_count,has_stylesheets,stylesheet_count,has_javascript,has_comments,comment_count,has_title,server_apache,server_nginx,server_iis,tech_php,tech_aspnet,tech_jsp,tech_wordpress,tech_drupal,tech_joomla,has_debug_info,has_error_messages,has_sql_errors,has_file_paths,has_waf,waf_cloudflare,waf_aws,waf_imperva,reflection_detected,csp_header_reflection_detected,has_jwt,jwt_count,has_api_keys,api_key_count,cookie_count,session_cookies,secure_cookie_ratio,httponly_cookie_ratio,samesite_cookie_ratio,redirect_count,has_redirect_chain,final_https,get_form_count,post_form_count,has_login_form,login_form_count,csrf_token_input_count,has_csrf_token,same_origin_form_count,external_form_count,unique_input_names,unique_endpoint_count,parameterized_link_count,api_like_endpoint_count,inline_event_handler_count,email_input_count,url_input_count,mailto_link_count,tel_link_count,body_truncated_for_analysis,input_to_form_ratio,script_to_content_ratio,security_score,interactivity_score,is_vulnerable,vulnerability_type,scan_id,timestamp,target_url,original_url,is_redirect_response,final_url,target_root,page_url,dataset_record_type,saved_at
66,1,2,1,1,0,0,2,0,18,0,sa,200,2,39892,380.52799999999996,1,1,15,0,unknown,0,html,0,0,0,1,5,0,1,1,1,1,1,1,1,8,0,0,1,5,0,0,0,0,1,1,0,0,0,0,1,6,4,2,0,1,35,33,2,1,2,1,7,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1,1,1,1,1,1,0,7,37,1,0,0,0,0,0,0,0,8.0,0.00015040609646044319,0.625,0.250676827434072,0,,20260503_190718,2026-05-03T19:07:23.978279,https://emmncts.stc.com.sa/AirWatch/Login?ReturnUrl=%2FAirWatch%2F,https://emmncts.stc.com.sa/AirWatch/Login?ReturnUrl=%2FAirWatch%2F,True,https://emmncts.stc.com.sa/AirWatch/Login?ReturnUrl=%2FAirWatch%2F,https://emmncts.stc.com.sa/AirWatch/Login?ReturnUrl=%2FAirWatch%2F,https://emmncts.stc.com.sa/AirWatch/Login?ReturnUrl=%2FAirWatch%2F,recon_redirect_hop,2026-05-03T19:07:23.984372
66,1,2,1,1,0,0,2,0,18,0,sa,200,2,39892,380.52799999999996,0,3,15,0,unknown,0,html,0,0,0,1,5,0,1,1,1,1,1,1,1,8,0,0,1,5,0,0,0,0,1,1,0,0,0,0,1,6,4,2,0,1,35,33,2,1,2,1,7,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,2,1,1,0,1,1,1,1,1,1,0,7,37,1,0,0,0,0,0,0,0,8.0,0.00015040609646044319,0.625,0.250676827434072,0,,20260503_190718,2026-05-03T19:07:24.028266,https://emmncts.stc.com.sa/AirWatch/Login?ReturnUrl=%2FAirWatch%2F,https://emmncts.stc.com.sa/AirWatch/Login?ReturnUrl=%2FAirWatch%2F,False,https://emmncts.stc.com.sa/AirWatch/Login?ReturnUrl=%2FAirWatch%2F,https://emmncts.stc.com.sa/AirWatch/Login?ReturnUrl=%2FAirWatch%2F,https://emmncts.stc.com.sa/AirWatch/Login?ReturnUrl=%2FAirWatch%2F,recon_page,2026-05-03T19:07:24.032190
67,1,2,1,1,0,0,2,0,18,0,sa,200,2,39892,371.11899999999997,0,0,15,0,unknown,0,html,0,0,0,1,5,0,1,1,1,1,1,1,1,8,0,0,1,5,0,0,0,0,1,1,0,0,0,0,1,6,4,2,0,1,35,33,2,1,2,1,7,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1,1,1,1,1,1,0,7,37,1,0,0,0,0,0,0,0,8.0,0.00015040609646044319,0.625,0.250676827434072,0,,20260503_190718,2026-05-03T19:07:56.555045,https://emmncts.stc.com.sa/AirWatch/Login/?ReturnUrl=%2FAirWatch%2F,https://emmncts.stc.com.sa/AirWatch/Login/?ReturnUrl=%2FAirWatch%2F,False,https://emmncts.stc.com.sa/AirWatch/Login/?ReturnUrl=%2FAirWatch%2F,https://emmncts.stc.com.sa/AirWatch/Login/?ReturnUrl=%2FAirWatch%2F,https://emmncts.stc.com.sa/AirWatch/Login/?ReturnUrl=%2FAirWatch%2F,recon_page,2026-05-03T19:07:56.558503
36,1,1,0,0,0,0,2,0,18,0,sa,200,2,39892,146.9,0,0,16,0,unknown,0,html,1,2,0,1,5,0,1,1,1,1,1,1,1,8,0,0,1,5,0,0,0,0,1,1,0,0,0,0,1,6,4,2,0,1,35,33,2,1,2,1,7,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,0,0,0,0,1,1,1,1,1,1,0,7,37,1,0,0,0,0,0,0,0,8.0,0.00015040609646044319,0.625,0.250676827434072,0,,20260503_190718,2026-05-03T19:08:24.879193,https://emmncts.stc.com.sa/AirWatch/,https://emmncts.stc.com.sa/AirWatch/Login/?ReturnUrl=%2FAirWatch%2F,False,https://emmncts.stc.com.sa/AirWatch/,https://emmncts.stc.com.sa/AirWatch/Login/?ReturnUrl=%2FAirWatch%2F,https://emmncts.stc.com.sa/AirWatch/,recon_page,2026-05-03T19:08:24.883405
59,1,4,0,0,0,0,2,0,18,0,sa,200,2,39963,147.5,0,0,16,0,unknown,0,html,1,1,0,1,5,0,1,1,1,1,1,1,1,8,0,0,1,5,0,0,0,0,1,1,0,0,0,0,1,6,4,2,0,1,35,33,2,1,2,1,7,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,0,0,0,0,1,1,1,1,1,1,0,7,37,1,0,0,0,0,0,0,0,8.0,0.00015013887846257787,0.625,0.2502314641042965,0,,20260503_190718,2026-05-03T19:08:25.168102,https://emmncts.stc.com.sa/AirWatch/Login/Login/Login-User/,https://emmncts.stc.com.sa/AirWatch/Login/?ReturnUrl=%2FAirWatch%2F,False,https://emmncts.stc.com.sa/AirWatch/Login/Login/Login-User/,https://emmncts.stc.com.sa/AirWatch/Login/?ReturnUrl=%2FAirWatch%2F,https://emmncts.stc.com.sa/AirWatch/Login/Login/Login-User/,recon_page,2026-05-03T19:08:25.171468
78,1,4,1,1,0,0,2,0,18,0,sa,200,2,39972,139.172,0,0,16,0,unknown,0,html,1,1,0,1,5,0,1,1,1,1,1,1,1,8,0,0,1,5,0,0,0,0,1,1,0,0,0,0,1,6,4,2,0,1,35,33,2,1,2,1,7,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,0,0,0,0,1,1,1,1,1,1,0,7,37,1,0,0,0,0,0,0,0,8.0,0.00015010507355148604,0.625,0.25017512258581004,0,,20260503_190718,2026-05-03T19:08:25.469821,https://emmncts.stc.com.sa/AirWatch/Login/Login/Login-ChangeCulture/?Language=,https://emmncts.stc.com.sa/AirWatch/Login/?ReturnUrl=%2FAirWatch%2F,False,https://emmncts.stc.com.sa/AirWatch/Login/Login/Login-ChangeCulture/?Language=,https://emmncts.stc.com.sa/AirWatch/Login/?ReturnUrl=%2FAirWatch%2F,https://emmncts.stc.com.sa/AirWatch/Login/Login/Login-ChangeCulture/?Language=,recon_page,2026-05-03T19:08:25.473072
100,1,3,1,1,0,0,2,0,18,0,sa,200,2,39957,171.69799999999998,0,0,15,0,unknown,0,html,0,0,0,1,5,0,1,1,1,1,1,1,1,8,0,0,1,5,0,0,0,0,1,1,0,0,0,0,1,6,4,2,0,1,35,33,2,1,2,1,7,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1,1,1,1,1,1,0,7,37,1,0,0,0,0,0,0,0,8.0,0.00015016142353029506,0.625,0.25026903921715843,0,,20260503_190718,2026-05-03T19:08:25.872777,https://emmncts.stc.com.sa/AirWatch/bundles/LoginCss/?v=FHdy5622leDFdm5TjS1_Va5iVvE6VOBFV3zoDurIXHs1,https://emmncts.stc.com.sa/AirWatch/Login/?ReturnUrl=%2FAirWatch%2F,False,https://emmncts.stc.com.sa/AirWatch/bundles/LoginCss/?v=FHdy5622leDFdm5TjS1_Va5iVvE6VOBFV3zoDurIXHs1,https://emmncts.stc.com.sa/AirWatch/Login/?ReturnUrl=%2FAirWatch%2F,https://emmncts.stc.com.sa/AirWatch/bundles/LoginCss/?v=FHdy5622leDFdm5TjS1_Va5iVvE6VOBFV3zoDurIXHs1,recon_page,2026-05-03T19:08:25.876701
65,1,4,0,0,0,0,2,0,18,0,sa,200,2,34064,956.185,0,0,15,0,unknown,0,html,0,0,0,1,5,0,1,1,1,1,1,1,1,3,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,4,2,2,0,1,36,34,2,1,2,1,7,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1,1,1,1,1,1,0,3,38,1,0,0,0,0,0,0,0,3.0,0.00011742602160638798,0.625,0.14678252700798497,0,,20260503_190718,2026-05-03T19:08:26.166842,https://emmncts.stc.com.sa/AirWatch/Login/Login/TroubleLoggingIn/,https://emmncts.stc.com.sa/AirWatch/Login/?ReturnUrl=%2FAirWatch%2F,False,https://emmncts.stc.com.sa/AirWatch/Login/Login/TroubleLoggingIn/,https://emmncts.stc.com.sa/AirWatch/Login/?ReturnUrl=%2FAirWatch%2F,https://emmncts.stc.com.sa/AirWatch/Login/Login/TroubleLoggingIn/,recon_page,2026-05-03T19:08:26.180017
99,1,3,1,1,0,0,2,0,18,0,sa,200,2,39956,107.598,0,0,15,0,unknown,0,html,0,0,0,1,5,0,1,1,1,1,1,1,1,8,0,0,1,5,0,0,0,0,1,1,0,0,0,0,1,6,4,2,0,1,35,33,2,1,2,1,7,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1,1,1,1,1,1,0,7,37,1,0,0,0,0,0,0,0,8.0,0.00015016518169986987,0.625,0.2502753028331164,0,,20260503_190718,2026-05-03T19:08:26.180341,https://emmncts.stc.com.sa/AirWatch/bundles/LoginJs/?v=Ebb7DmkWxmlX2tiluclgj_95FluNA5RYqc_KKcf8lBA1,https://emmncts.stc.com.sa/AirWatch/Login/?ReturnUrl=%2FAirWatch%2F,False,https://emmncts.stc.com.sa/AirWatch/bundles/LoginJs/?v=Ebb7DmkWxmlX2tiluclgj_95FluNA5RYqc_KKcf8lBA1,https://emmncts.stc.com.sa/AirWatch/Login/?ReturnUrl=%2FAirWatch%2F,https://emmncts.stc.com.sa/AirWatch/bundles/LoginJs/?v=Ebb7DmkWxmlX2tiluclgj_95FluNA5RYqc_KKcf8lBA1,recon_page,2026-05-03T19:08:26.184221
98,1,3,1,1,0,0,2,0,18,0,sa,200,2,39964,116.742,0,0,15,0,unknown,0,html,0,0,0,1,5,0,1,1,1,1,1,1,1,8,0,0,1,5,0,0,0,0,1,1,0,0,0,0,1,6,4,2,0,1,35,33,2,1,2,1,7,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1,1,1,1,1,1,0,7,37,1,0,0,0,0,0,0,0,8.0,0.0001501351216094485,0.625,0.25022520268241416,0,,20260503_190718,2026-05-03T19:09:18.582943,https://emmncts.stc.com.sa/AirWatch/Home/Error404/?aspxerrorpath=/AirWatch/Login/Login/Login-User/,https://emmncts.stc.com.sa/AirWatch/Login/?ReturnUrl=%2FAirWatch%2F,False,https://emmncts.stc.com.sa/AirWatch/Home/Error404/?aspxerrorpath=/AirWatch/Login/Login/Login-User/,https://emmncts.stc.com.sa/AirWatch/Login/?ReturnUrl=%2FAirWatch%2F,https://emmncts.stc.com.sa/AirWatch/Home/Error404/?aspxerrorpath=/AirWatch/Login/Login/Login-User/,recon_page,2026-05-03T19:09:18.588186
