url_length,has_https,path_depth,has_query_params,num_query_params,has_fragment,has_port,subdomain_count,is_ip_address,domain_length,domain_has_hyphens,domain_tld,status_code,status_category,response_size,response_time_ms,is_redirect,redirect_chain_len,total_headers,server_header_present,server_header,x_powered_by_present,content_type,has_cookies,num_cookies,has_cors,cache_control,security_headers_count,has_csp,has_hsts,has_xss_protection,has_frame_options,has_content_type_options,has_forms,form_count,has_inputs,input_count,has_password_input,password_count,has_hidden_input,hidden_count,has_file_upload,file_upload_count,has_search_input,search_count,has_buttons,button_count,has_textarea,textarea_count,has_select,select_count,has_scripts,script_count,inline_script_count,internal_script_count,external_script_count,has_links,link_count,internal_link_count,external_link_count,has_images,image_count,has_meta_tags,meta_count,has_stylesheets,stylesheet_count,has_javascript,has_comments,comment_count,has_title,server_apache,server_nginx,server_iis,tech_php,tech_aspnet,tech_jsp,tech_wordpress,tech_drupal,tech_joomla,has_debug_info,has_error_messages,has_sql_errors,has_file_paths,has_waf,waf_cloudflare,waf_aws,waf_imperva,reflection_detected,csp_header_reflection_detected,has_jwt,jwt_count,has_api_keys,api_key_count,cookie_count,session_cookies,secure_cookie_ratio,httponly_cookie_ratio,samesite_cookie_ratio,redirect_count,has_redirect_chain,final_https,get_form_count,post_form_count,has_login_form,login_form_count,csrf_token_input_count,has_csrf_token,same_origin_form_count,external_form_count,unique_input_names,unique_endpoint_count,parameterized_link_count,api_like_endpoint_count,inline_event_handler_count,email_input_count,url_input_count,mailto_link_count,tel_link_count,body_truncated_for_analysis,input_to_form_ratio,script_to_content_ratio,security_score,interactivity_score,is_vulnerable,vulnerability_type,scan_id,timestamp,target_url,original_url,is_redirect_response,final_url,target_root,page_url,dataset_record_type,saved_at,url,domain,total_vulnerabilities,has_sql_injection,has_xss,has_command_injection,has_path_traversal,has_file_inclusion,vulnerability_score,critical_vuln_count,high_vuln_count,sqlmap_vulns_found,dalfox_vulns_found,commix_vulns_found,tools_used_count,sqlmap_confidence_avg,dalfox_confidence_avg,commix_confidence_avg,used_previous_scan,previous_scan_indicators,scan_hour,scan_day_of_week,prev_has_forms,prev_has_inputs,prev_form_count,prev_input_count,prev_has_debug_info,prev_has_error_messages,prev_technology_php,prev_technology_aspnet,prev_technology_wordpress,prev_security_headers_count,prev_response_size,days_since_last_scan,vuln_density,tool_effectiveness,security_risk_score,input_vulnerability_ratio,previous_scan_accuracy,total_issues,issue_density,has_idor
66,1,2,1,1,0,0,2,0,18,0,sa,200,2,39892,370.797,1,1,15,0,unknown,0,html,0,0,0,1,5,0,1,1,1,1,1,1,1,8,0,0,1,5,0,0,0,0,1,1,0,0,0,0,1,6,4,2,0,1,35,33,2,1,2,1,7,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1,1,1,1,1,1,0,7,37,1,0,0,0,0,0,0,0,8.0,0.0001504060964604,0.625,0.250676827434072,0,,20260503_191033,2026-05-03T19:10:39.816314,https://emmncts.stc.com.sa/AirWatch/Login?ReturnUrl=%2FAirWatch%2F,https://emmncts.stc.com.sa/AirWatch/Login?ReturnUrl=%2FAirWatch%2F,True,https://emmncts.stc.com.sa/AirWatch/Login?ReturnUrl=%2FAirWatch%2F,https://emmncts.stc.com.sa/AirWatch/Login?ReturnUrl=%2FAirWatch%2F,https://emmncts.stc.com.sa/AirWatch/Login?ReturnUrl=%2FAirWatch%2F,recon_redirect_hop,2026-05-03T19:10:39.819250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,1,2,1,1,0,0,2,0,18,0,sa,200,2,39892,370.797,0,3,15,0,unknown,0,html,0,0,0,1,5,0,1,1,1,1,1,1,1,8,0,0,1,5,0,0,0,0,1,1,0,0,0,0,1,6,4,2,0,1,35,33,2,1,2,1,7,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,2,1,1,0,1,1,1,1,1,1,0,7,37,1,0,0,0,0,0,0,0,8.0,0.0001504060964604,0.625,0.250676827434072,0,,20260503_191033,2026-05-03T19:10:39.878417,https://emmncts.stc.com.sa/AirWatch/Login?ReturnUrl=%2FAirWatch%2F,https://emmncts.stc.com.sa/AirWatch/Login?ReturnUrl=%2FAirWatch%2F,False,https://emmncts.stc.com.sa/AirWatch/Login?ReturnUrl=%2FAirWatch%2F,https://emmncts.stc.com.sa/AirWatch/Login?ReturnUrl=%2FAirWatch%2F,https://emmncts.stc.com.sa/AirWatch/Login?ReturnUrl=%2FAirWatch%2F,recon_page,2026-05-03T19:10:39.880757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,1,2,1,1,0,0,2,0,18,0,sa,200,2,39892,362.789,0,0,15,0,unknown,0,html,0,0,0,1,5,0,1,1,1,1,1,1,1,8,0,0,1,5,0,0,0,0,1,1,0,0,0,0,1,6,4,2,0,1,35,33,2,1,2,1,7,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1,1,1,1,1,1,0,7,37,1,0,0,0,0,0,0,0,8.0,0.0001504060964604,0.625,0.250676827434072,0,,20260503_191033,2026-05-03T19:14:03.333860,https://emmncts.stc.com.sa/AirWatch/Login/?ReturnUrl=%2FAirWatch%2F,https://emmncts.stc.com.sa/AirWatch/Login/?ReturnUrl=%2FAirWatch%2F,False,https://emmncts.stc.com.sa/AirWatch/Login/?ReturnUrl=%2FAirWatch%2F,https://emmncts.stc.com.sa/AirWatch/Login/?ReturnUrl=%2FAirWatch%2F,https://emmncts.stc.com.sa/AirWatch/Login/?ReturnUrl=%2FAirWatch%2F,recon_page,2026-05-03T19:14:03.376502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,1,1,0,0,0,0,2,0,18,0,sa,200,2,39892,126.54000000000002,0,0,16,0,unknown,0,html,1,2,0,1,5,0,1,1,1,1,1,1,1,8,0,0,1,5,0,0,0,0,1,1,0,0,0,0,1,6,4,2,0,1,35,33,2,1,2,1,7,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,0,0,0,0,1,1,1,1,1,1,0,7,37,1,0,0,0,0,0,0,0,8.0,0.0001504060964604,0.625,0.250676827434072,0,,20260503_191033,2026-05-03T19:14:30.954664,https://emmncts.stc.com.sa/AirWatch/,https://emmncts.stc.com.sa/AirWatch/Login/?ReturnUrl=%2FAirWatch%2F,False,https://emmncts.stc.com.sa/AirWatch/,https://emmncts.stc.com.sa/AirWatch/Login/?ReturnUrl=%2FAirWatch%2F,https://emmncts.stc.com.sa/AirWatch/,recon_page,2026-05-03T19:14:30.963767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,1,4,0,0,0,0,2,0,18,0,sa,200,2,39963,127.118,0,0,15,0,unknown,0,html,0,0,0,1,5,0,1,1,1,1,1,1,1,8,0,0,1,5,0,0,0,0,1,1,0,0,0,0,1,6,4,2,0,1,35,33,2,1,2,1,7,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1,1,1,1,1,1,0,7,37,1,0,0,0,0,0,0,0,8.0,0.0001501388784625,0.625,0.2502314641042965,0,,20260503_191033,2026-05-03T19:14:31.944443,https://emmncts.stc.com.sa/AirWatch/Login/Login/Login-User/,https://emmncts.stc.com.sa/AirWatch/Login/?ReturnUrl=%2FAirWatch%2F,False,https://emmncts.stc.com.sa/AirWatch/Login/Login/Login-User/,https://emmncts.stc.com.sa/AirWatch/Login/?ReturnUrl=%2FAirWatch%2F,https://emmncts.stc.com.sa/AirWatch/Login/Login/Login-User/,recon_page,2026-05-03T19:14:31.949209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,1,4,1,1,0,0,2,0,18,0,sa,200,2,39972,128.266,0,0,15,0,unknown,0,html,0,0,0,1,5,0,1,1,1,1,1,1,1,8,0,0,1,5,0,0,0,0,1,1,0,0,0,0,1,6,4,2,0,1,35,33,2,1,2,1,7,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1,1,1,1,1,1,0,7,37,1,0,0,0,0,0,0,0,8.0,0.0001501050735514,0.625,0.25017512258581,0,,20260503_191033,2026-05-03T19:14:32.358563,https://emmncts.stc.com.sa/AirWatch/Login/Login/Login-ChangeCulture/?Language=,https://emmncts.stc.com.sa/AirWatch/Login/?ReturnUrl=%2FAirWatch%2F,False,https://emmncts.stc.com.sa/AirWatch/Login/Login/Login-ChangeCulture/?Language=,https://emmncts.stc.com.sa/AirWatch/Login/?ReturnUrl=%2FAirWatch%2F,https://emmncts.stc.com.sa/AirWatch/Login/Login/Login-ChangeCulture/?Language=,recon_page,2026-05-03T19:14:32.363301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,1,4,0,0,0,0,2,0,18,0,sa,200,2,34064,1020.686,0,0,15,0,unknown,0,html,0,0,0,1,5,0,1,1,1,1,1,1,1,3,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,4,2,2,0,1,36,34,2,1,2,1,7,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1,1,1,1,1,1,0,3,38,1,0,0,0,0,0,0,0,3.0,0.0001174260216063,0.625,0.1467825270079849,0,,20260503_191033,2026-05-03T19:14:32.696103,https://emmncts.stc.com.sa/AirWatch/Login/Login/TroubleLoggingIn/,https://emmncts.stc.com.sa/AirWatch/Login/?ReturnUrl=%2FAirWatch%2F,False,https://emmncts.stc.com.sa/AirWatch/Login/Login/TroubleLoggingIn/,https://emmncts.stc.com.sa/AirWatch/Login/?ReturnUrl=%2FAirWatch%2F,https://emmncts.stc.com.sa/AirWatch/Login/Login/TroubleLoggingIn/,recon_page,2026-05-03T19:14:32.699228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,1,3,1,1,0,0,2,0,18,0,sa,200,2,39956,114.471,0,0,15,0,unknown,0,html,0,0,0,1,5,0,1,1,1,1,1,1,1,8,0,0,1,5,0,0,0,0,1,1,0,0,0,0,1,6,4,2,0,1,35,33,2,1,2,1,7,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1,1,1,1,1,1,0,7,37,1,0,0,0,0,0,0,0,8.0,0.0001501651816998,0.625,0.2502753028331164,0,,20260503_191033,2026-05-03T19:14:32.696670,https://emmncts.stc.com.sa/AirWatch/bundles/LoginJs/?v=Ebb7DmkWxmlX2tiluclgj_95FluNA5RYqc_KKcf8lBA1,https://emmncts.stc.com.sa/AirWatch/Login/?ReturnUrl=%2FAirWatch%2F,False,https://emmncts.stc.com.sa/AirWatch/bundles/LoginJs/?v=Ebb7DmkWxmlX2tiluclgj_95FluNA5RYqc_KKcf8lBA1,https://emmncts.stc.com.sa/AirWatch/Login/?ReturnUrl=%2FAirWatch%2F,https://emmncts.stc.com.sa/AirWatch/bundles/LoginJs/?v=Ebb7DmkWxmlX2tiluclgj_95FluNA5RYqc_KKcf8lBA1,recon_page,2026-05-03T19:14:32.700397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,1,3,1,1,0,0,2,0,18,0,sa,200,2,39957,113.67,0,0,15,0,unknown,0,html,0,0,0,1,5,0,1,1,1,1,1,1,1,8,0,0,1,5,0,0,0,0,1,1,0,0,0,0,1,6,4,2,0,1,35,33,2,1,2,1,7,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1,1,1,1,1,1,0,7,37,1,0,0,0,0,0,0,0,8.0,0.0001501614235302,0.625,0.2502690392171584,0,,20260503_191033,2026-05-03T19:14:33.082904,https://emmncts.stc.com.sa/AirWatch/bundles/LoginCss/?v=FHdy5622leDFdm5TjS1_Va5iVvE6VOBFV3zoDurIXHs1,https://emmncts.stc.com.sa/AirWatch/Login/?ReturnUrl=%2FAirWatch%2F,False,https://emmncts.stc.com.sa/AirWatch/bundles/LoginCss/?v=FHdy5622leDFdm5TjS1_Va5iVvE6VOBFV3zoDurIXHs1,https://emmncts.stc.com.sa/AirWatch/Login/?ReturnUrl=%2FAirWatch%2F,https://emmncts.stc.com.sa/AirWatch/bundles/LoginCss/?v=FHdy5622leDFdm5TjS1_Va5iVvE6VOBFV3zoDurIXHs1,recon_page,2026-05-03T19:14:33.086272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,1,3,1,1,0,0,2,0,18,0,sa,200,2,39958,104.218,0,0,15,0,unknown,0,html,0,0,0,1,5,0,1,1,1,1,1,1,1,8,0,0,1,5,0,0,0,0,1,1,0,0,0,0,1,6,4,2,0,1,35,33,2,1,2,1,7,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1,1,1,1,1,1,0,7,37,1,0,0,0,0,0,0,0,8.0,0.0001501576655488,0.625,0.2502627759147104,0,,20260503_191033,2026-05-03T19:15:59.075134,https://emmncts.stc.com.sa/AirWatch/Home/Error404/?aspxerrorpath=/AirWatch/bundles/LoginCss/,https://emmncts.stc.com.sa/AirWatch/Login/?ReturnUrl=%2FAirWatch%2F,False,https://emmncts.stc.com.sa/AirWatch/Home/Error404/?aspxerrorpath=/AirWatch/bundles/LoginCss/,https://emmncts.stc.com.sa/AirWatch/Login/?ReturnUrl=%2FAirWatch%2F,https://emmncts.stc.com.sa/AirWatch/Home/Error404/?aspxerrorpath=/AirWatch/bundles/LoginCss/,recon_page,2026-05-03T19:15:59.079611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
