url_length,has_https,path_depth,has_query_params,num_query_params,has_fragment,has_port,subdomain_count,is_ip_address,domain_length,domain_has_hyphens,domain_tld,status_code,status_category,response_size,response_time_ms,is_redirect,redirect_chain_len,total_headers,server_header_present,server_header,x_powered_by_present,content_type,has_cookies,num_cookies,has_cors,cache_control,security_headers_count,has_csp,has_hsts,has_xss_protection,has_frame_options,has_content_type_options,has_forms,form_count,has_inputs,input_count,has_password_input,password_count,has_hidden_input,hidden_count,has_file_upload,file_upload_count,has_search_input,search_count,has_buttons,button_count,has_textarea,textarea_count,has_select,select_count,has_scripts,script_count,inline_script_count,internal_script_count,external_script_count,has_links,link_count,internal_link_count,external_link_count,has_images,image_count,has_meta_tags,meta_count,has_stylesheets,stylesheet_count,has_javascript,has_comments,comment_count,has_title,server_apache,server_nginx,server_iis,tech_php,tech_aspnet,tech_jsp,tech_wordpress,tech_drupal,tech_joomla,has_debug_info,has_error_messages,has_sql_errors,has_file_paths,has_waf,waf_cloudflare,waf_aws,waf_imperva,reflection_detected,csp_header_reflection_detected,has_jwt,jwt_count,has_api_keys,api_key_count,cookie_count,session_cookies,secure_cookie_ratio,httponly_cookie_ratio,samesite_cookie_ratio,redirect_count,has_redirect_chain,final_https,get_form_count,post_form_count,has_login_form,login_form_count,csrf_token_input_count,has_csrf_token,same_origin_form_count,external_form_count,unique_input_names,unique_endpoint_count,parameterized_link_count,api_like_endpoint_count,inline_event_handler_count,email_input_count,url_input_count,mailto_link_count,tel_link_count,body_truncated_for_analysis,input_to_form_ratio,script_to_content_ratio,security_score,interactivity_score,is_vulnerable,vulnerability_type,scan_id,timestamp,target_url,original_url,is_redirect_response,final_url,target_root,page_url,dataset_record_type,saved_at
24,1,0,0,0,0,0,1,0,15,0,com,200,2,280562,416.968,0,4,19,1,cloudflare,0,html,1,1,0,0,3,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40,23,0,17,1,178,157,21,1,110,1,11,1,3,1,1,36,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,2,0,1.0,1.0,1.0,3,1,1,1,0,1,1,0,0,1,0,1,117,3,0,0,1,0,0,0,0,1.0,0.00014257098252792608,0.375,0.0071285491263963045,0,,20260512_090232,2026-05-12T09:02:40.722279,https://www.floqast.com/,https://floqast.com/,False,https://www.floqast.com/,https://floqast.com/,https://www.floqast.com/,recon_page,2026-05-12T09:02:40.725116
20,1,0,0,0,0,0,0,0,11,0,com,200,2,280562,409.032,0,0,20,1,cloudflare,0,html,0,0,0,0,3,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40,23,0,17,1,178,157,21,1,110,1,11,1,3,1,1,36,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,1,0,1,1,0,0,1,0,1,122,3,0,0,1,0,0,0,0,1.0,0.00014257098252792608,0.375,0.0071285491263963045,0,,20260512_090232,2026-05-12T09:02:51.404030,https://floqast.com/,https://floqast.com/,False,https://floqast.com/,https://floqast.com/,https://floqast.com/,recon_page,2026-05-12T09:02:51.407513
78,1,3,0,0,0,0,0,0,11,0,com,200,2,250631,154.806,0,0,20,1,cloudflare,0,html,0,0,0,0,3,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35,20,0,15,1,174,153,21,1,84,1,9,1,1,1,1,25,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,1,0,1,1,0,0,1,0,1,119,2,0,0,1,0,0,0,0,1.0,0.00013964752963520075,0.375,0.007979858836297185,0,,20260512_090232,2026-05-12T09:03:19.387734,https://floqast.com/optimize-the-close/products/accounting-finance-operations/,https://floqast.com/,False,https://floqast.com/optimize-the-close/products/accounting-finance-operations/,https://floqast.com/,https://floqast.com/optimize-the-close/products/accounting-finance-operations/,recon_page,2026-05-12T09:03:19.400676
47,1,3,0,0,0,0,0,0,11,0,com,200,2,254368,247.919,0,0,19,1,cloudflare,0,html,0,0,0,0,3,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,36,20,0,16,1,186,165,21,1,77,1,11,1,1,1,1,25,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,1,0,1,1,0,0,1,0,1,124,2,0,0,1,0,0,0,0,1.0,0.00014152723613033085,0.375,0.007862624229462826,0,,20260512_090232,2026-05-12T09:03:20.498402,https://floqast.com/solutions/verticals/retail/,https://floqast.com/,False,https://floqast.com/solutions/verticals/retail/,https://floqast.com/,https://floqast.com/solutions/verticals/retail/,recon_page,2026-05-12T09:03:20.517983
25,1,1,0,0,0,0,0,0,11,0,com,200,2,423893,436.568,0,0,20,1,cloudflare,0,html,0,0,0,0,3,1,1,0,1,0,1,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,40,20,0,20,1,278,258,20,1,151,1,11,1,1,1,1,29,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,2,0,1,1,0,0,2,0,4,228,2,0,0,1,0,0,0,0,2.0,9.43634360557971e-05,0.375,0.014154515408369565,0,,20260512_090232,2026-05-12T09:03:22.371059,https://floqast.com/blog/,https://floqast.com/,False,https://floqast.com/blog/,https://floqast.com/,https://floqast.com/blog/,recon_page,2026-05-12T09:03:22.386805
37,1,1,0,0,0,0,0,0,11,0,com,200,2,245772,686.51,0,0,21,1,cloudflare,0,html,1,1,0,0,3,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40,20,0,20,1,188,168,20,1,51,1,11,1,1,1,1,29,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,0,0,0,1,0,1,1,0,0,1,0,1,137,4,0,0,1,0,0,0,0,1.0,0.00016275246976872875,0.375,0.008137623488436437,0,,20260512_090232,2026-05-12T09:03:23.586610,https://floqast.com/engineering-blog/,https://floqast.com/,False,https://floqast.com/engineering-blog/,https://floqast.com/,https://floqast.com/engineering-blog/,recon_page,2026-05-12T09:03:23.598017
30,1,1,0,0,0,0,0,0,11,0,com,200,2,447415,464.883,0,0,20,1,cloudflare,0,html,0,0,0,0,3,1,1,0,1,0,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,75,54,0,21,1,210,190,20,1,232,1,10,1,1,1,1,31,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,2,0,1,1,0,0,2,0,3,163,2,0,0,1,0,0,0,0,1.5,0.0001676296056234145,0.375,0.011175307041560967,0,,20260512_090232,2026-05-12T09:03:24.836253,https://floqast.com/resources/,https://floqast.com/,False,https://floqast.com/resources/,https://floqast.com/,https://floqast.com/resources/,recon_page,2026-05-12T09:03:24.915431
26,1,1,0,0,0,0,0,0,11,0,com,200,2,506311,507.89799999999997,0,0,21,1,cloudflare,0,html,1,1,0,0,3,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,36,19,0,17,1,359,254,105,1,51,1,11,1,1,1,1,28,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,0,0,0,1,0,1,1,0,0,1,0,1,304,2,0,0,1,0,0,0,1,1.0,7.110254369350063e-05,0.375,0.003950141316305591,0,,20260512_090232,2026-05-12T09:03:24.915979,https://floqast.com/press/,https://floqast.com/,False,https://floqast.com/press/,https://floqast.com/,https://floqast.com/press/,recon_page,2026-05-12T09:03:24.919110
53,1,2,0,0,0,0,0,0,11,0,com,200,2,279896,616.169,0,0,20,1,cloudflare,0,html,1,1,0,0,3,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,41,20,0,21,1,186,166,20,1,86,1,10,1,1,1,1,30,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,0,0,0,1,0,1,1,0,0,1,0,1,138,2,0,0,1,0,0,0,0,1.0,0.00014648297939234573,0.375,0.007145511189870523,0,,20260512_090232,2026-05-12T09:03:25.800400,https://floqast.com/ai-agents/ai-agents-demo-library/,https://floqast.com/,False,https://floqast.com/ai-agents/ai-agents-demo-library/,https://floqast.com/,https://floqast.com/ai-agents/ai-agents-demo-library/,recon_page,2026-05-12T09:03:25.809778
39,1,1,0,0,0,0,0,0,11,0,com,200,2,250272,495.18600000000004,0,0,21,1,cloudflare,0,html,1,1,0,0,3,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35,20,0,15,1,178,157,21,1,80,1,11,1,1,1,1,25,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,0,0,0,1,0,1,1,0,0,1,0,1,120,2,0,0,1,0,0,0,0,1.0,0.00013984784554404807,0.375,0.00799130545965989,0,,20260512_090232,2026-05-12T09:03:26.402781,https://floqast.com/optimize-the-close/,https://floqast.com/,False,https://floqast.com/optimize-the-close/,https://floqast.com/,https://floqast.com/optimize-the-close/,recon_page,2026-05-12T09:03:26.407376
