url_length,has_https,path_depth,has_query_params,num_query_params,has_fragment,has_port,subdomain_count,is_ip_address,domain_length,domain_has_hyphens,domain_tld,status_code,status_category,response_size,response_time_ms,is_redirect,redirect_chain_len,total_headers,server_header_present,server_header,x_powered_by_present,content_type,has_cookies,num_cookies,has_cors,cache_control,security_headers_count,has_csp,has_hsts,has_xss_protection,has_frame_options,has_content_type_options,has_forms,form_count,has_inputs,input_count,has_password_input,password_count,has_hidden_input,hidden_count,has_file_upload,file_upload_count,has_search_input,search_count,has_buttons,button_count,has_textarea,textarea_count,has_select,select_count,has_scripts,script_count,inline_script_count,internal_script_count,external_script_count,has_links,link_count,internal_link_count,external_link_count,has_images,image_count,has_meta_tags,meta_count,has_stylesheets,stylesheet_count,has_javascript,has_comments,comment_count,has_title,server_apache,server_nginx,server_iis,tech_php,tech_aspnet,tech_jsp,tech_wordpress,tech_drupal,tech_joomla,has_debug_info,has_error_messages,has_sql_errors,has_file_paths,has_waf,waf_cloudflare,waf_aws,waf_imperva,reflection_detected,csp_header_reflection_detected,has_jwt,jwt_count,has_api_keys,api_key_count,cookie_count,session_cookies,secure_cookie_ratio,httponly_cookie_ratio,samesite_cookie_ratio,redirect_count,has_redirect_chain,final_https,get_form_count,post_form_count,has_login_form,login_form_count,csrf_token_input_count,has_csrf_token,same_origin_form_count,external_form_count,unique_input_names,unique_endpoint_count,parameterized_link_count,api_like_endpoint_count,inline_event_handler_count,email_input_count,url_input_count,mailto_link_count,tel_link_count,body_truncated_for_analysis,input_to_form_ratio,script_to_content_ratio,security_score,interactivity_score,is_vulnerable,vulnerability_type,scan_id,timestamp,target_url,original_url,is_redirect_response,final_url,target_root,page_url,dataset_record_type,saved_at,url,domain,total_vulnerabilities,has_sql_injection,has_xss,has_command_injection,has_path_traversal,has_file_inclusion,vulnerability_score,critical_vuln_count,high_vuln_count,sqlmap_vulns_found,dalfox_vulns_found,commix_vulns_found,tools_used_count,sqlmap_confidence_avg,dalfox_confidence_avg,commix_confidence_avg,used_previous_scan,previous_scan_indicators,scan_hour,scan_day_of_week,prev_has_forms,prev_has_inputs,prev_form_count,prev_input_count,prev_has_debug_info,prev_has_error_messages,prev_technology_php,prev_technology_aspnet,prev_technology_wordpress,prev_security_headers_count,prev_response_size,days_since_last_scan,vuln_density,tool_effectiveness,security_risk_score,input_vulnerability_ratio,previous_scan_accuracy,total_issues,issue_density,has_idor
26,1,1,0,0,0,0,1,0,15,0,com,200,2,111760,1111.4440000000002,1,1,8,0,unknown,1,html,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,33,8,25,0,1,4,4,0,0,0,1,4,1,2,1,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0.0,0.0002952755905511,0.125,0.0,0,,20260503_225319,2026-05-03T22:53:27.946348,https://help.flynas.com/en,https://help.flynas.com/en,True,https://help.flynas.com/en,https://help.flynas.com/en,https://help.flynas.com/en,recon_redirect_hop,2026-05-03T22:53:27.958091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,1,1,0,0,0,0,1,0,15,0,com,200,2,111760,1111.4440000000002,0,3,8,0,unknown,1,html,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,33,8,25,0,1,4,4,0,0,0,1,4,1,2,1,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2,1,1,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0.0,0.0002952755905511,0.125,0.0,0,,20260503_225319,2026-05-03T22:53:28.058159,https://help.flynas.com/en,https://help.flynas.com/en,False,https://help.flynas.com/en,https://help.flynas.com/en,https://help.flynas.com/en,recon_page,2026-05-03T22:53:28.060373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,1,1,0,0,0,0,1,0,15,0,com,200,2,111760,220.108,0,0,9,0,unknown,1,html,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,33,8,25,0,1,4,4,0,0,0,1,4,1,2,1,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0.0,0.0002952755905511,0.125,0.0,0,,20260503_225319,2026-05-03T22:53:52.942766,https://help.flynas.com/en/,https://help.flynas.com/en/,False,https://help.flynas.com/en/,https://help.flynas.com/en/,https://help.flynas.com/en/,recon_page,2026-05-03T22:53:52.947097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,1,1,0,0,0,0,1,0,15,0,com,200,2,111760,381.483,0,0,8,0,unknown,1,html,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,33,8,25,0,1,4,4,0,0,0,1,4,1,2,1,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0.0,0.0002952755905511,0.125,0.0,0,,20260503_225319,2026-05-03T22:53:59.001322,https://help.flynas.com/en\/,https://help.flynas.com/en/,False,https://help.flynas.com/en\/,https://help.flynas.com/en/,https://help.flynas.com/en\/,recon_page,2026-05-03T22:53:59.006040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,1,3,0,0,0,0,1,0,15,0,com,404,4,11368,294.765,0,0,7,0,unknown,1,html,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,6,12,0,1,5,5,0,1,1,1,5,1,1,1,1,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0.0,0.0015833919774806,0.125,0.0,0,,20260503_225319,2026-05-03T22:54:02.459065,https://help.flynas.com/static/chunks/9c2db669d4a56ffd.js\,https://help.flynas.com/en/,False,https://help.flynas.com/static/chunks/9c2db669d4a56ffd.js\,https://help.flynas.com/en/,https://help.flynas.com/static/chunks/9c2db669d4a56ffd.js\,recon_page,2026-05-03T22:54:02.462280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,1,2,0,0,0,0,1,0,15,0,com,200,2,111737,321.156,0,0,8,0,unknown,1,html,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31,8,23,0,1,4,4,0,0,0,1,4,1,2,1,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0.0,0.0002774371962733,0.125,0.0,0,,20260503_225319,2026-05-03T22:54:02.873793,https://help.flynas.com/en/support\/,https://help.flynas.com/en/,False,https://help.flynas.com/en/support\/,https://help.flynas.com/en/,https://help.flynas.com/en/support\/,recon_page,2026-05-03T22:54:02.914284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,1,1,0,0,0,0,1,0,15,0,com,200,2,112970,190.616,0,0,8,0,unknown,1,html,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,36,8,28,0,1,4,4,0,0,0,1,4,1,2,1,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0.0,0.000318668673099,0.125,0.0,0,,20260503_225319,2026-05-03T22:54:02.917278,https://help.flynas.com/voucher-cashout\/,https://help.flynas.com/en/,False,https://help.flynas.com/voucher-cashout\/,https://help.flynas.com/en/,https://help.flynas.com/voucher-cashout\/,recon_page,2026-05-03T22:54:02.999101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1,1,0,0,0,0,1,0,15,0,com,404,4,11339,202.317,0,0,8,0,unknown,1,html,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,6,12,0,1,5,5,0,1,1,1,5,1,1,1,1,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0.0,0.0015874415733309,0.125,0.0,0,,20260503_225319,2026-05-03T22:54:03.679361,https://help.flynas.com/_next/,https://help.flynas.com/en/,False,https://help.flynas.com/_next/,https://help.flynas.com/en/,https://help.flynas.com/_next/,recon_page,2026-05-03T22:54:03.683093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1,2,0,0,0,0,1,0,15,0,com,200,2,111737,199.931,0,0,8,0,unknown,1,html,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31,8,23,0,1,4,4,0,0,0,1,4,1,2,1,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0.0,0.0002774371962733,0.125,0.0,0,,20260503_225319,2026-05-03T22:54:09.129513,https://help.flynas.com/en/support/,https://help.flynas.com/en/,False,https://help.flynas.com/en/support/,https://help.flynas.com/en/,https://help.flynas.com/en/support/,recon_page,2026-05-03T22:54:09.133574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,1,3,0,0,0,0,1,0,15,0,com,404,4,11368,198.833,0,0,7,0,unknown,1,html,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,6,12,0,1,5,5,0,1,1,1,5,1,1,1,1,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0.0,0.0015833919774806,0.125,0.0,0,,20260503_225319,2026-05-03T22:54:09.592079,https://help.flynas.com/static/chunks/7eb660ad8d39ff0f.js\,https://help.flynas.com/en/,False,https://help.flynas.com/static/chunks/7eb660ad8d39ff0f.js\,https://help.flynas.com/en/,https://help.flynas.com/static/chunks/7eb660ad8d39ff0f.js\,recon_page,2026-05-03T22:54:09.602270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
