url_length,has_https,path_depth,has_query_params,num_query_params,has_fragment,has_port,subdomain_count,is_ip_address,domain_length,domain_has_hyphens,domain_tld,status_code,status_category,response_size,response_time_ms,is_redirect,redirect_chain_len,total_headers,server_header_present,server_header,x_powered_by_present,content_type,has_cookies,num_cookies,has_cors,cache_control,security_headers_count,has_csp,has_hsts,has_xss_protection,has_frame_options,has_content_type_options,has_forms,form_count,has_inputs,input_count,has_password_input,password_count,has_hidden_input,hidden_count,has_file_upload,file_upload_count,has_search_input,search_count,has_buttons,button_count,has_textarea,textarea_count,has_select,select_count,has_scripts,script_count,inline_script_count,internal_script_count,external_script_count,has_links,link_count,internal_link_count,external_link_count,has_images,image_count,has_meta_tags,meta_count,has_stylesheets,stylesheet_count,has_javascript,has_comments,comment_count,has_title,server_apache,server_nginx,server_iis,tech_php,tech_aspnet,tech_jsp,tech_wordpress,tech_drupal,tech_joomla,has_debug_info,has_error_messages,has_sql_errors,has_file_paths,has_waf,waf_cloudflare,waf_aws,waf_imperva,reflection_detected,csp_header_reflection_detected,has_jwt,jwt_count,has_api_keys,api_key_count,cookie_count,session_cookies,secure_cookie_ratio,httponly_cookie_ratio,samesite_cookie_ratio,redirect_count,has_redirect_chain,final_https,get_form_count,post_form_count,has_login_form,login_form_count,csrf_token_input_count,has_csrf_token,same_origin_form_count,external_form_count,unique_input_names,unique_endpoint_count,parameterized_link_count,api_like_endpoint_count,inline_event_handler_count,email_input_count,url_input_count,mailto_link_count,tel_link_count,body_truncated_for_analysis,input_to_form_ratio,script_to_content_ratio,security_score,interactivity_score,is_vulnerable,vulnerability_type,scan_id,timestamp,target_url,original_url,is_redirect_response,final_url,target_root,page_url,dataset_record_type,saved_at
232,1,3,1,7,0,0,2,0,14,0,sa,200,2,33037,376.368,0,3,13,1,XXXXXX,0,html,0,0,1,1,3,0,1,0,1,0,1,4,1,11,1,1,1,4,0,0,0,0,1,2,0,0,1,1,1,65,13,52,0,1,14,14,0,1,8,1,2,1,6,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,2,1,1,0,4,1,3,0,0,4,0,9,68,9,0,6,0,0,0,0,0,2.75,0.001967490994945062,0.375,0.5145745679087085,0,,20260512_090223,2026-05-12T09:02:26.686411,https://iot.stc.com.sa/web/guest/home?p_p_state=normal&p_p_mode=view&saveLastPath=false&_58_struts_action=%2Flogin%2Flogin&p_p_id=58&p_p_lifecycle=0&_58_redirect=%2Fgroup%2Fcrm%2Fhome1%3Bjsessionid%3D6333A461481C354B38E272AE7676BCE1,https://iot.stc.com.sa/web/guest/home?p_p_state=normal&p_p_mode=view&saveLastPath=false&_58_struts_action=%2Flogin%2Flogin&p_p_id=58&p_p_lifecycle=0&_58_redirect=%2Fgroup%2Fcrm%2Fhome1%3Bjsessionid%3D6333A461481C354B38E272AE7676BCE1,False,https://iot.stc.com.sa/web/guest/home?p_p_state=normal&p_p_mode=view&saveLastPath=false&_58_struts_action=%2Flogin%2Flogin&p_p_id=58&p_p_lifecycle=0&_58_redirect=%2Fgroup%2Fcrm%2Fhome1%3Bjsessionid%3D6333A461481C354B38E272AE7676BCE1,https://iot.stc.com.sa/web/guest/home?p_p_state=normal&p_p_mode=view&saveLastPath=false&_58_struts_action=%2Flogin%2Flogin&p_p_id=58&p_p_lifecycle=0&_58_redirect=%2Fgroup%2Fcrm%2Fhome1%3Bjsessionid%3D6333A461481C354B38E272AE7676BCE1,https://iot.stc.com.sa/web/guest/home?p_p_state=normal&p_p_mode=view&saveLastPath=false&_58_struts_action=%2Flogin%2Flogin&p_p_id=58&p_p_lifecycle=0&_58_redirect=%2Fgroup%2Fcrm%2Fhome1%3Bjsessionid%3D6333A461481C354B38E272AE7676BCE1,recon_page,2026-05-12T09:02:26.689379
233,1,3,1,7,0,0,2,0,14,0,sa,200,2,33060,304.634,0,0,12,1,XXXXXX,0,html,0,0,1,1,3,0,1,0,1,0,1,4,1,11,1,1,1,4,0,0,0,0,1,2,0,0,1,1,1,65,13,52,0,1,14,14,0,1,8,1,2,1,6,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,4,1,3,0,0,4,0,9,68,9,0,6,0,0,0,0,0,2.75,0.0019661222020568663,0.375,0.514216575922565,0,,20260512_090223,2026-05-12T09:02:55.953920,https://iot.stc.com.sa/web/guest/home/?p_p_state=normal&p_p_mode=view&saveLastPath=false&_58_struts_action=%2Flogin%2Flogin&p_p_id=58&p_p_lifecycle=0&_58_redirect=%2Fgroup%2Fcrm%2Fhome1%3Bjsessionid%3D6333A461481C354B38E272AE7676BCE1,https://iot.stc.com.sa/web/guest/home/?p_p_state=normal&p_p_mode=view&saveLastPath=false&_58_struts_action=%2Flogin%2Flogin&p_p_id=58&p_p_lifecycle=0&_58_redirect=%2Fgroup%2Fcrm%2Fhome1%3Bjsessionid%3D6333A461481C354B38E272AE7676BCE1,False,https://iot.stc.com.sa/web/guest/home/?p_p_state=normal&p_p_mode=view&saveLastPath=false&_58_struts_action=%2Flogin%2Flogin&p_p_id=58&p_p_lifecycle=0&_58_redirect=%2Fgroup%2Fcrm%2Fhome1%3Bjsessionid%3D6333A461481C354B38E272AE7676BCE1,https://iot.stc.com.sa/web/guest/home/?p_p_state=normal&p_p_mode=view&saveLastPath=false&_58_struts_action=%2Flogin%2Flogin&p_p_id=58&p_p_lifecycle=0&_58_redirect=%2Fgroup%2Fcrm%2Fhome1%3Bjsessionid%3D6333A461481C354B38E272AE7676BCE1,https://iot.stc.com.sa/web/guest/home/?p_p_state=normal&p_p_mode=view&saveLastPath=false&_58_struts_action=%2Flogin%2Flogin&p_p_id=58&p_p_lifecycle=0&_58_redirect=%2Fgroup%2Fcrm%2Fhome1%3Bjsessionid%3D6333A461481C354B38E272AE7676BCE1,recon_page,2026-05-12T09:02:55.957424
55,1,4,0,0,0,0,2,0,14,0,sa,404,4,1104,566.4630000000001,0,0,7,1,XXXXXX,0,html,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.125,0.0,0,,20260512_090223,2026-05-12T09:03:45.125139,https://iot.stc.com.sa/stcLayout/html/crmLayout/images/,https://iot.stc.com.sa/web/guest/home/?p_p_state=normal&p_p_mode=view&saveLastPath=false&_58_struts_action=%2Flogin%2Flogin&p_p_id=58&p_p_lifecycle=0&_58_redirect=%2Fgroup%2Fcrm%2Fhome1%3Bjsessionid%3D6333A461481C354B38E272AE7676BCE1,False,https://iot.stc.com.sa/stcLayout/html/crmLayout/images/,https://iot.stc.com.sa/web/guest/home/?p_p_state=normal&p_p_mode=view&saveLastPath=false&_58_struts_action=%2Flogin%2Flogin&p_p_id=58&p_p_lifecycle=0&_58_redirect=%2Fgroup%2Fcrm%2Fhome1%3Bjsessionid%3D6333A461481C354B38E272AE7676BCE1,https://iot.stc.com.sa/stcLayout/html/crmLayout/images/,recon_page,2026-05-12T09:03:45.132156
66,1,5,0,0,0,0,2,0,14,0,sa,404,4,1115,68.993,0,0,7,1,XXXXXX,0,html,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.125,0.0,0,,20260512_090223,2026-05-12T09:04:10.061074,https://iot.stc.com.sa/stcLayout/html/crmLayout/images/liferay.ico,https://iot.stc.com.sa/web/guest/home/?p_p_state=normal&p_p_mode=view&saveLastPath=false&_58_struts_action=%2Flogin%2Flogin&p_p_id=58&p_p_lifecycle=0&_58_redirect=%2Fgroup%2Fcrm%2Fhome1%3Bjsessionid%3D6333A461481C354B38E272AE7676BCE1,False,https://iot.stc.com.sa/stcLayout/html/crmLayout/images/liferay.ico,https://iot.stc.com.sa/web/guest/home/?p_p_state=normal&p_p_mode=view&saveLastPath=false&_58_struts_action=%2Flogin%2Flogin&p_p_id=58&p_p_lifecycle=0&_58_redirect=%2Fgroup%2Fcrm%2Fhome1%3Bjsessionid%3D6333A461481C354B38E272AE7676BCE1,https://iot.stc.com.sa/stcLayout/html/crmLayout/images/liferay.ico,recon_page,2026-05-12T09:04:10.066062
131,1,3,1,6,0,0,2,0,14,0,sa,200,2,31592,166.36100000000002,0,0,12,1,XXXXXX,0,html,0,0,1,1,3,0,1,0,1,0,1,4,1,11,1,1,1,4,0,0,0,0,1,2,0,0,1,1,1,65,13,52,0,1,14,14,0,1,8,1,2,1,6,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,4,1,2,0,0,4,0,9,68,9,0,6,0,0,0,0,0,2.75,0.00205748290706508,0.375,0.5381109141554824,0,,20260512_090223,2026-05-12T09:05:31.046000,https://iot.stc.com.sa/web/guest/home/?p_p_id=58&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&p_p_col_id=column-1&p_p_col_count=3,https://iot.stc.com.sa/web/guest/home/?p_p_state=normal&p_p_mode=view&saveLastPath=false&_58_struts_action=%2Flogin%2Flogin&p_p_id=58&p_p_lifecycle=0&_58_redirect=%2Fgroup%2Fcrm%2Fhome1%3Bjsessionid%3D6333A461481C354B38E272AE7676BCE1,False,https://iot.stc.com.sa/web/guest/home/?p_p_id=58&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&p_p_col_id=column-1&p_p_col_count=3,https://iot.stc.com.sa/web/guest/home/?p_p_state=normal&p_p_mode=view&saveLastPath=false&_58_struts_action=%2Flogin%2Flogin&p_p_id=58&p_p_lifecycle=0&_58_redirect=%2Fgroup%2Fcrm%2Fhome1%3Bjsessionid%3D6333A461481C354B38E272AE7676BCE1,https://iot.stc.com.sa/web/guest/home/?p_p_id=58&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&p_p_col_id=column-1&p_p_col_count=3,recon_page,2026-05-12T09:05:31.085760
181,1,3,1,8,0,0,2,0,14,0,sa,200,2,32381,177.841,0,0,12,1,XXXXXX,0,html,0,0,1,1,3,0,1,0,1,0,1,4,1,11,1,1,1,4,0,0,0,0,1,2,0,0,1,1,1,65,13,52,0,1,14,14,0,1,8,1,2,1,6,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,4,1,3,0,0,4,0,9,68,9,0,6,0,0,0,0,0,2.75,0.0020073499891911924,0.375,0.5249992279423118,0,,20260512_090223,2026-05-12T09:05:57.358559,https://iot.stc.com.sa/web/guest/home/?p_p_id=58&p_p_lifecycle=1&p_p_state=normal&p_p_mode=view&p_p_col_id=column-1&p_p_col_count=3&saveLastPath=0&_58_struts_action=%2Flogin%2Flogin,https://iot.stc.com.sa/web/guest/home/?p_p_state=normal&p_p_mode=view&saveLastPath=false&_58_struts_action=%2Flogin%2Flogin&p_p_id=58&p_p_lifecycle=0&_58_redirect=%2Fgroup%2Fcrm%2Fhome1%3Bjsessionid%3D6333A461481C354B38E272AE7676BCE1,False,https://iot.stc.com.sa/web/guest/home/?p_p_id=58&p_p_lifecycle=1&p_p_state=normal&p_p_mode=view&p_p_col_id=column-1&p_p_col_count=3&saveLastPath=0&_58_struts_action=%2Flogin%2Flogin,https://iot.stc.com.sa/web/guest/home/?p_p_state=normal&p_p_mode=view&saveLastPath=false&_58_struts_action=%2Flogin%2Flogin&p_p_id=58&p_p_lifecycle=0&_58_redirect=%2Fgroup%2Fcrm%2Fhome1%3Bjsessionid%3D6333A461481C354B38E272AE7676BCE1,https://iot.stc.com.sa/web/guest/home/?p_p_id=58&p_p_lifecycle=1&p_p_state=normal&p_p_mode=view&p_p_col_id=column-1&p_p_col_count=3&saveLastPath=0&_58_struts_action=%2Flogin%2Flogin,recon_page,2026-05-12T09:05:57.362211
191,1,3,1,8,0,0,2,0,14,0,sa,200,2,22440,173.299,0,0,12,1,XXXXXX,0,html,0,0,1,1,3,0,1,0,1,0,1,3,1,6,0,0,1,2,0,0,0,0,1,1,0,0,1,1,1,63,12,51,0,1,12,12,0,1,6,1,2,1,5,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,3,1,2,0,0,3,0,5,64,9,0,5,0,0,0,0,0,2.0,0.002807486631016043,0.375,0.44563279857397503,0,,20260512_090223,2026-05-12T09:06:19.246283,https://iot.stc.com.sa/web/guest/home/?p_p_id=58&p_p_lifecycle=1&p_p_state=normal&p_p_mode=view&p_p_col_id=column-1&p_p_col_count=3&saveLastPath=0&_58_struts_action=%2Flogin%2Fforgot_password,https://iot.stc.com.sa/web/guest/home/?p_p_state=normal&p_p_mode=view&saveLastPath=false&_58_struts_action=%2Flogin%2Flogin&p_p_id=58&p_p_lifecycle=0&_58_redirect=%2Fgroup%2Fcrm%2Fhome1%3Bjsessionid%3D6333A461481C354B38E272AE7676BCE1,False,https://iot.stc.com.sa/web/guest/home/?p_p_id=58&p_p_lifecycle=1&p_p_state=normal&p_p_mode=view&p_p_col_id=column-1&p_p_col_count=3&saveLastPath=0&_58_struts_action=%2Flogin%2Fforgot_password,https://iot.stc.com.sa/web/guest/home/?p_p_state=normal&p_p_mode=view&saveLastPath=false&_58_struts_action=%2Flogin%2Flogin&p_p_id=58&p_p_lifecycle=0&_58_redirect=%2Fgroup%2Fcrm%2Fhome1%3Bjsessionid%3D6333A461481C354B38E272AE7676BCE1,https://iot.stc.com.sa/web/guest/home/?p_p_id=58&p_p_lifecycle=1&p_p_state=normal&p_p_mode=view&p_p_col_id=column-1&p_p_col_count=3&saveLastPath=0&_58_struts_action=%2Flogin%2Fforgot_password,recon_page,2026-05-12T09:06:19.252343
38,1,3,0,0,0,0,2,0,14,0,sa,200,2,30332,126.40199999999999,0,0,12,1,XXXXXX,0,html,0,0,1,1,3,0,1,0,1,0,1,4,1,11,1,1,1,4,0,0,0,0,1,2,0,0,1,1,1,65,13,52,0,1,14,14,0,1,8,1,2,1,6,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,4,1,2,0,0,4,0,9,68,9,0,6,0,0,0,0,0,2.75,0.0021429513385203746,0.375,0.5604641962284056,0,,20260512_090223,2026-05-12T09:06:23.709234,https://iot.stc.com.sa/web/guest/home/,https://iot.stc.com.sa/web/guest/home/?p_p_state=normal&p_p_mode=view&saveLastPath=false&_58_struts_action=%2Flogin%2Flogin&p_p_id=58&p_p_lifecycle=0&_58_redirect=%2Fgroup%2Fcrm%2Fhome1%3Bjsessionid%3D6333A461481C354B38E272AE7676BCE1,False,https://iot.stc.com.sa/web/guest/home/,https://iot.stc.com.sa/web/guest/home/?p_p_state=normal&p_p_mode=view&saveLastPath=false&_58_struts_action=%2Flogin%2Flogin&p_p_id=58&p_p_lifecycle=0&_58_redirect=%2Fgroup%2Fcrm%2Fhome1%3Bjsessionid%3D6333A461481C354B38E272AE7676BCE1,https://iot.stc.com.sa/web/guest/home/,recon_page,2026-05-12T09:06:23.713774
510,1,3,1,10,0,0,2,0,14,0,sa,200,2,36668,476.84,0,0,12,1,XXXXXX,0,html,0,0,1,1,3,0,1,0,1,0,1,4,1,11,1,1,1,4,0,0,0,0,1,2,0,0,1,1,1,65,13,52,0,1,14,14,0,1,8,1,2,1,6,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,4,1,3,0,0,4,0,9,68,9,0,6,0,0,0,0,0,2.75,0.0017726628122613722,0.375,0.463619504745282,0,,20260512_090223,2026-05-12T09:06:35.377330,https://iot.stc.com.sa/web/guest/home/?p_p_id=82&amp;p_p_lifecycle=1&amp;p_p_state=normal&amp;p_p_mode=view&amp;p_p_col_id=column-1&amp;p_p_col_pos=1&amp;p_p_col_count=3&amp;_82_struts_action=%2Flanguage%2Fview&amp;_82_redirect=%2Fweb%2Fguest%2Fhome%2F%3Fp_p_state%3Dnormal%26p_p_mode%3Dview%26saveLastPath%3Dfalse%26_58_struts_action%3D%252Flogin%252Flogin%26p_p_id%3D58%26p_p_lifecycle%3D0%26_58_redirect%3D%252Fgroup%252Fcrm%252Fhome1%253Bjsessionid%253D6333A461481C354B38E272AE7676BCE1&amp;languageId=ar_SA,https://iot.stc.com.sa/web/guest/home/?p_p_state=normal&p_p_mode=view&saveLastPath=false&_58_struts_action=%2Flogin%2Flogin&p_p_id=58&p_p_lifecycle=0&_58_redirect=%2Fgroup%2Fcrm%2Fhome1%3Bjsessionid%3D6333A461481C354B38E272AE7676BCE1,False,https://iot.stc.com.sa/web/guest/home/?p_p_id=82&amp;p_p_lifecycle=1&amp;p_p_state=normal&amp;p_p_mode=view&amp;p_p_col_id=column-1&amp;p_p_col_pos=1&amp;p_p_col_count=3&amp;_82_struts_action=%2Flanguage%2Fview&amp;_82_redirect=%2Fweb%2Fguest%2Fhome%2F%3Fp_p_state%3Dnormal%26p_p_mode%3Dview%26saveLastPath%3Dfalse%26_58_struts_action%3D%252Flogin%252Flogin%26p_p_id%3D58%26p_p_lifecycle%3D0%26_58_redirect%3D%252Fgroup%252Fcrm%252Fhome1%253Bjsessionid%253D6333A461481C354B38E272AE7676BCE1&amp;languageId=ar_SA,https://iot.stc.com.sa/web/guest/home/?p_p_state=normal&p_p_mode=view&saveLastPath=false&_58_struts_action=%2Flogin%2Flogin&p_p_id=58&p_p_lifecycle=0&_58_redirect=%2Fgroup%2Fcrm%2Fhome1%3Bjsessionid%3D6333A461481C354B38E272AE7676BCE1,https://iot.stc.com.sa/web/guest/home/?p_p_id=82&amp;p_p_lifecycle=1&amp;p_p_state=normal&amp;p_p_mode=view&amp;p_p_col_id=column-1&amp;p_p_col_pos=1&amp;p_p_col_count=3&amp;_82_struts_action=%2Flanguage%2Fview&amp;_82_redirect=%2Fweb%2Fguest%2Fhome%2F%3Fp_p_state%3Dnormal%26p_p_mode%3Dview%26saveLastPath%3Dfalse%26_58_struts_action%3D%252Flogin%252Flogin%26p_p_id%3D58%26p_p_lifecycle%3D0%26_58_redirect%3D%252Fgroup%252Fcrm%252Fhome1%253Bjsessionid%253D6333A461481C354B38E272AE7676BCE1&amp;languageId=ar_SA,recon_page,2026-05-12T09:06:35.381782
29,1,1,0,0,0,0,2,0,14,0,sa,404,4,27920,170.507,0,0,10,1,XXXXXX,0,html,0,0,0,1,3,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,59,8,51,0,1,7,7,0,0,0,1,2,1,5,1,1,2,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,1,0,1,59,5,0,1,0,0,0,0,0,1.0,0.0021131805157593125,0.375,0.07163323782234957,0,,20260512_090223,2026-05-12T09:07:53.500670,https://iot.stc.com.sa/image/,https://iot.stc.com.sa/web/guest/home/?p_p_state=normal&p_p_mode=view&saveLastPath=false&_58_struts_action=%2Flogin%2Flogin&p_p_id=58&p_p_lifecycle=0&_58_redirect=%2Fgroup%2Fcrm%2Fhome1%3Bjsessionid%3D6333A461481C354B38E272AE7676BCE1,False,https://iot.stc.com.sa/image/,https://iot.stc.com.sa/web/guest/home/?p_p_state=normal&p_p_mode=view&saveLastPath=false&_58_struts_action=%2Flogin%2Flogin&p_p_id=58&p_p_lifecycle=0&_58_redirect=%2Fgroup%2Fcrm%2Fhome1%3Bjsessionid%3D6333A461481C354B38E272AE7676BCE1,https://iot.stc.com.sa/image/,recon_page,2026-05-12T09:07:53.503944
