url_length,has_https,path_depth,has_query_params,num_query_params,has_fragment,has_port,subdomain_count,is_ip_address,domain_length,domain_has_hyphens,domain_tld,status_code,status_category,response_size,response_time_ms,is_redirect,redirect_chain_len,total_headers,server_header_present,server_header,x_powered_by_present,content_type,has_cookies,num_cookies,has_cors,cache_control,security_headers_count,has_csp,has_hsts,has_xss_protection,has_frame_options,has_content_type_options,has_forms,form_count,has_inputs,input_count,has_password_input,password_count,has_hidden_input,hidden_count,has_file_upload,file_upload_count,has_search_input,search_count,has_buttons,button_count,has_textarea,textarea_count,has_select,select_count,has_scripts,script_count,inline_script_count,internal_script_count,external_script_count,has_links,link_count,internal_link_count,external_link_count,has_images,image_count,has_meta_tags,meta_count,has_stylesheets,stylesheet_count,has_javascript,has_comments,comment_count,has_title,server_apache,server_nginx,server_iis,tech_php,tech_aspnet,tech_jsp,tech_wordpress,tech_drupal,tech_joomla,has_debug_info,has_error_messages,has_sql_errors,has_file_paths,has_waf,waf_cloudflare,waf_aws,waf_imperva,reflection_detected,csp_header_reflection_detected,has_jwt,jwt_count,has_api_keys,api_key_count,cookie_count,session_cookies,secure_cookie_ratio,httponly_cookie_ratio,samesite_cookie_ratio,redirect_count,has_redirect_chain,final_https,get_form_count,post_form_count,has_login_form,login_form_count,csrf_token_input_count,has_csrf_token,same_origin_form_count,external_form_count,unique_input_names,unique_endpoint_count,parameterized_link_count,api_like_endpoint_count,inline_event_handler_count,email_input_count,url_input_count,mailto_link_count,tel_link_count,body_truncated_for_analysis,input_to_form_ratio,script_to_content_ratio,security_score,interactivity_score,is_vulnerable,vulnerability_type,scan_id,timestamp,target_url,original_url,is_redirect_response,final_url,target_root,page_url,dataset_record_type,saved_at
28,1,1,0,0,0,0,2,0,16,0,sa,200,2,47765,224.74099999999999,0,3,9,0,unknown,0,html,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,22,11,11,0,1,63,55,8,1,19,1,4,1,2,1,1,5,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2,1,1,0,0,0,0,0,0,0,0,0,53,1,0,0,0,0,1,0,0,0.0,0.0004605882968700932,0.125,0.020935831675913324,0,,20260512_100046,2026-05-12T10:00:49.162614,https://ipsar.chi.gov.sa/en/,https://ipsar.chi.gov.sa/en/,False,https://ipsar.chi.gov.sa/en/,https://ipsar.chi.gov.sa/en/,https://ipsar.chi.gov.sa/en/,recon_page,2026-05-12T10:00:49.166098
28,1,1,0,0,0,0,2,0,16,0,sa,200,2,47775,253.457,0,0,9,0,unknown,0,html,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,22,11,11,0,1,63,55,8,1,19,1,4,1,2,1,1,5,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,53,1,0,0,0,0,1,0,0,0.0,0.00046049188906331764,0.125,0.020931449502878074,0,,20260512_100046,2026-05-12T10:00:56.978468,https://ipsar.chi.gov.sa/en/,https://ipsar.chi.gov.sa/en/,False,https://ipsar.chi.gov.sa/en/,https://ipsar.chi.gov.sa/en/,https://ipsar.chi.gov.sa/en/,recon_page,2026-05-12T10:00:56.981582
62,1,4,0,0,0,0,2,0,16,0,sa,200,2,247,58.342,0,0,8,0,unknown,0,html,0,0,0,1,4,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.0,0,,20260512_100046,2026-05-12T10:01:35.773766,https://ipsar.chi.gov.sa/_next/static/chunks/0cdflzhs6f4x_.js\,https://ipsar.chi.gov.sa/en/,False,https://ipsar.chi.gov.sa/_next/static/chunks/0cdflzhs6f4x_.js\,https://ipsar.chi.gov.sa/en/,https://ipsar.chi.gov.sa/_next/static/chunks/0cdflzhs6f4x_.js\,recon_page,2026-05-12T10:01:35.783482
86,1,4,0,0,0,0,2,0,16,0,sa,200,2,247,87.934,0,0,8,0,unknown,0,html,0,0,0,1,4,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.0,0,,20260512_100046,2026-05-12T10:01:38.522958,https://ipsar.chi.gov.sa/_next/static/media/NeoSansArabicMedium-s.p.11.8nt87oi_pm.ttf\,https://ipsar.chi.gov.sa/en/,False,https://ipsar.chi.gov.sa/_next/static/media/NeoSansArabicMedium-s.p.11.8nt87oi_pm.ttf\,https://ipsar.chi.gov.sa/en/,https://ipsar.chi.gov.sa/_next/static/media/NeoSansArabicMedium-s.p.11.8nt87oi_pm.ttf\,recon_page,2026-05-12T10:01:38.527754
62,1,4,0,0,0,0,2,0,16,0,sa,200,2,247,361.907,0,0,8,0,unknown,0,html,0,0,0,1,4,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.0,0,,20260512_100046,2026-05-12T10:01:39.113721,https://ipsar.chi.gov.sa/_next/static/chunks/0kn0q~yo___05.js\,https://ipsar.chi.gov.sa/en/,False,https://ipsar.chi.gov.sa/_next/static/chunks/0kn0q~yo___05.js\,https://ipsar.chi.gov.sa/en/,https://ipsar.chi.gov.sa/_next/static/chunks/0kn0q~yo___05.js\,recon_page,2026-05-12T10:01:39.131402
85,1,4,0,0,0,0,2,0,16,0,sa,200,2,247,105.62299999999999,0,0,8,0,unknown,0,html,0,0,0,1,4,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.0,0,,20260512_100046,2026-05-12T10:01:39.103922,https://ipsar.chi.gov.sa/_next/static/media/NeoSansArabicUltra-s.p.0i7t~ygi32.f0.ttf\,https://ipsar.chi.gov.sa/en/,False,https://ipsar.chi.gov.sa/_next/static/media/NeoSansArabicUltra-s.p.0i7t~ygi32.f0.ttf\,https://ipsar.chi.gov.sa/en/,https://ipsar.chi.gov.sa/_next/static/media/NeoSansArabicUltra-s.p.0i7t~ygi32.f0.ttf\,recon_page,2026-05-12T10:01:39.146190
37,1,2,0,0,0,0,2,0,16,0,sa,200,2,35197,350.23900000000003,0,0,9,0,unknown,0,html,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,22,11,11,0,1,56,48,8,1,15,1,4,1,2,1,1,4,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,52,1,0,0,0,0,1,0,0,0.0,0.0006250532715856465,0.125,0.02841151234480211,0,,20260512_100046,2026-05-12T10:01:39.115846,https://ipsar.chi.gov.sa/en/idea-box/,https://ipsar.chi.gov.sa/en/,False,https://ipsar.chi.gov.sa/en/idea-box/,https://ipsar.chi.gov.sa/en/,https://ipsar.chi.gov.sa/en/idea-box/,recon_page,2026-05-12T10:01:39.168676
43,1,2,0,0,0,0,2,0,16,0,sa,200,2,35344,342.082,0,0,9,0,unknown,0,html,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,22,11,11,0,1,57,49,8,1,16,1,4,1,2,1,1,4,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,53,1,0,0,0,0,1,0,0,0.0,0.0006224535989135355,0.125,0.028293345405160705,0,,20260512_100046,2026-05-12T10:01:39.124629,https://ipsar.chi.gov.sa/en/innovation-lab/,https://ipsar.chi.gov.sa/en/,False,https://ipsar.chi.gov.sa/en/innovation-lab/,https://ipsar.chi.gov.sa/en/,https://ipsar.chi.gov.sa/en/innovation-lab/,recon_page,2026-05-12T10:01:39.175582
63,1,4,0,0,0,0,2,0,16,0,sa,200,2,247,104.48,0,0,8,0,unknown,0,html,0,0,0,1,4,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.0,0,,20260512_100046,2026-05-12T10:01:39.132372,https://ipsar.chi.gov.sa/_next/static/chunks/0y1w_8y3k9_xv.css\,https://ipsar.chi.gov.sa/en/,False,https://ipsar.chi.gov.sa/_next/static/chunks/0y1w_8y3k9_xv.css\,https://ipsar.chi.gov.sa/en/,https://ipsar.chi.gov.sa/_next/static/chunks/0y1w_8y3k9_xv.css\,recon_page,2026-05-12T10:01:39.176481
85,1,4,0,0,0,0,2,0,16,0,sa,200,2,247,373.88,0,0,8,0,unknown,0,html,0,0,0,1,4,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.0,0,,20260512_100046,2026-05-12T10:01:39.114495,https://ipsar.chi.gov.sa/_next/static/media/NeoSansArabicBlack-s.p.0jyuvb.w1yyj2.ttf\,https://ipsar.chi.gov.sa/en/,False,https://ipsar.chi.gov.sa/_next/static/media/NeoSansArabicBlack-s.p.0jyuvb.w1yyj2.ttf\,https://ipsar.chi.gov.sa/en/,https://ipsar.chi.gov.sa/_next/static/media/NeoSansArabicBlack-s.p.0jyuvb.w1yyj2.ttf\,recon_page,2026-05-12T10:01:39.176625
