url_length,has_https,path_depth,has_query_params,num_query_params,has_fragment,has_port,subdomain_count,is_ip_address,domain_length,domain_has_hyphens,domain_tld,status_code,status_category,response_size,response_time_ms,is_redirect,redirect_chain_len,total_headers,server_header_present,server_header,x_powered_by_present,content_type,has_cookies,num_cookies,has_cors,cache_control,security_headers_count,has_csp,has_hsts,has_xss_protection,has_frame_options,has_content_type_options,has_forms,form_count,has_inputs,input_count,has_password_input,password_count,has_hidden_input,hidden_count,has_file_upload,file_upload_count,has_search_input,search_count,has_buttons,button_count,has_textarea,textarea_count,has_select,select_count,has_scripts,script_count,inline_script_count,internal_script_count,external_script_count,has_links,link_count,internal_link_count,external_link_count,has_images,image_count,has_meta_tags,meta_count,has_stylesheets,stylesheet_count,has_javascript,has_comments,comment_count,has_title,server_apache,server_nginx,server_iis,tech_php,tech_aspnet,tech_jsp,tech_wordpress,tech_drupal,tech_joomla,has_debug_info,has_error_messages,has_sql_errors,has_file_paths,has_waf,waf_cloudflare,waf_aws,waf_imperva,reflection_detected,csp_header_reflection_detected,has_jwt,jwt_count,has_api_keys,api_key_count,cookie_count,session_cookies,secure_cookie_ratio,httponly_cookie_ratio,samesite_cookie_ratio,redirect_count,has_redirect_chain,final_https,get_form_count,post_form_count,has_login_form,login_form_count,csrf_token_input_count,has_csrf_token,same_origin_form_count,external_form_count,unique_input_names,unique_endpoint_count,parameterized_link_count,api_like_endpoint_count,inline_event_handler_count,email_input_count,url_input_count,mailto_link_count,tel_link_count,body_truncated_for_analysis,input_to_form_ratio,script_to_content_ratio,security_score,interactivity_score,is_vulnerable,vulnerability_type,scan_id,timestamp,target_url,original_url,is_redirect_response,final_url,target_root,page_url,dataset_record_type,saved_at
24,1,0,0,0,0,0,1,0,15,0,com,403,4,5491,201.879,1,1,22,1,cloudflare,0,html,0,0,0,0,5,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.00018211619012930248,0.625,0.0,0,,20260503_181216,2026-05-03T18:12:21.974731,https://itsd.flynas.com/,https://itsd.flynas.com/,True,https://itsd.flynas.com/,https://itsd.flynas.com/,https://itsd.flynas.com/,recon_redirect_hop,2026-05-03T18:12:21.977660
24,1,0,0,0,0,0,1,0,15,0,com,403,4,5491,201.879,0,3,22,1,cloudflare,0,html,0,0,0,0,5,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.00018211619012930248,0.625,0.0,0,,20260503_181216,2026-05-03T18:12:22.005510,https://itsd.flynas.com/,https://itsd.flynas.com/,False,https://itsd.flynas.com/,https://itsd.flynas.com/,https://itsd.flynas.com/,recon_page,2026-05-03T18:12:22.008646
24,1,0,0,0,0,0,1,0,15,0,com,403,4,5555,361.709,0,0,22,1,cloudflare,0,html,0,0,0,0,5,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.00018001800180018,0.625,0.0,0,,20260503_181216,2026-05-03T18:12:56.488709,https://itsd.flynas.com/,https://itsd.flynas.com/,False,https://itsd.flynas.com/,https://itsd.flynas.com/,https://itsd.flynas.com/,recon_page,2026-05-03T18:12:56.492643
143,1,0,1,1,0,0,1,0,15,0,com,403,4,5704,187.68,0,0,22,1,cloudflare,0,html,0,0,0,0,5,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0001753155680224404,0.625,0.0,0,,20260503_181216,2026-05-03T18:13:04.666526,https://itsd.flynas.com/?__cf_chl_tk=EP_h7e3k_C.qGzy93iYw2dNKnGRGz8SOTipI6S3ePa8-1777821073-1.0.1.1-pTw8VyOkZ5eCpAXKgX1Y9TJYEHHloAtUFYGiqhR7mGc,https://itsd.flynas.com/,False,https://itsd.flynas.com/?__cf_chl_tk=EP_h7e3k_C.qGzy93iYw2dNKnGRGz8SOTipI6S3ePa8-1777821073-1.0.1.1-pTw8VyOkZ5eCpAXKgX1Y9TJYEHHloAtUFYGiqhR7mGc,https://itsd.flynas.com/,https://itsd.flynas.com/?__cf_chl_tk=EP_h7e3k_C.qGzy93iYw2dNKnGRGz8SOTipI6S3ePa8-1777821073-1.0.1.1-pTw8VyOkZ5eCpAXKgX1Y9TJYEHHloAtUFYGiqhR7mGc,recon_page,2026-05-03T18:13:04.669200
145,1,0,1,1,0,0,1,0,15,0,com,403,4,4980,370.64599999999996,0,0,22,1,cloudflare,0,html,0,0,0,0,5,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.00020080321285140563,0.625,0.0,0,,20260503_181216,2026-05-03T18:13:04.980973,https://itsd.flynas.com/?__cf_chl_f_tk=EP_h7e3k_C.qGzy93iYw2dNKnGRGz8SOTipI6S3ePa8-1777821073-1.0.1.1-pTw8VyOkZ5eCpAXKgX1Y9TJYEHHloAtUFYGiqhR7mGc,https://itsd.flynas.com/,False,https://itsd.flynas.com/?__cf_chl_f_tk=EP_h7e3k_C.qGzy93iYw2dNKnGRGz8SOTipI6S3ePa8-1777821073-1.0.1.1-pTw8VyOkZ5eCpAXKgX1Y9TJYEHHloAtUFYGiqhR7mGc,https://itsd.flynas.com/,https://itsd.flynas.com/?__cf_chl_f_tk=EP_h7e3k_C.qGzy93iYw2dNKnGRGz8SOTipI6S3ePa8-1777821073-1.0.1.1-pTw8VyOkZ5eCpAXKgX1Y9TJYEHHloAtUFYGiqhR7mGc,recon_page,2026-05-03T18:13:04.984090
146,1,0,1,1,0,0,1,0,15,0,com,403,4,5704,342.138,0,0,22,1,cloudflare,0,html,0,0,0,0,5,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0001753155680224404,0.625,0.0,0,,20260503_181216,2026-05-03T18:13:05.289974,https://itsd.flynas.com/?__cf_chl_rt_tk=EP_h7e3k_C.qGzy93iYw2dNKnGRGz8SOTipI6S3ePa8-1777821073-1.0.1.1-pTw8VyOkZ5eCpAXKgX1Y9TJYEHHloAtUFYGiqhR7mGc,https://itsd.flynas.com/,False,https://itsd.flynas.com/?__cf_chl_rt_tk=EP_h7e3k_C.qGzy93iYw2dNKnGRGz8SOTipI6S3ePa8-1777821073-1.0.1.1-pTw8VyOkZ5eCpAXKgX1Y9TJYEHHloAtUFYGiqhR7mGc,https://itsd.flynas.com/,https://itsd.flynas.com/?__cf_chl_rt_tk=EP_h7e3k_C.qGzy93iYw2dNKnGRGz8SOTipI6S3ePa8-1777821073-1.0.1.1-pTw8VyOkZ5eCpAXKgX1Y9TJYEHHloAtUFYGiqhR7mGc,recon_page,2026-05-03T18:13:05.292948
143,1,0,1,1,0,0,1,0,15,0,com,403,4,5704,71.762,0,0,22,1,cloudflare,0,html,0,0,0,0,5,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0001753155680224404,0.625,0.0,0,,20260503_181216,2026-05-03T18:13:29.436120,https://itsd.flynas.com/?__cf_chl_tk=e83AHZc0VM5nFtwfQ69LmyZ2c7fKGhv0xqK.fz8Tkrk-1777821079-1.0.1.1-J6anwPaavS9JHPH5wGxBpMskxy.cmKkPGP0SgZ5B_Wg,https://itsd.flynas.com/,False,https://itsd.flynas.com/?__cf_chl_tk=e83AHZc0VM5nFtwfQ69LmyZ2c7fKGhv0xqK.fz8Tkrk-1777821079-1.0.1.1-J6anwPaavS9JHPH5wGxBpMskxy.cmKkPGP0SgZ5B_Wg,https://itsd.flynas.com/,https://itsd.flynas.com/?__cf_chl_tk=e83AHZc0VM5nFtwfQ69LmyZ2c7fKGhv0xqK.fz8Tkrk-1777821079-1.0.1.1-J6anwPaavS9JHPH5wGxBpMskxy.cmKkPGP0SgZ5B_Wg,recon_page,2026-05-03T18:13:29.442504
145,1,0,1,1,0,0,1,0,15,0,com,403,4,4980,153.974,0,0,22,1,cloudflare,0,html,0,0,0,0,5,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.00020080321285140563,0.625,0.0,0,,20260503_181216,2026-05-03T18:13:30.404799,https://itsd.flynas.com/?__cf_chl_f_tk=TzVuFRfizzbxg6w..FGK8Q9XUs9_lrZPG0._QGYFiOs-1777821079-1.0.1.1-6ewy_Ge1e0SFuAOndHNv55Ds4SqlJ5PZWVue0EkaOWY,https://itsd.flynas.com/,False,https://itsd.flynas.com/?__cf_chl_f_tk=TzVuFRfizzbxg6w..FGK8Q9XUs9_lrZPG0._QGYFiOs-1777821079-1.0.1.1-6ewy_Ge1e0SFuAOndHNv55Ds4SqlJ5PZWVue0EkaOWY,https://itsd.flynas.com/,https://itsd.flynas.com/?__cf_chl_f_tk=TzVuFRfizzbxg6w..FGK8Q9XUs9_lrZPG0._QGYFiOs-1777821079-1.0.1.1-6ewy_Ge1e0SFuAOndHNv55Ds4SqlJ5PZWVue0EkaOWY,recon_page,2026-05-03T18:13:30.410653
146,1,0,1,1,0,0,1,0,15,0,com,403,4,5704,200.273,0,0,22,1,cloudflare,0,html,0,0,0,0,5,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0001753155680224404,0.625,0.0,0,,20260503_181216,2026-05-03T18:13:30.700072,https://itsd.flynas.com/?__cf_chl_rt_tk=TzVuFRfizzbxg6w..FGK8Q9XUs9_lrZPG0._QGYFiOs-1777821079-1.0.1.1-6ewy_Ge1e0SFuAOndHNv55Ds4SqlJ5PZWVue0EkaOWY,https://itsd.flynas.com/,False,https://itsd.flynas.com/?__cf_chl_rt_tk=TzVuFRfizzbxg6w..FGK8Q9XUs9_lrZPG0._QGYFiOs-1777821079-1.0.1.1-6ewy_Ge1e0SFuAOndHNv55Ds4SqlJ5PZWVue0EkaOWY,https://itsd.flynas.com/,https://itsd.flynas.com/?__cf_chl_rt_tk=TzVuFRfizzbxg6w..FGK8Q9XUs9_lrZPG0._QGYFiOs-1777821079-1.0.1.1-6ewy_Ge1e0SFuAOndHNv55Ds4SqlJ5PZWVue0EkaOWY,recon_page,2026-05-03T18:13:30.705333
146,1,0,1,1,0,0,1,0,15,0,com,403,4,5704,393.11400000000003,0,0,22,1,cloudflare,0,html,0,0,0,0,5,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0001753155680224404,0.625,0.0,0,,20260503_181216,2026-05-03T18:13:31.030367,https://itsd.flynas.com/?__cf_chl_rt_tk=e83AHZc0VM5nFtwfQ69LmyZ2c7fKGhv0xqK.fz8Tkrk-1777821079-1.0.1.1-J6anwPaavS9JHPH5wGxBpMskxy.cmKkPGP0SgZ5B_Wg,https://itsd.flynas.com/,False,https://itsd.flynas.com/?__cf_chl_rt_tk=e83AHZc0VM5nFtwfQ69LmyZ2c7fKGhv0xqK.fz8Tkrk-1777821079-1.0.1.1-J6anwPaavS9JHPH5wGxBpMskxy.cmKkPGP0SgZ5B_Wg,https://itsd.flynas.com/,https://itsd.flynas.com/?__cf_chl_rt_tk=e83AHZc0VM5nFtwfQ69LmyZ2c7fKGhv0xqK.fz8Tkrk-1777821079-1.0.1.1-J6anwPaavS9JHPH5wGxBpMskxy.cmKkPGP0SgZ5B_Wg,recon_page,2026-05-03T18:13:31.036518
