url_length,has_https,path_depth,has_query_params,num_query_params,has_fragment,has_port,subdomain_count,is_ip_address,domain_length,domain_has_hyphens,domain_tld,status_code,status_category,response_size,response_time_ms,is_redirect,redirect_chain_len,total_headers,server_header_present,server_header,x_powered_by_present,content_type,has_cookies,num_cookies,has_cors,cache_control,security_headers_count,has_csp,has_hsts,has_xss_protection,has_frame_options,has_content_type_options,has_forms,form_count,has_inputs,input_count,has_password_input,password_count,has_hidden_input,hidden_count,has_file_upload,file_upload_count,has_search_input,search_count,has_buttons,button_count,has_textarea,textarea_count,has_select,select_count,has_scripts,script_count,inline_script_count,internal_script_count,external_script_count,has_links,link_count,internal_link_count,external_link_count,has_images,image_count,has_meta_tags,meta_count,has_stylesheets,stylesheet_count,has_javascript,has_comments,comment_count,has_title,server_apache,server_nginx,server_iis,tech_php,tech_aspnet,tech_jsp,tech_wordpress,tech_drupal,tech_joomla,has_debug_info,has_error_messages,has_sql_errors,has_file_paths,has_waf,waf_cloudflare,waf_aws,waf_imperva,reflection_detected,csp_header_reflection_detected,has_jwt,jwt_count,has_api_keys,api_key_count,cookie_count,session_cookies,secure_cookie_ratio,httponly_cookie_ratio,samesite_cookie_ratio,redirect_count,has_redirect_chain,final_https,get_form_count,post_form_count,has_login_form,login_form_count,csrf_token_input_count,has_csrf_token,same_origin_form_count,external_form_count,unique_input_names,unique_endpoint_count,parameterized_link_count,api_like_endpoint_count,inline_event_handler_count,email_input_count,url_input_count,mailto_link_count,tel_link_count,body_truncated_for_analysis,input_to_form_ratio,script_to_content_ratio,security_score,interactivity_score,is_vulnerable,vulnerability_type,scan_id,timestamp,target_url,original_url,is_redirect_response,final_url,target_root,page_url,dataset_record_type,saved_at
24,1,0,0,0,0,0,1,0,15,0,com,403,4,5491,4172.7429999999995,0,3,22,1,cloudflare,0,html,0,0,0,0,5,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.00018211619012930248,0.625,0.0,0,,20260511_210700,2026-05-11T21:07:04.885876,https://itsd.flynas.com/,https://itsd.flynas.com/,False,https://itsd.flynas.com/,https://itsd.flynas.com/,https://itsd.flynas.com/,recon_page,2026-05-11T21:07:04.887976
24,1,0,0,0,0,0,1,0,15,0,com,403,4,5555,5709.661,0,0,22,1,cloudflare,0,html,0,0,0,0,5,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.00018001800180018,0.625,0.0,0,,20260511_210700,2026-05-11T21:10:35.549533,https://itsd.flynas.com/,https://itsd.flynas.com/,False,https://itsd.flynas.com/,https://itsd.flynas.com/,https://itsd.flynas.com/,recon_page,2026-05-11T21:10:35.553164
145,1,0,1,1,0,0,1,0,15,0,com,403,4,4980,4200.521,0,0,22,1,cloudflare,0,html,0,0,0,0,5,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.00020080321285140563,0.625,0.0,0,,20260511_210700,2026-05-11T21:10:40.255184,https://itsd.flynas.com/?__cf_chl_f_tk=8D.YY3pqW2.AWpExaO0PGZq4hfuDrC8.ST_qknd7H6M-1778523035-1.0.1.1-W00ze8hiMio3NBJUbLL7nuhwoPRVav6my8KHo8RygII,https://itsd.flynas.com/,False,https://itsd.flynas.com/?__cf_chl_f_tk=8D.YY3pqW2.AWpExaO0PGZq4hfuDrC8.ST_qknd7H6M-1778523035-1.0.1.1-W00ze8hiMio3NBJUbLL7nuhwoPRVav6my8KHo8RygII,https://itsd.flynas.com/,https://itsd.flynas.com/?__cf_chl_f_tk=8D.YY3pqW2.AWpExaO0PGZq4hfuDrC8.ST_qknd7H6M-1778523035-1.0.1.1-W00ze8hiMio3NBJUbLL7nuhwoPRVav6my8KHo8RygII,recon_page,2026-05-11T21:10:40.258619
146,1,0,1,1,0,0,1,0,15,0,com,403,4,5704,4222.884,0,0,22,1,cloudflare,0,html,0,0,0,0,5,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0001753155680224404,0.625,0.0,0,,20260511_210700,2026-05-11T21:10:40.393624,https://itsd.flynas.com/?__cf_chl_rt_tk=8D.YY3pqW2.AWpExaO0PGZq4hfuDrC8.ST_qknd7H6M-1778523035-1.0.1.1-W00ze8hiMio3NBJUbLL7nuhwoPRVav6my8KHo8RygII,https://itsd.flynas.com/,False,https://itsd.flynas.com/?__cf_chl_rt_tk=8D.YY3pqW2.AWpExaO0PGZq4hfuDrC8.ST_qknd7H6M-1778523035-1.0.1.1-W00ze8hiMio3NBJUbLL7nuhwoPRVav6my8KHo8RygII,https://itsd.flynas.com/,https://itsd.flynas.com/?__cf_chl_rt_tk=8D.YY3pqW2.AWpExaO0PGZq4hfuDrC8.ST_qknd7H6M-1778523035-1.0.1.1-W00ze8hiMio3NBJUbLL7nuhwoPRVav6my8KHo8RygII,recon_page,2026-05-11T21:10:40.398258
143,1,0,1,1,0,0,1,0,15,0,com,403,4,5704,4238.7519999999995,0,0,22,1,cloudflare,0,html,0,0,0,0,5,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0001753155680224404,0.625,0.0,0,,20260511_210700,2026-05-11T21:10:40.397848,https://itsd.flynas.com/?__cf_chl_tk=8D.YY3pqW2.AWpExaO0PGZq4hfuDrC8.ST_qknd7H6M-1778523035-1.0.1.1-W00ze8hiMio3NBJUbLL7nuhwoPRVav6my8KHo8RygII,https://itsd.flynas.com/,False,https://itsd.flynas.com/?__cf_chl_tk=8D.YY3pqW2.AWpExaO0PGZq4hfuDrC8.ST_qknd7H6M-1778523035-1.0.1.1-W00ze8hiMio3NBJUbLL7nuhwoPRVav6my8KHo8RygII,https://itsd.flynas.com/,https://itsd.flynas.com/?__cf_chl_tk=8D.YY3pqW2.AWpExaO0PGZq4hfuDrC8.ST_qknd7H6M-1778523035-1.0.1.1-W00ze8hiMio3NBJUbLL7nuhwoPRVav6my8KHo8RygII,recon_page,2026-05-11T21:10:40.401290
146,1,0,1,1,0,0,1,0,15,0,com,403,4,5704,1547.539,0,0,22,1,cloudflare,0,html,0,0,0,0,5,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0001753155680224404,0.625,0.0,0,,20260511_210700,2026-05-11T21:10:42.610815,https://itsd.flynas.com/?__cf_chl_rt_tk=WG7MgvNuPhz191Rk4LQr0SJTJ42FsR4D46ghjZlcFEI-1778523040-1.0.1.1-aU_7ILTVYrYH.v6o.lhN5AylcvBMgbit9AVgD8v2EWc,https://itsd.flynas.com/,False,https://itsd.flynas.com/?__cf_chl_rt_tk=WG7MgvNuPhz191Rk4LQr0SJTJ42FsR4D46ghjZlcFEI-1778523040-1.0.1.1-aU_7ILTVYrYH.v6o.lhN5AylcvBMgbit9AVgD8v2EWc,https://itsd.flynas.com/,https://itsd.flynas.com/?__cf_chl_rt_tk=WG7MgvNuPhz191Rk4LQr0SJTJ42FsR4D46ghjZlcFEI-1778523040-1.0.1.1-aU_7ILTVYrYH.v6o.lhN5AylcvBMgbit9AVgD8v2EWc,recon_page,2026-05-11T21:10:42.649573
145,1,0,1,1,0,0,1,0,15,0,com,403,4,4980,3806.985,0,0,22,1,cloudflare,0,html,0,0,0,0,5,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.00020080321285140563,0.625,0.0,0,,20260511_210700,2026-05-11T21:10:44.778919,https://itsd.flynas.com/?__cf_chl_f_tk=WG7MgvNuPhz191Rk4LQr0SJTJ42FsR4D46ghjZlcFEI-1778523040-1.0.1.1-aU_7ILTVYrYH.v6o.lhN5AylcvBMgbit9AVgD8v2EWc,https://itsd.flynas.com/,False,https://itsd.flynas.com/?__cf_chl_f_tk=WG7MgvNuPhz191Rk4LQr0SJTJ42FsR4D46ghjZlcFEI-1778523040-1.0.1.1-aU_7ILTVYrYH.v6o.lhN5AylcvBMgbit9AVgD8v2EWc,https://itsd.flynas.com/,https://itsd.flynas.com/?__cf_chl_f_tk=WG7MgvNuPhz191Rk4LQr0SJTJ42FsR4D46ghjZlcFEI-1778523040-1.0.1.1-aU_7ILTVYrYH.v6o.lhN5AylcvBMgbit9AVgD8v2EWc,recon_page,2026-05-11T21:10:44.785382
143,1,0,1,1,0,0,1,0,15,0,com,403,4,5704,3809.0510000000004,0,0,22,1,cloudflare,0,html,0,0,0,0,5,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0001753155680224404,0.625,0.0,0,,20260511_210700,2026-05-11T21:10:44.782013,https://itsd.flynas.com/?__cf_chl_tk=WG7MgvNuPhz191Rk4LQr0SJTJ42FsR4D46ghjZlcFEI-1778523040-1.0.1.1-aU_7ILTVYrYH.v6o.lhN5AylcvBMgbit9AVgD8v2EWc,https://itsd.flynas.com/,False,https://itsd.flynas.com/?__cf_chl_tk=WG7MgvNuPhz191Rk4LQr0SJTJ42FsR4D46ghjZlcFEI-1778523040-1.0.1.1-aU_7ILTVYrYH.v6o.lhN5AylcvBMgbit9AVgD8v2EWc,https://itsd.flynas.com/,https://itsd.flynas.com/?__cf_chl_tk=WG7MgvNuPhz191Rk4LQr0SJTJ42FsR4D46ghjZlcFEI-1778523040-1.0.1.1-aU_7ILTVYrYH.v6o.lhN5AylcvBMgbit9AVgD8v2EWc,recon_page,2026-05-11T21:10:44.790808
143,1,0,1,1,0,0,1,0,15,0,com,403,4,5704,3874.879,0,0,22,1,cloudflare,0,html,0,0,0,0,5,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0001753155680224404,0.625,0.0,0,,20260511_210700,2026-05-11T21:10:45.112341,https://itsd.flynas.com/?__cf_chl_tk=TMxkGz.tc4cdNThNVFzx4sAml83sbsd5_cP7.7EzKnM-1778523040-1.0.1.1-JdACX7Dn9ZhVpnKA1suA.m.dUUrCMDbY0J_AGvZQHwM,https://itsd.flynas.com/,False,https://itsd.flynas.com/?__cf_chl_tk=TMxkGz.tc4cdNThNVFzx4sAml83sbsd5_cP7.7EzKnM-1778523040-1.0.1.1-JdACX7Dn9ZhVpnKA1suA.m.dUUrCMDbY0J_AGvZQHwM,https://itsd.flynas.com/,https://itsd.flynas.com/?__cf_chl_tk=TMxkGz.tc4cdNThNVFzx4sAml83sbsd5_cP7.7EzKnM-1778523040-1.0.1.1-JdACX7Dn9ZhVpnKA1suA.m.dUUrCMDbY0J_AGvZQHwM,recon_page,2026-05-11T21:10:45.116655
146,1,0,1,1,0,0,1,0,15,0,com,403,4,5704,3849.215,0,0,22,1,cloudflare,0,html,0,0,0,0,5,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0001753155680224404,0.625,0.0,0,,20260511_210700,2026-05-11T21:10:45.364317,https://itsd.flynas.com/?__cf_chl_rt_tk=TMxkGz.tc4cdNThNVFzx4sAml83sbsd5_cP7.7EzKnM-1778523040-1.0.1.1-JdACX7Dn9ZhVpnKA1suA.m.dUUrCMDbY0J_AGvZQHwM,https://itsd.flynas.com/,False,https://itsd.flynas.com/?__cf_chl_rt_tk=TMxkGz.tc4cdNThNVFzx4sAml83sbsd5_cP7.7EzKnM-1778523040-1.0.1.1-JdACX7Dn9ZhVpnKA1suA.m.dUUrCMDbY0J_AGvZQHwM,https://itsd.flynas.com/,https://itsd.flynas.com/?__cf_chl_rt_tk=TMxkGz.tc4cdNThNVFzx4sAml83sbsd5_cP7.7EzKnM-1778523040-1.0.1.1-JdACX7Dn9ZhVpnKA1suA.m.dUUrCMDbY0J_AGvZQHwM,recon_page,2026-05-11T21:10:45.375398
