url_length,has_https,path_depth,has_query_params,num_query_params,has_fragment,has_port,subdomain_count,is_ip_address,domain_length,domain_has_hyphens,domain_tld,status_code,status_category,response_size,response_time_ms,is_redirect,redirect_chain_len,total_headers,server_header_present,server_header,x_powered_by_present,content_type,has_cookies,num_cookies,has_cors,cache_control,security_headers_count,has_csp,has_hsts,has_xss_protection,has_frame_options,has_content_type_options,has_forms,form_count,has_inputs,input_count,has_password_input,password_count,has_hidden_input,hidden_count,has_file_upload,file_upload_count,has_search_input,search_count,has_buttons,button_count,has_textarea,textarea_count,has_select,select_count,has_scripts,script_count,inline_script_count,internal_script_count,external_script_count,has_links,link_count,internal_link_count,external_link_count,has_images,image_count,has_meta_tags,meta_count,has_stylesheets,stylesheet_count,has_javascript,has_comments,comment_count,has_title,server_apache,server_nginx,server_iis,tech_php,tech_aspnet,tech_jsp,tech_wordpress,tech_drupal,tech_joomla,has_debug_info,has_error_messages,has_sql_errors,has_file_paths,has_waf,waf_cloudflare,waf_aws,waf_imperva,reflection_detected,csp_header_reflection_detected,has_jwt,jwt_count,has_api_keys,api_key_count,cookie_count,session_cookies,secure_cookie_ratio,httponly_cookie_ratio,samesite_cookie_ratio,redirect_count,has_redirect_chain,final_https,get_form_count,post_form_count,has_login_form,login_form_count,csrf_token_input_count,has_csrf_token,same_origin_form_count,external_form_count,unique_input_names,unique_endpoint_count,parameterized_link_count,api_like_endpoint_count,inline_event_handler_count,email_input_count,url_input_count,mailto_link_count,tel_link_count,body_truncated_for_analysis,input_to_form_ratio,script_to_content_ratio,security_score,interactivity_score,is_vulnerable,vulnerability_type,scan_id,timestamp,target_url,original_url,is_redirect_response,final_url,target_root,page_url,dataset_record_type,saved_at,url,domain,total_vulnerabilities,has_sql_injection,has_xss,has_command_injection,has_path_traversal,has_file_inclusion,vulnerability_score,critical_vuln_count,high_vuln_count,sqlmap_vulns_found,dalfox_vulns_found,commix_vulns_found,tools_used_count,sqlmap_confidence_avg,dalfox_confidence_avg,commix_confidence_avg,used_previous_scan,previous_scan_indicators,scan_hour,scan_day_of_week,prev_has_forms,prev_has_inputs,prev_form_count,prev_input_count,prev_has_debug_info,prev_has_error_messages,prev_technology_php,prev_technology_aspnet,prev_technology_wordpress,prev_security_headers_count,prev_response_size,days_since_last_scan,vuln_density,tool_effectiveness,security_risk_score,input_vulnerability_ratio,previous_scan_accuracy,total_issues,issue_density,has_idor
20,0,0,0,0,0,0,0,0,12,0,io,301,3,167,203.501,1,1,13,1,cloudflare,0,html,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.125,0.0,0,,multi_full_20260502_195132_0002,2026-05-02T19:51:33.859630,http://magiceden.io/,http://magiceden.io/,True,http://magiceden.io/,http://magiceden.io/,http://magiceden.io/,recon_redirect_hop,2026-05-02T19:51:33.864610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,1,0,0,0,0,0,0,0,12,0,io,200,2,1782465,1321.417,1,2,10,1,cloudflare,0,html,0,0,0,1,1,0,0,0,0,0,0,0,1,5,0,0,1,1,0,0,0,0,1,23,0,0,0,0,1,24,3,1,20,1,97,73,24,1,28,1,21,1,4,1,1,6,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,76,2,2,0,0,0,0,0,1,0.0,1.3464500004207656e-05,0.125,0.0157085833382422,0,,multi_full_20260502_195132_0002,2026-05-02T19:51:36.277226,https://magiceden.io/,http://magiceden.io/,True,https://magiceden.io/,http://magiceden.io/,https://magiceden.io/,recon_redirect_hop,2026-05-02T19:51:36.289744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,1,0,0,0,0,0,0,0,12,0,io,200,2,1782465,1321.417,0,4,10,1,cloudflare,0,html,0,0,0,1,1,0,0,0,0,0,0,0,1,5,0,0,1,1,0,0,0,0,1,23,0,0,0,0,1,24,3,1,20,1,97,73,24,1,28,1,21,1,4,1,1,6,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,3,1,1,0,0,0,0,0,0,0,0,0,76,2,2,0,0,0,0,0,1,0.0,1.3464500004207656e-05,0.125,0.0157085833382422,0,,multi_full_20260502_195132_0002,2026-05-02T19:51:36.660328,https://magiceden.io/,http://magiceden.io/,False,https://magiceden.io/,http://magiceden.io/,https://magiceden.io/,recon_page,2026-05-02T19:51:36.663434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,1,0,0,0,0,0,0,0,12,0,io,200,2,1782465,262.325,0,0,14,1,cloudflare,0,html,1,2,0,1,1,0,0,0,0,0,0,0,1,5,0,0,1,1,0,0,0,0,1,23,0,0,0,0,1,24,3,1,20,1,97,73,24,1,28,1,21,1,4,1,1,6,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,76,2,2,0,0,0,0,0,1,0.0,1.3464500004207656e-05,0.125,0.0157085833382422,0,,multi_full_20260502_195132_0002,2026-05-02T19:51:55.911031,https://magiceden.io/,https://magiceden.io/,False,https://magiceden.io/,https://magiceden.io/,https://magiceden.io/,recon_page,2026-05-02T19:51:55.917717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,1,3,0,0,0,0,0,0,12,0,io,404,4,33088,466.754,0,0,12,1,cloudflare,0,html,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,5,0,0,0,0,1,14,3,1,10,1,26,16,10,1,1,1,5,1,3,1,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,34,2,2,0,0,0,0,0,0,0.0,0.0004231141199226,0.125,0.1813346228239845,0,,multi_full_20260502_195132_0002,2026-05-02T19:51:59.199150,https://magiceden.io/img/maskables/maskable_icon_x382.png,https://magiceden.io/,False,https://magiceden.io/img/maskables/maskable_icon_x382.png,https://magiceden.io/,https://magiceden.io/img/maskables/maskable_icon_x382.png,recon_page,2026-05-02T19:51:59.205041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,1,3,1,1,0,0,0,0,12,0,io,404,4,34026,893.048,0,0,12,1,cloudflare,0,html,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,5,0,0,0,0,1,15,4,1,10,1,26,16,10,1,1,1,5,1,3,1,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,34,2,2,0,0,0,0,0,0,0.0,0.0004408393581378,0.125,0.1763357432551578,0,,multi_full_20260502_195132_0002,2026-05-02T19:52:01.263625,https://magiceden.io/collection_stats/getCollectionSparkline/0xe2fcfbd86e386857a97e0833c888f35405c3cdd7/?cohort=ethereum\u0026window=1d\u0026currentFp=0.0235,https://magiceden.io/,False,https://magiceden.io/collection_stats/getCollectionSparkline/0xe2fcfbd86e386857a97e0833c888f35405c3cdd7/?cohort=ethereum\u0026window=1d\u0026currentFp=0.0235,https://magiceden.io/,https://magiceden.io/collection_stats/getCollectionSparkline/0xe2fcfbd86e386857a97e0833c888f35405c3cdd7/?cohort=ethereum\u0026window=1d\u0026currentFp=0.0235,recon_page,2026-05-02T19:52:01.268025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,1,3,0,0,0,0,0,0,12,0,io,404,4,34026,237.262,0,0,11,1,cloudflare,0,html,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,5,0,0,0,0,1,15,4,1,10,1,26,16,10,1,1,1,5,1,3,1,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,34,2,2,0,0,0,0,0,0,0.0,0.0004408393581378,0.0,0.1763357432551578,0,,multi_full_20260502_195132_0002,2026-05-02T19:52:01.821872,https://magiceden.io/ordinals/marketplace/bitcoin-puppets/,https://magiceden.io/,False,https://magiceden.io/ordinals/marketplace/bitcoin-puppets/,https://magiceden.io/,https://magiceden.io/ordinals/marketplace/bitcoin-puppets/,recon_page,2026-05-02T19:52:01.834341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,1,3,1,1,0,0,0,0,12,0,io,404,4,34026,316.751,0,0,12,1,cloudflare,0,html,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,5,0,0,0,0,1,15,4,1,10,1,26,16,10,1,1,1,5,1,3,1,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,34,2,2,0,0,0,0,0,0,0.0,0.0004408393581378,0.125,0.1763357432551578,0,,multi_full_20260502_195132_0002,2026-05-02T19:52:02.268824,https://magiceden.io/collection_stats/getCollectionSparkline/0xe1b0feed918cfa81bcb0e770f6f31ac2b7094921/?cohort=ethereum\u0026window=1d\u0026currentFp=0.0027,https://magiceden.io/,False,https://magiceden.io/collection_stats/getCollectionSparkline/0xe1b0feed918cfa81bcb0e770f6f31ac2b7094921/?cohort=ethereum\u0026window=1d\u0026currentFp=0.0027,https://magiceden.io/,https://magiceden.io/collection_stats/getCollectionSparkline/0xe1b0feed918cfa81bcb0e770f6f31ac2b7094921/?cohort=ethereum\u0026window=1d\u0026currentFp=0.0027,recon_page,2026-05-02T19:52:02.277337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,1,3,1,1,0,0,0,0,12,0,io,404,4,34026,324.521,0,0,12,1,cloudflare,0,html,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,5,0,0,0,0,1,15,4,1,10,1,26,16,10,1,1,1,5,1,3,1,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,34,2,2,0,0,0,0,0,0,0.0,0.0004408393581378,0.125,0.1763357432551578,0,,multi_full_20260502_195132_0002,2026-05-02T19:52:02.660475,https://magiceden.io/collection_stats/getCollectionSparkline/taproot_wizards/?cohort=ordinal\u0026window=7d\u0026currentFp=0.048,https://magiceden.io/,False,https://magiceden.io/collection_stats/getCollectionSparkline/taproot_wizards/?cohort=ordinal\u0026window=7d\u0026currentFp=0.048,https://magiceden.io/,https://magiceden.io/collection_stats/getCollectionSparkline/taproot_wizards/?cohort=ordinal\u0026window=7d\u0026currentFp=0.048,recon_page,2026-05-02T19:52:02.725990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,1,3,1,1,0,0,0,0,12,0,io,404,4,34026,343.44,0,0,12,1,cloudflare,0,html,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,5,0,0,0,0,1,15,4,1,10,1,26,16,10,1,1,1,5,1,3,1,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,34,2,2,0,0,0,0,0,0,0.0,0.0004408393581378,0.125,0.1763357432551578,0,,multi_full_20260502_195132_0002,2026-05-02T19:52:02.707959,https://magiceden.io/collection_stats/getCollectionSparkline/0x8264e2bad3d2f7afd72a00233b9f841fe4b388cd/?cohort=polygon\u0026window=1d,https://magiceden.io/,False,https://magiceden.io/collection_stats/getCollectionSparkline/0x8264e2bad3d2f7afd72a00233b9f841fe4b388cd/?cohort=polygon\u0026window=1d,https://magiceden.io/,https://magiceden.io/collection_stats/getCollectionSparkline/0x8264e2bad3d2f7afd72a00233b9f841fe4b388cd/?cohort=polygon\u0026window=1d,recon_page,2026-05-02T19:52:02.740970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
