url_length,has_https,path_depth,has_query_params,num_query_params,has_fragment,has_port,subdomain_count,is_ip_address,domain_length,domain_has_hyphens,domain_tld,status_code,status_category,response_size,response_time_ms,is_redirect,redirect_chain_len,total_headers,server_header_present,server_header,x_powered_by_present,content_type,has_cookies,num_cookies,has_cors,cache_control,security_headers_count,has_csp,has_hsts,has_xss_protection,has_frame_options,has_content_type_options,has_forms,form_count,has_inputs,input_count,has_password_input,password_count,has_hidden_input,hidden_count,has_file_upload,file_upload_count,has_search_input,search_count,has_buttons,button_count,has_textarea,textarea_count,has_select,select_count,has_scripts,script_count,inline_script_count,internal_script_count,external_script_count,has_links,link_count,internal_link_count,external_link_count,has_images,image_count,has_meta_tags,meta_count,has_stylesheets,stylesheet_count,has_javascript,has_comments,comment_count,has_title,server_apache,server_nginx,server_iis,tech_php,tech_aspnet,tech_jsp,tech_wordpress,tech_drupal,tech_joomla,has_debug_info,has_error_messages,has_sql_errors,has_file_paths,has_waf,waf_cloudflare,waf_aws,waf_imperva,reflection_detected,csp_header_reflection_detected,has_jwt,jwt_count,has_api_keys,api_key_count,cookie_count,session_cookies,secure_cookie_ratio,httponly_cookie_ratio,samesite_cookie_ratio,redirect_count,has_redirect_chain,final_https,get_form_count,post_form_count,has_login_form,login_form_count,csrf_token_input_count,has_csrf_token,same_origin_form_count,external_form_count,unique_input_names,unique_endpoint_count,parameterized_link_count,api_like_endpoint_count,inline_event_handler_count,email_input_count,url_input_count,mailto_link_count,tel_link_count,body_truncated_for_analysis,input_to_form_ratio,script_to_content_ratio,security_score,interactivity_score,is_vulnerable,vulnerability_type,scan_id,timestamp,target_url,original_url,is_redirect_response,final_url,target_root,page_url,dataset_record_type,saved_at
33,1,0,1,1,0,0,1,0,11,0,com,200,2,107449,673.454,0,0,27,0,unknown,0,html,1,11,0,1,4,0,0,1,1,1,0,0,1,3,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,42,17,0,25,1,91,55,36,1,1,1,22,1,5,1,1,4,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,95,24,0,0,0,0,0,0,0,0.0,0.00039088311664138336,0.5,0.02792022261724167,0,,multi_full_20260502_195405_0002,2026-05-02T19:55:06.333480,https://sa.trip.com/?locale=ar-sa,https://sa.trip.com/?locale=ar-sa,False,https://sa.trip.com/?locale=ar-sa,https://sa.trip.com/?locale=ar-sa,https://sa.trip.com/?locale=ar-sa,recon_page,2026-05-02T19:55:06.345397
33,1,3,0,0,0,0,1,0,11,0,com,403,4,17029,417.467,0,0,11,0,unknown,0,html,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,19,17,2,1,10,1,2,1,2,1,1,8,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,17,10,0,0,0,0,0,0,0,0.0,5.872335427799636e-05,0.0,0.05872335427799636,0,,multi_full_20260502_195405_0002,2026-05-02T19:55:24.509137,https://sa.trip.com/sale/deals/\/,https://sa.trip.com/?locale=ar-sa,False,https://sa.trip.com/sale/deals/\/,https://sa.trip.com/?locale=ar-sa,https://sa.trip.com/sale/deals/\/,recon_page,2026-05-02T19:55:24.519465
47,1,3,0,0,0,0,1,0,11,0,com,200,2,309483,495.627,0,0,15,0,unknown,0,html,1,8,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,2,0,0,0,0,1,2,0,0,0,0,1,15,11,0,4,1,62,47,15,1,12,1,10,1,15,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,51,2,0,0,0,0,0,0,0,0.0,4.846792877153188e-05,0.0,0.012924781005741834,0,,multi_full_20260502_195405_0002,2026-05-02T19:55:24.903199,https://sa.trip.com/guide/phone/china-esim.html,https://sa.trip.com/?locale=ar-sa,False,https://sa.trip.com/guide/phone/china-esim.html,https://sa.trip.com/?locale=ar-sa,https://sa.trip.com/guide/phone/china-esim.html,recon_page,2026-05-02T19:55:24.922416
60,1,2,1,2,0,0,1,0,11,0,com,200,2,40158,511.97099999999995,0,0,27,0,unknown,0,html,1,9,0,1,4,0,0,1,1,1,0,0,1,3,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,7,7,0,0,1,78,52,26,1,3,1,9,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,73,21,1,0,0,0,0,0,0,0.0,0.00017431146969470592,0.5,0.07470491558344539,0,,multi_full_20260502_195405_0002,2026-05-02T19:55:24.816319,https://sa.trip.com/pages/service/?locale=ar-SA&amp;curr=SAR,https://sa.trip.com/?locale=ar-sa,False,https://sa.trip.com/pages/service/?locale=ar-SA&amp;curr=SAR,https://sa.trip.com/?locale=ar-sa,https://sa.trip.com/pages/service/?locale=ar-SA&amp;curr=SAR,recon_page,2026-05-02T19:55:24.917350
29,1,2,0,0,0,0,1,0,11,0,com,404,4,17029,470.89,0,0,10,0,unknown,0,html,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,19,17,2,1,10,1,2,1,2,1,1,8,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,17,10,0,0,0,0,0,0,0,0.0,5.872335427799636e-05,0.0,0.05872335427799636,0,,multi_full_20260502_195405_0002,2026-05-02T19:55:25.396781,https://sa.trip.com/trains/\/,https://sa.trip.com/?locale=ar-sa,False,https://sa.trip.com/trains/\/,https://sa.trip.com/?locale=ar-sa,https://sa.trip.com/trains/\/,recon_page,2026-05-02T19:55:25.423491
89,1,4,1,2,0,0,1,0,11,0,com,200,2,281191,546.419,0,0,15,0,unknown,0,html,1,8,0,1,1,0,0,0,0,0,0,0,1,4,0,0,1,4,0,0,0,0,1,1,0,0,0,0,1,15,10,0,5,1,41,19,22,1,4,1,18,1,21,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,41,17,0,0,0,0,0,0,0,0.0,5.3344523828998796e-05,0.125,0.0177815079429996,0,,multi_full_20260502_195405_0002,2026-05-02T19:55:25.890358,https://sa.trip.com/sale/w/38123/saudi55.html?locale=ar-SA&amp;promo_referer=4079_38123_1,https://sa.trip.com/?locale=ar-sa,False,https://sa.trip.com/sale/w/38123/saudi55.html?locale=ar-SA&amp;promo_referer=4079_38123_1,https://sa.trip.com/?locale=ar-sa,https://sa.trip.com/sale/w/38123/saudi55.html?locale=ar-SA&amp;promo_referer=4079_38123_1,recon_page,2026-05-02T19:55:26.022633
36,1,2,0,0,0,0,1,0,11,0,com,200,2,52262,832.954,0,0,16,0,unknown,1,html,1,7,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,12,5,0,7,1,12,2,10,0,0,1,9,1,4,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0,0,0,0,0,0,0,0.0,0.0002296123378362864,0.0,0.0191343614863572,0,,multi_full_20260502_195405_0002,2026-05-02T19:55:26.107029,https://sa.trip.com/partners/index\/,https://sa.trip.com/?locale=ar-sa,False,https://sa.trip.com/partners/index\/,https://sa.trip.com/?locale=ar-sa,https://sa.trip.com/partners/index\/,recon_page,2026-05-02T19:55:26.234046
83,1,3,1,2,0,0,1,0,11,0,com,200,2,332081,554.688,0,0,14,0,unknown,0,html,1,5,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,11,8,0,3,1,23,17,6,0,0,1,4,1,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,26,15,0,0,0,0,0,0,0,0.0,3.3124448553214425e-05,0.0,0.00602262700967535,0,,multi_full_20260502_195405_0002,2026-05-02T19:55:26.338461,https://sa.trip.com/contents/service-guideline/terms.html?locale=ar-SA&amp;curr=SAR,https://sa.trip.com/?locale=ar-sa,False,https://sa.trip.com/contents/service-guideline/terms.html?locale=ar-SA&amp;curr=SAR,https://sa.trip.com/?locale=ar-sa,https://sa.trip.com/contents/service-guideline/terms.html?locale=ar-SA&amp;curr=SAR,recon_page,2026-05-02T19:55:26.474025
49,1,2,0,0,0,0,1,0,11,0,com,404,4,17029,497.829,0,0,11,0,unknown,0,html,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,19,17,2,1,10,1,2,1,2,1,1,8,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,17,10,0,0,0,0,0,0,0,0.0,5.872335427799636e-05,0.0,0.05872335427799636,0,,multi_full_20260502_195405_0002,2026-05-02T19:55:26.493459,https://sa.trip.com/package-tours/private-tours\/,https://sa.trip.com/?locale=ar-sa,False,https://sa.trip.com/package-tours/private-tours\/,https://sa.trip.com/?locale=ar-sa,https://sa.trip.com/package-tours/private-tours\/,recon_page,2026-05-02T19:55:26.607568
49,1,1,1,2,0,0,1,0,11,0,com,200,2,464721,929.812,0,0,17,0,unknown,0,html,1,9,0,1,1,0,0,0,0,0,0,0,1,5,0,0,1,2,0,0,0,0,1,1,0,0,0,0,1,4,3,0,1,1,77,64,13,0,0,1,26,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,2,0,0,1.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,76,12,1,0,0,0,0,0,0,0.0,8.607314926590362e-06,0.125,0.012910972389885544,0,,multi_full_20260502_195405_0002,2026-05-02T19:55:26.796429,https://sa.trip.com/hotels/?locale=ar-SA&curr=SAR,https://sa.trip.com/?locale=ar-sa,False,https://sa.trip.com/hotels/?locale=ar-SA&curr=SAR,https://sa.trip.com/?locale=ar-sa,https://sa.trip.com/hotels/?locale=ar-SA&curr=SAR,recon_page,2026-05-02T19:55:26.932906
