url_length,has_https,path_depth,has_query_params,num_query_params,has_fragment,has_port,subdomain_count,is_ip_address,domain_length,domain_has_hyphens,domain_tld,status_code,status_category,response_size,response_time_ms,is_redirect,redirect_chain_len,total_headers,server_header_present,server_header,x_powered_by_present,content_type,has_cookies,num_cookies,has_cors,cache_control,security_headers_count,has_csp,has_hsts,has_xss_protection,has_frame_options,has_content_type_options,has_forms,form_count,has_inputs,input_count,has_password_input,password_count,has_hidden_input,hidden_count,has_file_upload,file_upload_count,has_search_input,search_count,has_buttons,button_count,has_textarea,textarea_count,has_select,select_count,has_scripts,script_count,inline_script_count,internal_script_count,external_script_count,has_links,link_count,internal_link_count,external_link_count,has_images,image_count,has_meta_tags,meta_count,has_stylesheets,stylesheet_count,has_javascript,has_comments,comment_count,has_title,server_apache,server_nginx,server_iis,tech_php,tech_aspnet,tech_jsp,tech_wordpress,tech_drupal,tech_joomla,has_debug_info,has_error_messages,has_sql_errors,has_file_paths,has_waf,waf_cloudflare,waf_aws,waf_imperva,reflection_detected,csp_header_reflection_detected,has_jwt,jwt_count,has_api_keys,api_key_count,cookie_count,session_cookies,secure_cookie_ratio,httponly_cookie_ratio,samesite_cookie_ratio,redirect_count,has_redirect_chain,final_https,get_form_count,post_form_count,has_login_form,login_form_count,csrf_token_input_count,has_csrf_token,same_origin_form_count,external_form_count,unique_input_names,unique_endpoint_count,parameterized_link_count,api_like_endpoint_count,inline_event_handler_count,email_input_count,url_input_count,mailto_link_count,tel_link_count,body_truncated_for_analysis,input_to_form_ratio,script_to_content_ratio,security_score,interactivity_score,is_vulnerable,vulnerability_type,scan_id,timestamp,target_url,original_url,is_redirect_response,final_url,target_root,page_url,dataset_record_type,saved_at
24,0,1,0,0,0,0,1,0,11,0,sa,200,2,133357,227.688,0,3,5,1,OpenAS,0,html,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,20,5,15,0,1,207,207,0,1,123,1,7,1,3,1,1,48,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2,1,0,0,0,0,0,0,0,0,0,0,140,3,0,12,0,0,0,0,0,0.0,0.0001499733797250988,0.0,0.01499733797250988,0,,20260512_084709,2026-05-12T08:47:10.903347,http://sada.net.sa/user/,http://sada.net.sa/user/,False,http://sada.net.sa/user/,http://sada.net.sa/user/,http://sada.net.sa/user/,recon_page,2026-05-12T08:47:10.905275
24,0,1,0,0,0,0,1,0,11,0,sa,200,2,133357,101.732,0,0,5,1,OpenAS,0,html,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,20,5,15,0,1,207,207,0,1,123,1,7,1,3,1,1,48,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,140,3,0,12,0,0,0,0,0,0.0,0.0001499733797250988,0.0,0.01499733797250988,0,,20260512_084709,2026-05-12T08:47:30.895113,http://sada.net.sa/user/,http://sada.net.sa/user/,False,http://sada.net.sa/user/,http://sada.net.sa/user/,http://sada.net.sa/user/,recon_page,2026-05-12T08:47:30.898431
31,0,2,0,0,0,0,1,0,11,0,sa,200,2,10892,96.469,0,0,5,1,OpenAS,0,html,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,3,15,0,1,10,10,0,0,0,1,5,1,3,1,1,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,19,3,0,0,0,0,0,0,0,0.0,0.0016525890561880279,0.0,0.09181050312155711,0,,20260512_084709,2026-05-12T08:47:33.833384,http://sada.net.sa/user/rbt.ftl,http://sada.net.sa/user/,False,http://sada.net.sa/user/rbt.ftl,http://sada.net.sa/user/,http://sada.net.sa/user/rbt.ftl,recon_page,2026-05-12T08:47:33.852667
45,0,4,0,0,0,0,1,0,11,0,sa,404,4,514,130.12199999999999,0,0,4,1,OpenAS,0,html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,,20260512_084709,2026-05-12T08:47:34.073500,http://sada.net.sa/user/js/plugin/Jplayer.swf,http://sada.net.sa/user/,False,http://sada.net.sa/user/js/plugin/Jplayer.swf,http://sada.net.sa/user/,http://sada.net.sa/user/js/plugin/Jplayer.swf,recon_page,2026-05-12T08:47:34.093094
40,0,3,0,0,0,0,1,0,11,0,sa,404,4,514,146.587,0,0,4,1,OpenAS,0,html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,,20260512_084709,2026-05-12T08:47:34.323316,http://sada.net.sa/user/js/businessTool/,http://sada.net.sa/user/,False,http://sada.net.sa/user/js/businessTool/,http://sada.net.sa/user/,http://sada.net.sa/user/js/businessTool/,recon_page,2026-05-12T08:47:34.337812
40,0,3,0,0,0,0,1,0,11,0,sa,404,4,514,155.449,0,0,4,1,OpenAS,0,html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,,20260512_084709,2026-05-12T08:47:34.542995,http://sada.net.sa/user/ranks/ranks-3-1/,http://sada.net.sa/user/,False,http://sada.net.sa/user/ranks/ranks-3-1/,http://sada.net.sa/user/,http://sada.net.sa/user/ranks/ranks-3-1/,recon_page,2026-05-12T08:47:34.550375
55,0,3,0,0,0,0,1,0,11,0,sa,200,2,9574,196.163,0,0,5,1,OpenAS,0,html,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,4,15,0,1,10,10,0,0,0,1,7,1,3,1,1,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,19,3,0,0,0,0,0,0,0,0.0,0.001984541466471694,0.0,0.10444955086693128,0,,20260512_084709,2026-05-12T08:47:34.745783,http://sada.net.sa/user/alltunes/toneinfodetail-127.ftl,http://sada.net.sa/user/,False,http://sada.net.sa/user/alltunes/toneinfodetail-127.ftl,http://sada.net.sa/user/,http://sada.net.sa/user/alltunes/toneinfodetail-127.ftl,recon_page,2026-05-12T08:47:34.748678
55,0,3,0,0,0,0,1,0,11,0,sa,200,2,9575,146.927,0,0,5,1,OpenAS,0,html,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,4,15,0,1,10,10,0,0,0,1,7,1,3,1,1,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,19,3,0,0,0,0,0,0,0,0.0,0.0019843342036553525,0.0,0.10443864229765014,0,,20260512_084709,2026-05-12T08:47:34.944524,http://sada.net.sa/user/alltunes/toneinfodetail-199.ftl,http://sada.net.sa/user/,False,http://sada.net.sa/user/alltunes/toneinfodetail-199.ftl,http://sada.net.sa/user/,http://sada.net.sa/user/alltunes/toneinfodetail-199.ftl,recon_page,2026-05-12T08:47:34.949753
58,0,3,0,0,0,0,1,0,11,0,sa,200,2,9671,300.438,0,0,5,1,OpenAS,0,html,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,4,15,0,1,10,10,0,0,0,1,7,1,3,1,1,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,19,3,0,0,0,0,0,0,0,0.0,0.0019646365422396855,0.0,0.10340192327577294,0,,20260512_084709,2026-05-12T08:47:34.947005,http://sada.net.sa/user/alltunes/toneinfodetail-269997.ftl,http://sada.net.sa/user/,False,http://sada.net.sa/user/alltunes/toneinfodetail-269997.ftl,http://sada.net.sa/user/,http://sada.net.sa/user/alltunes/toneinfodetail-269997.ftl,recon_page,2026-05-12T08:47:34.950696
57,0,3,0,0,0,0,1,0,11,0,sa,200,2,9661,258.859,0,0,5,1,OpenAS,0,html,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,4,15,0,1,10,10,0,0,0,1,7,1,3,1,1,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,19,3,0,0,0,0,0,0,0,0.0,0.0019666701169651175,0.0,0.10350895352447988,0,,20260512_084709,2026-05-12T08:47:35.183426,http://sada.net.sa/user/alltunes/toneinfodetail-91134.ftl,http://sada.net.sa/user/,False,http://sada.net.sa/user/alltunes/toneinfodetail-91134.ftl,http://sada.net.sa/user/,http://sada.net.sa/user/alltunes/toneinfodetail-91134.ftl,recon_page,2026-05-12T08:47:35.186238
