url_length,has_https,path_depth,has_query_params,num_query_params,has_fragment,has_port,subdomain_count,is_ip_address,domain_length,domain_has_hyphens,domain_tld,status_code,status_category,response_size,response_time_ms,is_redirect,redirect_chain_len,total_headers,server_header_present,server_header,x_powered_by_present,content_type,has_cookies,num_cookies,has_cors,cache_control,security_headers_count,has_csp,has_hsts,has_xss_protection,has_frame_options,has_content_type_options,has_forms,form_count,has_inputs,input_count,has_password_input,password_count,has_hidden_input,hidden_count,has_file_upload,file_upload_count,has_search_input,search_count,has_buttons,button_count,has_textarea,textarea_count,has_select,select_count,has_scripts,script_count,inline_script_count,internal_script_count,external_script_count,has_links,link_count,internal_link_count,external_link_count,has_images,image_count,has_meta_tags,meta_count,has_stylesheets,stylesheet_count,has_javascript,has_comments,comment_count,has_title,server_apache,server_nginx,server_iis,tech_php,tech_aspnet,tech_jsp,tech_wordpress,tech_drupal,tech_joomla,has_debug_info,has_error_messages,has_sql_errors,has_file_paths,has_waf,waf_cloudflare,waf_aws,waf_imperva,reflection_detected,csp_header_reflection_detected,has_jwt,jwt_count,has_api_keys,api_key_count,cookie_count,session_cookies,secure_cookie_ratio,httponly_cookie_ratio,samesite_cookie_ratio,redirect_count,has_redirect_chain,final_https,get_form_count,post_form_count,has_login_form,login_form_count,csrf_token_input_count,has_csrf_token,same_origin_form_count,external_form_count,unique_input_names,unique_endpoint_count,parameterized_link_count,api_like_endpoint_count,inline_event_handler_count,email_input_count,url_input_count,mailto_link_count,tel_link_count,body_truncated_for_analysis,input_to_form_ratio,script_to_content_ratio,security_score,interactivity_score,is_vulnerable,vulnerability_type,scan_id,timestamp,target_url,original_url,is_redirect_response,final_url,target_root,page_url,dataset_record_type,saved_at
22,1,0,0,0,0,0,1,0,13,0,net,200,2,88004,425.979,0,0,20,1,cloudflare,0,html,0,0,0,1,7,1,1,1,1,1,1,2,1,2,0,0,0,0,0,0,0,0,1,9,0,0,0,0,1,19,7,10,2,1,202,190,12,1,12,1,26,1,10,1,1,7,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,2,0,1,129,15,0,0,0,0,0,0,0,1.0,0.00021589927730557702,0.875,0.1477205581564474,0,,multi_full_20260502_195405_0001,2026-05-02T19:54:56.558619,https://www.apnic.net/,https://www.apnic.net/,False,https://www.apnic.net/,https://www.apnic.net/,https://www.apnic.net/,recon_page,2026-05-02T19:54:56.580687
60,1,3,0,0,0,0,1,0,13,0,net,200,2,91747,451.836,0,0,19,1,cloudflare,0,html,0,0,0,1,7,1,1,1,1,1,1,2,1,2,0,0,0,0,0,0,0,0,1,9,0,0,0,0,1,17,7,8,2,1,280,268,12,1,11,1,26,1,10,1,1,14,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,2,0,1,205,15,0,0,0,0,0,0,0,1.0,0.00018529216214154142,0.875,0.14169400634353166,0,,multi_full_20260502_195405_0001,2026-05-02T19:55:21.440770,https://www.apnic.net/community/participate/member-feedback/,https://www.apnic.net/,False,https://www.apnic.net/community/participate/member-feedback/,https://www.apnic.net/,https://www.apnic.net/community/participate/member-feedback/,recon_page,2026-05-02T19:55:21.451139
30,1,1,0,0,0,0,1,0,13,0,net,403,4,2515,1088.9750000000001,0,0,18,1,cloudflare,0,html,0,0,0,1,7,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.875,0.0,0,,multi_full_20260502_195405_0001,2026-05-02T19:55:24.996811,https://www.apnic.net/wp-json/,https://www.apnic.net/,False,https://www.apnic.net/wp-json/,https://www.apnic.net/,https://www.apnic.net/wp-json/,recon_page,2026-05-02T19:55:25.030224
45,1,2,0,0,0,0,1,0,13,0,net,200,2,90563,1091.528,0,0,19,1,cloudflare,0,html,0,0,0,1,7,1,1,1,1,1,1,2,1,2,0,0,0,0,0,0,0,0,1,12,0,0,0,0,1,18,7,8,3,1,200,187,13,1,19,1,26,1,11,1,1,15,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,2,0,1,128,15,0,0,0,0,0,0,0,1.0,0.00019875666662985987,0.875,0.17667259255987544,0,,multi_full_20260502_195405_0001,2026-05-02T19:55:25.217655,https://www.apnic.net/about-apnic/employment/,https://www.apnic.net/,False,https://www.apnic.net/about-apnic/employment/,https://www.apnic.net/,https://www.apnic.net/about-apnic/employment/,recon_page,2026-05-02T19:55:25.223476
64,1,3,0,0,0,0,1,0,13,0,net,200,2,90030,1324.281,0,0,19,1,cloudflare,0,html,0,0,0,1,7,1,1,1,1,1,1,2,1,2,0,0,0,0,0,0,0,0,1,9,0,0,0,0,1,17,7,8,2,1,200,186,14,1,3,1,26,1,11,1,1,14,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,2,0,1,131,15,0,0,0,0,0,0,0,1.0,0.0001888259469065867,0.875,0.144396312340331,0,,multi_full_20260502_195405_0001,2026-05-02T19:55:25.589537,https://www.apnic.net/community/security/resource-certification/,https://www.apnic.net/,False,https://www.apnic.net/community/security/resource-certification/,https://www.apnic.net/,https://www.apnic.net/community/security/resource-certification/,recon_page,2026-05-02T19:55:25.624916
44,1,2,0,0,0,0,1,0,13,0,net,200,2,78422,1263.5259999999998,0,0,19,1,cloudflare,0,html,0,0,0,1,7,1,1,1,1,1,1,2,1,2,0,0,0,0,0,0,0,0,1,9,0,0,0,0,1,17,7,8,2,1,197,185,12,1,6,1,26,1,10,1,1,14,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,2,0,1,129,15,0,0,0,0,0,0,0,1.0,0.00021677590472061412,0.875,0.16576980949223433,0,,multi_full_20260502_195405_0001,2026-05-02T19:55:25.939749,https://www.apnic.net/community/participate/,https://www.apnic.net/,False,https://www.apnic.net/community/participate/,https://www.apnic.net/,https://www.apnic.net/community/participate/,recon_page,2026-05-02T19:55:26.022218
48,1,2,0,0,0,0,1,0,13,0,net,200,2,79759,948.3190000000001,0,0,19,1,cloudflare,0,html,0,0,0,1,7,1,1,1,1,1,1,2,1,2,0,0,0,0,0,0,0,0,1,9,0,0,0,0,1,17,7,8,2,1,193,181,12,1,5,1,26,1,10,1,1,15,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,2,0,1,130,16,0,0,0,0,0,0,0,1.0,0.00021314209054777518,0.875,0.1629910104188869,0,,multi_full_20260502_195405_0001,2026-05-02T19:55:26.720091,https://www.apnic.net/manage-ip/ipv4-exhaustion/,https://www.apnic.net/,False,https://www.apnic.net/manage-ip/ipv4-exhaustion/,https://www.apnic.net/,https://www.apnic.net/manage-ip/ipv4-exhaustion/,recon_page,2026-05-02T19:55:26.948207
68,1,4,0,0,0,0,1,0,13,0,net,200,2,74556,1281.7259999999999,0,0,19,1,cloudflare,0,html,0,0,0,1,7,1,1,1,1,1,1,2,1,2,0,0,0,0,0,0,0,0,1,9,0,0,0,0,1,17,7,8,2,1,193,180,13,1,3,1,26,1,10,1,1,15,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,2,0,1,124,15,0,0,0,0,0,0,0,1.0,0.00022801652449165727,0.875,0.1743655775524438,0,,multi_full_20260502_195405_0001,2026-05-02T19:55:26.843129,https://www.apnic.net/community/participate/elections/nro-elections/,https://www.apnic.net/,False,https://www.apnic.net/community/participate/elections/nro-elections/,https://www.apnic.net/,https://www.apnic.net/community/participate/elections/nro-elections/,recon_page,2026-05-02T19:55:26.949519
44,1,2,0,0,0,0,1,0,13,0,net,200,2,73756,1306.983,0,0,19,1,cloudflare,0,html,0,0,0,1,7,1,1,1,1,1,1,2,1,2,0,0,0,0,0,0,0,0,1,9,0,0,0,0,1,17,7,8,2,1,187,175,12,1,3,1,26,1,10,1,1,15,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,2,0,1,123,15,0,0,0,0,0,0,0,1.0,0.0002304897228700038,0.875,0.17625684690059112,0,,multi_full_20260502_195405_0001,2026-05-02T19:55:26.852890,https://www.apnic.net/manage-ip/using-whois/,https://www.apnic.net/,False,https://www.apnic.net/manage-ip/using-whois/,https://www.apnic.net/,https://www.apnic.net/manage-ip/using-whois/,recon_page,2026-05-02T19:55:26.986935
31,1,1,0,0,0,0,1,0,13,0,net,200,2,74663,1816.529,0,0,19,1,cloudflare,0,html,0,0,0,1,7,1,1,1,1,1,1,2,1,2,0,0,0,0,0,0,0,0,1,9,0,0,0,0,1,17,7,8,2,1,186,174,12,1,7,1,26,1,10,1,1,10,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,2,0,1,117,21,0,0,0,0,0,0,0,1.0,0.00022768975262178054,0.875,0.17411569318136158,0,,multi_full_20260502_195405_0001,2026-05-02T19:55:27.045887,https://www.apnic.net/insights/,https://www.apnic.net/,False,https://www.apnic.net/insights/,https://www.apnic.net/,https://www.apnic.net/insights/,recon_page,2026-05-02T19:55:27.154287
32,1,1,0,0,0,0,1,0,13,0,net,200,2,77873,926.591,0,0,19,1,cloudflare,0,html,0,0,0,1,7,1,1,1,1,1,1,2,1,2,0,0,0,0,0,0,0,0,1,9,0,0,0,0,1,17,7,8,2,1,211,194,17,1,10,1,26,1,10,1,1,15,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,2,0,1,132,15,0,0,0,0,0,0,0,1.0,0.0002183041619046396,0.875,0.16693847675060675,0,,multi_full_20260502_195405_0001,2026-05-02T19:55:27.326221,https://www.apnic.net/community/,https://www.apnic.net/,False,https://www.apnic.net/community/,https://www.apnic.net/,https://www.apnic.net/community/,recon_page,2026-05-02T19:55:27.350220
34,1,2,0,0,0,0,1,0,13,0,net,200,2,291869,2697.1470000000004,0,0,22,0,unknown,0,html,1,3,0,1,5,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,14,6,0,1,6,6,0,0,0,1,3,1,4,1,1,16,1,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0,0,0,0,0,0,0,0.0,6.852389256824124e-05,0.625,0.0,0,,multi_full_20260502_195405_0001,2026-05-02T19:55:28.608630,https://www.apnic.net/get-ip/faqs/,https://www.apnic.net/,False,https://www.apnic.net/get-ip/faqs/,https://www.apnic.net/,https://www.apnic.net/get-ip/faqs/,recon_page,2026-05-02T19:55:28.635718
50,1,2,0,0,0,0,1,0,13,0,net,200,2,222202,1528.042,0,0,19,1,cloudflare,0,html,0,0,0,1,7,1,1,1,1,1,1,2,1,2,0,0,0,0,0,0,0,0,1,9,0,0,0,0,1,18,7,8,3,1,719,707,12,1,3,1,26,1,10,1,1,14,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,2,0,1,657,16,0,0,0,0,0,0,0,1.0,8.100737167082204e-05,0.875,0.05850532398448259,0,,multi_full_20260502_195405_0001,2026-05-02T19:55:29.854871,https://www.apnic.net/about-apnic/service-updates/,https://www.apnic.net/,False,https://www.apnic.net/about-apnic/service-updates/,https://www.apnic.net/,https://www.apnic.net/about-apnic/service-updates/,recon_page,2026-05-02T19:55:29.869347
41,1,2,0,0,0,0,1,0,13,0,net,200,2,97809,1604.0449999999998,0,0,19,1,cloudflare,0,html,0,0,0,1,7,1,1,1,1,1,1,2,1,2,0,0,0,0,0,0,0,0,1,9,0,0,0,0,1,18,8,8,2,1,216,197,19,1,3,1,26,1,11,1,1,14,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,2,0,1,137,15,0,0,0,0,0,0,0,1.0,0.00018403214428120112,0.875,0.1329121042030897,0,,multi_full_20260502_195405_0001,2026-05-02T19:55:45.888253,https://www.apnic.net/community/security/,https://www.apnic.net/,False,https://www.apnic.net/community/security/,https://www.apnic.net/,https://www.apnic.net/community/security/,recon_page,2026-05-02T19:55:45.903414
53,1,3,0,0,0,0,1,0,13,0,net,200,2,80954,960.076,0,0,19,1,cloudflare,0,html,0,0,0,1,7,1,1,1,1,1,1,2,1,2,0,0,0,0,0,0,0,0,1,9,0,0,0,0,1,17,7,8,2,1,193,181,12,1,3,1,26,1,10,1,1,15,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,2,0,1,126,15,0,0,0,0,0,0,0,1.0,0.00020999580008399833,0.875,0.1605850235936458,0,,multi_full_20260502_195405_0001,2026-05-02T19:55:47.646052,https://www.apnic.net/community/support/root-servers/,https://www.apnic.net/,False,https://www.apnic.net/community/support/root-servers/,https://www.apnic.net/,https://www.apnic.net/community/support/root-servers/,recon_page,2026-05-02T19:55:47.655901
55,1,2,0,0,0,0,1,0,13,0,net,200,2,79745,1137.039,0,0,19,1,cloudflare,0,html,0,0,0,1,7,1,1,1,1,1,1,2,1,2,0,0,0,0,0,0,0,0,1,9,0,0,0,0,1,20,10,8,2,1,178,166,12,1,7,1,26,1,10,1,1,14,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,2,0,1,115,15,0,0,0,0,0,0,0,1.0,0.00025079942316132673,0.875,0.16301962505486237,0,,multi_full_20260502_195405_0001,2026-05-02T19:56:05.526477,https://www.apnic.net/community/community-demographics/,https://www.apnic.net/,False,https://www.apnic.net/community/community-demographics/,https://www.apnic.net/,https://www.apnic.net/community/community-demographics/,recon_page,2026-05-02T19:56:05.792042
41,1,2,0,0,0,0,1,0,13,0,net,200,2,98280,936.4820000000001,0,0,19,1,cloudflare,0,html,0,0,0,1,7,1,1,1,1,1,1,2,1,2,0,0,0,0,0,0,0,0,1,9,0,0,0,0,1,17,7,8,2,1,237,218,19,1,21,1,26,1,10,1,1,18,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,2,0,1,176,15,0,0,0,0,0,0,0,1.0,0.00017297517297517297,0.875,0.13227513227513227,0,,multi_full_20260502_195405_0001,2026-05-02T19:56:20.316037,https://www.apnic.net/events/conferences/,https://www.apnic.net/,False,https://www.apnic.net/events/conferences/,https://www.apnic.net/,https://www.apnic.net/events/conferences/,recon_page,2026-05-02T19:56:20.329495
79,1,4,0,0,0,0,1,0,13,0,net,200,2,75750,1089.174,0,0,19,1,cloudflare,0,html,0,0,0,1,7,1,1,1,1,1,1,2,1,2,0,0,0,0,0,0,0,0,1,9,0,0,0,0,1,17,7,8,2,1,185,170,15,1,9,1,26,1,10,1,1,14,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,2,0,1,124,16,0,0,0,0,1,0,0,1.0,0.00022442244224422442,0.875,0.1716171617161716,0,,multi_full_20260502_195405_0001,2026-05-02T19:56:20.294728,https://www.apnic.net/get-ip/apnic-membership/billing-procedure/make-a-payment/,https://www.apnic.net/,False,https://www.apnic.net/get-ip/apnic-membership/billing-procedure/make-a-payment/,https://www.apnic.net/,https://www.apnic.net/get-ip/apnic-membership/billing-procedure/make-a-payment/,recon_page,2026-05-02T19:56:20.317247
61,1,2,0,0,0,0,1,0,13,0,net,200,2,75315,1100.253,0,0,19,1,cloudflare,0,html,0,0,0,1,7,1,1,1,1,1,1,2,1,2,0,0,0,0,0,0,0,0,1,9,0,0,0,0,1,17,7,8,2,1,179,163,16,1,3,1,26,1,10,1,1,13,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,2,0,1,119,15,0,0,0,0,0,0,0,1.0,0.00022571864834362344,0.875,0.1726083781451238,0,,multi_full_20260502_195405_0001,2026-05-02T19:56:20.472356,https://www.apnic.net/events/apnic-community-code-of-conduct/,https://www.apnic.net/,False,https://www.apnic.net/events/apnic-community-code-of-conduct/,https://www.apnic.net/,https://www.apnic.net/events/apnic-community-code-of-conduct/,recon_page,2026-05-02T19:56:20.485832
37,1,1,0,0,0,0,1,0,13,0,net,404,4,68157,976.7869999999999,0,0,19,1,cloudflare,0,html,0,0,0,1,7,1,1,1,1,1,1,2,1,2,0,0,0,0,0,0,0,0,1,9,0,0,0,0,1,17,7,8,2,1,164,152,12,1,3,1,26,1,10,1,1,8,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,2,0,1,109,13,0,0,0,0,0,0,0,1.0,0.00024942412371436535,0.875,0.19073609460510293,0,,multi_full_20260502_195405_0001,2026-05-02T19:56:20.818433,https://www.apnic.net//auth-callback/,https://www.apnic.net/,False,https://www.apnic.net//auth-callback/,https://www.apnic.net/,https://www.apnic.net//auth-callback/,recon_page,2026-05-02T19:56:20.831372
54,1,2,0,0,0,0,1,0,13,0,net,200,2,74993,899.9399999999999,0,0,19,1,cloudflare,0,html,0,0,0,1,7,1,1,1,1,1,1,2,1,2,0,0,0,0,0,0,0,0,1,9,0,0,0,0,1,17,7,8,2,1,195,183,12,1,8,1,26,1,10,1,1,14,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,2,0,1,121,15,0,0,0,0,0,0,0,1.0,0.00022668782419692506,0.875,0.17334951262117798,0,,multi_full_20260502_195405_0001,2026-05-02T19:56:21.248005,https://www.apnic.net/about-apnic/corporate-documents/,https://www.apnic.net/,False,https://www.apnic.net/about-apnic/corporate-documents/,https://www.apnic.net/,https://www.apnic.net/about-apnic/corporate-documents/,recon_page,2026-05-02T19:56:21.261204
