url_length,has_https,path_depth,has_query_params,num_query_params,has_fragment,has_port,subdomain_count,is_ip_address,domain_length,domain_has_hyphens,domain_tld,status_code,status_category,response_size,response_time_ms,is_redirect,redirect_chain_len,total_headers,server_header_present,server_header,x_powered_by_present,content_type,has_cookies,num_cookies,has_cors,cache_control,security_headers_count,has_csp,has_hsts,has_xss_protection,has_frame_options,has_content_type_options,has_forms,form_count,has_inputs,input_count,has_password_input,password_count,has_hidden_input,hidden_count,has_file_upload,file_upload_count,has_search_input,search_count,has_buttons,button_count,has_textarea,textarea_count,has_select,select_count,has_scripts,script_count,inline_script_count,internal_script_count,external_script_count,has_links,link_count,internal_link_count,external_link_count,has_images,image_count,has_meta_tags,meta_count,has_stylesheets,stylesheet_count,has_javascript,has_comments,comment_count,has_title,server_apache,server_nginx,server_iis,tech_php,tech_aspnet,tech_jsp,tech_wordpress,tech_drupal,tech_joomla,has_debug_info,has_error_messages,has_sql_errors,has_file_paths,has_waf,waf_cloudflare,waf_aws,waf_imperva,reflection_detected,csp_header_reflection_detected,has_jwt,jwt_count,has_api_keys,api_key_count,cookie_count,session_cookies,secure_cookie_ratio,httponly_cookie_ratio,samesite_cookie_ratio,redirect_count,has_redirect_chain,final_https,get_form_count,post_form_count,has_login_form,login_form_count,csrf_token_input_count,has_csrf_token,same_origin_form_count,external_form_count,unique_input_names,unique_endpoint_count,parameterized_link_count,api_like_endpoint_count,inline_event_handler_count,email_input_count,url_input_count,mailto_link_count,tel_link_count,body_truncated_for_analysis,input_to_form_ratio,script_to_content_ratio,security_score,interactivity_score,is_vulnerable,vulnerability_type,scan_id,timestamp,target_url,original_url,is_redirect_response,final_url,target_root,page_url,dataset_record_type,saved_at
32,1,1,0,0,0,0,1,0,21,0,sa,200,2,378750,733.461,0,3,22,1,cloudflare,0,html,0,0,0,1,8,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,1,30,1,29,0,1,81,66,15,1,22,1,14,1,4,1,1,9,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2,1,1,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0.0,7.920792079207921e-05,1.0,0.026402640264026403,0,,20260512_100443,2026-05-12T10:04:47.201080,https://www.diriyahcompany.sa/en,https://www.diriyahcompany.sa/en,False,https://www.diriyahcompany.sa/en,https://www.diriyahcompany.sa/en,https://www.diriyahcompany.sa/en,recon_page,2026-05-12T10:04:47.203933
33,1,1,0,0,0,0,1,0,21,0,sa,200,2,378750,435.024,0,0,25,1,cloudflare,0,html,1,1,0,1,8,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,1,30,1,29,0,1,81,66,15,1,22,1,14,1,4,1,1,9,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0.0,7.920792079207921e-05,1.0,0.026402640264026403,0,,20260512_100443,2026-05-12T10:04:59.700596,https://www.diriyahcompany.sa/en/,https://www.diriyahcompany.sa/en/,False,https://www.diriyahcompany.sa/en/,https://www.diriyahcompany.sa/en/,https://www.diriyahcompany.sa/en/,recon_page,2026-05-12T10:04:59.704049
41,1,1,0,0,0,0,1,0,21,0,sa,404,4,216638,990.352,0,0,24,1,cloudflare,0,html,0,0,0,1,8,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,1,23,1,22,0,1,56,44,12,1,1,1,14,1,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0.0,0.00010616789298276387,1.0,0.02307997673538345,0,,20260512_100443,2026-05-12T10:07:26.837065,https://www.diriyahcompany.sa/[[...page]],https://www.diriyahcompany.sa/en/,False,https://www.diriyahcompany.sa/[[...page]],https://www.diriyahcompany.sa/en/,https://www.diriyahcompany.sa/[[...page]],recon_page,2026-05-12T10:07:26.852493
41,1,2,0,0,0,0,1,0,21,0,sa,200,2,296763,499.227,0,0,24,1,cloudflare,0,html,0,0,0,1,8,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,1,32,1,31,0,1,60,47,13,1,16,1,14,1,4,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,73,1,0,0,0,0,0,0,0,0.0,0.00010783015402863565,1.0,0.020218153880369186,0,,20260512_100443,2026-05-12T10:07:28.386151,https://www.diriyahcompany.sa/en/careers/,https://www.diriyahcompany.sa/en/,False,https://www.diriyahcompany.sa/en/careers/,https://www.diriyahcompany.sa/en/,https://www.diriyahcompany.sa/en/careers/,recon_page,2026-05-12T10:07:28.396690
48,1,2,0,0,0,0,1,0,21,0,sa,200,2,315397,382.897,0,0,24,1,cloudflare,0,html,0,0,0,1,8,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,1,42,1,41,0,1,59,47,12,1,12,1,14,1,4,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0.0,0.00013316550252538863,1.0,0.028535464826868993,0,,20260512_100443,2026-05-12T10:07:29.294165,https://www.diriyahcompany.sa/en/diriyah-living/,https://www.diriyahcompany.sa/en/,False,https://www.diriyahcompany.sa/en/diriyah-living/,https://www.diriyahcompany.sa/en/,https://www.diriyahcompany.sa/en/diriyah-living/,recon_page,2026-05-12T10:07:29.311993
33,1,1,0,0,0,0,1,0,21,0,sa,200,2,428452,495.90000000000003,0,0,24,1,cloudflare,0,html,0,0,0,1,8,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,1,30,1,29,0,1,81,66,15,1,22,1,14,1,4,1,1,12,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,74,1,0,0,0,0,0,0,0,0.0,7.001951210403966e-05,1.0,0.02333983736801322,0,,20260512_100443,2026-05-12T10:07:29.466413,https://www.diriyahcompany.sa/ar/,https://www.diriyahcompany.sa/en/,False,https://www.diriyahcompany.sa/ar/,https://www.diriyahcompany.sa/en/,https://www.diriyahcompany.sa/ar/,recon_page,2026-05-12T10:07:29.478504
40,1,2,0,0,0,0,1,0,21,0,sa,200,2,416498,405.353,0,0,24,1,cloudflare,0,html,0,0,0,1,8,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,1,37,1,36,0,1,65,52,13,1,51,1,14,1,4,1,1,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0.0,8.88359607969306e-05,1.0,0.02881166296116668,0,,20260512_100443,2026-05-12T10:07:30.471540,https://www.diriyahcompany.sa/en/hotels/,https://www.diriyahcompany.sa/en/,False,https://www.diriyahcompany.sa/en/hotels/,https://www.diriyahcompany.sa/en/,https://www.diriyahcompany.sa/en/hotels/,recon_page,2026-05-12T10:07:30.486351
30,1,0,0,0,0,0,1,0,21,0,sa,200,2,378750,511.729,0,0,24,1,cloudflare,0,html,0,0,0,1,8,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,1,30,1,29,0,1,81,66,15,1,22,1,14,1,4,1,1,9,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0.0,7.920792079207921e-05,1.0,0.026402640264026403,0,,20260512_100443,2026-05-12T10:07:30.959137,https://www.diriyahcompany.sa/,https://www.diriyahcompany.sa/en/,False,https://www.diriyahcompany.sa/,https://www.diriyahcompany.sa/en/,https://www.diriyahcompany.sa/,recon_page,2026-05-12T10:07:30.990906
39,1,1,0,0,0,0,1,0,21,0,sa,200,2,563200,404.011,0,0,24,1,cloudflare,0,html,0,0,0,1,8,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,1,38,1,37,0,1,103,91,12,1,38,1,14,1,4,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,1,0.0,6.747159090909091e-05,1.0,0.02130681818181818,0,,20260512_100443,2026-05-12T10:07:31.455785,https://www.diriyahcompany.sa/partners/,https://www.diriyahcompany.sa/en/,False,https://www.diriyahcompany.sa/partners/,https://www.diriyahcompany.sa/en/,https://www.diriyahcompany.sa/partners/,recon_page,2026-05-12T10:07:31.461488
45,1,1,0,0,0,0,1,0,21,0,sa,200,2,276256,596.694,0,0,24,1,cloudflare,0,html,0,0,0,1,8,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,1,21,1,20,0,1,57,43,14,0,0,1,14,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0.0,7.601644851152554e-05,1.0,0.014479323526004867,0,,20260512_100443,2026-05-12T10:07:31.844323,https://www.diriyahcompany.sa/privacy-policy/,https://www.diriyahcompany.sa/en/,False,https://www.diriyahcompany.sa/privacy-policy/,https://www.diriyahcompany.sa/en/,https://www.diriyahcompany.sa/privacy-policy/,recon_page,2026-05-12T10:07:31.847987
