url_length,has_https,path_depth,has_query_params,num_query_params,has_fragment,has_port,subdomain_count,is_ip_address,domain_length,domain_has_hyphens,domain_tld,status_code,status_category,response_size,response_time_ms,is_redirect,redirect_chain_len,total_headers,server_header_present,server_header,x_powered_by_present,content_type,has_cookies,num_cookies,has_cors,cache_control,security_headers_count,has_csp,has_hsts,has_xss_protection,has_frame_options,has_content_type_options,has_forms,form_count,has_inputs,input_count,has_password_input,password_count,has_hidden_input,hidden_count,has_file_upload,file_upload_count,has_search_input,search_count,has_buttons,button_count,has_textarea,textarea_count,has_select,select_count,has_scripts,script_count,inline_script_count,internal_script_count,external_script_count,has_links,link_count,internal_link_count,external_link_count,has_images,image_count,has_meta_tags,meta_count,has_stylesheets,stylesheet_count,has_javascript,has_comments,comment_count,has_title,server_apache,server_nginx,server_iis,tech_php,tech_aspnet,tech_jsp,tech_wordpress,tech_drupal,tech_joomla,has_debug_info,has_error_messages,has_sql_errors,has_file_paths,has_waf,waf_cloudflare,waf_aws,waf_imperva,reflection_detected,csp_header_reflection_detected,has_jwt,jwt_count,has_api_keys,api_key_count,cookie_count,session_cookies,secure_cookie_ratio,httponly_cookie_ratio,samesite_cookie_ratio,redirect_count,has_redirect_chain,final_https,get_form_count,post_form_count,has_login_form,login_form_count,csrf_token_input_count,has_csrf_token,same_origin_form_count,external_form_count,unique_input_names,unique_endpoint_count,parameterized_link_count,api_like_endpoint_count,inline_event_handler_count,email_input_count,url_input_count,mailto_link_count,tel_link_count,body_truncated_for_analysis,input_to_form_ratio,script_to_content_ratio,security_score,interactivity_score,is_vulnerable,vulnerability_type,scan_id,timestamp,target_url,original_url,is_redirect_response,final_url,target_root,page_url,dataset_record_type,saved_at
24,1,0,0,0,0,0,1,0,15,0,com,200,2,507682,2665.166,1,1,12,1,Vercel,1,html,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,0,0,0,0,1,13,1,12,0,1,82,71,11,1,33,1,16,1,1,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,79,1,0,0,0,0,1,0,1,0.0,2.5606580497240397e-05,0.25,0.03545526530387132,0,,multi_full_20260502_195038_0002,2026-05-02T19:50:42.949292,https://www.doppler.com/,https://www.doppler.com/,True,https://www.doppler.com/,https://www.doppler.com/,https://www.doppler.com/,recon_redirect_hop,2026-05-02T19:50:42.995630
24,1,0,0,0,0,0,1,0,15,0,com,200,2,507682,2665.166,0,3,12,1,Vercel,1,html,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,0,0,0,0,1,13,1,12,0,1,82,71,11,1,33,1,16,1,1,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2,1,1,0,0,0,0,0,0,0,0,0,79,1,0,0,0,0,1,0,1,0.0,2.5606580497240397e-05,0.25,0.03545526530387132,0,,multi_full_20260502_195038_0002,2026-05-02T19:50:43.220581,https://www.doppler.com/,https://www.doppler.com/,False,https://www.doppler.com/,https://www.doppler.com/,https://www.doppler.com/,recon_page,2026-05-02T19:50:43.223351
24,1,0,0,0,0,0,1,0,15,0,com,200,2,507682,371.584,0,0,13,1,Vercel,1,html,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,0,0,0,0,1,13,1,12,0,1,82,71,11,1,33,1,16,1,1,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,79,1,0,0,0,0,1,0,1,0.0,2.5606580497240397e-05,0.25,0.03545526530387132,0,,multi_full_20260502_195038_0002,2026-05-02T19:50:54.893335,https://www.doppler.com/,https://www.doppler.com/,False,https://www.doppler.com/,https://www.doppler.com/,https://www.doppler.com/,recon_page,2026-05-02T19:50:54.896414
44,1,2,0,0,0,0,1,0,15,0,com,200,2,248191,425.507,0,0,13,1,Vercel,1,html,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,1,10,1,9,0,1,71,59,12,1,22,1,16,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,70,1,0,0,0,0,1,0,0,0.0,4.0291549653291216e-05,0.25,0.02417492979197473,0,,multi_full_20260502_195038_0002,2026-05-02T19:51:00.378472,https://www.doppler.com/integrations/vercel/,https://www.doppler.com/,False,https://www.doppler.com/integrations/vercel/,https://www.doppler.com/,https://www.doppler.com/integrations/vercel/,recon_page,2026-05-02T19:51:00.384244
34,1,1,0,0,0,0,1,0,15,0,com,200,2,300436,461.933,0,0,13,1,Vercel,1,html,0,0,0,1,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,17,0,0,0,0,1,13,1,12,0,1,73,62,11,1,21,1,16,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,77,3,0,0,0,0,1,0,0,0.0,4.327044695043204e-05,0.25,0.05991292654675206,0,,multi_full_20260502_195038_0002,2026-05-02T19:51:00.379541,https://www.doppler.com/resources/,https://www.doppler.com/,False,https://www.doppler.com/resources/,https://www.doppler.com/,https://www.doppler.com/resources/,recon_page,2026-05-02T19:51:00.386932
44,1,2,0,0,0,0,1,0,15,0,com,200,2,245738,467.2,0,0,13,1,Vercel,1,html,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,1,10,1,9,0,1,70,59,11,1,22,1,16,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,70,1,0,0,0,0,1,0,0,0.0,4.069374699883616e-05,0.25,0.020346873499418078,0,,multi_full_20260502_195038_0002,2026-05-02T19:51:00.495303,https://www.doppler.com/integrations/heroku/,https://www.doppler.com/,False,https://www.doppler.com/integrations/heroku/,https://www.doppler.com/,https://www.doppler.com/integrations/heroku/,recon_page,2026-05-02T19:51:00.503126
33,1,1,0,0,0,0,1,0,15,0,com,200,2,486050,425.977,0,0,13,1,Vercel,1,html,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,0,0,0,0,1,13,1,12,0,1,76,65,11,1,35,1,16,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,79,2,0,0,0,0,1,0,0,0.0,2.674621952474025e-05,0.25,0.030861022528546445,0,,multi_full_20260502_195038_0002,2026-05-02T19:51:00.776821,https://www.doppler.com/security/,https://www.doppler.com/,False,https://www.doppler.com/security/,https://www.doppler.com/,https://www.doppler.com/security/,recon_page,2026-05-02T19:51:00.821131
39,1,1,0,0,0,0,1,0,15,0,com,200,2,379871,476.58099999999996,0,0,13,1,Vercel,1,html,0,0,0,1,2,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,25,0,0,0,0,1,13,1,12,0,1,72,59,13,1,32,1,16,1,1,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,79,1,0,0,0,0,1,0,0,0.0,3.4222143833038055e-05,0.25,0.0710767602686175,0,,multi_full_20260502_195038_0002,2026-05-02T19:51:00.902919,https://www.doppler.com/secrets-sprawl/,https://www.doppler.com/,False,https://www.doppler.com/secrets-sprawl/,https://www.doppler.com/,https://www.doppler.com/secrets-sprawl/,recon_page,2026-05-02T19:51:00.966505
41,1,1,0,0,0,0,1,0,15,0,com,200,2,329551,460.31100000000004,0,0,13,1,Vercel,1,html,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0,1,11,1,10,0,1,76,56,20,1,28,1,16,1,1,1,1,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,79,1,0,0,0,0,1,0,0,0.0,3.3378748661057015e-05,0.25,0.033378748661057014,0,,multi_full_20260502_195038_0002,2026-05-02T19:51:00.966192,https://www.doppler.com/breach-dashboard/,https://www.doppler.com/,False,https://www.doppler.com/breach-dashboard/,https://www.doppler.com/,https://www.doppler.com/breach-dashboard/,recon_page,2026-05-02T19:51:01.033197
38,1,2,0,0,0,0,1,0,15,0,com,200,2,667457,574.8919999999999,0,0,13,1,Vercel,1,html,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,1,9,1,8,0,1,88,70,18,1,20,1,16,1,1,1,1,3,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,71,1,0,0,0,0,15,0,1,0.0,1.3484014700572472e-05,0.25,0.007491119278095817,0,,multi_full_20260502_195038_0002,2026-05-02T19:51:01.265794,https://www.doppler.com/legal/privacy/,https://www.doppler.com/,False,https://www.doppler.com/legal/privacy/,https://www.doppler.com/,https://www.doppler.com/legal/privacy/,recon_page,2026-05-02T19:51:01.395125
