url_length,has_https,path_depth,has_query_params,num_query_params,has_fragment,has_port,subdomain_count,is_ip_address,domain_length,domain_has_hyphens,domain_tld,status_code,status_category,response_size,response_time_ms,is_redirect,redirect_chain_len,total_headers,server_header_present,server_header,x_powered_by_present,content_type,has_cookies,num_cookies,has_cors,cache_control,security_headers_count,has_csp,has_hsts,has_xss_protection,has_frame_options,has_content_type_options,has_forms,form_count,has_inputs,input_count,has_password_input,password_count,has_hidden_input,hidden_count,has_file_upload,file_upload_count,has_search_input,search_count,has_buttons,button_count,has_textarea,textarea_count,has_select,select_count,has_scripts,script_count,inline_script_count,internal_script_count,external_script_count,has_links,link_count,internal_link_count,external_link_count,has_images,image_count,has_meta_tags,meta_count,has_stylesheets,stylesheet_count,has_javascript,has_comments,comment_count,has_title,server_apache,server_nginx,server_iis,tech_php,tech_aspnet,tech_jsp,tech_wordpress,tech_drupal,tech_joomla,has_debug_info,has_error_messages,has_sql_errors,has_file_paths,has_waf,waf_cloudflare,waf_aws,waf_imperva,reflection_detected,csp_header_reflection_detected,has_jwt,jwt_count,has_api_keys,api_key_count,cookie_count,session_cookies,secure_cookie_ratio,httponly_cookie_ratio,samesite_cookie_ratio,redirect_count,has_redirect_chain,final_https,get_form_count,post_form_count,has_login_form,login_form_count,csrf_token_input_count,has_csrf_token,same_origin_form_count,external_form_count,unique_input_names,unique_endpoint_count,parameterized_link_count,api_like_endpoint_count,inline_event_handler_count,email_input_count,url_input_count,mailto_link_count,tel_link_count,body_truncated_for_analysis,input_to_form_ratio,script_to_content_ratio,security_score,interactivity_score,is_vulnerable,vulnerability_type,scan_id,timestamp,target_url,original_url,is_redirect_response,final_url,target_root,page_url,dataset_record_type,saved_at,url,domain,total_vulnerabilities,has_sql_injection,has_xss,has_command_injection,has_path_traversal,has_file_inclusion,vulnerability_score,critical_vuln_count,high_vuln_count,sqlmap_vulns_found,dalfox_vulns_found,commix_vulns_found,tools_used_count,sqlmap_confidence_avg,dalfox_confidence_avg,commix_confidence_avg,used_previous_scan,previous_scan_indicators,scan_hour,scan_day_of_week,prev_has_forms,prev_has_inputs,prev_form_count,prev_input_count,prev_has_debug_info,prev_has_error_messages,prev_technology_php,prev_technology_aspnet,prev_technology_wordpress,prev_security_headers_count,prev_response_size,days_since_last_scan,vuln_density,tool_effectiveness,security_risk_score,input_vulnerability_ratio,previous_scan_accuracy,total_issues,issue_density,has_idor
29,1,0,0,0,0,0,1,0,20,0,com,403,4,5453,1063.205,1,1,18,1,cloudflare,0,html,0,0,0,0,5,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0001833852924995,0.625,0.0,0,,multi_full_20260502_195223_0001,2026-05-02T19:52:26.706435,https://www.expediagroup.com/,https://www.expediagroup.com/,True,https://www.expediagroup.com/,https://www.expediagroup.com/,https://www.expediagroup.com/,recon_redirect_hop,2026-05-02T19:52:26.712044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,1,0,0,0,0,0,1,0,20,0,com,403,4,5453,1063.205,0,3,18,1,cloudflare,0,html,0,0,0,0,5,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0001833852924995,0.625,0.0,0,,multi_full_20260502_195223_0001,2026-05-02T19:52:26.767170,https://www.expediagroup.com/,https://www.expediagroup.com/,False,https://www.expediagroup.com/,https://www.expediagroup.com/,https://www.expediagroup.com/,recon_page,2026-05-02T19:52:26.770324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,1,0,0,0,0,0,1,0,20,0,com,200,2,70876,253.181,0,0,16,1,cloudflare,0,html,0,0,0,1,4,0,1,1,0,1,1,1,1,7,0,0,1,7,0,0,0,0,0,0,0,0,0,0,1,27,14,9,4,1,117,102,15,1,22,1,7,1,7,1,1,7,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,3,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,2,1,1,0,6,66,5,0,0,0,0,0,0,0,7.0,0.0003809470060387,0.5,0.1128731869744342,0,,multi_full_20260502_195223_0001,2026-05-02T19:54:26.295663,https://www.expediagroup.com/,https://www.expediagroup.com/,False,https://www.expediagroup.com/,https://www.expediagroup.com/,https://www.expediagroup.com/,recon_page,2026-05-02T19:54:26.300814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,1,3,0,0,0,0,1,0,20,0,com,200,2,79799,497.692,0,0,16,1,cloudflare,0,html,0,0,0,1,4,0,1,1,0,1,1,1,1,7,0,0,1,7,0,0,0,0,0,0,0,0,0,0,1,27,12,9,6,1,115,100,15,1,23,1,6,1,7,1,1,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,3,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,2,1,1,0,6,66,5,0,0,0,0,0,0,0,7.0,0.0003383501046379,0.5,0.1002518828556748,0,,multi_full_20260502_195223_0001,2026-05-02T19:54:43.790943,https://www.expediagroup.com/who-we-are/our-story/default.aspx,https://www.expediagroup.com/,False,https://www.expediagroup.com/who-we-are/our-story/default.aspx,https://www.expediagroup.com/,https://www.expediagroup.com/who-we-are/our-story/default.aspx,recon_page,2026-05-02T19:54:43.813771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,1,3,0,0,0,0,1,0,20,0,com,200,2,142402,443.362,0,0,16,1,cloudflare,0,html,0,0,0,1,4,0,1,1,0,1,1,1,1,7,0,0,1,7,0,0,0,0,1,21,0,0,0,0,1,25,12,9,4,1,123,105,18,1,49,1,6,1,7,1,1,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,3,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,2,1,1,0,6,72,5,0,0,0,0,0,0,0,7.0,0.0001755593320318,0.5,0.20364882515695,0,,multi_full_20260502_195223_0001,2026-05-02T19:54:44.108886,https://www.expediagroup.com/who-we-are/leadership/default.aspx,https://www.expediagroup.com/,False,https://www.expediagroup.com/who-we-are/leadership/default.aspx,https://www.expediagroup.com/,https://www.expediagroup.com/who-we-are/leadership/default.aspx,recon_page,2026-05-02T19:54:44.135556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,1,4,0,0,0,0,1,0,20,0,com,200,2,66449,610.235,0,0,16,1,cloudflare,0,html,0,0,0,1,4,0,1,1,0,1,1,1,1,7,0,0,1,7,0,0,0,0,0,0,0,0,0,0,1,26,13,9,4,1,115,100,15,1,9,1,6,1,7,1,1,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,3,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,2,1,1,0,6,64,5,0,0,0,0,0,0,0,7.0,0.0003912775211064,0.5,0.1203930834173576,0,,multi_full_20260502_195223_0001,2026-05-02T19:54:44.281305,https://www.expediagroup.com/investors/corporate-governance/governance-documents/default.aspx,https://www.expediagroup.com/,False,https://www.expediagroup.com/investors/corporate-governance/governance-documents/default.aspx,https://www.expediagroup.com/,https://www.expediagroup.com/investors/corporate-governance/governance-documents/default.aspx,recon_page,2026-05-02T19:54:44.290115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,1,4,0,0,0,0,1,0,20,0,com,200,2,66921,808.625,0,0,16,1,cloudflare,0,html,0,0,0,1,4,0,1,1,0,1,1,1,1,9,0,0,1,7,0,0,0,0,0,0,0,0,1,2,1,25,12,9,4,1,115,100,15,1,7,1,6,1,7,1,1,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,3,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,2,1,1,0,6,64,5,0,0,0,0,0,0,0,9.0,0.0003735748120918,0.5,0.1494299248367478,0,,multi_full_20260502_195223_0001,2026-05-02T19:54:44.425793,https://www.expediagroup.com/investors/financial-information/sec-filings/default.aspx,https://www.expediagroup.com/,False,https://www.expediagroup.com/investors/financial-information/sec-filings/default.aspx,https://www.expediagroup.com/,https://www.expediagroup.com/investors/financial-information/sec-filings/default.aspx,recon_page,2026-05-02T19:54:44.448157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,1,3,0,0,0,0,1,0,20,0,com,200,2,75193,825.067,0,0,16,1,cloudflare,0,html,0,0,0,1,4,0,1,1,0,1,1,1,1,7,0,0,1,7,0,0,0,0,0,0,0,0,0,0,1,31,14,9,8,1,115,100,15,1,7,1,6,1,7,1,1,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,3,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,2,1,1,0,6,68,5,0,0,0,0,0,0,0,7.0,0.0004122724189751,0.5,0.106392882316173,0,,multi_full_20260502_195223_0001,2026-05-02T19:54:44.597173,https://www.expediagroup.com/investors/stock-information/default.aspx,https://www.expediagroup.com/,False,https://www.expediagroup.com/investors/stock-information/default.aspx,https://www.expediagroup.com/,https://www.expediagroup.com/investors/stock-information/default.aspx,recon_page,2026-05-02T19:54:44.636990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,1,4,0,0,0,0,1,0,20,0,com,200,2,63847,808.255,0,0,16,1,cloudflare,0,html,0,0,0,1,4,0,1,1,0,1,1,1,1,7,0,0,1,7,0,0,0,0,0,0,0,0,0,0,1,26,12,9,5,1,115,100,15,1,7,1,6,1,7,1,1,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,3,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,2,1,1,0,6,65,5,0,0,0,0,0,0,0,7.0,0.0004072235187244,0.5,0.1252995442229079,0,,multi_full_20260502_195223_0001,2026-05-02T19:54:44.676021,https://www.expediagroup.com/investors/corporate-governance/committee-composition/default.aspx,https://www.expediagroup.com/,False,https://www.expediagroup.com/investors/corporate-governance/committee-composition/default.aspx,https://www.expediagroup.com/,https://www.expediagroup.com/investors/corporate-governance/committee-composition/default.aspx,recon_page,2026-05-02T19:54:44.683914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,1,2,0,0,0,0,1,0,20,0,com,200,2,67534,997.522,0,0,16,1,cloudflare,0,html,0,0,0,1,4,0,1,1,0,1,1,1,1,7,0,0,1,7,0,0,0,0,0,0,0,0,0,0,1,24,11,9,4,1,116,101,15,1,7,1,6,1,7,1,1,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,3,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,2,1,1,0,6,65,5,0,0,0,0,0,0,0,7.0,0.0003553765510705,0.5,0.1184588503568572,0,,multi_full_20260502_195223_0001,2026-05-02T19:54:45.032562,https://www.expediagroup.com/terms-of-use/default.aspx,https://www.expediagroup.com/,False,https://www.expediagroup.com/terms-of-use/default.aspx,https://www.expediagroup.com/,https://www.expediagroup.com/terms-of-use/default.aspx,recon_page,2026-05-02T19:54:45.108595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
