url_length,has_https,path_depth,has_query_params,num_query_params,has_fragment,has_port,subdomain_count,is_ip_address,domain_length,domain_has_hyphens,domain_tld,status_code,status_category,response_size,response_time_ms,is_redirect,redirect_chain_len,total_headers,server_header_present,server_header,x_powered_by_present,content_type,has_cookies,num_cookies,has_cors,cache_control,security_headers_count,has_csp,has_hsts,has_xss_protection,has_frame_options,has_content_type_options,has_forms,form_count,has_inputs,input_count,has_password_input,password_count,has_hidden_input,hidden_count,has_file_upload,file_upload_count,has_search_input,search_count,has_buttons,button_count,has_textarea,textarea_count,has_select,select_count,has_scripts,script_count,inline_script_count,internal_script_count,external_script_count,has_links,link_count,internal_link_count,external_link_count,has_images,image_count,has_meta_tags,meta_count,has_stylesheets,stylesheet_count,has_javascript,has_comments,comment_count,has_title,server_apache,server_nginx,server_iis,tech_php,tech_aspnet,tech_jsp,tech_wordpress,tech_drupal,tech_joomla,has_debug_info,has_error_messages,has_sql_errors,has_file_paths,has_waf,waf_cloudflare,waf_aws,waf_imperva,reflection_detected,csp_header_reflection_detected,has_jwt,jwt_count,has_api_keys,api_key_count,cookie_count,session_cookies,secure_cookie_ratio,httponly_cookie_ratio,samesite_cookie_ratio,redirect_count,has_redirect_chain,final_https,get_form_count,post_form_count,has_login_form,login_form_count,csrf_token_input_count,has_csrf_token,same_origin_form_count,external_form_count,unique_input_names,unique_endpoint_count,parameterized_link_count,api_like_endpoint_count,inline_event_handler_count,email_input_count,url_input_count,mailto_link_count,tel_link_count,body_truncated_for_analysis,input_to_form_ratio,script_to_content_ratio,security_score,interactivity_score,is_vulnerable,vulnerability_type,scan_id,timestamp,target_url,original_url,is_redirect_response,final_url,target_root,page_url,dataset_record_type,saved_at
25,1,1,0,0,0,0,1,0,14,0,com,403,4,5496,159.91,0,3,22,1,cloudflare,0,html,0,0,0,0,5,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0001819505094614265,0.625,0.0,0,,20260512_085041,2026-05-12T08:50:44.087796,https://www.flynas.com/en,https://www.flynas.com/en,False,https://www.flynas.com/en,https://www.flynas.com/en,https://www.flynas.com/en,recon_page,2026-05-12T08:50:44.090147
26,1,1,0,0,0,0,1,0,14,0,com,403,4,5563,167.845,0,0,22,1,cloudflare,0,html,0,0,0,0,5,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.00017975912277548085,0.625,0.0,0,,20260512_085041,2026-05-12T08:51:36.525750,https://www.flynas.com/en/,https://www.flynas.com/en/,False,https://www.flynas.com/en/,https://www.flynas.com/en/,https://www.flynas.com/en/,recon_page,2026-05-12T08:51:36.529081
147,1,1,1,1,0,0,1,0,14,0,com,403,4,4988,162.586,0,0,22,1,cloudflare,0,html,0,0,0,0,5,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.00020048115477145148,0.625,0.0,0,,20260512_085041,2026-05-12T08:51:38.051983,https://www.flynas.com/en/?__cf_chl_f_tk=vX5tBicdowIRUhXzzg0Wd87WbVgPFQ3y8WeS7H6fBGs-1778565092-1.0.1.1-koR2fChrhYwxcVLhHLqbS5veNZorsqvMhVtR_H77gio,https://www.flynas.com/en/,False,https://www.flynas.com/en/?__cf_chl_f_tk=vX5tBicdowIRUhXzzg0Wd87WbVgPFQ3y8WeS7H6fBGs-1778565092-1.0.1.1-koR2fChrhYwxcVLhHLqbS5veNZorsqvMhVtR_H77gio,https://www.flynas.com/en/,https://www.flynas.com/en/?__cf_chl_f_tk=vX5tBicdowIRUhXzzg0Wd87WbVgPFQ3y8WeS7H6fBGs-1778565092-1.0.1.1-koR2fChrhYwxcVLhHLqbS5veNZorsqvMhVtR_H77gio,recon_page,2026-05-12T08:51:38.056631
148,1,1,1,1,0,0,1,0,14,0,com,403,4,5712,165.02,0,0,22,1,cloudflare,0,html,0,0,0,0,5,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.00017507002801120448,0.625,0.0,0,,20260512_085041,2026-05-12T08:51:38.496911,https://www.flynas.com/en/?__cf_chl_rt_tk=vX5tBicdowIRUhXzzg0Wd87WbVgPFQ3y8WeS7H6fBGs-1778565092-1.0.1.1-koR2fChrhYwxcVLhHLqbS5veNZorsqvMhVtR_H77gio,https://www.flynas.com/en/,False,https://www.flynas.com/en/?__cf_chl_rt_tk=vX5tBicdowIRUhXzzg0Wd87WbVgPFQ3y8WeS7H6fBGs-1778565092-1.0.1.1-koR2fChrhYwxcVLhHLqbS5veNZorsqvMhVtR_H77gio,https://www.flynas.com/en/,https://www.flynas.com/en/?__cf_chl_rt_tk=vX5tBicdowIRUhXzzg0Wd87WbVgPFQ3y8WeS7H6fBGs-1778565092-1.0.1.1-koR2fChrhYwxcVLhHLqbS5veNZorsqvMhVtR_H77gio,recon_page,2026-05-12T08:51:38.564853
145,1,1,1,1,0,0,1,0,14,0,com,403,4,5712,173.267,0,0,22,1,cloudflare,0,html,0,0,0,0,5,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.00017507002801120448,0.625,0.0,0,,20260512_085041,2026-05-12T08:51:38.499333,https://www.flynas.com/en/?__cf_chl_tk=vX5tBicdowIRUhXzzg0Wd87WbVgPFQ3y8WeS7H6fBGs-1778565092-1.0.1.1-koR2fChrhYwxcVLhHLqbS5veNZorsqvMhVtR_H77gio,https://www.flynas.com/en/,False,https://www.flynas.com/en/?__cf_chl_tk=vX5tBicdowIRUhXzzg0Wd87WbVgPFQ3y8WeS7H6fBGs-1778565092-1.0.1.1-koR2fChrhYwxcVLhHLqbS5veNZorsqvMhVtR_H77gio,https://www.flynas.com/en/,https://www.flynas.com/en/?__cf_chl_tk=vX5tBicdowIRUhXzzg0Wd87WbVgPFQ3y8WeS7H6fBGs-1778565092-1.0.1.1-koR2fChrhYwxcVLhHLqbS5veNZorsqvMhVtR_H77gio,recon_page,2026-05-12T08:51:38.568922
145,1,1,1,1,0,0,1,0,14,0,com,403,4,5712,166.824,0,0,22,1,cloudflare,0,html,0,0,0,0,5,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.00017507002801120448,0.625,0.0,0,,20260512_085041,2026-05-12T08:51:42.204562,https://www.flynas.com/en/?__cf_chl_tk=xzooyyR.hK8kCE6DSfL80bngMH42s8i683F47d_alQQ-1778565094-1.0.1.1-v8OzJY6QB77xwuVS7hhBlwVXNdprfOklutelI0aR0Q8,https://www.flynas.com/en/,False,https://www.flynas.com/en/?__cf_chl_tk=xzooyyR.hK8kCE6DSfL80bngMH42s8i683F47d_alQQ-1778565094-1.0.1.1-v8OzJY6QB77xwuVS7hhBlwVXNdprfOklutelI0aR0Q8,https://www.flynas.com/en/,https://www.flynas.com/en/?__cf_chl_tk=xzooyyR.hK8kCE6DSfL80bngMH42s8i683F47d_alQQ-1778565094-1.0.1.1-v8OzJY6QB77xwuVS7hhBlwVXNdprfOklutelI0aR0Q8,recon_page,2026-05-12T08:51:42.215169
147,1,1,1,1,0,0,1,0,14,0,com,403,4,4988,158.453,0,0,22,1,cloudflare,0,html,0,0,0,0,5,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.00020048115477145148,0.625,0.0,0,,20260512_085041,2026-05-12T08:51:42.531085,https://www.flynas.com/en/?__cf_chl_f_tk=xzooyyR.hK8kCE6DSfL80bngMH42s8i683F47d_alQQ-1778565094-1.0.1.1-v8OzJY6QB77xwuVS7hhBlwVXNdprfOklutelI0aR0Q8,https://www.flynas.com/en/,False,https://www.flynas.com/en/?__cf_chl_f_tk=xzooyyR.hK8kCE6DSfL80bngMH42s8i683F47d_alQQ-1778565094-1.0.1.1-v8OzJY6QB77xwuVS7hhBlwVXNdprfOklutelI0aR0Q8,https://www.flynas.com/en/,https://www.flynas.com/en/?__cf_chl_f_tk=xzooyyR.hK8kCE6DSfL80bngMH42s8i683F47d_alQQ-1778565094-1.0.1.1-v8OzJY6QB77xwuVS7hhBlwVXNdprfOklutelI0aR0Q8,recon_page,2026-05-12T08:51:42.539839
145,1,1,1,1,0,0,1,0,14,0,com,403,4,5712,62.066,0,0,22,1,cloudflare,0,html,0,0,0,0,5,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.00017507002801120448,0.625,0.0,0,,20260512_085041,2026-05-12T08:51:42.536622,https://www.flynas.com/en/?__cf_chl_tk=yx7zTx5Isd5NmBTY2d2iaUcChN4jLqsoshxVQLAAefg-1778565094-1.0.1.1-K.Lcssqf_uuoApsdyIqrAlnjWlmDCAAmzbODg88bZMA,https://www.flynas.com/en/,False,https://www.flynas.com/en/?__cf_chl_tk=yx7zTx5Isd5NmBTY2d2iaUcChN4jLqsoshxVQLAAefg-1778565094-1.0.1.1-K.Lcssqf_uuoApsdyIqrAlnjWlmDCAAmzbODg88bZMA,https://www.flynas.com/en/,https://www.flynas.com/en/?__cf_chl_tk=yx7zTx5Isd5NmBTY2d2iaUcChN4jLqsoshxVQLAAefg-1778565094-1.0.1.1-K.Lcssqf_uuoApsdyIqrAlnjWlmDCAAmzbODg88bZMA,recon_page,2026-05-12T08:51:42.604527
148,1,1,1,1,0,0,1,0,14,0,com,403,4,5712,165.61200000000002,0,0,22,1,cloudflare,0,html,0,0,0,0,5,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.00017507002801120448,0.625,0.0,0,,20260512_085041,2026-05-12T08:51:43.227604,https://www.flynas.com/en/?__cf_chl_rt_tk=yx7zTx5Isd5NmBTY2d2iaUcChN4jLqsoshxVQLAAefg-1778565094-1.0.1.1-K.Lcssqf_uuoApsdyIqrAlnjWlmDCAAmzbODg88bZMA,https://www.flynas.com/en/,False,https://www.flynas.com/en/?__cf_chl_rt_tk=yx7zTx5Isd5NmBTY2d2iaUcChN4jLqsoshxVQLAAefg-1778565094-1.0.1.1-K.Lcssqf_uuoApsdyIqrAlnjWlmDCAAmzbODg88bZMA,https://www.flynas.com/en/,https://www.flynas.com/en/?__cf_chl_rt_tk=yx7zTx5Isd5NmBTY2d2iaUcChN4jLqsoshxVQLAAefg-1778565094-1.0.1.1-K.Lcssqf_uuoApsdyIqrAlnjWlmDCAAmzbODg88bZMA,recon_page,2026-05-12T08:51:43.243170
148,1,1,1,1,0,0,1,0,14,0,com,403,4,5712,1208.167,0,0,24,1,cloudflare,0,html,0,0,0,0,5,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.00017507002801120448,0.625,0.0,0,,20260512_085041,2026-05-12T08:51:43.648529,https://www.flynas.com/en/?__cf_chl_rt_tk=xzooyyR.hK8kCE6DSfL80bngMH42s8i683F47d_alQQ-1778565094-1.0.1.1-v8OzJY6QB77xwuVS7hhBlwVXNdprfOklutelI0aR0Q8,https://www.flynas.com/en/,False,https://www.flynas.com/en/?__cf_chl_rt_tk=xzooyyR.hK8kCE6DSfL80bngMH42s8i683F47d_alQQ-1778565094-1.0.1.1-v8OzJY6QB77xwuVS7hhBlwVXNdprfOklutelI0aR0Q8,https://www.flynas.com/en/,https://www.flynas.com/en/?__cf_chl_rt_tk=xzooyyR.hK8kCE6DSfL80bngMH42s8i683F47d_alQQ-1778565094-1.0.1.1-v8OzJY6QB77xwuVS7hhBlwVXNdprfOklutelI0aR0Q8,recon_page,2026-05-12T08:51:43.664166
