url_length,has_https,path_depth,has_query_params,num_query_params,has_fragment,has_port,subdomain_count,is_ip_address,domain_length,domain_has_hyphens,domain_tld,status_code,status_category,response_size,response_time_ms,is_redirect,redirect_chain_len,total_headers,server_header_present,server_header,x_powered_by_present,content_type,has_cookies,num_cookies,has_cors,cache_control,security_headers_count,has_csp,has_hsts,has_xss_protection,has_frame_options,has_content_type_options,has_forms,form_count,has_inputs,input_count,has_password_input,password_count,has_hidden_input,hidden_count,has_file_upload,file_upload_count,has_search_input,search_count,has_buttons,button_count,has_textarea,textarea_count,has_select,select_count,has_scripts,script_count,inline_script_count,internal_script_count,external_script_count,has_links,link_count,internal_link_count,external_link_count,has_images,image_count,has_meta_tags,meta_count,has_stylesheets,stylesheet_count,has_javascript,has_comments,comment_count,has_title,server_apache,server_nginx,server_iis,tech_php,tech_aspnet,tech_jsp,tech_wordpress,tech_drupal,tech_joomla,has_debug_info,has_error_messages,has_sql_errors,has_file_paths,has_waf,waf_cloudflare,waf_aws,waf_imperva,reflection_detected,csp_header_reflection_detected,has_jwt,jwt_count,has_api_keys,api_key_count,cookie_count,session_cookies,secure_cookie_ratio,httponly_cookie_ratio,samesite_cookie_ratio,redirect_count,has_redirect_chain,final_https,get_form_count,post_form_count,has_login_form,login_form_count,csrf_token_input_count,has_csrf_token,same_origin_form_count,external_form_count,unique_input_names,unique_endpoint_count,parameterized_link_count,api_like_endpoint_count,inline_event_handler_count,email_input_count,url_input_count,mailto_link_count,tel_link_count,body_truncated_for_analysis,input_to_form_ratio,script_to_content_ratio,security_score,interactivity_score,is_vulnerable,vulnerability_type,scan_id,timestamp,target_url,original_url,is_redirect_response,final_url,target_root,page_url,dataset_record_type,saved_at
31,1,0,0,0,0,0,1,0,22,0,com,200,2,173966,389.818,0,0,23,1,Vercel,1,html,0,0,0,1,7,1,1,0,1,1,1,2,1,22,0,0,1,9,0,0,0,0,1,17,0,0,1,2,1,59,34,25,0,1,130,121,9,1,42,1,13,1,1,1,1,22,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,2,1,2,0,0,2,0,17,113,37,0,0,2,0,0,0,0,11.0,0.0003391467298207696,0.875,0.23567823597714496,0,,multi_full_20260502_195405_0003,2026-05-02T19:54:20.753752,https://www.moderntreasury.com/,https://www.moderntreasury.com/,False,https://www.moderntreasury.com/,https://www.moderntreasury.com/,https://www.moderntreasury.com/,recon_page,2026-05-02T19:54:20.764303
63,1,2,0,0,0,0,1,0,22,0,com,200,2,280420,524.6610000000001,0,0,22,1,Vercel,1,html,0,0,0,1,7,1,1,0,1,1,1,2,1,18,0,0,1,10,0,0,0,0,1,21,0,0,0,0,1,75,50,25,0,1,112,100,12,1,14,1,13,1,1,1,1,22,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,2,1,2,0,0,2,0,12,93,7,0,0,2,0,0,0,0,9.0,0.0002674559589187647,0.875,0.14620925754225803,0,,multi_full_20260502_195405_0003,2026-05-02T19:54:46.120268,https://www.moderntreasury.com/ebooks/a-practical-guide-to-psp/,https://www.moderntreasury.com/,False,https://www.moderntreasury.com/ebooks/a-practical-guide-to-psp/,https://www.moderntreasury.com/,https://www.moderntreasury.com/ebooks/a-practical-guide-to-psp/,recon_page,2026-05-02T19:54:46.141861
54,1,2,0,0,0,0,1,0,22,0,com,200,2,168004,775.453,0,0,22,1,Vercel,1,html,0,0,0,1,7,1,1,0,1,1,1,2,1,22,0,0,1,9,0,0,0,0,1,20,0,0,1,2,1,59,34,25,0,1,92,83,9,1,1,1,10,1,1,1,1,22,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,2,1,2,0,0,2,0,17,80,4,0,0,2,0,0,0,0,11.0,0.0003511821147115545,0.875,0.2618985262255661,0,,multi_full_20260502_195405_0003,2026-05-02T19:54:48.446904,https://www.moderntreasury.com/solutions/sub-accounts/,https://www.moderntreasury.com/,False,https://www.moderntreasury.com/solutions/sub-accounts/,https://www.moderntreasury.com/,https://www.moderntreasury.com/solutions/sub-accounts/,recon_page,2026-05-02T19:54:48.471458
39,1,1,0,0,0,0,1,0,22,0,com,200,2,122901,989.962,0,0,22,1,Vercel,1,html,0,0,0,1,7,1,1,0,1,1,1,2,1,15,0,0,1,9,0,0,1,1,1,15,0,0,0,0,1,54,27,27,0,1,107,98,9,1,1,1,7,1,1,1,1,20,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,2,1,1,0,0,2,0,13,97,4,0,0,1,0,0,0,0,7.5,0.00043937803598017916,0.875,0.2603721694697358,0,,multi_full_20260502_195405_0003,2026-05-02T19:54:49.895190,https://www.moderntreasury.com/search\/,https://www.moderntreasury.com/,False,https://www.moderntreasury.com/search\/,https://www.moderntreasury.com/,https://www.moderntreasury.com/search\/,recon_page,2026-05-02T19:54:50.066489
38,1,1,0,0,0,0,1,0,22,0,com,200,2,122901,373.889,0,0,22,1,Vercel,1,html,0,0,0,1,7,1,1,0,1,1,1,2,1,15,0,0,1,9,0,0,1,1,1,15,0,0,0,0,1,54,27,27,0,1,107,98,9,1,1,1,7,1,1,1,1,20,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,2,1,1,0,0,2,0,13,97,4,0,0,1,0,0,0,0,7.5,0.00043937803598017916,0.875,0.2603721694697358,0,,multi_full_20260502_195405_0003,2026-05-02T19:54:50.137287,https://www.moderntreasury.com/search/,https://www.moderntreasury.com/,False,https://www.moderntreasury.com/search/,https://www.moderntreasury.com/,https://www.moderntreasury.com/search/,recon_page,2026-05-02T19:54:50.193161
54,1,2,0,0,0,0,1,0,22,0,com,200,2,180462,499.858,0,0,22,1,Vercel,1,html,0,0,0,1,7,1,1,0,1,1,1,1,1,9,0,0,1,5,0,0,0,0,1,18,0,0,0,0,1,58,34,24,0,1,104,93,11,1,13,1,13,1,1,1,1,23,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1,1,1,0,0,1,0,9,83,4,0,0,1,0,0,0,0,9.0,0.0003213973024791923,0.875,0.15515731843823077,0,,multi_full_20260502_195405_0003,2026-05-02T19:54:50.724766,https://www.moderntreasury.com/customers/masterworks\/,https://www.moderntreasury.com/,False,https://www.moderntreasury.com/customers/masterworks\/,https://www.moderntreasury.com/,https://www.moderntreasury.com/customers/masterworks\/,recon_page,2026-05-02T19:54:50.744455
50,1,2,0,0,0,0,1,0,22,0,com,200,2,171168,901.18,0,0,22,1,Vercel,1,html,0,0,0,1,7,1,1,0,1,1,1,1,1,9,0,0,1,5,0,0,0,0,1,14,0,0,0,0,1,58,34,24,0,1,104,95,9,1,6,1,13,1,1,1,1,21,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1,1,1,0,0,1,0,9,82,4,0,0,1,0,0,0,0,9.0,0.0003388483828753038,0.875,0.14021312394840157,0,,multi_full_20260502_195405_0003,2026-05-02T19:54:51.825163,https://www.moderntreasury.com/customers/procore\/,https://www.moderntreasury.com/,False,https://www.moderntreasury.com/customers/procore\/,https://www.moderntreasury.com/,https://www.moderntreasury.com/customers/procore\/,recon_page,2026-05-02T19:54:51.851071
48,1,2,0,0,0,0,1,0,22,0,com,200,2,159910,385.377,0,0,22,1,Vercel,1,html,0,0,0,1,7,1,1,0,1,1,1,1,1,9,0,0,1,5,0,0,0,0,1,14,0,0,0,0,1,56,32,24,0,1,105,95,10,1,7,1,13,1,1,1,1,23,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1,1,1,0,0,1,0,9,85,4,0,0,1,0,0,0,0,9.0,0.00035019698580451505,0.875,0.1500844224876493,0,,multi_full_20260502_195405_0003,2026-05-02T19:54:52.659916,https://www.moderntreasury.com/customers/navan\/,https://www.moderntreasury.com/,False,https://www.moderntreasury.com/customers/navan\/,https://www.moderntreasury.com/,https://www.moderntreasury.com/customers/navan\/,recon_page,2026-05-02T19:54:52.689762
40,1,1,0,0,0,0,1,0,22,0,com,404,4,46591,1305.8410000000001,0,0,20,1,Vercel,1,html,0,0,0,1,7,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,33,21,12,0,1,3,3,0,0,0,1,10,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,0,0,0,0,0,0,0,0.0,0.0007082913008950227,0.875,0.0,0,,multi_full_20260502_195405_0003,2026-05-02T19:54:53.004659,https://www.moderntreasury.com/journal\/,https://www.moderntreasury.com/,False,https://www.moderntreasury.com/journal\/,https://www.moderntreasury.com/,https://www.moderntreasury.com/journal\/,recon_page,2026-05-02T19:54:53.012300
49,1,2,0,0,0,0,1,0,22,0,com,200,2,208774,730.556,0,0,22,1,Vercel,1,html,0,0,0,1,7,1,1,0,1,1,1,2,1,22,0,0,1,9,0,0,0,0,1,17,0,0,1,2,1,65,40,25,0,1,126,117,9,1,44,1,13,1,1,1,1,24,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,2,1,2,0,0,2,0,17,113,37,0,0,2,0,0,0,0,11.0,0.00031134145056376753,0.875,0.19638460727868412,0,,multi_full_20260502_195405_0003,2026-05-02T19:54:53.509731,https://www.moderntreasury.com/products/payments/,https://www.moderntreasury.com/,False,https://www.moderntreasury.com/products/payments/,https://www.moderntreasury.com/,https://www.moderntreasury.com/products/payments/,recon_page,2026-05-02T19:54:53.534299
66,1,2,0,0,0,0,1,0,22,0,com,200,2,161809,841.125,0,0,22,1,Vercel,1,html,0,0,0,1,7,1,1,0,1,1,1,2,1,22,0,0,1,9,0,0,0,0,1,20,0,0,1,2,1,59,34,25,0,1,92,83,9,1,1,1,10,1,1,1,1,22,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,2,1,2,0,0,2,0,17,80,4,0,0,2,0,0,0,0,11.0,0.00036462743110704597,0.875,0.27192554184254275,0,,multi_full_20260502_195405_0003,2026-05-02T19:54:53.684838,https://www.moderntreasury.com/solutions/stablecoin-orchestration/,https://www.moderntreasury.com/,False,https://www.moderntreasury.com/solutions/stablecoin-orchestration/,https://www.moderntreasury.com/,https://www.moderntreasury.com/solutions/stablecoin-orchestration/,recon_page,2026-05-02T19:54:53.691259
57,1,2,0,0,0,0,1,0,22,0,com,200,2,135064,468.381,0,0,22,1,Vercel,1,html,0,0,0,1,7,1,1,0,1,1,1,2,1,23,0,0,1,9,0,0,0,0,1,19,0,0,1,3,1,52,28,24,0,1,93,84,9,1,1,1,10,1,1,1,1,22,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,2,1,2,0,0,2,0,17,80,5,0,0,2,0,0,0,0,11.5,0.00038500266540306816,0.875,0.3257714861102885,0,,multi_full_20260502_195405_0003,2026-05-02T19:54:53.980036,https://www.moderntreasury.com/solutions/digital-wallets/,https://www.moderntreasury.com/,False,https://www.moderntreasury.com/solutions/digital-wallets/,https://www.moderntreasury.com/,https://www.moderntreasury.com/solutions/digital-wallets/,recon_page,2026-05-02T19:54:53.994920
50,1,2,0,0,0,0,1,0,22,0,com,200,2,134630,778.2869999999999,0,0,22,1,Vercel,1,html,0,0,0,1,7,1,1,0,1,1,1,2,1,23,0,0,1,9,0,0,0,0,1,19,0,0,1,3,1,52,28,24,0,1,93,84,9,1,1,1,10,1,1,1,1,22,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,2,1,2,0,0,2,0,17,80,5,0,0,2,0,0,0,0,11.5,0.00038624377924682465,0.875,0.3268216593626978,0,,multi_full_20260502_195405_0003,2026-05-02T19:54:54.936663,https://www.moderntreasury.com/solutions/lending\/,https://www.moderntreasury.com/,False,https://www.moderntreasury.com/solutions/lending\/,https://www.moderntreasury.com/,https://www.moderntreasury.com/solutions/lending\/,recon_page,2026-05-02T19:54:54.945810
