url_length,has_https,path_depth,has_query_params,num_query_params,has_fragment,has_port,subdomain_count,is_ip_address,domain_length,domain_has_hyphens,domain_tld,status_code,status_category,response_size,response_time_ms,is_redirect,redirect_chain_len,total_headers,server_header_present,server_header,x_powered_by_present,content_type,has_cookies,num_cookies,has_cors,cache_control,security_headers_count,has_csp,has_hsts,has_xss_protection,has_frame_options,has_content_type_options,has_forms,form_count,has_inputs,input_count,has_password_input,password_count,has_hidden_input,hidden_count,has_file_upload,file_upload_count,has_search_input,search_count,has_buttons,button_count,has_textarea,textarea_count,has_select,select_count,has_scripts,script_count,inline_script_count,internal_script_count,external_script_count,has_links,link_count,internal_link_count,external_link_count,has_images,image_count,has_meta_tags,meta_count,has_stylesheets,stylesheet_count,has_javascript,has_comments,comment_count,has_title,server_apache,server_nginx,server_iis,tech_php,tech_aspnet,tech_jsp,tech_wordpress,tech_drupal,tech_joomla,has_debug_info,has_error_messages,has_sql_errors,has_file_paths,has_waf,waf_cloudflare,waf_aws,waf_imperva,reflection_detected,csp_header_reflection_detected,has_jwt,jwt_count,has_api_keys,api_key_count,cookie_count,session_cookies,secure_cookie_ratio,httponly_cookie_ratio,samesite_cookie_ratio,redirect_count,has_redirect_chain,final_https,get_form_count,post_form_count,has_login_form,login_form_count,csrf_token_input_count,has_csrf_token,same_origin_form_count,external_form_count,unique_input_names,unique_endpoint_count,parameterized_link_count,api_like_endpoint_count,inline_event_handler_count,email_input_count,url_input_count,mailto_link_count,tel_link_count,body_truncated_for_analysis,input_to_form_ratio,script_to_content_ratio,security_score,interactivity_score,is_vulnerable,vulnerability_type,scan_id,timestamp,target_url,original_url,is_redirect_response,final_url,target_root,page_url,dataset_record_type,saved_at,url,domain,total_vulnerabilities,has_sql_injection,has_xss,has_command_injection,has_path_traversal,has_file_inclusion,vulnerability_score,critical_vuln_count,high_vuln_count,sqlmap_vulns_found,dalfox_vulns_found,commix_vulns_found,tools_used_count,sqlmap_confidence_avg,dalfox_confidence_avg,commix_confidence_avg,used_previous_scan,previous_scan_indicators,scan_hour,scan_day_of_week,prev_has_forms,prev_has_inputs,prev_form_count,prev_input_count,prev_has_debug_info,prev_has_error_messages,prev_technology_php,prev_technology_aspnet,prev_technology_wordpress,prev_security_headers_count,prev_response_size,days_since_last_scan,vuln_density,tool_effectiveness,security_risk_score,input_vulnerability_ratio,previous_scan_accuracy,total_issues,issue_density,has_idor
24,1,0,0,0,0,0,1,0,15,0,com,200,2,411577,502.062,0,0,20,1,cloudflare,0,html,1,2,1,1,2,0,1,0,0,0,1,2,1,5,0,0,0,0,0,0,0,0,1,17,0,0,1,1,1,37,7,29,1,1,92,84,8,1,44,1,19,1,3,1,1,6,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1.0,1.0,1.0,0,0,0,2,0,1,2,0,0,2,0,3,110,0,1,0,0,0,0,0,0,2.5,8.989812355889663e-05,0.25,0.0583122963625275,0,,multi_full_20260502_195132_0001,2026-05-02T19:51:48.406669,https://www.moonpay.com/,https://www.moonpay.com/,False,https://www.moonpay.com/,https://www.moonpay.com/,https://www.moonpay.com/,recon_page,2026-05-02T19:51:48.410185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,1,2,0,0,0,0,1,0,15,0,com,200,2,351221,363.025,0,0,18,1,cloudflare,1,html,0,0,0,1,2,0,1,0,0,0,1,2,1,5,0,0,0,0,0,0,0,0,1,23,0,0,1,1,1,41,7,33,1,1,101,95,6,1,33,1,19,1,4,1,1,5,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,2,0,0,0.0,0.0,0.0,0,0,0,2,0,1,2,0,0,2,0,3,120,0,1,0,0,0,0,0,0,2.5,0.000116735616606,0.25,0.0854163048337086,0,,multi_full_20260502_195132_0001,2026-05-02T19:51:52.050710,https://www.moonpay.com/buy/doge/,https://www.moonpay.com/,False,https://www.moonpay.com/buy/doge/,https://www.moonpay.com/,https://www.moonpay.com/buy/doge/,recon_page,2026-05-02T19:51:52.062551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,1,1,0,0,0,0,1,0,15,0,com,200,2,172302,231.802,0,0,18,1,cloudflare,1,html,0,0,0,1,2,0,1,0,0,0,1,2,1,5,0,0,0,0,0,0,0,0,1,26,0,0,1,1,1,25,7,17,1,1,94,89,5,1,12,1,8,1,3,1,1,3,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0,0,0,2,0,1,2,0,0,2,0,3,99,0,1,0,0,0,0,0,0,2.5,0.0001450940790008,0.25,0.1915241842810878,0,,multi_full_20260502_195132_0001,2026-05-02T19:51:52.287363,https://www.moonpay.com/newsroom/,https://www.moonpay.com/,False,https://www.moonpay.com/newsroom/,https://www.moonpay.com/,https://www.moonpay.com/newsroom/,recon_page,2026-05-02T19:51:52.300189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,1,2,0,0,0,0,1,0,15,0,com,200,2,338859,221.195,0,0,18,1,cloudflare,1,html,0,0,0,1,2,0,1,0,0,0,1,2,1,5,0,0,0,0,0,0,0,0,1,26,0,0,1,1,1,41,7,33,1,1,104,97,7,1,36,1,19,1,5,1,1,8,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0,0,0,2,0,1,2,0,0,2,0,3,121,0,1,0,0,0,0,0,0,2.5,0.0001209942778559,0.25,0.0973856382743264,0,,multi_full_20260502_195132_0001,2026-05-02T19:51:52.297222,https://www.moonpay.com/swap/sol/,https://www.moonpay.com/,False,https://www.moonpay.com/swap/sol/,https://www.moonpay.com/,https://www.moonpay.com/swap/sol/,recon_page,2026-05-02T19:51:52.313816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,1,2,0,0,0,0,1,0,15,0,com,200,2,375020,150.928,0,0,17,1,cloudflare,1,html,0,0,0,1,2,0,1,0,0,0,1,2,1,6,0,0,0,0,0,0,0,0,1,47,0,0,1,2,1,38,7,30,1,1,150,135,15,1,13,1,19,1,4,1,1,17,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0,0,0,2,0,1,2,0,0,2,0,3,139,0,1,0,0,0,0,0,0,3.0,0.0001013279291771,0.25,0.1466588448616073,0,,multi_full_20260502_195132_0001,2026-05-02T19:51:52.484772,https://www.moonpay.com/price/ethereum/,https://www.moonpay.com/,False,https://www.moonpay.com/price/ethereum/,https://www.moonpay.com/,https://www.moonpay.com/price/ethereum/,recon_page,2026-05-02T19:51:52.498083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,1,1,0,0,0,0,1,0,15,0,com,200,2,245701,336.047,0,0,18,1,cloudflare,1,html,0,0,0,1,2,0,1,0,0,0,1,2,1,5,0,0,0,0,0,0,0,0,1,15,0,0,1,1,1,23,7,15,1,1,90,84,6,1,17,1,7,1,3,1,1,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0,0,0,2,0,1,2,0,0,2,0,3,97,0,1,0,0,0,0,0,0,2.5,9.360971261818228e-05,0.25,0.0895397251130439,0,,multi_full_20260502_195132_0001,2026-05-02T19:51:52.574915,https://www.moonpay.com/security/,https://www.moonpay.com/,False,https://www.moonpay.com/security/,https://www.moonpay.com/,https://www.moonpay.com/security/,recon_page,2026-05-02T19:51:52.590571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,1,1,0,0,0,0,1,0,15,0,com,200,2,288484,258.056,0,0,18,1,cloudflare,1,html,0,0,0,1,2,0,1,0,0,0,1,4,1,7,0,0,0,0,0,0,0,0,1,12,0,0,1,1,1,41,7,33,1,1,94,87,7,1,88,1,19,1,4,1,1,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0,0,0,4,0,1,4,0,0,4,0,3,117,0,1,0,2,0,0,0,0,1.75,0.0001421222667461,0.25,0.0797271252478473,0,,multi_full_20260502_195132_0001,2026-05-02T19:51:52.748140,https://www.moonpay.com/business/,https://www.moonpay.com/,False,https://www.moonpay.com/business/,https://www.moonpay.com/,https://www.moonpay.com/business/,recon_page,2026-05-02T19:51:52.758598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,1,2,0,0,0,0,1,0,15,0,com,200,2,320543,341.93800000000005,0,0,18,1,cloudflare,1,html,0,0,0,1,2,0,1,0,0,0,1,2,1,5,0,0,0,0,0,0,0,0,1,23,0,0,1,1,1,41,7,33,1,1,100,94,6,1,24,1,19,1,5,1,1,5,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,2,0,0,0.0,0.0,0.0,0,0,0,2,0,1,2,0,0,2,0,3,119,0,1,0,0,0,0,0,0,2.5,0.0001279079561868,0.25,0.0935911874537893,0,,multi_full_20260502_195132_0001,2026-05-02T19:51:52.899480,https://www.moonpay.com/sell/avax/,https://www.moonpay.com/,False,https://www.moonpay.com/sell/avax/,https://www.moonpay.com/,https://www.moonpay.com/sell/avax/,recon_page,2026-05-02T19:51:52.936292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,1,1,0,0,0,0,1,0,15,0,com,404,4,5311,256.634,0,0,20,1,cloudflare,1,html,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,6,5,0,1,1,1,0,0,0,1,3,0,0,1,1,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0.0,0.0020711730370928,0.25,0.0,0,,multi_full_20260502_195132_0001,2026-05-02T19:51:52.962387,https://www.moonpay.com/favicon--purple-16x16.png,https://www.moonpay.com/,False,https://www.moonpay.com/favicon--purple-16x16.png,https://www.moonpay.com/,https://www.moonpay.com/favicon--purple-16x16.png,recon_page,2026-05-02T19:51:53.052264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,1,2,0,0,0,0,1,0,15,0,com,200,2,339117,350.841,0,0,18,1,cloudflare,1,html,0,0,0,1,2,0,1,0,0,0,1,2,1,5,0,0,0,0,0,0,0,0,1,26,0,0,1,1,1,41,7,33,1,1,104,97,7,1,36,1,19,1,5,1,1,8,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0,0,0,2,0,1,2,0,0,2,0,3,120,0,1,0,0,0,0,0,0,2.5,0.0001209022254855,0.25,0.0973115473420677,0,,multi_full_20260502_195132_0001,2026-05-02T19:51:53.060574,https://www.moonpay.com/swap/link/,https://www.moonpay.com/,False,https://www.moonpay.com/swap/link/,https://www.moonpay.com/,https://www.moonpay.com/swap/link/,recon_page,2026-05-02T19:51:53.152446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
