url_length,has_https,path_depth,has_query_params,num_query_params,has_fragment,has_port,subdomain_count,is_ip_address,domain_length,domain_has_hyphens,domain_tld,status_code,status_category,response_size,response_time_ms,is_redirect,redirect_chain_len,total_headers,server_header_present,server_header,x_powered_by_present,content_type,has_cookies,num_cookies,has_cors,cache_control,security_headers_count,has_csp,has_hsts,has_xss_protection,has_frame_options,has_content_type_options,has_forms,form_count,has_inputs,input_count,has_password_input,password_count,has_hidden_input,hidden_count,has_file_upload,file_upload_count,has_search_input,search_count,has_buttons,button_count,has_textarea,textarea_count,has_select,select_count,has_scripts,script_count,inline_script_count,internal_script_count,external_script_count,has_links,link_count,internal_link_count,external_link_count,has_images,image_count,has_meta_tags,meta_count,has_stylesheets,stylesheet_count,has_javascript,has_comments,comment_count,has_title,server_apache,server_nginx,server_iis,tech_php,tech_aspnet,tech_jsp,tech_wordpress,tech_drupal,tech_joomla,has_debug_info,has_error_messages,has_sql_errors,has_file_paths,has_waf,waf_cloudflare,waf_aws,waf_imperva,reflection_detected,csp_header_reflection_detected,has_jwt,jwt_count,has_api_keys,api_key_count,cookie_count,session_cookies,secure_cookie_ratio,httponly_cookie_ratio,samesite_cookie_ratio,redirect_count,has_redirect_chain,final_https,get_form_count,post_form_count,has_login_form,login_form_count,csrf_token_input_count,has_csrf_token,same_origin_form_count,external_form_count,unique_input_names,unique_endpoint_count,parameterized_link_count,api_like_endpoint_count,inline_event_handler_count,email_input_count,url_input_count,mailto_link_count,tel_link_count,body_truncated_for_analysis,input_to_form_ratio,script_to_content_ratio,security_score,interactivity_score,is_vulnerable,vulnerability_type,scan_id,timestamp,target_url,original_url,is_redirect_response,final_url,target_root,page_url,dataset_record_type,saved_at
22,0,0,0,0,0,0,1,0,14,0,com,301,3,0,781.0279999999999,1,1,18,1,nginx,0,html,0,0,0,0,4,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.0,0,,multi_full_20260502_195038_0001,2026-05-02T19:50:41.004860,http://www.sidefx.com/,http://www.sidefx.com/,True,http://www.sidefx.com/,http://www.sidefx.com/,http://www.sidefx.com/,recon_redirect_hop,2026-05-02T19:50:41.013591
23,1,0,0,0,0,0,1,0,14,0,com,200,2,68922,871.275,1,2,20,1,nginx,0,html,1,1,0,0,5,0,1,1,1,1,1,3,1,9,1,1,1,3,0,0,1,1,1,5,0,0,1,1,1,25,8,14,3,1,175,162,13,1,7,1,7,1,6,1,1,8,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1.0,1.0,1.0,1,1,0,1,2,1,1,2,1,3,0,6,170,5,0,0,0,0,0,0,0,3.0,0.00036272888192449436,0.625,0.24665563970865617,0,,multi_full_20260502_195038_0001,2026-05-02T19:50:42.146736,https://www.sidefx.com/,http://www.sidefx.com/,True,https://www.sidefx.com/,http://www.sidefx.com/,https://www.sidefx.com/,recon_redirect_hop,2026-05-02T19:50:42.149070
23,1,0,0,0,0,0,1,0,14,0,com,200,2,68922,871.275,0,4,20,1,nginx,0,html,1,1,0,0,5,0,1,1,1,1,1,3,1,9,1,1,1,3,0,0,1,1,1,5,0,0,1,1,1,25,8,14,3,1,175,162,13,1,7,1,7,1,6,1,1,8,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1.0,1.0,1.0,3,1,1,1,2,1,1,2,1,3,0,6,170,5,0,0,0,0,0,0,0,3.0,0.00036272888192449436,0.625,0.24665563970865617,0,,multi_full_20260502_195038_0001,2026-05-02T19:50:42.231529,https://www.sidefx.com/,http://www.sidefx.com/,False,https://www.sidefx.com/,http://www.sidefx.com/,https://www.sidefx.com/,recon_page,2026-05-02T19:50:42.234170
23,1,0,0,0,0,0,1,0,14,0,com,200,2,68922,943.391,0,0,21,1,nginx,0,html,1,1,0,0,5,0,1,1,1,1,1,3,1,9,1,1,1,3,0,0,1,1,1,5,0,0,1,1,1,25,8,14,3,1,175,162,13,1,7,1,7,1,6,1,1,8,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,0,0,0,1,2,1,1,2,1,3,0,6,170,5,0,0,0,0,0,0,0,3.0,0.00036272888192449436,0.625,0.24665563970865617,0,,multi_full_20260502_195038_0001,2026-05-02T19:51:40.817775,https://www.sidefx.com/,https://www.sidefx.com/,False,https://www.sidefx.com/,https://www.sidefx.com/,https://www.sidefx.com/,recon_page,2026-05-02T19:51:40.820582
37,1,2,0,0,0,0,1,0,14,0,com,200,2,40012,292.631,0,0,20,1,nginx,0,html,1,1,0,0,5,0,1,1,1,1,1,3,1,9,1,1,1,3,0,0,1,1,1,5,0,0,1,1,1,17,8,7,2,1,134,119,15,1,21,1,7,1,3,1,1,7,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,0,0,0,1,2,1,1,2,1,3,0,6,115,6,0,3,0,0,1,0,0,3.0,0.0004248725382385284,0.625,0.42487253823852844,0,,multi_full_20260502_195038_0001,2026-05-02T19:51:42.806456,https://www.sidefx.com/company/press/,https://www.sidefx.com/,False,https://www.sidefx.com/company/press/,https://www.sidefx.com/,https://www.sidefx.com/company/press/,recon_page,2026-05-02T19:51:42.809866
49,1,2,0,0,0,0,1,0,14,0,com,200,2,45929,842.644,0,0,20,1,nginx,0,html,1,1,0,0,5,0,1,1,1,1,1,3,1,9,1,1,1,3,0,0,1,1,1,5,0,0,1,1,1,20,8,10,2,1,138,126,12,1,9,1,7,1,7,1,1,14,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,0,0,0,1,2,1,1,2,1,3,0,6,125,5,0,0,0,0,0,0,0,3.0,0.0004354547235951142,0.625,0.37013651505584705,0,,multi_full_20260502_195038_0001,2026-05-02T19:51:44.132773,https://www.sidefx.com/products/whats-new-in-h21/,https://www.sidefx.com/,False,https://www.sidefx.com/products/whats-new-in-h21/,https://www.sidefx.com/,https://www.sidefx.com/products/whats-new-in-h21/,recon_page,2026-05-02T19:51:44.139054
65,1,3,0,0,0,0,1,0,14,0,com,200,2,31158,846.23,0,0,21,1,nginx,0,html,1,1,0,0,5,0,1,1,1,1,1,3,1,9,1,1,1,3,0,0,1,1,1,5,0,0,1,1,1,16,8,6,2,1,107,97,10,1,6,1,7,1,2,1,1,7,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,0,0,0,1,2,1,1,2,1,3,0,6,105,3,0,0,0,0,0,0,0,3.0,0.0005135117786764234,0.625,0.5456062648436998,0,,multi_full_20260502_195038_0001,2026-05-02T19:51:44.214064,https://www.sidefx.com/learn/talks/familiar-obsessions-new-forms/,https://www.sidefx.com/,False,https://www.sidefx.com/learn/talks/familiar-obsessions-new-forms/,https://www.sidefx.com/,https://www.sidefx.com/learn/talks/familiar-obsessions-new-forms/,recon_page,2026-05-02T19:51:44.221238
47,1,2,0,0,0,0,1,0,14,0,com,200,2,40729,832.866,0,0,20,1,nginx,0,html,1,1,0,0,5,0,1,1,1,1,1,3,1,9,1,1,1,3,0,0,1,1,1,5,0,0,1,1,1,17,7,8,2,1,119,109,10,1,14,1,7,1,5,1,1,13,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,0,0,0,1,2,1,1,2,1,3,0,6,114,3,0,0,0,0,0,0,0,3.0,0.0004173930123499227,0.625,0.41739301234992265,0,,multi_full_20260502_195038_0001,2026-05-02T19:51:44.274567,https://www.sidefx.com/products/houdini-engine/,https://www.sidefx.com/,False,https://www.sidefx.com/products/houdini-engine/,https://www.sidefx.com/,https://www.sidefx.com/products/houdini-engine/,recon_page,2026-05-02T19:51:44.368290
50,1,3,0,0,0,0,1,0,14,0,com,200,2,31208,763.633,0,0,21,1,nginx,0,html,1,1,0,0,5,0,1,1,1,1,1,3,1,9,1,1,1,3,0,0,1,1,1,5,0,0,1,1,1,16,8,6,2,1,107,97,10,1,6,1,7,1,2,1,1,7,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,0,0,0,1,2,1,1,2,1,3,0,6,105,3,0,0,0,0,0,0,0,3.0,0.0005126890540886952,0.625,0.5447321199692386,0,,multi_full_20260502_195038_0001,2026-05-02T19:51:44.367860,https://www.sidefx.com/learn/talks/designed-chaos/,https://www.sidefx.com/,False,https://www.sidefx.com/learn/talks/designed-chaos/,https://www.sidefx.com/,https://www.sidefx.com/learn/talks/designed-chaos/,recon_page,2026-05-02T19:51:44.393497
51,1,2,0,0,0,0,1,0,14,0,com,200,2,50768,840.3159999999999,0,0,20,1,nginx,0,html,1,1,0,0,5,0,1,1,1,1,1,3,1,9,1,1,1,3,0,0,1,1,1,5,0,0,1,1,1,20,8,10,2,1,120,105,15,1,7,1,7,1,8,1,1,13,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,0,0,0,1,2,1,1,2,1,3,0,6,121,3,0,0,0,0,0,0,0,3.0,0.0003939489442168295,0.625,0.33485660258430505,0,,multi_full_20260502_195038_0001,2026-05-02T19:51:44.320801,https://www.sidefx.com/Support/system-requirements/,https://www.sidefx.com/,False,https://www.sidefx.com/Support/system-requirements/,https://www.sidefx.com/,https://www.sidefx.com/Support/system-requirements/,recon_page,2026-05-02T19:51:44.392274
