scan_id,trace_id,parent_trace_id,source_module,target_root,page_url_text,route_template_text,method_text,path_tokens_text,query_string_raw,query_keys_text,query_shapes_text,request_body_text,input_names_text,file_extension_text,cookie_names_text,request_header_raw_ordered_text,request_header_canonical_text,request_header_semantic_text,request_origin_relation_text,request_fetch_metadata_text,request_auth_scheme_text,request_header_count,custom_header_count,duplicate_header_count,suspicious_override_header_present,header_anomaly_score,label_is_valuable_target,label_source
20260504_204711,f6717f4a19264aeb9963f10cc819c2b6,,recon.track_redirects,https://0a1a008e04c059e680d94ec3004800fa.web-security-academy.net,,,,,,,,,,,session,"host: <token>.web-security-academy.net
accept: */*
accept-encoding: gzip, deflate, br, zstd
connection: keep-alive
user-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/141.0.0.0 Safari/537.36
cookie: session=<masked>","accept-encoding: gzip, deflate, br, zstd
accept: */*
connection: keep-alive
cookie: session=<masked>
host: <token>.web-security-academy.net
user-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/141.0.0.0 Safari/537.36",cookie_name_session request_override_header_present,missing,,,6,0,0,1,0.5,1,passive_trace
20260504_204711,76b017f236a44d2184c6e97672b34ffc,f6717f4a19264aeb9963f10cc819c2b6,recon.response_analysis,https://0a1a008e04c059e680d94ec3004800fa.web-security-academy.net,,,,,,,,,,,session,"user-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/141.0.0.0 Safari/537.36
cookie: session=<masked>","cookie: session=<masked>
user-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/141.0.0.0 Safari/537.36",cookie_name_session,missing,,,2,0,0,0,0.0,0,response_analysis
20260504_204711,3623df1551dd4a12aff4db95aaa31a22,,path_analyze.page.depth_0,https://0a1a008e04c059e680d94ec3004800fa.web-security-academy.net,,,,,,,,,,,session,"user-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36
accept-encoding: gzip, deflate, br
accept: */*
connection: keep-alive
cookie: session=<masked>","accept-encoding: gzip, deflate, br
accept: */*
connection: keep-alive
cookie: session=<masked>
user-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",cookie_name_session,missing,,,5,0,0,0,0.0,0,path_crawl_page
20260504_204711,f8720659052a44e98d6c39537069cf9b,3623df1551dd4a12aff4db95aaa31a22,path_analyze.page.depth_1,https://0a1a008e04c059e680d94ec3004800fa.web-security-academy.net,,,,product,productId=16,productId,productId:numeric,,,,session,"user-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36
accept-encoding: gzip, deflate, br
accept: */*
connection: keep-alive
cookie: session=<masked>","accept-encoding: gzip, deflate, br
accept: */*
connection: keep-alive
cookie: session=<masked>
user-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",cookie_name_session,missing,,,5,0,0,0,0.0,0,path_crawl_page
20260504_204711,7ceabd954d5e453b879c11b6f9dc3c0f,3623df1551dd4a12aff4db95aaa31a22,path_analyze.page.depth_1,https://0a1a008e04c059e680d94ec3004800fa.web-security-academy.net,,,,product,productId=10,productId,productId:numeric,,,,session,"user-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36
accept-encoding: gzip, deflate, br
accept: */*
connection: keep-alive
cookie: session=<masked>","accept-encoding: gzip, deflate, br
accept: */*
connection: keep-alive
cookie: session=<masked>
user-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",cookie_name_session,missing,,,5,0,0,0,0.0,0,path_crawl_page
20260504_204711,1351c5d02dd5475e9537ae081140e05a,3623df1551dd4a12aff4db95aaa31a22,path_analyze.page.depth_1,https://0a1a008e04c059e680d94ec3004800fa.web-security-academy.net,,,,filter,category=Tech+gifts,category,category:short_text,,,,session,"user-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36
accept-encoding: gzip, deflate, br
accept: */*
connection: keep-alive
cookie: session=<masked>","accept-encoding: gzip, deflate, br
accept: */*
connection: keep-alive
cookie: session=<masked>
user-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",cookie_name_session,missing,,,5,0,0,0,0.0,0,path_crawl_page
20260504_204711,d8e4cd2cdce54cb3bf98fa5a936c30fd,3623df1551dd4a12aff4db95aaa31a22,path_analyze.page.depth_1,https://0a1a008e04c059e680d94ec3004800fa.web-security-academy.net,,,,filter,category=Gifts,category,category:short_text,,,,session,"user-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36
accept-encoding: gzip, deflate, br
accept: */*
connection: keep-alive
cookie: session=<masked>","accept-encoding: gzip, deflate, br
accept: */*
connection: keep-alive
cookie: session=<masked>
user-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",cookie_name_session,missing,,,5,0,0,0,0.0,0,path_crawl_page
20260504_204711,bf9a2d3e9d194821b23fba8c0c2f9bb4,1351c5d02dd5475e9537ae081140e05a,path_analyze.page.depth_1,https://0a1a008e04c059e680d94ec3004800fa.web-security-academy.net,,,,product,productId=18,productId,productId:numeric,,,,session,"user-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36
accept-encoding: gzip, deflate, br
accept: */*
connection: keep-alive
cookie: session=<masked>","accept-encoding: gzip, deflate, br
accept: */*
connection: keep-alive
cookie: session=<masked>
user-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",cookie_name_session,missing,,,5,0,0,0,0.0,0,path_crawl_page
20260504_204711,0c9b8d85b5e34a56a1fedf0e1062e854,1351c5d02dd5475e9537ae081140e05a,path_analyze.page.depth_1,https://0a1a008e04c059e680d94ec3004800fa.web-security-academy.net,,,,product,productId=8,productId,productId:numeric,,,,session,"user-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36
accept-encoding: gzip, deflate, br
accept: */*
connection: keep-alive
cookie: session=<masked>","accept-encoding: gzip, deflate, br
accept: */*
connection: keep-alive
cookie: session=<masked>
user-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",cookie_name_session,missing,,,5,0,0,0,0.0,0,path_crawl_page
20260504_204711,d0c9ae32e8d84ba9baa6ae1e25037bf6,1351c5d02dd5475e9537ae081140e05a,path_analyze.page.depth_1,https://0a1a008e04c059e680d94ec3004800fa.web-security-academy.net,,,,product,productId=20,productId,productId:numeric,,,,session,"user-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36
accept-encoding: gzip, deflate, br
accept: */*
connection: keep-alive
cookie: session=<masked>","accept-encoding: gzip, deflate, br
accept: */*
connection: keep-alive
cookie: session=<masked>
user-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",cookie_name_session,missing,,,5,0,0,0,0.0,0,path_crawl_page
