url_length,has_https,path_depth,has_query_params,num_query_params,has_fragment,has_port,subdomain_count,is_ip_address,domain_tld,domain_has_hyphens,domain_length,status_code,status_category,response_size,response_time_ms,is_redirect,redirect_chain_length,total_headers,server_header_present,server_header,x_powered_by_present,content_type,has_cookies,num_cookies,has_cors,cache_control,security_headers_count,has_csp,has_hsts,has_xss_protection,has_frame_options,has_content_type_options,has_forms,form_count,has_inputs,input_count,has_buttons,button_count,has_textarea,textarea_count,has_select,select_count,has_links,link_count,has_images,image_count,has_scripts,script_count,has_stylesheets,stylesheet_count,has_javascript,has_comments,comment_count,has_meta_tags,meta_count,has_title,server_apache,server_nginx,server_iis,tech_php,tech_aspnet,tech_jsp,tech_wordpress,tech_drupal,tech_joomla,has_debug_info,has_error_messages,has_sql_errors,has_file_paths,cookie_count,session_cookies,redirect_count,has_redirect_chain,final_https,input_to_form_ratio,script_to_content_ratio,security_score,interactivity_score,scan_id,timestamp,target_url,original_url,is_redirect_response,final_url,redirect_chain_len,has_password_input,password_count,has_hidden_input,hidden_count,has_file_upload,file_upload_count,has_search_input,search_count,internal_script_count,external_script_count,internal_link_count,external_link_count,has_waf,waf_cloudflare,waf_aws,waf_imperva,reflection_detected,has_jwt,has_api_keys,secure_cookie_ratio,httponly_cookie_ratio,samesite_cookie_ratio,is_vulnerable
26,1,0,0,0,0,0,1,0,africa,1,17,200,2,3361,503.234,0,,22,1,nginx,0,html,1,2,1,0,6,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,0,0,1,19,1,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,2,1,1,0.0,0.0005950609937518,0.75,0.0,20260302_010614,2026-03-02T01:06:14.934713,https://www.m-pesa.africa/,https://www.m-pesa.africa/,False,https://www.m-pesa.africa/,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
23,1,0,0,0,0,0,1,0,com,0,14,403,4,368,251.115,0,,10,0,unknown,0,html,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,1,0.0,0.0,0.25,0.0,20260302_005340,2026-03-02T00:53:41.191672,https://www.meesho.com/,https://www.meesho.com/,False,https://www.meesho.com/,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,1,0,0,0,0,0,1,0,com,0,16,200,2,71826,1001.864,0,,20,1,API Gateway,1,html,0,0,0,1,5,1,1,1,1,0,0,0,1,1,1,2,0,0,1,1,1,44,0,0,1,13,1,2,1,1,10,1,20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,1,0.0,0.0001809929551972,0.625,0.0417676050455266,20260302_000912,2026-03-02T00:09:13.626138,https://www.snapchat.com/,https://www.snapchat.com/,False,https://www.snapchat.com/,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,6.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,1,1,0,0,0,0,1,0,com,0,14,200,2,640146,568.355,0,,22,0,unknown,0,html,0,0,0,1,4,0,1,0,1,1,0,0,0,0,1,76,0,0,0,0,1,374,1,32,1,33,1,5,1,1,10,1,24,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,3,1,1,0.0,5.155073998744036e-05,0.5,0.1187229163347111,20260302_000046,2026-03-02T00:00:48.541845,https://www.twilio.com/en-us,https://www.twilio.com/,False,https://www.twilio.com/en-us,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,341.0,33.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,1,0,0,0,0,0,1,0,com,0,14,301,3,236,464.1350000000001,1,,16,0,unknown,0,html,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.25,0.0,20260302_000046,2026-03-02T00:00:47.422792,https://www.twilio.com/,https://www.twilio.com/,True,https://www.twilio.com/,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,1,0,0,0,0,0,0,0,com,0,12,429,4,79,451.891,0,,15,1,cloudflare,0,json,1,1,0,1,5,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,1,1,0.0,0.0,0.625,0.0,20260301_235829,2026-03-01T23:58:29.593810,https://coinhako.com/,https://coinhako.com/,False,https://coinhako.com/,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
19,1,0,0,0,0,0,0,0,link,0,10,200,2,427616,777.617,0,,19,1,cloudflare,0,html,1,1,0,0,3,1,1,0,1,0,1,2,1,6,0,0,0,0,0,0,0,152,1,85,1,37,1,4,1,1,18,1,13,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,2,1,1,3.0,8.652622914016313e-05,0.375,0.0187083738681433,20260301_233641,2026-03-01T23:36:41.992774,https://chain.link/,https://chain.link/,False,https://chain.link/,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,107.0,45.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
20,1,0,0,0,0,0,1,0,com,0,11,200,2,92507,813.419,0,,47,0,unknown,0,html,1,11,0,1,4,0,0,1,1,1,0,0,1,3,0,0,0,0,0,0,1,12,1,7,1,40,1,5,1,1,4,1,22,1,0,0,0,0,0,0,0,0,0,1,1,0,0,11,0,2,1,1,0.0,0.0004323997102921,0.5,0.0324299782719145,20260301_233447,2026-03-01T23:34:48.098310,https://sa.trip.com/,https://sa.trip.com/,False,https://sa.trip.com/,3.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,24.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0
26,1,0,0,0,0,0,1,0,com,0,17,403,4,28907,563.254,0,,25,1,cloudflare,0,html,1,1,0,1,6,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,1,1,0.0,6.918739405680285e-05,0.75,0.0,20260301_225742,2026-03-01T22:57:43.210563,https://www.epicgames.com/,https://www.epicgames.com/,False,https://www.epicgames.com/,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
30,1,0,0,0,0,0,1,0,com,0,21,200,2,4768,627.784,0,,15,1,Apache,0,html,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,1,21,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0.0,0.0008389261744966,0.375,0.0,20260301_225657,2026-03-01T22:56:58.623799,https://www.rockstargames.com/,https://www.rockstargames.com/,False,https://www.rockstargames.com/,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
